StopLoss,StopProfit,StartProfit,OpenCriteria,FollowTrend,Result
0.034,0.02,0.035,0.015,False,2.2618167318608602494770183377
0.032,0.03,0.035,0.015,False,2.2457311535287610650040374433
0.039,0.02,0.035,0.022,False,2.2456578224992268334752319329
0.039,0.02,0.035,0.023,False,2.2285435123399282226144655554
0.032,0,0.035,0.015,False,2.2050951238989870890145258249
0.034,0.01,0.034,0.015,False,2.1885364602959686361084301464
0.039,0,0.035,0.023,False,2.1769760382164630895304381934
0.034,0.02,0.034,0.015,False,2.1744170103586402041978850579
0.038,0,0.035,0.023,False,2.1591157177675210404148819301
0.032,0.03,0.035,0.014,False,2.1512494121068462053859927727
