StopLoss,StopProfit,StartProfit,OpenCriteria,FollowTrend,Result
0.015,0.08,0.152,0.016,False,1.9830531382009510911337215075
0.015,0.08,0.153,0.016,False,1.9830531382009510911337215075
0.016,0.08,0.152,0.017,False,1.9305413621212804564837775112
0.016,0.08,0.153,0.017,False,1.9305413621212804564837775112
0.016,0.08,0.151,0.016,False,1.9251010886010157578903923340
0.016,0.08,0.152,0.016,False,1.9251010886010157578903923340
0.016,0.08,0.153,0.016,False,1.9251010886010157578903923340
0.017,0.08,0.148,0.016,False,1.9248172110862482266677560278
0.017,0.08,0.149,0.016,False,1.9248172110862482266677560278
0.017,0.08,0.150,0.016,False,1.9244167074818868578719261904
0.015,0.08,0.151,0.016,False,1.9213724204877144842260934398
0.016,0.06,0.149,0.017,False,1.9174880335528691464411786277
0.016,0.06,0.150,0.017,False,1.9174880335528691464411786277
0.016,0.06,0.149,0.016,False,1.9095242211500387782816037758
0.016,0.06,0.150,0.016,False,1.9095242211500387782816037758
0.016,0.08,0.151,0.017,False,1.9083130593844427071105677076
0.016,0.06,0.151,0.017,False,1.8972515071513456701458981028
0.016,0.08,0.149,0.017,False,1.8966016516983295244453081158
0.016,0.08,0.150,0.017,False,1.8966016516983295244453081158
0.020,0.10,0.150,0.021,False,1.8948627783604596444519559990
0.020,0.10,0.151,0.021,False,1.8948627783604596444519559990
0.015,0.08,0.152,0.017,False,1.8938902917031634202321061576
0.015,0.08,0.153,0.017,False,1.8938902917031634202321061576
0.016,0.08,0.149,0.016,False,1.8901854291020481953641477448
0.016,0.08,0.150,0.016,False,1.8901854291020481953641477448
0.017,0.06,0.148,0.016,False,1.8731325564556378998921802636
0.017,0.06,0.149,0.016,False,1.8731325564556378998921802636
0.017,0.06,0.150,0.016,False,1.8731325564556378998921802636
0.021,0.10,0.151,0.021,False,1.8726038632353772348871787759
0.016,0.06,0.147,0.017,False,1.8698396781822740742892395115
0.016,0.06,0.147,0.016,False,1.8619569477143847024426972990
0.016,0.06,0.146,0.017,False,1.8618954732366080840572897871
0.020,0.09,0.145,0.013,False,1.8610918445813026130186919374
0.020,0.09,0.146,0.013,False,1.8610918445813026130186919374
0.016,0.06,0.146,0.016,False,1.8540681062528970024649985186
0.017,0.08,0.148,0.015,False,1.8512087081489188735550663932
0.022,0.10,0.151,0.021,False,1.8506438214330541365000211931
0.020,0.08,0.145,0.013,False,1.8495362389882809445914883186
0.020,0.08,0.146,0.013,False,1.8495362389882809445914883186
0.018,0.08,0.150,0.013,False,1.8450742214942141265428497224
0.020,0.09,0.147,0.021,False,1.8439635149628386841919635238
0.020,0.09,0.148,0.021,False,1.8439635149628386841919635238
0.020,0.09,0.149,0.021,False,1.8439635149628386841919635238
0.020,0.09,0.150,0.021,False,1.8439635149628386841919635238
0.020,0.09,0.151,0.021,False,1.8430307934501527593575356455
0.020,0.09,0.147,0.022,False,1.8427638718412811238360208393
0.020,0.08,0.146,0.022,False,1.8419415860147605383765437900
0.020,0.08,0.147,0.022,False,1.8415427780268967736802720583
0.020,0.08,0.148,0.022,False,1.8415427780268967736802720583
0.020,0.08,0.149,0.022,False,1.8415427780268967736802720583
0.016,0.08,0.151,0.015,False,1.8407782635775312172125175841
0.016,0.08,0.152,0.015,False,1.8407782635775312172125175841
0.016,0.08,0.153,0.015,False,1.8407782635775312172125175841
0.016,0.08,0.149,0.015,False,1.8406953244204271560086146023
0.020,0.08,0.146,0.021,False,1.8396934488783937516307376722
0.020,0.08,0.147,0.021,False,1.8392946408905299869344659405
0.020,0.08,0.148,0.021,False,1.8392946408905299869344659405
0.020,0.08,0.149,0.021,False,1.8392946408905299869344659405
0.020,0.08,0.145,0.022,False,1.8309655766832028637414778217
