StopLoss,StopProfit,StartProfit,OpenCriteria,FollowTrend,Result
0.032,0.06,0.093,0.007,False,1.8265307220736420771991202210
0.032,0.06,0.095,0.007,False,1.8131285781596457302471797996
0.032,0.07,0.093,0.007,False,1.8030000333165035002287977868
0.033,0.06,0.093,0.007,False,1.7958900911130163404030833682
0.032,0.07,0.093,0.005,False,1.7782931357526643374892413232
0.034,0.06,0.093,0.007,False,1.7681911991828964116051641452
0.032,0.07,0.094,0.007,False,1.7665814500656663862590253677
0.033,0.07,0.093,0.007,False,1.7598677650613085461797212376
0.032,0.07,0.092,0.005,False,1.7542081617028256381452657340
0.032,0.07,0.094,0.005,False,1.7418745525018272235194689041
0.033,0.07,0.094,0.007,False,1.7372754711968589997928486537
0.033,0.07,0.093,0.005,False,1.7354539045147040304724072909
0.034,0.07,0.093,0.007,False,1.7296564894789723152978257353
0.035,0.06,0.093,0.007,False,1.7287577673823846929309945942
0.033,0.07,0.092,0.005,False,1.7264037523250861249666336754
0.033,0.07,0.094,0.005,False,1.7128616106502544840855347070
0.015,0.07,0.143,0.017,False,1.7104598460244980845390474217
0.015,0.07,0.144,0.017,False,1.7104598460244980845390474217
0.015,0.07,0.145,0.017,False,1.7104598460244980845390474217
0.015,0.07,0.146,0.017,False,1.7104598460244980845390474217
0.015,0.07,0.147,0.017,False,1.7104598460244980845390474217
0.034,0.07,0.094,0.007,False,1.7070641956145227689109531514
0.035,0.07,0.093,0.007,False,1.7010355536131364767221674989
0.036,0.06,0.093,0.007,False,1.6998961654364456101966215245
0.034,0.07,0.092,0.005,False,1.6980756841685161707228825754
0.017,0.07,0.143,0.016,False,1.6964157844726886510448903053
0.017,0.07,0.144,0.016,False,1.6964157844726886510448903053
0.017,0.07,0.145,0.016,False,1.6964157844726886510448903053
0.017,0.07,0.146,0.016,False,1.6964157844726886510448903053
0.015,0.07,0.143,0.016,False,1.6895114909594591231791012388
0.015,0.07,0.144,0.016,False,1.6895114909594591231791012388
0.015,0.07,0.145,0.016,False,1.6895114909594591231791012388
0.015,0.07,0.146,0.016,False,1.6895114909594591231791012388
0.015,0.07,0.133,0.017,False,1.6877719035857868429592436997
0.016,0.07,0.143,0.017,False,1.6792835596572069048294119216
0.016,0.07,0.144,0.017,False,1.6792835596572069048294119216
0.016,0.07,0.145,0.017,False,1.6792835596572069048294119216
0.016,0.07,0.146,0.017,False,1.6792835596572069048294119216
0.016,0.07,0.147,0.017,False,1.6792835596572069048294119216
0.035,0.07,0.094,0.007,False,1.6784432597486869303352949150
0.032,0.07,0.092,0.007,False,1.6729276343007785839057214365
0.015,0.05,0.136,0.017,False,1.6701764388567765671820470053
0.015,0.05,0.137,0.017,False,1.6701764388567765671820470053
0.036,0.07,0.093,0.007,False,1.6613801714572926598630850475
0.035,0.07,0.092,0.005,False,1.6601613903654622042354672308
0.016,0.07,0.143,0.016,False,1.6578431105443967863478881729
0.016,0.07,0.144,0.016,False,1.6578431105443967863478881729
0.016,0.07,0.145,0.016,False,1.6578431105443967863478881729
0.016,0.07,0.146,0.016,False,1.6578431105443967863478881729
0.017,0.06,0.144,0.016,False,1.6525693302261654966560064312
0.037,0.06,0.093,0.007,False,1.6505627136292054365772707265
0.015,0.05,0.134,0.017,False,1.6485006207481508205536118117
0.015,0.05,0.135,0.017,False,1.6485006207481508205536118117
0.033,0.07,0.092,0.007,False,1.6415443515253645413515016265
0.036,0.07,0.094,0.007,False,1.6387878775928431134762124636
0.033,0.13,0.120,0.029,False,1.6307472990862364778593450381
0.033,0.13,0.120,0.030,False,1.6304748650081709898227331364
0.033,0.13,0.121,0.030,False,1.6304748650081709898227331364
0.034,0.13,0.120,0.030,False,1.6136130100851120617981005508
0.034,0.13,0.121,0.030,False,1.6136130100851120617981005508
0.034,0.13,0.120,0.029,False,1.6127564714840976479047148091
0.037,0.07,0.094,0.007,False,1.6095776534439733285526192237
0.016,0.05,0.134,0.017,False,1.6057826276889164533663658541
0.016,0.05,0.135,0.017,False,1.6057826276889164533663658541
0.033,0.06,0.095,0.007,False,1.6046019370683631672946861536
0.017,0.07,0.142,0.016,False,1.6035437268005044360196690460
0.035,0.13,0.120,0.030,False,1.5956282620712668672021242975
0.035,0.13,0.121,0.030,False,1.5956282620712668672021242975
0.035,0.13,0.120,0.029,False,1.5947665655493004669175297615
0.028,0.08,0.143,0.029,False,1.5925565883009908069592304789
0.017,0.06,0.134,0.017,False,1.5848219988578233716853710009
0.017,0.12,0.130,0.017,False,1.5836338475510007747285363863
0.017,0.12,0.131,0.017,False,1.5836338475510007747285363863
0.017,0.12,0.132,0.017,False,1.5836338475510007747285363863
0.036,0.13,0.120,0.030,False,1.5786578989088033419490571599
0.036,0.13,0.121,0.030,False,1.5786578989088033419490571599
0.036,0.13,0.120,0.029,False,1.5777902759256888658347778552
0.017,0.07,0.140,0.016,False,1.5679930949908153454299574918
0.017,0.07,0.141,0.016,False,1.5679930949908153454299574918
0.017,0.13,0.132,0.017,False,1.5678707988583032389719973798
0.015,0.07,0.142,0.016,False,1.5672002271861092856722849326
0.035,0.14,0.119,0.030,False,1.5629084328961190261869265516
0.035,0.14,0.120,0.030,False,1.5629084328961190261869265516
0.035,0.14,0.121,0.030,False,1.5629084328961190261869265516
0.037,0.13,0.120,0.030,False,1.5611493382494776902096007237
0.037,0.13,0.121,0.030,False,1.5611493382494776902096007237
0.035,0.14,0.119,0.029,False,1.5611455114819245998925925827
0.035,0.14,0.120,0.029,False,1.5611455114819245998925925827
0.037,0.13,0.120,0.029,False,1.5607323690372948914289699534
0.017,0.07,0.133,0.017,False,1.5605304721603196643415717380
0.012,0.05,0.147,0.017,False,1.5599733614721543278048322203
0.015,0.07,0.140,0.017,False,1.5587951385588336505785663728
0.015,0.07,0.141,0.017,False,1.5587951385588336505785663728
0.015,0.07,0.142,0.017,False,1.5587951385588336505785663728
0.035,0.14,0.118,0.028,False,1.5585785377904125989926778898
0.035,0.14,0.119,0.028,False,1.5585785377904125989926778898
0.035,0.14,0.118,0.027,False,1.5577965490883546179123212348
0.017,0.06,0.143,0.016,False,1.5570144352076054914755929747
0.018,0.06,0.134,0.017,False,1.5506611761290908553587701891
0.036,0.14,0.119,0.030,False,1.5457979303410584720501226471
0.036,0.14,0.120,0.030,False,1.5457979303410584720501226471
0.036,0.14,0.121,0.030,False,1.5457979303410584720501226471
0.017,0.03,0.135,0.004,False,1.5457092286498211577341985737
0.017,0.03,0.134,0.004,False,1.5446947879602716423609322053
0.036,0.14,0.119,0.029,False,1.5440283658646786052368729604
0.036,0.14,0.120,0.029,False,1.5440283658646786052368729604
0.038,0.13,0.120,0.030,False,1.5432121199028877440519401054
0.038,0.13,0.121,0.030,False,1.5432121199028877440519401054
0.018,0.12,0.129,0.017,False,1.5424673174814040971398818089
0.018,0.12,0.130,0.017,False,1.5424673174814040971398818089
0.018,0.12,0.131,0.017,False,1.5424673174814040971398818089
0.018,0.12,0.132,0.017,False,1.5424673174814040971398818089
0.038,0.13,0.120,0.029,False,1.5423318762445338818554354854
0.036,0.14,0.119,0.028,False,1.5421721398064185314600632643
0.036,0.14,0.118,0.027,False,1.5406682761103951994299962011
0.015,0.07,0.140,0.016,False,1.5360781484999673800742156663
0.015,0.07,0.141,0.016,False,1.5360781484999673800742156663
0.016,0.07,0.142,0.016,False,1.5295466933902628211771749368
0.018,0.06,0.133,0.016,False,1.5277057370750811640155821381
0.018,0.06,0.134,0.016,False,1.5277057370750811640155821381
0.037,0.14,0.119,0.030,False,1.5275404470959205497282034886
0.037,0.14,0.120,0.030,False,1.5275404470959205497282034886
0.037,0.14,0.121,0.030,False,1.5275404470959205497282034886
0.018,0.12,0.129,0.016,False,1.5266261533057338723272944410
0.018,0.12,0.130,0.016,False,1.5266261533057338723272944410
0.018,0.12,0.131,0.016,False,1.5266261533057338723272944410
0.017,0.07,0.143,0.017,False,1.5264927136616611932813478260
0.017,0.07,0.144,0.017,False,1.5264927136616611932813478260
0.017,0.07,0.145,0.017,False,1.5264927136616611932813478260
0.018,0.07,0.133,0.017,False,1.5260156651279957415508725983
0.037,0.14,0.119,0.029,False,1.5254828519377187868266314652
0.037,0.14,0.120,0.029,False,1.5254828519377187868266314652
0.037,0.14,0.119,0.028,False,1.5240799539579406358273695087
0.016,0.07,0.140,0.017,False,1.5196560221443314431967422837
0.016,0.07,0.141,0.017,False,1.5196560221443314431967422837
0.016,0.07,0.142,0.017,False,1.5196560221443314431967422837
0.018,0.13,0.131,0.017,False,1.5195217448847704447644259720
0.018,0.13,0.132,0.017,False,1.5195217448847704447644259720
0.013,0.06,0.134,0.017,False,1.5192417369021391021533175265
0.013,0.07,0.133,0.017,False,1.5186411115435610032630180020
0.012,0.06,0.134,0.017,False,1.5124229459355711979883188322
0.019,0.06,0.134,0.017,False,1.5107769021301256944130680899
0.018,0.07,0.133,0.016,False,1.5021960073864453409773567025
0.013,0.07,0.131,0.018,False,1.5004762484664081731422439231
0.013,0.07,0.132,0.018,False,1.5004762484664081731422439231
0.016,0.07,0.140,0.016,False,1.4964457676267933571499931626
0.016,0.07,0.141,0.016,False,1.4964457676267933571499931626
0.018,0.07,0.143,0.017,False,1.4917539416781623493761148803
0.018,0.07,0.144,0.017,False,1.4917539416781623493761148803
0.018,0.07,0.145,0.017,False,1.4917539416781623493761148803
0.013,0.07,0.130,0.018,False,1.4915059238412599803964047215
0.019,0.06,0.133,0.016,False,1.4888752359224604764120393332
0.019,0.06,0.134,0.016,False,1.4888752359224604764120393332
0.019,0.07,0.133,0.017,False,1.4859114404544098241703968807
0.015,0.05,0.143,0.017,False,1.4846161931866832573272612454
0.017,0.12,0.130,0.016,False,1.4772044167172082645937294883
0.017,0.12,0.131,0.016,False,1.4772044167172082645937294883
0.020,0.06,0.133,0.016,False,1.4674526341913924738383489756
0.019,0.07,0.133,0.016,False,1.4631457356459434899554019353
0.017,0.17,0.143,0.004,False,1.4471537590065397141120456450
0.017,0.17,0.144,0.004,False,1.4471537590065397141120456450
0.017,0.17,0.145,0.004,False,1.4471537590065397141120456450
0.015,0.12,0.131,0.017,False,1.4339986229006102189372510053
0.015,0.12,0.132,0.017,False,1.4339986229006102189372510053
