StopLoss,StopProfit,StartProfit,OpenCriteria,FollowTrend,Result
0.027,0,0.095,0.020,False,1.8842827736918008396786872583
0.027,0,0.095,0.019,False,1.8777618104375415755131703453
0.026,0,0.096,0.020,False,1.8666936576243126891406200279
0.026,0,0.095,0.020,False,1.8531932588575474262957290314
0.027,0,0.096,0.020,False,1.8280991781792716465678123231
0.027,0,0.096,0.019,False,1.8231911345645079029411582269
0.030,0.02,0.094,0.019,False,1.7866388134577048688054345783
0.027,0.01,0.095,0.020,False,1.7831849548525612286774940955
0.028,0,0.096,0.020,False,1.7803714879432158533967755455
0.028,0,0.096,0.019,False,1.7742923394048431552914493944
0.028,0,0.095,0.020,False,1.7668710891764505905518845490
0.028,0,0.095,0.019,False,1.7615201651654699403902738617
0.028,0.01,0.095,0.020,False,1.7572298949890183905310948273
0.028,0.01,0.095,0.019,False,1.7518822354176921770335749214
0.029,0.02,0.094,0.019,False,1.7486552889831630241740346641
0.026,0,0.094,0.020,False,1.7478844562783529887806375890
0.026,0,0.096,0.010,False,1.7429321541280130445897465449
0.029,0,0.096,0.020,False,1.7365823550081305558920233732
0.029,0,0.096,0.019,False,1.7298356920470640098305392378
0.029,0,0.095,0.020,False,1.7230819562413652930471323767
0.017,0.07,0.143,0.016,False,1.7227413916164054055638688116
0.017,0.07,0.144,0.016,False,1.7227413916164054055638688116
0.017,0.07,0.145,0.016,False,1.7227413916164054055638688116
0.017,0.07,0.146,0.016,False,1.7227413916164054055638688116
0.027,0.01,0.095,0.019,False,1.7209447323618693617063883269
0.015,0.07,0.143,0.016,False,1.7197607287057503425288155538
0.015,0.07,0.144,0.016,False,1.7197607287057503425288155538
0.015,0.07,0.145,0.016,False,1.7197607287057503425288155538
0.015,0.07,0.146,0.016,False,1.7197607287057503425288155538
0.026,0,0.095,0.021,False,1.7182646574179621625731303438
0.029,0,0.095,0.019,False,1.7170441092911532057714697576
0.015,0.07,0.143,0.017,False,1.7159709668991877529708749584
0.015,0.07,0.144,0.017,False,1.7159709668991877529708749584
0.015,0.07,0.145,0.017,False,1.7159709668991877529708749584
0.015,0.07,0.146,0.017,False,1.7159709668991877529708749584
0.015,0.07,0.147,0.017,False,1.7159709668991877529708749584
0.030,0,0.096,0.019,False,1.7155247541842788354718489964
0.029,0.01,0.095,0.020,False,1.7118487769494291627827877609
0.029,0.01,0.095,0.019,False,1.7058141969932300674629681653
0.027,0,0.096,0.010,False,1.6987932232863775588558811347
0.015,0.07,0.133,0.017,False,1.6932830244604765113910712364
0.024,0.01,0.101,0.005,False,1.6862149703824154324647799057
0.016,0.07,0.143,0.016,False,1.6857391087717741224949286338
0.016,0.07,0.144,0.016,False,1.6857391087717741224949286338
0.016,0.07,0.145,0.016,False,1.6857391087717741224949286338
0.016,0.07,0.146,0.016,False,1.6857391087717741224949286338
0.027,0,0.095,0.010,False,1.6852928245196122960109901382
0.016,0.07,0.143,0.017,False,1.6831965331923316869206426763
0.016,0.07,0.144,0.017,False,1.6831965331923316869206426763
0.016,0.07,0.145,0.017,False,1.6831965331923316869206426763
0.016,0.07,0.146,0.017,False,1.6831965331923316869206426763
0.016,0.07,0.147,0.017,False,1.6831965331923316869206426763
0.025,0,0.096,0.019,False,1.6801408717303762273257581870
0.017,0.06,0.144,0.016,False,1.6788949373698822511749849375
0.015,0.05,0.136,0.017,False,1.6743732792169429739427484200
0.015,0.05,0.137,0.017,False,1.6743732792169429739427484200
0.025,0,0.095,0.019,False,1.6731341197457602768069272432
0.029,0.02,0.094,0.020,False,1.6681485650410998044657264680
0.030,0.03,0.093,0.019,False,1.6670561385455232862417109510
0.030,0,0.095,0.019,False,1.6611926616546749446736127408
0.026,0.01,0.094,0.020,False,1.6594201961803588324412515463
0.030,0.01,0.095,0.019,False,1.6589011717726061011575694850
0.015,0.05,0.134,0.017,False,1.6526974611083172273143132264
0.015,0.05,0.135,0.017,False,1.6526974611083172273143132264
0.030,0.04,0.093,0.019,False,1.6439646585042623687841571682
0.027,0,0.094,0.020,False,1.6315498166727236216470042589
0.028,0,0.095,0.018,False,1.6310799701151921045013032607
0.017,0.07,0.142,0.016,False,1.6298693339442211905386475523
0.026,0,0.095,0.019,False,1.6272713517927315595270770553
0.036,0,0.096,0.001,True,1.6249028296368651448354506274
0.034,0,0.096,0.013,False,1.6186266962680385057231051674
0.016,0.05,0.134,0.017,False,1.6075472936514768331614980701
0.016,0.05,0.135,0.017,False,1.6075472936514768331614980701
0.034,0,0.096,0.012,False,1.6061703969679595307959723229
0.036,0.01,0.095,0.001,True,1.6058913303392396947488804200
0.021,0.07,0.121,0.013,False,1.6042929066063978866355153325
0.013,0.07,0.133,0.018,False,1.6029512953375012815798567884
0.015,0.07,0.142,0.016,False,1.5974494649324005050219992476
0.017,0.07,0.140,0.016,False,1.5943187021345320999489359981
0.017,0.07,0.141,0.016,False,1.5943187021345320999489359981
0.017,0.06,0.134,0.017,False,1.5863353149098043108669877484
0.017,0.06,0.143,0.016,False,1.5833400423513222459945714810
0.020,0.08,0.124,0.016,False,1.5785083670831781768681981580
0.033,0.13,0.120,0.029,False,1.5783112957831811516826315781
0.033,0.13,0.120,0.030,False,1.5779955261651957832111628885
0.033,0.13,0.121,0.030,False,1.5779955261651957832111628885
0.021,0.07,0.123,0.015,False,1.5674207298116366689076557395
0.015,0.07,0.140,0.016,False,1.5663273862462585994239299813
0.015,0.07,0.141,0.016,False,1.5663273862462585994239299813
0.015,0.07,0.140,0.017,False,1.5643062594335233190103939095
0.015,0.07,0.141,0.017,False,1.5643062594335233190103939095
0.015,0.07,0.142,0.017,False,1.5643062594335233190103939095
0.017,0.07,0.133,0.017,False,1.5620437882123006035231884855
0.034,0.13,0.120,0.030,False,1.5611336712421368551865303029
0.034,0.13,0.121,0.030,False,1.5611336712421368551865303029
0.034,0.13,0.120,0.029,False,1.5603204681810423217280013491
0.016,0.07,0.142,0.016,False,1.5574426916176401573242153977
0.018,0.06,0.133,0.016,False,1.5516734028909158918393288319
0.018,0.06,0.134,0.016,False,1.5516734028909158918393288319
0.018,0.06,0.134,0.017,False,1.5505730915536721424249788476
0.035,0.13,0.120,0.030,False,1.5431489232282916605905540496
0.035,0.13,0.121,0.030,False,1.5431489232282916605905540496
0.035,0.13,0.120,0.029,False,1.5423305622462451407408163015
0.021,0.08,0.124,0.016,False,1.5410099591486190752483803814
0.017,0.06,0.133,0.028,False,1.5338875340764276941000987384
0.017,0.06,0.134,0.028,False,1.5338875340764276941000987384
0.018,0.06,0.132,0.027,False,1.5322038017726643336656151213
0.018,0.06,0.133,0.027,False,1.5322038017726643336656151213
0.018,0.06,0.134,0.027,False,1.5322038017726643336656151213
0.017,0.07,0.143,0.017,False,1.5280060297136421324629645735
0.017,0.07,0.144,0.017,False,1.5280060297136421324629645735
0.017,0.07,0.145,0.017,False,1.5280060297136421324629645735
0.036,0.13,0.120,0.030,False,1.5261785600658281353374869120
0.036,0.13,0.121,0.030,False,1.5261785600658281353374869120
0.018,0.07,0.133,0.016,False,1.5261636732022800688011033963
0.018,0.07,0.133,0.017,False,1.5259275805525770286170812568
0.036,0.13,0.120,0.029,False,1.5253542726226335396580643952
0.016,0.07,0.140,0.016,False,1.5243417658541706932970336235
0.016,0.07,0.141,0.016,False,1.5243417658541706932970336235
0.016,0.07,0.140,0.017,False,1.5235689956794562252879730384
0.016,0.07,0.141,0.017,False,1.5235689956794562252879730384
0.016,0.07,0.142,0.017,False,1.5235689956794562252879730384
0.028,0.08,0.143,0.029,False,1.5190296787133605667440407742
0.017,0.06,0.135,0.016,False,1.5184200227440271541384985234
0.017,0.06,0.136,0.016,False,1.5184200227440271541384985234
0.012,0.05,0.147,0.017,False,1.5161175784398422580382745148
0.019,0.06,0.133,0.016,False,1.5112693666026159883053548301
0.019,0.06,0.134,0.016,False,1.5112693666026159883053548301
0.035,0.14,0.119,0.030,False,1.5104290940531438195753563037
0.035,0.14,0.120,0.030,False,1.5104290940531438195753563037
0.035,0.14,0.121,0.030,False,1.5104290940531438195753563037
0.035,0.14,0.119,0.029,False,1.5087095081788692737158791227
0.035,0.14,0.120,0.029,False,1.5087095081788692737158791227
0.037,0.13,0.120,0.030,False,1.5086699994065024835980304758
0.037,0.13,0.121,0.030,False,1.5086699994065024835980304758
0.037,0.13,0.120,0.029,False,1.5082963657342395652522564934
0.019,0.06,0.134,0.017,False,1.5082842651410296273365951539
0.013,0.07,0.131,0.018,False,1.5074948659507708256649800236
0.013,0.07,0.132,0.018,False,1.5074948659507708256649800236
0.035,0.14,0.118,0.028,False,1.5062074037697940422916469619
0.035,0.14,0.119,0.028,False,1.5062074037697940422916469619
0.035,0.14,0.118,0.027,False,1.5054685721621082231863220589
0.013,0.06,0.134,0.017,False,1.4733496641263548055265880188
0.013,0.07,0.133,0.017,False,1.4727490387677767066362884943
0.012,0.06,0.134,0.017,False,1.4685671629032591282217611267
