StopLoss,StopProfit,StartProfit,OpenCriteria,FollowTrend,Result
0.017,0,0.052,0.016,True,1.7509071278279433155398500125
0.017,0.01,0.052,0.016,True,1.7346747533643478461164046274
0.024,0.16,0.068,0.010,False,1.7101910201529303283729078718
0.024,0.26,0.048,0.003,False,1.7019966461650242390660479334
0.024,0.26,0.047,0.003,False,1.6872473176539950137964361883
0.017,0.02,0.052,0.016,True,1.6801015851467920018068088994
0.023,0.26,0.048,0.003,False,1.6786600063724294245264955494
0.023,0.26,0.045,0.005,False,1.6750839962036333455555735997
0.022,0.12,0.070,0.012,False,1.6717340786905924257745468106
0.024,0.24,0.051,0.003,False,1.6714877729747859472891360707
0.023,0.26,0.044,0.005,False,1.6707301331180590648737272546
0.023,0.26,0.045,0.003,False,1.6667513128463476352802878407
0.022,0.26,0.048,0.003,False,1.6629235388099624808044936924
0.023,0.26,0.047,0.003,False,1.6618242776257950745633572958
0.022,0.26,0.047,0.003,False,1.6498399596862882557590076276
0.015,0,0.045,0.016,True,1.6492595489876670023103037775
0.010,0.02,0.032,0.004,False,1.6462384664706846577699171119
0.024,0.26,0.045,0.014,True,1.6442427378208725506165870603
0.015,0,0.044,0.016,True,1.6434856205769227572424512776
0.024,0.26,0.044,0.014,True,1.6426066426753870600185562443
0.010,0.01,0.032,0.004,False,1.6397591267225027089011731053
0.023,0.26,0.047,0.005,False,1.6396315617405047291531512168
0.023,0.26,0.048,0.005,False,1.6396315617405047291531512168
0.021,0.24,0.048,0.003,False,1.6374872643950442060211028866
0.015,0.01,0.044,0.016,True,1.6301356227931988553386766160
0.015,0.02,0.049,0.018,True,1.6291956855549501968511400151
0.016,0.01,0.044,0.016,True,1.6262917820877372139132798917
0.025,0.24,0.050,0.003,False,1.6253032519007633219674308436
0.011,0.01,0.046,0.017,True,1.6232634301447423835089786342
0.020,0.13,0.052,0.003,False,1.6217934248968396749488502724
0.024,0.12,0.070,0.012,False,1.6168918757193329607933661843
0.015,0.03,0.069,0.003,False,1.6155726684401022194182325027
0.024,0.13,0.070,0.012,False,1.6129754472116311727581393807
0.022,0.26,0.046,0.003,False,1.6117260529367727812320707793
0.024,0.26,0.048,0.002,False,1.6116280369705712278824059938
0.017,0.29,0.041,0.017,False,1.6114083239397983502690607859
0.023,0.12,0.070,0.012,False,1.6100003969013869335936766680
0.011,0.02,0.046,0.017,True,1.6094815525689404182803987546
0.015,0.02,0.050,0.018,True,1.6078579432751079831532875889
0.011,0.04,0.046,0.013,True,1.6077930185904070864675023929
0.023,0.26,0.045,0.004,False,1.6053149479982251220889456776
0.022,0.15,0.070,0.010,False,1.6049431295127614593120096975
0.023,0.26,0.044,0.003,False,1.6049294492353191666496185469
0.017,0.29,0.041,0.016,False,1.6035132970944420526283957560
0.010,0,0.032,0.004,False,1.6031652159376899893704491175
0.024,0.26,0.049,0.003,False,1.5994659637748108723354506213
0.023,0.12,0.070,0.011,False,1.5981368893427082340368606032
0.023,0.24,0.045,0.003,False,1.5980262684268549994819669641
0.024,0.26,0.049,0.002,False,1.5965246300909647621551084268
0.023,0.26,0.046,0.003,False,1.5936104056576917522473604059
0.024,0.26,0.047,0.002,False,1.5932340615347128454373956154
0.024,0.16,0.069,0.010,False,1.5926650621474526656071632717
0.015,0.04,0.068,0.003,False,1.5889894533600439000884641843
0.017,0.30,0.042,0.016,False,1.5870783010440676553818273807
0.015,0.01,0.057,0.014,True,1.5864226148488855369828549559
