StopLoss,StopProfit,StartProfit,OpenCriteria,FollowTrend,Result
0.033,0.01,0.073,0.038,False,1.7170456075681706754425312901
0.015,0,0.050,0.018,True,1.7078620812837045849554764394
0.033,0.01,0.072,0.038,False,1.6994585312252969113720509515
0.015,0,0.079,0.011,False,1.6644770408398299409972816106
0.034,0.01,0.072,0.038,False,1.6544425265161978525894310723
0.034,0.01,0.072,0.037,False,1.6479066931888887073804458633
0.034,0.01,0.071,0.032,False,1.6478638424932569947925758963
0.034,0.01,0.071,0.031,False,1.6420754369258748277308152055
0.038,0.02,0.068,0.009,True,1.6363245604904815410393542744
0.015,0,0.049,0.018,True,1.6358561244703505402439715119
0.011,0,0.048,0.017,True,1.6346630253701197511613498578
0.019,0.01,0.072,0.012,False,1.6281816442991589034303705724
0.020,0,0.044,0.002,False,1.6201501899723649655888363442
0.010,0,0.048,0.017,True,1.6131181997952834667835481341
0.011,0,0.047,0.017,True,1.5886451147735863101298335744
0.035,0.01,0.071,0.031,False,1.5886200367962318328794504181
0.016,0,0.052,0.002,False,1.5668767554329403006502118465
0.033,0.01,0.073,0.031,False,1.5570470887799265393077583464
0.033,0.01,0.072,0.031,False,1.5570470887799265393077583464
0.033,0.02,0.073,0.038,False,1.5501742778167544957299613511
0.033,0.01,0.073,0.032,False,1.5488925528704256708972822920
0.034,0,0.072,0.037,False,1.5454683022076973541158070403
0.015,0,0.044,0.017,True,1.5407169697207632254762355461
0.021,0,0.044,0.002,False,1.5396761086122391615446772069
0.033,0,0.073,0.038,False,1.5332328182045806608643374683
0.033,0.02,0.072,0.038,False,1.5325872014738807316594810125
0.010,0,0.045,0.017,False,1.5273858100669382087399599371
0.011,0,0.044,0.018,False,1.5157924025280871693844204262
0.033,0,0.072,0.038,False,1.5156457418617068967938571297
0.015,0,0.052,0.018,True,1.5148391983013050892455540593
0.020,0.01,0.071,0.011,False,1.5146593011763446032260131097
0.035,0.01,0.071,0.032,False,1.5109038301459986557666895489
0.011,0,0.051,0.017,True,1.5095979307842803943271546164
0.010,0,0.045,0.018,False,1.5091859044408987213803811511
0.034,0.01,0.072,0.031,False,1.5040483089327359192791242488
0.010,0,0.047,0.017,True,1.5040208997763905443179425859
