StopLoss,StopProfit,StartProfit,OpenCriteria,FollowTrend,Result
0.014,0.03,0.068,0.030,False,0.5920719136805748477605210424
0.014,0.03,0.069,0.030,False,0.5920719136805748477605210424
0.014,0.02,0.070,0.030,False,0.5915263584674247393678317682
0.014,0.03,0.068,0.029,False,0.5909727137016088132326824431
0.014,0.03,0.069,0.029,False,0.5909727137016088132326824431
0.014,0.02,0.070,0.029,False,0.5904271584884587048399931689
0.014,0.03,0.068,0.028,False,0.5902385114959874129535954541
0.014,0.03,0.069,0.028,False,0.5902385114959874129535954541
0.014,0.02,0.070,0.028,False,0.5896929562828373045609061799
0.014,0.03,0.068,0.027,False,0.5891350984111023774766917322
0.014,0.03,0.069,0.027,False,0.5891350984111023774766917322
0.014,0.03,0.068,0.026,False,0.5883980793950480324610604886
0.014,0.03,0.069,0.026,False,0.5883980793950480324610604886
0.015,0.03,0.068,0.030,False,0.5871742677693577722540489827
0.015,0.03,0.069,0.030,False,0.5871742677693577722540489827
0.015,0.02,0.070,0.030,False,0.5866319082895474000589831938
0.014,0.03,0.070,0.030,False,0.5861465671941824777504188930
0.015,0.03,0.068,0.029,False,0.5860750677903917377262103834
0.015,0.03,0.069,0.029,False,0.5860750677903917377262103834
0.014,0.04,0.068,0.030,False,0.5859394865778428582439829199
0.014,0.04,0.069,0.030,False,0.5859394865778428582439829199
0.015,0.02,0.070,0.029,False,0.5855327083105813655311445945
0.015,0.03,0.068,0.028,False,0.5853408655847703374471233944
0.015,0.03,0.069,0.028,False,0.5853408655847703374471233944
0.014,0.03,0.070,0.029,False,0.5850473672152164432225802937
0.014,0.04,0.068,0.029,False,0.5848402865988768237161443206
0.014,0.04,0.069,0.029,False,0.5848402865988768237161443206
0.015,0.02,0.070,0.028,False,0.5847985061049599652520576055
0.014,0.03,0.070,0.028,False,0.5843131650095950429434933047
0.015,0.03,0.068,0.027,False,0.5842374524998853019702196725
0.015,0.03,0.069,0.027,False,0.5842374524998853019702196725
0.014,0.04,0.068,0.028,False,0.5841060843932554234370573316
0.014,0.04,0.069,0.028,False,0.5841060843932554234370573316
0.015,0.03,0.068,0.026,False,0.5835004334838309569545884289
0.015,0.03,0.069,0.026,False,0.5835004334838309569545884289
0.014,0.04,0.068,0.027,False,0.5830026713083703879601536097
0.014,0.04,0.069,0.027,False,0.5830026713083703879601536097
0.014,0.04,0.068,0.026,False,0.5822656522923160429445223661
0.014,0.04,0.069,0.026,False,0.5822656522923160429445223661
0.014,0.04,0.070,0.030,False,0.5817090061216733782603830253
0.015,0.03,0.070,0.030,False,0.5812489212829654022439468333
0.015,0.04,0.068,0.030,False,0.5810399137634400303256244117
0.015,0.04,0.069,0.030,False,0.5810399137634400303256244117
0.016,0.03,0.068,0.030,False,0.5807298866179603558555120213
0.016,0.03,0.069,0.030,False,0.5807298866179603558555120213
0.014,0.05,0.068,0.030,False,0.5806349064519934009942494368
0.014,0.05,0.069,0.030,False,0.5806349064519934009942494368
0.014,0.04,0.070,0.029,False,0.5806098061427073437325444260
0.016,0.02,0.070,0.030,False,0.5801923192085188853705170871
0.015,0.03,0.070,0.029,False,0.5801497213039993677161082340
0.015,0.04,0.068,0.029,False,0.5799407137844739957977858124
0.015,0.04,0.069,0.029,False,0.5799407137844739957977858124
0.014,0.04,0.070,0.028,False,0.5798756039370859434534574370
0.016,0.03,0.068,0.029,False,0.5796306866389943213276734220
0.016,0.03,0.069,0.029,False,0.5796306866389943213276734220
0.014,0.05,0.068,0.029,False,0.5795357064730273664664108375
0.014,0.05,0.069,0.029,False,0.5795357064730273664664108375
0.015,0.03,0.070,0.028,False,0.5794155190983779674370212450
0.015,0.04,0.068,0.028,False,0.5792065115788525955186988234
0.015,0.04,0.069,0.028,False,0.5792065115788525955186988234
0.016,0.02,0.070,0.029,False,0.5790931192295528508426784878
0.016,0.03,0.068,0.028,False,0.5788964844333729210485864330
0.016,0.03,0.069,0.028,False,0.5788964844333729210485864330
0.014,0.05,0.068,0.028,False,0.5788015042674059661873238485
0.014,0.05,0.069,0.028,False,0.5788015042674059661873238485
0.016,0.02,0.070,0.028,False,0.5783589170239314505635914988
0.015,0.04,0.068,0.027,False,0.5781030984939675600417951015
0.015,0.04,0.069,0.027,False,0.5781030984939675600417951015
0.016,0.03,0.068,0.027,False,0.5777930713484878855716827111
0.016,0.03,0.069,0.027,False,0.5777930713484878855716827111
0.014,0.05,0.068,0.027,False,0.5776980911825209307104201266
0.014,0.05,0.069,0.027,False,0.5776980911825209307104201266
0.015,0.04,0.068,0.026,False,0.5773660794779132150261638579
0.015,0.04,0.069,0.026,False,0.5773660794779132150261638579
0.014,0.05,0.070,0.030,False,0.5772512850748908440152340553
0.016,0.03,0.068,0.026,False,0.5770560523324335405560514675
0.016,0.03,0.069,0.026,False,0.5770560523324335405560514675
0.014,0.05,0.068,0.026,False,0.5769610721664665856947888830
0.014,0.05,0.069,0.026,False,0.5769610721664665856947888830
0.015,0.04,0.070,0.030,False,0.5768094333072705503420245171
0.014,0.05,0.070,0.029,False,0.5761520850959248094873954560
0.017,0.03,0.068,0.030,False,0.5758435880907083798443117085
0.017,0.03,0.069,0.030,False,0.5758435880907083798443117085
0.015,0.05,0.068,0.030,False,0.5757324595272105415020610142
0.015,0.05,0.069,0.030,False,0.5757324595272105415020610142
0.015,0.04,0.070,0.029,False,0.5757102333283045158141859178
0.014,0.05,0.070,0.028,False,0.5754178828903034092083084670
0.015,0.04,0.070,0.028,False,0.5749760311226831155350989288
0.016,0.03,0.070,0.030,False,0.5748045401315679858454098719
