StopLoss,StopProfit,StartProfit,OpenCriteria,FollowTrend,Result
0.008,0.19,0.101,0.019,False,0.2566473559087988104678413125
0.008,0.18,0.101,0.019,False,0.2566473559087988104678413125
0.008,0.18,0.102,0.019,False,0.2566473559087988104678413125
0.008,0.19,0.102,0.019,False,0.2566473559087988104678413125
0.008,0.19,0.103,0.019,False,0.2566473559087988104678413125
0.008,0.18,0.103,0.019,False,0.2566473559087988104678413125
0.008,0.19,0.104,0.019,False,0.2566473559087988104678413125
0.008,0.18,0.104,0.019,False,0.2566473559087988104678413125
0.008,0.19,0.105,0.019,False,0.2566473559087988104678413125
0.008,0.18,0.105,0.019,False,0.2566473559087988104678413125
0.008,0.19,0.106,0.019,False,0.2566473559087988104678413125
0.008,0.18,0.106,0.019,False,0.2566473559087988104678413125
0.008,0.19,0.107,0.019,False,0.2566473559087988104678413125
0.008,0.18,0.107,0.019,False,0.2566473559087988104678413125
0.008,0.19,0.108,0.019,False,0.2566473559087988104678413125
0.008,0.18,0.108,0.019,False,0.2566473559087988104678413125
0.008,0.19,0.109,0.019,False,0.2566473559087988104678413125
0.008,0.18,0.109,0.019,False,0.2566473559087988104678413125
0.008,0.19,0.110,0.019,False,0.2566473559087988104678413125
0.008,0.18,0.110,0.019,False,0.2566473559087988104678413125
0.008,0.20,0.101,0.019,False,0.2559013229244417176677928518
0.008,0.20,0.102,0.019,False,0.2559013229244417176677928518
0.008,0.20,0.103,0.019,False,0.2559013229244417176677928518
0.008,0.20,0.104,0.019,False,0.2559013229244417176677928518
0.008,0.20,0.105,0.019,False,0.2559013229244417176677928518
0.008,0.20,0.106,0.019,False,0.2559013229244417176677928518
0.008,0.20,0.107,0.019,False,0.2559013229244417176677928518
0.008,0.20,0.108,0.019,False,0.2559013229244417176677928518
0.008,0.20,0.109,0.019,False,0.2559013229244417176677928518
0.008,0.20,0.110,0.019,False,0.2559013229244417176677928518
0.009,0.19,0.102,0.022,False,0.2527303723893949528217256348
0.009,0.19,0.103,0.022,False,0.2527303723893949528217256348
0.009,0.19,0.104,0.022,False,0.2527303723893949528217256348
0.009,0.19,0.105,0.022,False,0.2527303723893949528217256348
0.009,0.19,0.106,0.022,False,0.2527303723893949528217256348
0.009,0.19,0.107,0.022,False,0.2527303723893949528217256348
0.009,0.19,0.108,0.022,False,0.2527303723893949528217256348
0.009,0.19,0.109,0.022,False,0.2527303723893949528217256348
0.009,0.19,0.110,0.022,False,0.2527303723893949528217256348
0.004,0.07,0.108,0.012,True,0.2518545613731268264055145603
0.004,0.08,0.108,0.012,True,0.2518545613731268264055145603
0.004,0.09,0.108,0.012,True,0.2518545613731268264055145603
0.004,0.10,0.108,0.012,True,0.2518545613731268264055145603
0.004,0.14,0.108,0.012,True,0.2518545613731268264055145603
0.004,0.11,0.108,0.012,True,0.2518545613731268264055145603
0.004,0.12,0.108,0.012,True,0.2518545613731268264055145603
0.004,0.13,0.108,0.012,True,0.2518545613731268264055145603
0.004,0.13,0.109,0.012,True,0.2518545613731268264055145603
0.004,0.07,0.109,0.012,True,0.2518545613731268264055145603
0.004,0.14,0.109,0.012,True,0.2518545613731268264055145603
0.004,0.08,0.109,0.012,True,0.2518545613731268264055145603
0.004,0.09,0.109,0.012,True,0.2518545613731268264055145603
0.004,0.10,0.109,0.012,True,0.2518545613731268264055145603
0.004,0.12,0.109,0.012,True,0.2518545613731268264055145603
