StopLoss,StopProfit,StartProfit,OpenCriteria,FollowTrend,Result
0.016,0.01,0.02,0.007,True,0.9126067916595074734926589655
0.013,0,0.02,0.017,False,0.9006174908816548646252952728
0.017,0.02,0.02,0.007,True,0.8818096801652810861831259836
0.017,0.01,0.02,0.007,True,0.8654218165259076909411092364
0.017,0.03,0.02,0.007,True,0.8584456440436056381484880338
0.012,0,0.02,0.018,False,0.8342309361891984938840414072
0.018,0.23,0.02,0.003,False,0.8197889898394781079225481924
0.013,0,0.02,0.018,False,0.8043739298074431673975216317
0.017,0.04,0.02,0.007,True,0.7944534388847487515565624717
0.018,0.24,0.02,0.003,False,0.7942710191426926516556111329
0.019,0.26,0.02,0.003,False,0.7829536650031629433310343290
0.016,0.02,0.02,0.007,True,0.7808518119365714533874264752
0.019,0.26,0.02,0.039,False,0.7779571354291807793670739254
0.019,0.26,0.02,0.038,False,0.7770373824865169782904814935
0.019,0.26,0.02,0.040,False,0.7733518581659391854186060592
0,0.30,0.02,0.013,True,0.7711544420400622252220044745
0.018,0.26,0.02,0.003,False,0.7695336040283105772851024698
0.016,0.23,0.02,0.003,False,0.7685937888381037528898285889
0.014,0.04,0.02,0.010,True,0.7655693981745280293190114693
0.016,0.04,0.02,0.007,True,0.7637024965934766486301368851
0.019,0.26,0.02,0.036,False,0.7632885674837682957776162104
0.019,0.26,0.02,0.035,False,0.7619008836124025857693161404
0.019,0.26,0.02,0.037,False,0.7609488896583657641813820037
0.016,0.03,0.02,0.007,True,0.7577857529391125650147288692
0.019,0.26,0.02,0.034,False,0.7496173631481790696139326348
0.013,0.01,0.02,0.017,False,0.7472094787245076567252983659
0.020,0.26,0.02,0.038,False,0.7430851461940121199896920850
0.018,0.28,0.02,0.003,False,0.7412735921065289685511480493
0.020,0.26,0.02,0.003,False,0.7396301445593181048644549495
0.018,0.25,0.02,0.003,False,0.7380146944529229305297114975
0.014,0.02,0.02,0.018,False,0.7366511489553805692735117505
0.015,0.05,0.02,0.037,False,0.7362364482153679326153142388
0.016,0,0.02,0.008,False,0.7324535781032679372876355678
0.013,0,0.02,0.020,False,0.7304804728001769755367920369
0.017,0.28,0.02,0.003,False,0.7255736174688606495455092089
0.018,0,0.02,0.039,False,0.7238661304116936624883011656
0.020,0.26,0.02,0.037,False,0.7233034816287560048432287684
0.015,0.05,0.02,0.010,True,0.7232258166287653118164707593
0.019,0.28,0.02,0.003,False,0.7210984430566189605493832296
0.020,0.26,0.02,0.035,False,0.7208254482722706866904173410
0.018,0,0.02,0.040,False,0.7206479356910924623082733029
0.018,0,0.02,0.038,False,0.7172393864728130320932642745
0.001,0.29,0.02,0.012,True,0.7171161382285345918667832731
0.016,0.01,0.02,0.006,True,0.7152898705068105165564373746
0.017,0,0.02,0.003,False,0.7148794086586493835580313615
0.020,0.26,0.02,0.036,False,0.7125092668591543438001492100
0.016,0.26,0.02,0.034,False,0.7098415883117464497748613148
0.017,0.05,0.02,0.007,True,0.7050168227966613123855472621
0.011,0,0.02,0.018,False,0.7048080610195076086580834579
0.015,0.06,0.02,0.037,False,0.7046338739527731638891164812
0.018,0.27,0.02,0.003,False,0.7023566302691143330427030967
0.012,0,0.02,0.017,False,0.7003287254632957344318986409
0.019,0.26,0.02,0.027,False,0.6994565601256925947836437422
0.016,0.01,0.02,0.008,False,0.6984535278173276771380751725
0.019,0.27,0.02,0.040,False,0.6977647402256609094763924041
0.019,0.27,0.02,0.039,False,0.6965392582163454647659691266
0.016,0,0.02,0.010,False,0.6959885752787640705431826262
0.020,0.26,0.02,0.034,False,0.6956356076620099474101329050
0.015,0.04,0.02,0.037,False,0.6943754099868802844072134429
0.015,0.05,0.02,0.040,False,0.6903042208500366118194181501
0.018,0,0.02,0.037,False,0.6902273244676272161014719986
0.016,0.01,0.02,0.008,True,0.6897026487070392795129875310
0.016,0.26,0.02,0.037,False,0.6877415472530662827916747611
0,0.24,0.02,0.018,False,0.6859092509920883134731499623
0.015,0.05,0.02,0.039,False,0.6857189341313814123149996495
0.012,0.08,0.02,0.018,False,0.6850033328801609922403309826
0.017,0.01,0.02,0.003,False,0.6817538162267371855014303989
0.019,0.27,0.02,0.038,False,0.6816232258060610145492882643
0.013,0.20,0.02,0.019,False,0.6802385294743968992832314575
0.037,0.03,0.02,0.019,True,0.6801893497400261416237041037
0.017,0.23,0.02,0.003,False,0.6800139350929660235021834630
0.018,0.26,0.02,0.034,False,0.6792209748687689668558815351
0,0.23,0.02,0.012,True,0.6790229499285049063865874258
0.013,0.02,0.02,0.018,False,0.6788075429488771073099571205
0.016,0.05,0.02,0.007,True,0.6766285864409782684581379692
0.014,0.03,0.02,0.018,False,0.6755771642857489872012646349
0.017,0.02,0.02,0.008,True,0.6749826108959882593782343177
0.013,0,0.02,0.037,False,0.6747267988047134305496242994
0.019,0.26,0.02,0.026,False,0.6720301750230976943297824801
0.019,0.29,0.02,0.003,False,0.6720223747567062553757224821
0.001,0.29,0.02,0.011,True,0.6714586121513420399186161620
0.014,0.01,0.02,0.040,False,0.6699036548080377464740675411
0.015,0.05,0.02,0.038,False,0.6695652418911530453042343924
0.037,0.03,0.02,0.020,True,0.6694484246459413507219831289
