StopLoss,StopProfit,StartProfit,OpenCriteria,FollowTrend,Result
0.016,0,0.02,0.007,False,0.7458768236820817058436664377
0.008,0,0.02,0.018,False,0.7433417380139682744312831711
0.008,0.01,0.02,0.018,False,0.7341324923983587442304907035
0.016,0.13,0.02,0.007,False,0.7326878259066520386701721611
0.016,0.01,0.02,0.007,False,0.7320466035905550911657739922
0.016,0,0.02,0.008,False,0.7297331926613675363028678222
0.016,0.09,0.02,0.007,False,0.7270257752425767553995670617
0.008,0.02,0.02,0.018,False,0.7259703501630861085613657988
0.016,0.01,0.02,0.008,False,0.7159215803635497069503699283
0.008,0.12,0.02,0.004,False,0.7123966620851576481432187132
0.008,0.11,0.02,0.004,False,0.7084825251177678433915275380
0.016,0.10,0.02,0.007,False,0.7069324964025529359588026411
0.016,0.02,0.02,0.007,False,0.6998150962227310667975075750
0.016,0.09,0.02,0.009,False,0.6951510598540610747548179486
0.016,0.09,0.02,0.008,False,0.6870292847504940260435006126
0.016,0.02,0.02,0.008,False,0.6832702775250166923950573955
0.008,0.15,0.02,0.004,False,0.6798658763646323650810142496
0.016,0.12,0.02,0.007,False,0.6753591087736454596847973846
0.008,0.14,0.02,0.004,False,0.6733039596113916923574403977
0.016,0.13,0.02,0.009,False,0.6673592714802108212710575879
0.016,0.13,0.02,0.008,False,0.6672101336350176139445827510
0.008,0.05,0.02,0.018,False,0.6601749306109122349865361492
0.008,0.03,0.02,0.018,False,0.6553637293753652841435739683
0.008,0.06,0.02,0.018,False,0.6550508407563977160942775570
0.015,0.30,0.02,0.015,False,0.6512139437684548958717778392
0.008,0.16,0.02,0.004,False,0.6494725175911027242434034625
0,0,0.02,0.004,False,0.6491056529651632756757298348
0.021,0.21,0.02,0.004,False,0.6467560346608795432372758117
0.008,0.04,0.02,0.018,False,0.6465870410087402108736325261
0.016,0,0.02,0.009,False,0.6463179011546642881636344541
0.013,0.29,0.02,0.015,False,0.6430917759337444529923648669
0,0.11,0.02,0.004,False,0.6421481110607724475351669649
0.008,0.13,0.02,0.004,False,0.6405434333801562991286766124
0.008,0.07,0.02,0.018,False,0.6403825435357663515887024001
0.008,0.10,0.02,0.018,False,0.6400444821903246783196225480
0.008,0.10,0.02,0.004,False,0.6397962851820320032979528751
0.008,0.07,0.02,0.015,True,0.6386894831523466051316322396
0.008,0.08,0.02,0.004,False,0.6360572975328974745374709672
0.021,0.19,0.02,0.004,False,0.6354605514666601377390618614
0.008,0.08,0.02,0.018,False,0.6339579390480813561778775268
0.016,0.10,0.02,0.009,False,0.6326858294913697837573321766
0.016,0.06,0.02,0.007,False,0.6316298202238454482150552142
0.008,0.09,0.02,0.004,False,0.6312506933847405693845767103
0.016,0.01,0.02,0.009,False,0.6311977589246904426388233813
0.021,0.20,0.02,0.004,False,0.6303122228294156596754859077
0.016,0.10,0.02,0.008,False,0.6257098634087375390118970393
0.008,0.09,0.02,0.018,False,0.6242478422834073910281433113
0.013,0.29,0.02,0.014,False,0.6227701507710493087956873102
0.016,0.08,0.02,0.007,False,0.6129131032409052658597037815
0.012,0.28,0.02,0.015,False,0.6125066284106372300551567933
0.016,0.08,0.02,0.009,False,0.6107008099775524774957081480
0.016,0.11,0.02,0.007,False,0.6078369438751939569482159017
0.013,0.28,0.02,0.014,False,0.6013513618904311636576406424
0.016,0.07,0.02,0.007,False,0.6012774129375531506110560843
0.008,0.02,0.02,0.003,False,0.5998741481887692786242089049
0.008,0.06,0.02,0.004,False,0.5939803244864098765426748095
0.022,0.19,0.02,0.004,False,0.5928909167153264852514573588
0.016,0.02,0.02,0.009,False,0.5902481805084486464733574200
0.008,0,0.02,0.010,False,0.5877958053912597279471926115
0.022,0.28,0.02,0.008,False,0.5860314678049218548041345499
0.016,0.06,0.02,0.009,False,0.5854723281489251665008513705
0.013,0.27,0.02,0.014,False,0.5849561723757258614753355020
0.016,0.30,0.02,0.015,False,0.5828335518723513086070272474
0.022,0.18,0.02,0.004,False,0.5792363137787629269620947169
0.008,0.06,0.02,0.015,True,0.5790685829569663127743550673
0.016,0.12,0.02,0.008,False,0.5790606535988228415035963352
0.016,0.08,0.02,0.008,False,0.5760778889029739664983754783
0.008,0.01,0.02,0.010,False,0.5759057354565020125746167775
0.010,0.01,0.02,0.037,False,0.5749293978058406386068118018
0.012,0.27,0.02,0.015,False,0.5737681152205414492604326886
0.015,0,0.02,0.008,False,0.5734633691442283040812939547
0.013,0.30,0.02,0.014,False,0.5731948449275620952567393185
0.022,0.23,0.02,0.004,False,0.5717748520250998662516723183
0.010,0.02,0.02,0.037,False,0.5703831795254261851854477827
0.023,0.22,0.02,0.008,False,0.5700102600995490355997140870
0,0.12,0.02,0.004,False,0.5699105667385469009938137754
0.010,0.03,0.02,0.037,False,0.5680923494217653061401306902
0.008,0,0.02,0.003,False,0.5671921427842070729712990230
0.010,0,0.02,0.037,False,0.5659312432416050321688177566
0.018,0.24,0.02,0.037,False,0.5656575686466148901256721759
0.008,0.02,0.02,0.004,False,0.5656384694583340219533711856
0.008,0.02,0.02,0.010,False,0.5653043424661721208148796451
0.010,0.04,0.02,0.037,False,0.5621274653005723164755968682
0.016,0.30,0.02,0.014,False,0.5612452264448616911569784705
0.016,0.14,0.02,0.007,False,0.5602430439299472754292824082
0.021,0.17,0.02,0.004,False,0.5590055118895252590796617443
0.010,0,0.02,0.038,False,0.5580556689273708856979641724
0.021,0.24,0.02,0.004,False,0.5577948355922018266887493453
0.008,0.10,0.02,0.010,False,0.5570702420584471183083009510
0.016,0.03,0.02,0.007,False,0.5565306802661579106118240773
0.016,0.05,0.02,0.007,False,0.5560249423814440602085686332
0.008,0.01,0.02,0.003,False,0.5558666457532985707270183000
0.016,0.07,0.02,0.009,False,0.5541942309539795456397262998
0.016,0.06,0.02,0.008,False,0.5537704488251707010772294678
0.010,0.01,0.02,0.038,False,0.5534425384636530957618430577
0.008,0.07,0.02,0.004,False,0.5531440773011285886842918819
0.017,0,0.02,0.007,False,0.5515222189629442078602079690
0.013,0.30,0.02,0.015,False,0.5502317715780066704983345104
0.010,0.02,0.02,0.038,False,0.5493359722376879486399233330
0.016,0.04,0.02,0.007,False,0.5488407441402960511678959262
