StopLoss,StopProfit,StartProfit,OpenCriteria,FollowTrend,Result
0.014,0.07,0.137,0.017,False,1.1343344211971398026724328474
0.014,0.07,0.138,0.017,False,1.1343344211971398026724328474
0.014,0.07,0.133,0.017,False,1.1328021992213312160021862656
0.014,0.07,0.134,0.017,False,1.1328021992213312160021862656
0.014,0.07,0.135,0.017,False,1.1328021992213312160021862656
0.014,0.07,0.136,0.017,False,1.1328021992213312160021862656
0.017,0.06,0.133,0.016,False,1.0831417258527850544649517964
0.017,0.06,0.134,0.016,False,1.0831417258527850544649517964
0.017,0.06,0.135,0.016,False,1.0831417258527850544649517964
0.017,0.06,0.136,0.016,False,1.0831417258527850544649517964
0.017,0.06,0.137,0.016,False,1.0831417258527850544649517964
0.017,0.06,0.138,0.016,False,1.0831417258527850544649517964
0.017,0.06,0.139,0.016,False,1.0831417258527850544649517964
0.017,0.06,0.140,0.016,False,1.0831417258527850544649517964
0.017,0.07,0.133,0.016,False,1.0669787295327679378291567066
0.017,0.07,0.134,0.016,False,1.0669787295327679378291567066
0.017,0.07,0.135,0.016,False,1.0669787295327679378291567066
0.017,0.07,0.136,0.016,False,1.0669787295327679378291567066
0.017,0.07,0.137,0.016,False,1.0669787295327679378291567066
0.017,0.07,0.138,0.016,False,1.0669787295327679378291567066
0.017,0.07,0.139,0.016,False,1.0669787295327679378291567066
0.017,0.07,0.140,0.016,False,1.0669787295327679378291567066
0.015,0.05,0.134,0.017,False,1.0407845953233384906751415206
0.015,0.05,0.135,0.017,False,1.0407845953233384906751415206
0.015,0.05,0.136,0.017,False,1.0407845953233384906751415206
0.015,0.05,0.137,0.017,False,1.0407845953233384906751415206
0.015,0.05,0.138,0.017,False,1.0407845953233384906751415206
0.015,0.05,0.139,0.017,False,1.0407845953233384906751415206
0.015,0.05,0.140,0.017,False,1.0407845953233384906751415206
0.015,0.05,0.133,0.016,False,1.0373335698752278075025911757
0.015,0.05,0.134,0.016,False,1.0373335698752278075025911757
0.015,0.05,0.135,0.016,False,1.0373335698752278075025911757
0.015,0.05,0.136,0.016,False,1.0373335698752278075025911757
0.015,0.05,0.137,0.016,False,1.0373335698752278075025911757
0.015,0.05,0.138,0.016,False,1.0373335698752278075025911757
0.015,0.05,0.139,0.016,False,1.0373335698752278075025911757
0.015,0.05,0.140,0.016,False,1.0373335698752278075025911757
0.015,0.07,0.133,0.017,False,1.0330996745378209824871886793
0.015,0.07,0.134,0.017,False,1.0330996745378209824871886793
0.015,0.07,0.135,0.017,False,1.0330996745378209824871886793
0.015,0.07,0.136,0.017,False,1.0330996745378209824871886793
0.015,0.07,0.137,0.017,False,1.0330996745378209824871886793
0.015,0.07,0.138,0.017,False,1.0330996745378209824871886793
0.015,0.07,0.139,0.017,False,1.0330996745378209824871886793
0.015,0.07,0.140,0.017,False,1.0330996745378209824871886793
0.015,0.07,0.133,0.016,False,1.0292915232973259755760033066
