StopLoss,StopProfit,StartProfit,OpenCriteria,FollowTrend,Result
0.014,0.05,0.158,0.017,False,1.6177873668446846400797170636
0.002,0.08,0.155,0.014,False,1.4186112332908397233680790545
0.002,0.08,0.156,0.014,False,1.4186112332908397233680790545
0.002,0.08,0.157,0.014,False,1.4186112332908397233680790545
0.002,0.08,0.153,0.014,False,1.3778050218988933157953618713
0.002,0.08,0.154,0.014,False,1.3778050218988933157953618713
0.018,0.08,0.153,0.013,False,1.3657289686001201645666196291
0.002,0,0.152,0.015,False,1.3601550865982235060681698757
0,0,0.154,0.014,False,1.3450061507162222101542592270
0,0,0.155,0.014,False,1.3450061507162222101542592270
0,0,0.156,0.014,False,1.3450061507162222101542592270
0.002,0,0.153,0.015,False,1.3440413046814359539251918976
0,0,0.158,0.014,False,1.3420521371080356347794579358
0.002,0.01,0.152,0.015,False,1.3382996832279649716923524733
0,0,0.157,0.014,False,1.3374752730899598377079170667
0,0,0.153,0.014,False,1.3331829474192218109513833436
0,0.02,0.153,0.014,False,1.3314416415129522090553239850
0,0.02,0.154,0.014,False,1.3314416415129522090553239850
0,0.02,0.155,0.014,False,1.3314416415129522090553239850
0,0.02,0.156,0.014,False,1.3314416415129522090553239850
0.019,0.08,0.153,0.013,False,1.3302727678526956827032432481
0.007,0.05,0.158,0.017,False,1.3282395819114877618119423877
0.007,0.05,0.159,0.017,False,1.3282395819114877618119423877
0.002,0.02,0.152,0.015,False,1.3261798639348283941444545623
0.002,0.02,0.153,0.015,False,1.3261798639348283941444545623
0,0.01,0.154,0.014,False,1.3247775013639953206682128080
0,0.01,0.155,0.014,False,1.3247775013639953206682128080
0,0.01,0.156,0.014,False,1.3247775013639953206682128080
0,0,0.157,0.015,False,1.3245618958801188290462441910
0,0,0.158,0.015,False,1.3245618958801188290462441910
0.002,0.05,0.151,0.015,False,1.3243188461568010579584466040
0.002,0.05,0.152,0.015,False,1.3243188461568010579584466040
0.002,0.05,0.153,0.015,False,1.3243188461568010579584466040
0.002,0.01,0.153,0.015,False,1.3239426889527955520209691337
0,0.01,0.153,0.014,False,1.3129542980669949214653369246
0.002,0.02,0.151,0.015,False,1.3123872219340564577906091376
0.002,0.03,0.151,0.015,False,1.3120278839696114623827762301
0.002,0.03,0.152,0.015,False,1.3120278839696114623827762301
0.002,0.03,0.153,0.015,False,1.3120278839696114623827762301
0.002,0,0.151,0.015,False,1.3074952177949229501227478508
0.016,0.08,0.155,0.016,False,1.3066638357423040790367750963
0,0.02,0.157,0.014,False,1.3052046747137286064065559404
0,0.01,0.158,0.014,False,1.3049211792426084561375692374
0.002,0.04,0.151,0.015,False,1.3036415284080830996522426323
0.002,0.04,0.152,0.015,False,1.3036415284080830996522426323
0.002,0.04,0.153,0.015,False,1.3036415284080830996522426323
0,0.02,0.158,0.014,False,1.3029653557900774114518015918
0,0.03,0.153,0.014,False,1.3007966467275532616589714262
0,0.03,0.154,0.014,False,1.3007966467275532616589714262
0,0.03,0.155,0.014,False,1.3007966467275532616589714262
0,0.03,0.156,0.014,False,1.3007966467275532616589714262
0.002,0.06,0.151,0.015,False,1.3003359872431786498760503545
0.002,0.06,0.152,0.015,False,1.3003359872431786498760503545
0.002,0.06,0.153,0.015,False,1.3003359872431786498760503545
0,0.01,0.157,0.014,False,1.2985859348719862824645381206
0.005,0.05,0.158,0.015,False,1.2972873583418652718005583393
0.005,0.05,0.159,0.015,False,1.2972873583418652718005583393
0.002,0.07,0.151,0.015,False,1.2880297174860061035086007395
0.002,0.07,0.152,0.015,False,1.2880297174860061035086007395
0.002,0.07,0.153,0.015,False,1.2880297174860061035086007395
0.002,0.01,0.151,0.015,False,1.2872288419967984587823270737
0,0.03,0.159,0.014,False,1.2867229435728045527957805626
0,0.03,0.160,0.014,False,1.2867229435728045527957805626
0.017,0.08,0.155,0.016,False,1.2801569759551587182029478595
0,0.03,0.157,0.014,False,1.2744567198893455675426103174
0.002,0.08,0.154,0.015,False,1.2741699551820551774501719569
0,0.03,0.158,0.014,False,1.2653164079142459039317683213
0.002,0,0.154,0.015,False,1.2649429895414602665610383132
0.002,0,0.155,0.015,False,1.2649429895414602665610383132
