StopLoss,StopProfit,StartProfit,OpenCriteria,FollowTrend,Result
0.034,0,0.098,0.036,False,1.0399905761771131792764142254
0.035,0,0.098,0.036,False,1.0076663514308490455347922464
0.035,0,0.097,0.035,False,1.0049439052425396833577757865
0.014,0.01,0.091,0.040,False,0.9971582792455078012272853568
0.036,0,0.100,0.001,True,0.9942680545873663366934589829
0.014,0.02,0.091,0.040,False,0.9918878614675568715481352611
0.017,0.01,0.100,0.038,False,0.9910986248272022975635643000
0.016,0.01,0.100,0.038,False,0.9786478262442268891861878467
0.028,0.20,0.091,0.006,False,0.9558392488731114151261909901
0.018,0.01,0.100,0.038,False,0.9552784073087951570827103490
0.014,0.12,0.091,0.040,False,0.9432658441443794415202821544
0.028,0.21,0.091,0.006,False,0.9395130741834465900373395682
0.014,0.13,0.091,0.040,False,0.9389675471805077688789846089
0.014,0.10,0.091,0.040,False,0.9385111022959927059646590545
0.014,0.11,0.091,0.040,False,0.9378213262857574120941799868
0.014,0.05,0.091,0.040,False,0.9377747832032300094143452001
0.014,0.06,0.091,0.040,False,0.9363427802079917373318279966
0.014,0.03,0.091,0.040,False,0.9335315297720165419887363746
0.027,0.24,0.091,0.040,False,0.9332837637561877784168217117
0.027,0.24,0.092,0.040,False,0.9332837637561877784168217117
0.027,0.24,0.093,0.040,False,0.9332837637561877784168217117
0.027,0.24,0.094,0.040,False,0.9332837637561877784168217117
0.027,0.24,0.095,0.040,False,0.9332837637561877784168217117
0.014,0.04,0.091,0.040,False,0.9309010568552173379146404748
0.014,0.01,0.100,0.024,False,0.9259105980010003702404647461
0.017,0.01,0.098,0.040,False,0.9251608462228057075887215215
0.017,0.01,0.099,0.040,False,0.9251608462228057075887215215
0.017,0.01,0.098,0.039,False,0.9216775959893133921159525000
0.017,0.01,0.099,0.039,False,0.9216775959893133921159525000
0.039,0.05,0.100,0.031,True,0.9201271653160909201797690911
0.032,0,0.099,0.036,False,0.9199765908145818643756142747
0.019,0.01,0.100,0.038,False,0.9188063615259086783161859095
0.039,0.12,0.100,0.011,True,0.9180770278606552794298414091
0.014,0.24,0.091,0.040,False,0.9157990310945548258785031642
0.039,0.15,0.100,0.011,True,0.9144089637848451332318463052
0.039,0.13,0.100,0.011,True,0.9144065575852252183679581886
0.039,0.14,0.100,0.011,True,0.9138246542744842024054072108
0.039,0.08,0.100,0.031,True,0.9136886587071026432443059602
0.029,0.20,0.091,0.006,False,0.9136675580405750170848235192
0.035,0,0.097,0.031,False,0.9121368801405490335057879351
0.013,0.02,0.091,0.040,False,0.9113785200671383056279387246
0.027,0.25,0.091,0.040,False,0.9088555120946773040751676786
0.027,0.25,0.092,0.040,False,0.9088555120946773040751676786
0.027,0.25,0.093,0.040,False,0.9088555120946773040751676786
0.027,0.25,0.094,0.040,False,0.9088555120946773040751676786
0.027,0.25,0.095,0.040,False,0.9088555120946773040751676786
0.016,0,0.098,0.007,True,0.9075934541201147491169113485
0.016,0,0.099,0.007,True,0.9075934541201147491169113485
0.013,0.01,0.091,0.040,False,0.9059433806767548708106531592
0.028,0.24,0.091,0.040,False,0.9056065159831238017274553212
0.028,0.24,0.092,0.040,False,0.9056065159831238017274553212
0.028,0.24,0.093,0.040,False,0.9056065159831238017274553212
0.028,0.24,0.094,0.040,False,0.9056065159831238017274553212
0.038,0,0.097,0.001,True,0.9046874903148278065520956571
0.038,0,0.098,0.001,True,0.9046874903148278065520956571
0.038,0,0.099,0.001,True,0.9046874903148278065520956571
0.035,0.02,0.100,0.031,False,0.9017942679297109221734344936
0.029,0.21,0.091,0.006,False,0.8995996310068655954197395392
0.023,0,0.099,0.021,False,0.8948856850277807530622844415
0.037,0.02,0.100,0.015,False,0.8948489265363452793751293826
0.039,0,0.097,0.011,True,0.8923703004123283977272659769
0.014,0.25,0.091,0.040,False,0.8918250501706040727957582617
0.039,0,0.098,0.011,True,0.8914395378624888911485910890
0.017,0.01,0.099,0.038,False,0.8896523184037891562983063567
0.040,0.05,0.100,0.031,True,0.8895693758853434382764756787
0.015,0,0.098,0.003,False,0.8892921920092723128409653319
0.015,0,0.099,0.003,False,0.8892921920092723128409653319
0.015,0,0.100,0.003,False,0.8892921920092723128409653319
0.016,0,0.100,0.038,False,0.8884309336517896922598501316
0.018,0.01,0.098,0.040,False,0.8870114094803089798971698155
0.032,0,0.100,0.036,False,0.8854881683101144273250514639
0.023,0.01,0.099,0.021,False,0.8849630744179168040687892313
0.033,0,0.098,0.036,False,0.8844197903213442437890421246
0.018,0.01,0.098,0.039,False,0.8835251450189392656799615100
0.017,0.01,0.098,0.038,False,0.8834791630454054534469981714
0.040,0.08,0.100,0.031,True,0.8834416588181701495828201163
0.028,0.25,0.091,0.040,False,0.8811772479571830912489462240
0.028,0.25,0.092,0.040,False,0.8811772479571830912489462240
0.028,0.25,0.093,0.040,False,0.8811772479571830912489462240
0.028,0.25,0.094,0.040,False,0.8811772479571830912489462240
0.033,0,0.099,0.035,False,0.8804208032196211582327201336
0.020,0.01,0.100,0.038,False,0.8798214653794699365506779564
0.014,0.01,0.099,0.024,False,0.8784220241094892283974669358
0.016,0,0.099,0.007,False,0.8776004536110035475618166412
0.039,0.09,0.100,0.016,True,0.8773751460324630362302223222
0.039,0.09,0.100,0.031,True,0.8765699612082697506041063733
0.029,0.24,0.091,0.040,False,0.8759774973038002077821452029
0.029,0.24,0.092,0.040,False,0.8759774973038002077821452029
0.029,0.24,0.093,0.040,False,0.8759774973038002077821452029
0.039,0.09,0.100,0.017,True,0.8756038355817184462047327651
0.033,0.01,0.098,0.036,False,0.8754388323674721185594674056
0.039,0,0.097,0.010,True,0.8727130070300850055260580138
0.033,0.02,0.098,0.036,False,0.8717378149385932524581940869
0.017,0.01,0.097,0.040,False,0.8707946940824877865154201256
0.016,0.01,0.098,0.007,True,0.8704292959856082185637116503
0.016,0.01,0.099,0.007,True,0.8697461397077242227722576992
0.017,0.01,0.097,0.039,False,0.8673446450808695437964470546
0.039,0.05,0.100,0.016,True,0.8669045720332486356016112172
0.035,0,0.100,0.001,True,0.8664244607890268394629300684
0.039,0.07,0.100,0.016,True,0.8654428410786251637736745556
0.039,0.05,0.100,0.017,True,0.8651369423341263841447068674
0.025,0.20,0.091,0.006,False,0.8641432802010269625230154135
0.039,0.08,0.100,0.016,True,0.8640411063885030871944222432
0.039,0.07,0.100,0.017,True,0.8636680757012848079334744393
0.017,0.01,0.100,0.037,False,0.8623563493265556146308543932
0.039,0.08,0.100,0.017,True,0.8622663410111627313542221269
0.039,0.12,0.100,0.010,True,0.8611470961948887117947722087
0.013,0.03,0.091,0.040,False,0.8593206080263687889700274271
0.016,0.01,0.098,0.023,False,0.8586142099070522563668981692
0.016,0.01,0.099,0.023,False,0.8586142099070522563668981692
0.039,0.15,0.100,0.010,True,0.8582626719283465461159894567
0.039,0.13,0.100,0.010,True,0.8579182246805556041152644436
0.039,0.14,0.100,0.010,True,0.8576797459588910782469336130
0.013,0.04,0.091,0.040,False,0.8575262017382270619304682993
0.039,0.11,0.100,0.011,True,0.8571935573069454532669617628
0.025,0.21,0.091,0.006,False,0.8563823561447828131086484559
0.039,0.13,0.097,0.011,True,0.8563468262269157764096575992
0.039,0.13,0.098,0.011,True,0.8563468262269157764096575992
0.039,0.13,0.099,0.011,True,0.8563468262269157764096575992
0.039,0.14,0.097,0.011,True,0.8557649229161747604471066214
0.039,0.14,0.098,0.011,True,0.8557649229161747604471066214
0.039,0.14,0.099,0.011,True,0.8557649229161747604471066214
0.028,0.19,0.091,0.006,False,0.8552574226073622254256151630
0.013,0.12,0.091,0.040,False,0.8551731548392629170476119246
0.039,0.12,0.097,0.011,True,0.8549616840203380838897228332
0.039,0.12,0.098,0.011,True,0.8549616840203380838897228332
0.039,0.12,0.099,0.011,True,0.8549616840203380838897228332
0.020,0,0.097,0.002,False,0.8549083240884579799499822168
0.020,0,0.098,0.002,False,0.8549083240884579799499822168
0.020,0,0.099,0.002,False,0.8549083240884579799499822168
0.020,0,0.100,0.002,False,0.8549083240884579799499822168
0.039,0.09,0.100,0.015,False,0.8548156594214877951839633863
0.013,0.10,0.091,0.040,False,0.8540383615366884493315226993
