StopLoss,StopProfit,StartProfit,OpenCriteria,FollowTrend,Result
0.010,0,0.02,0.038,False,0.8263779826666724883250295493
0.010,0.01,0.02,0.038,False,0.8169223842180147969891991462
0.010,0,0.02,0.010,False,0.8139885021364663134200658655
0.010,0.02,0.02,0.038,False,0.8096478052752290930124926104
0.010,0.01,0.02,0.010,False,0.8055640202194299415638623695
0.010,0.04,0.02,0.038,False,0.8048050641730005767471294645
0.010,0.03,0.02,0.038,False,0.8036810882878818442918060363
0.010,0.02,0.02,0.010,False,0.7878217761642410401118245975
0.026,0.01,0.02,0.014,True,0.7804789476810460400320208046
0.026,0.02,0.02,0.014,True,0.7784631858533963193175715754
0.016,0.13,0.02,0.009,False,0.7765962864350031984602842492
0.008,0.07,0.02,0.015,True,0.7684895373871334967086843726
0.013,0.08,0.02,0.038,False,0.7616147505932464530754011000
0.016,0.10,0.02,0.009,False,0.7546819254242657032496099851
0.016,0.08,0.02,0.009,False,0.7502016022395158464085578060
0.013,0.05,0.02,0.038,False,0.7395642662761842913771793862
0.010,0,0.02,0.013,False,0.7395316854781581876588314864
0.009,0,0.02,0.015,True,0.7357745201511669006907205207
0.010,0.01,0.02,0.013,False,0.7338867403600466650905320096
0.013,0.04,0.02,0.038,False,0.7337977842741043534800177011
0.013,0,0.02,0.038,False,0.7307340468421001828474969682
0.013,0.06,0.02,0.038,False,0.7292548842767829569495450794
0.010,0.05,0.02,0.038,False,0.7290877715317109707032838985
0.010,0,0.02,0.004,False,0.7195709887913698746273369670
0.013,0.01,0.02,0.038,False,0.7192725748645119028095907660
0.013,0.07,0.02,0.038,False,0.7184769288631648314851524773
0.010,0.06,0.02,0.038,False,0.7181297983621449043286648980
0.010,0.02,0.02,0.013,False,0.7175803380947772085237029671
0.009,0.01,0.02,0.015,True,0.7161848762586898149369679678
0.008,0.06,0.02,0.015,True,0.7145837295600326087204830421
0.017,0.06,0.02,0.038,False,0.7140197770972770586909470035
0.013,0.02,0.02,0.038,False,0.7108404032437440782616568351
0.017,0.05,0.02,0.038,False,0.7062434534292463764726280214
0.013,0.03,0.02,0.038,False,0.7032937529969908209469569832
0.010,0.01,0.02,0.004,False,0.7031171200809086700634413808
0.017,0,0.02,0.038,False,0.6975648112980075389971451064
0.017,0.04,0.02,0.038,False,0.6975174779776868224426096879
0.016,0.06,0.02,0.009,False,0.6896239227780274067671909802
0.017,0.01,0.02,0.038,False,0.6861831882962587457919771060
0.010,0.02,0.02,0.004,False,0.6853341981356850348825612208
0.010,0.01,0.02,0.037,False,0.6852870123562131492421978276
0.010,0,0.02,0.012,False,0.6848299992874112472367711901
0.010,0,0.02,0.037,False,0.6813762973609000894038842718
0.010,0.01,0.02,0.012,False,0.6791972721155865211188325796
0.017,0.02,0.02,0.038,False,0.6787774825066554191582765289
0.010,0.02,0.02,0.037,False,0.6773273492521202106868372669
0.016,0.09,0.02,0.009,False,0.6739386403389680366904522896
0.014,0.08,0.02,0.038,False,0.6739250162703021636070052954
0.010,0.05,0.02,0.004,False,0.6733910561812559392345078712
0.010,0.04,0.02,0.037,False,0.6725166442896574780932036731
0.010,0.03,0.02,0.037,False,0.6724985138987459012008318339
0.017,0.03,0.02,0.038,False,0.6703665037490470157279724061
0.024,0,0.02,0.019,False,0.6659094454871333929340989893
0.008,0.08,0.02,0.015,True,0.6645635169167457386665406671
0.023,0,0.02,0.020,False,0.6643653347507614063126505869
0.010,0.02,0.02,0.012,False,0.6633259735966514674502276514
0.015,0.10,0.02,0.038,False,0.6625538832340530509588879822
0.009,0.02,0.02,0.015,True,0.6597919682974415370933920593
0.018,0.27,0.02,0.037,False,0.6590015998275368387867296484
0.013,0.09,0.02,0.038,False,0.6578852913375100621394317065
0.014,0.09,0.02,0.038,False,0.6578020757975647311493031745
0.008,0.10,0.02,0.015,True,0.6546967151063282501061927251
0.015,0.09,0.02,0.038,False,0.6541195694699684319348904516
0.013,0.30,0.02,0.038,False,0.6531966302072231753830976424
0.015,0.10,0.02,0.040,False,0.6512485669758702108391749089
0.015,0,0.02,0.009,False,0.6500747302946473163413055853
0.013,0.10,0.02,0.038,False,0.6496120358068170878227159427
0.011,0,0.02,0.010,False,0.6462024784385180567315841468
0.010,0.06,0.02,0.004,False,0.6460113059647593606112421352
0.025,0.30,0.02,0.027,False,0.6456482014428423403443711894
0.016,0.07,0.02,0.009,False,0.6455971995181958620340464954
0.016,0,0.02,0.009,False,0.6446544735552415523053317539
0.024,0.01,0.02,0.019,False,0.6445273850700685085009487238
0.008,0.07,0.02,0.012,True,0.6433663510824327527214808990
0.026,0,0.02,0.014,True,0.6433255834485988954875744576
0.021,0,0.02,0.023,False,0.6429977773597489206631134538
0.015,0.06,0.02,0.010,False,0.6427383875099037585932192517
0.023,0.01,0.02,0.020,False,0.6421524288837023711181813479
0.008,0,0.02,0.012,True,0.6408652033987533571051623334
0.008,0.09,0.02,0.015,True,0.6402535828690289269158777380
0.011,0.06,0.02,0.037,False,0.6381749011404748023940437932
0.014,0,0.02,0.015,True,0.6356635136191705818797067556
0.011,0.05,0.02,0.037,False,0.6350700707605207037219897666
0.015,0,0.02,0.010,False,0.6349317441124934970060213444
0.020,0.10,0.02,0.027,False,0.6317826332992944912235319349
0.010,0.03,0.02,0.013,False,0.6307711964162908594931340684
0.018,0,0.02,0.038,False,0.6297647943793970573637893017
0.011,0.04,0.02,0.037,False,0.6288425678770836126883027042
0.024,0.02,0.02,0.019,False,0.6279738558296909089193294577
0.011,0.07,0.02,0.037,False,0.6264330270819576402502736181
0.012,0.05,0.02,0.038,False,0.6258012436510822871207299154
0.023,0.02,0.02,0.020,False,0.6251894051297946839259104025
0.011,0,0.02,0.037,False,0.6243389605072659278480938474
0.011,0.01,0.02,0.010,False,0.6219778260663790552535168462
0.018,0.01,0.02,0.038,False,0.6208648410854597649519908016
0.008,0.01,0.02,0.012,True,0.6208079924962076331933762075
0.016,0.01,0.02,0.009,False,0.6204802979415513943152133902
0.012,0.04,0.02,0.038,False,0.6198037250922453370109439002
0.008,0.03,0.02,0.038,False,0.6178387988778762894306017928
0.010,0.07,0.02,0.038,False,0.6156364850386412633676357733
