StopLoss,StopProfit,StartProfit,OpenCriteria,FollowTrend,Result
0.018,0.17,0.174,0.004,False,1.3884499946671700539748144531
0.018,0.17,0.175,0.004,False,1.3884499946671700539748144531
0,0,0.176,0.014,False,1.3031217470693468958209726212
0,0.01,0.176,0.014,False,1.3003117775321515139861578323
0,0.02,0.176,0.014,False,1.2956388511323300983808877561
0,0.03,0.176,0.014,False,1.2909787915890233735994252982
0.010,0.13,0.177,0.016,False,1.2782922885493139866974743825
0.010,0.13,0.178,0.016,False,1.2782922885493139866974743825
0.010,0.13,0.179,0.016,False,1.2782922885493139866974743825
0.010,0.13,0.180,0.016,False,1.2782922885493139866974743825
0,0.05,0.176,0.014,False,1.2640270650481825875373833709
0,0.05,0.177,0.014,False,1.2640270650481825875373833709
0,0.05,0.178,0.014,False,1.2640270650481825875373833709
0,0.05,0.179,0.014,False,1.2640270650481825875373833709
0,0.04,0.180,0.015,False,1.2608332667411408270501913124
0.011,0.13,0.177,0.016,False,1.2495122456133596536576603594
0.011,0.13,0.178,0.016,False,1.2495122456133596536576603594
0.011,0.13,0.179,0.016,False,1.2495122456133596536576603594
0.011,0.13,0.180,0.016,False,1.2495122456133596536576603594
0.004,0.18,0.171,0.021,False,1.2364640530535392629338602745
0.004,0.18,0.172,0.021,False,1.2364640530535392629338602745
0.004,0.18,0.173,0.021,False,1.2364640530535392629338602745
0.004,0.08,0.171,0.022,False,1.2333843790844895558795290525
0.004,0.08,0.172,0.022,False,1.2333843790844895558795290525
0.004,0.18,0.171,0.020,False,1.2197134472006019384407825726
0.004,0.18,0.172,0.020,False,1.2197134472006019384407825726
0.004,0.18,0.173,0.020,False,1.2197134472006019384407825726
0.004,0.08,0.173,0.020,False,1.2143181350189270943332945153
0.010,0.15,0.174,0.034,False,1.1997704889136026420749290792
0.010,0.15,0.175,0.034,False,1.1997704889136026420749290792
0.010,0.15,0.176,0.034,False,1.1997704889136026420749290792
0.010,0.14,0.177,0.016,False,1.1979508121620256136885620975
0.010,0.14,0.178,0.016,False,1.1979508121620256136885620975
0.010,0.14,0.179,0.016,False,1.1979508121620256136885620975
0.010,0.14,0.180,0.016,False,1.1979508121620256136885620975
0.010,0.15,0.174,0.036,False,1.1969010694116198649368335947
0.010,0.15,0.175,0.036,False,1.1969010694116198649368335947
0.010,0.15,0.176,0.036,False,1.1969010694116198649368335947
0.010,0.15,0.177,0.036,False,1.1969010694116198649368335947
0.010,0.15,0.178,0.036,False,1.1969010694116198649368335947
0.010,0.15,0.174,0.035,False,1.1931301027205646172410365077
0.010,0.15,0.175,0.035,False,1.1931301027205646172410365077
0.010,0.15,0.176,0.035,False,1.1931301027205646172410365077
0.010,0.15,0.177,0.035,False,1.1931301027205646172410365077
0.010,0.16,0.174,0.038,False,1.1917639773627673933271044487
0.010,0.16,0.175,0.038,False,1.1917639773627673933271044487
0.010,0.16,0.176,0.038,False,1.1917639773627673933271044487
0,0.16,0.176,0.014,False,1.1915734693617120835377763221
0,0.16,0.177,0.014,False,1.1915734693617120835377763221
0,0.16,0.178,0.014,False,1.1915734693617120835377763221
0,0.16,0.179,0.014,False,1.1915734693617120835377763221
0,0.16,0.180,0.014,False,1.1915734693617120835377763221
0.011,0.14,0.177,0.016,False,1.1879377839156809740794174227
0.011,0.14,0.178,0.016,False,1.1879377839156809740794174227
0.011,0.14,0.179,0.016,False,1.1879377839156809740794174227
0.011,0.14,0.180,0.016,False,1.1879377839156809740794174227
