StopLoss,StopProfit,StartProfit,OpenCriteria,FollowTrend,Result
0.033,0.13,0.120,0.029,False,1.6493985514947143198631986027
0.033,0.13,0.120,0.030,False,1.6482710082588596950568929161
0.034,0.13,0.120,0.030,False,1.6313683161739835133313925407
0.034,0.13,0.120,0.029,False,1.6313668867307582362077005839
0.035,0.13,0.120,0.030,False,1.6133224295412035010532375507
0.035,0.13,0.120,0.029,False,1.6133158421770262375383367996
0.036,0.13,0.120,0.030,False,1.5966935021009007849236321733
0.036,0.13,0.120,0.029,False,1.5966809882755754455790466535
0.035,0.14,0.119,0.030,False,1.5818122841611007380571251265
0.035,0.14,0.120,0.030,False,1.5818122841611007380571251265
0.035,0.14,0.119,0.029,False,1.5809044719046954485324849425
0.035,0.14,0.120,0.029,False,1.5809044719046954485324849425
0.035,0.14,0.118,0.027,False,1.5796871165999694210048907264
0.035,0.14,0.118,0.028,False,1.5796175172823688358692665132
0.035,0.14,0.119,0.028,False,1.5796175172823688358692665132
0.037,0.13,0.120,0.029,False,1.5791800591048058123132306426
0.037,0.13,0.120,0.030,False,1.5787419191591994743241676280
0.012,0,0.118,0.021,False,1.5672811074103631701498906688
0.036,0.14,0.119,0.030,False,1.5650426836402042035530914040
0.036,0.14,0.120,0.030,False,1.5650426836402042035530914040
0.036,0.14,0.119,0.029,False,1.5641282283216134735095355022
0.036,0.14,0.120,0.029,False,1.5641282283216134735095355022
0.036,0.14,0.119,0.028,False,1.5635520213325387879694220697
0.036,0.14,0.118,0.027,False,1.5628997456561740221553358747
0.038,0.13,0.120,0.030,False,1.5611455629247434973410197935
0.038,0.13,0.120,0.029,False,1.5611204284241787719142089584
0.011,0,0.119,0.022,False,1.5605059265056328163577707830
0.037,0.14,0.119,0.030,False,1.5463402841435777940019760565
0.037,0.14,0.120,0.030,False,1.5463402841435777940019760565
0.037,0.14,0.119,0.029,False,1.5451377981431651678700978180
0.037,0.14,0.120,0.029,False,1.5451377981431651678700978180
0.037,0.14,0.119,0.028,False,1.5450149192325724051075321251
0.038,0.14,0.119,0.030,False,1.5297635255404443149356703654
0.038,0.14,0.120,0.030,False,1.5297635255404443149356703654
0.038,0.14,0.119,0.029,False,1.5288371844934964046760551465
0.038,0.14,0.120,0.029,False,1.5288371844934964046760551465
0.038,0.14,0.119,0.028,False,1.5275112225056108206042404146
0.039,0.14,0.119,0.030,False,1.5113529383235926693364442541
0.039,0.14,0.120,0.030,False,1.5113529383235926693364442541
0.039,0.14,0.119,0.029,False,1.5104217071910366397960721566
0.039,0.14,0.120,0.029,False,1.5104217071910366397960721566
0.039,0.14,0.119,0.028,False,1.5098323078974911309086640644
0.017,0.11,0.118,0.013,False,1.5083609117013589088637076056
0.011,0,0.118,0.021,False,1.4962453808561993384575757285
0.040,0.14,0.119,0.030,False,1.4951972564990162525196947189
0.040,0.14,0.120,0.030,False,1.4951972564990162525196947189
0.040,0.14,0.119,0.029,False,1.4935480743007587473215471855
0.040,0.14,0.120,0.029,False,1.4935480743007587473215471855
0.040,0.14,0.119,0.028,False,1.4929548276345915739545716712
0.011,0.01,0.118,0.021,False,1.4764257604014411407804804290
0.018,0.07,0.119,0.013,False,1.4712595231100798525961042128
0.018,0.07,0.120,0.013,False,1.4712595231100798525961042128
0.018,0.07,0.118,0.013,False,1.4651446380108311814756444357
0.011,0.02,0.118,0.021,False,1.4628062605155903753285973561
0.039,0.13,0.120,0.029,False,1.4596570315810596202499839353
0.012,0,0.118,0.022,False,1.4573152158969102158061704083
0.012,0,0.119,0.022,False,1.4573152158969102158061704083
0.021,0.07,0.119,0.011,False,1.4553706480286190778476980914
0.011,0,0.118,0.022,False,1.4473319465951418892863112760
0.018,0.07,0.117,0.012,False,1.4406296977818257998746684743
0.018,0.07,0.118,0.012,False,1.4406296977818257998746684743
0.038,0.12,0.119,0.038,False,1.4383912174377713316806009701
0.017,0.07,0.118,0.013,False,1.4356193997114486029521351966
0.012,0.01,0.118,0.021,False,1.4288217899250241620238552290
0.011,0.01,0.118,0.022,False,1.4275160968150632779910256473
0.011,0.01,0.119,0.022,False,1.4275160968150632779910256473
0.016,0.07,0.119,0.013,False,1.4198632857109097379836514299
0.018,0.11,0.117,0.012,False,1.4159365006974131097179548606
0.017,0.09,0.118,0.013,False,1.4153018939484978646753508730
0.037,0.16,0.119,0.029,False,1.4043446121338027792892860845
0.037,0.16,0.120,0.029,False,1.4043446121338027792892860845
0.037,0.16,0.119,0.030,False,1.4040489482800997845094483987
0.037,0.16,0.120,0.030,False,1.4040489482800997845094483987
0.018,0.07,0.119,0.012,False,1.4032730999037296807413733242
0.018,0.07,0.120,0.012,False,1.4032730999037296807413733242
0.011,0.02,0.118,0.022,False,1.3961432539814397641951875744
0.017,0.07,0.119,0.013,False,1.3916288751170739774466804971
0.017,0.07,0.120,0.013,False,1.3916288751170739774466804971
0.038,0.16,0.119,0.030,False,1.3872952291800441281907828505
0.038,0.16,0.120,0.030,False,1.3872952291800441281907828505
0.038,0.16,0.119,0.029,False,1.3863795106166293141645601423
0.038,0.16,0.120,0.029,False,1.3863795106166293141645601423
0.038,0.16,0.119,0.028,False,1.3860275173059117630415990549
0.011,0.02,0.117,0.021,False,1.3856272049206547463194475751
0.040,0.12,0.118,0.030,False,1.3785256329969121772736716145
0.040,0.12,0.119,0.030,False,1.3785256329969121772736716145
0.040,0.12,0.117,0.030,False,1.3751191407580166546007456961
0.016,0.07,0.120,0.013,False,1.3709540596798999986748242708
0.018,0.07,0.119,0.015,False,1.3670752819396637711053127535
0.018,0.07,0.120,0.015,False,1.3670752819396637711053127535
0.017,0.09,0.120,0.013,False,1.3668672619588158174560444380
0.017,0.09,0.119,0.013,False,1.3654175278525366720831397954
0.017,0.07,0.119,0.012,False,1.3615712509717104674353086874
0.018,0.07,0.117,0.015,False,1.3609576818345778374347384936
0.018,0.07,0.118,0.015,False,1.3609576818345778374347384936
0.027,0.12,0.111,0.019,False,1.3592618705348484745170699719
0.027,0.12,0.112,0.019,False,1.3592618705348484745170699719
0.036,0.15,0.118,0.030,False,1.3588949496777072776161125894
0.036,0.15,0.119,0.030,False,1.3588949496777072776161125894
0.036,0.15,0.120,0.030,False,1.3588949496777072776161125894
0.011,0.01,0.117,0.021,False,1.3576319843127890982694172646
0.018,0.07,0.119,0.014,False,1.3575461299155294111179935244
0.018,0.07,0.120,0.014,False,1.3575461299155294111179935244
0.017,0.07,0.118,0.012,False,1.3554420525991046083158712683
0.011,0.02,0.119,0.022,False,1.3540553869242752320152322607
0.019,0.12,0.117,0.011,False,1.3517034441762601403070842899
0.019,0.12,0.118,0.011,False,1.3517034441762601403070842899
0.018,0.07,0.117,0.014,False,1.3514285298104434774474192645
0.018,0.07,0.118,0.014,False,1.3514285298104434774474192645
0.019,0.11,0.117,0.011,False,1.3482989083130347519529515193
0.019,0.11,0.118,0.011,False,1.3482989083130347519529515193
0.019,0.11,0.116,0.011,False,1.3468209865470510481550887101
0.018,0.11,0.120,0.013,False,1.3465750293877274827055109184
0.018,0.11,0.118,0.013,False,1.3452673712749860303389270249
0.018,0.11,0.119,0.013,False,1.3452673712749860303389270249
0.015,0.07,0.119,0.013,False,1.3444225292629994712196953592
0.015,0.07,0.120,0.013,False,1.3444225292629994712196953592
0.017,0.07,0.119,0.015,False,1.3434019908102528645308618480
0.017,0.07,0.120,0.015,False,1.3434019908102528645308618480
0.018,0.10,0.117,0.012,False,1.3416433266092544159234780507
0.037,0.12,0.119,0.035,True,1.3391503944060149287122349058
0.018,0.10,0.118,0.012,False,1.3382243277770510952982793083
0.037,0.12,0.119,0.036,True,1.3381766412205392787527658045
0.010,0.01,0.119,0.023,False,1.3378226507921225633053927735
0.017,0.07,0.118,0.015,False,1.3372700774318097428613099461
0.020,0.06,0.120,0.023,False,1.3370502405585696426153946540
0.040,0.02,0.119,0.007,False,1.3361351524158871098382524493
0.011,0,0.120,0.019,False,1.3314589674250817359395700969
0.011,0,0.120,0.023,False,1.3313540501688903004571268141
0.020,0.06,0.119,0.023,False,1.3309676382736001529260037017
0.020,0.12,0.116,0.011,False,1.3292920096039015741604138684
0.023,0,0.120,0.007,False,1.3285195900611681270702284311
0.011,0.13,0.116,0.017,False,1.3281155262959343680006629830
0.019,0.07,0.116,0.011,False,1.3272646110900907935881699777
0.019,0.07,0.117,0.011,False,1.3272646110900907935881699777
0.019,0.07,0.118,0.011,False,1.3272646110900907935881699777
0.018,0.10,0.120,0.013,False,1.3245249799082333911820741208
0.017,0.10,0.118,0.013,False,1.3243853274324870246695439197
