StopLoss,StopProfit,StartProfit,OpenCriteria,FollowTrend,Result
0.036,0.01,0.080,0.008,True,1.4685122693193005760786682685
0.036,0.01,0.079,0.008,True,1.4683392518138450303913448889
0.036,0.02,0.079,0.008,True,1.4463164529306083633353123452
0.037,0.01,0.079,0.009,True,1.4205060959990414913496233346
0.037,0.01,0.080,0.009,True,1.4205060959990414913496233346
0.036,0.03,0.079,0.008,True,1.4148461391758373206863538157
0.011,0.02,0.076,0.005,False,1.4041047796195725239166571570
0.037,0.01,0.080,0.016,True,1.3998136333489502167659481340
0.037,0.02,0.078,0.009,True,1.3994315906558397983625397161
0.037,0.02,0.079,0.009,True,1.3988698145536007150363345976
0.011,0.02,0.077,0.005,False,1.3973018441356455807891793436
0.038,0.01,0.080,0.010,True,1.3766714497626881662187110516
0.038,0.01,0.079,0.010,True,1.3757244733150430436797116649
0.017,0,0.078,0.002,False,1.3738619246062379783943640619
0.017,0.02,0.078,0.002,False,1.3694685611508932299179493913
0.036,0.03,0.077,0.009,True,1.3685352812102033083642024280
0.037,0.03,0.078,0.009,True,1.3673349074891770635172815520
0.037,0.03,0.079,0.009,True,1.3668201429375620622877294900
0.037,0.01,0.080,0.008,True,1.3666338404480268099274223176
0.037,0.01,0.079,0.008,True,1.3664516194612937926004478860
0.036,0.03,0.077,0.008,True,1.3620835275121753883067814026
0.038,0.01,0.080,0.016,True,1.3591671635700514493816566573
0.038,0.01,0.079,0.016,True,1.3582201871224063268426572706
0.017,0.01,0.078,0.002,False,1.3544030845943583771943412890
0.038,0.02,0.078,0.010,True,1.3532920123798262296428947345
0.038,0.02,0.079,0.010,True,1.3532920123798262296428947345
0.036,0.01,0.079,0.006,True,1.3502603497962879479992428538
0.037,0.02,0.079,0.008,True,1.3491852979471057939286997527
0.036,0.02,0.078,0.007,True,1.3472610320698898380827170301
0.038,0.01,0.080,0.017,True,1.3470280633924091052682703057
0.011,0.02,0.075,0.005,False,1.3453678934879092317601120455
0.017,0.02,0.079,0.002,False,1.3449379978743925243139675428
0.016,0,0.079,0.009,True,1.3448847129940675034368987543
0.016,0,0.080,0.009,True,1.3448103481634261310611768632
0.038,0.02,0.079,0.016,True,1.3362167237852193971082934413
0.036,0.01,0.080,0.015,True,1.3340366253464352140635669219
0.036,0.02,0.079,0.006,True,1.3319994611363191287492700141
0.017,0.04,0.078,0.001,False,1.3313192855327515491027924400
0.038,0.01,0.080,0.008,True,1.3309863475707467740477635336
0.038,0.01,0.079,0.008,True,1.3307980022202247566494550772
0.019,0.04,0.073,0.007,False,1.3306847638426816259399934697
0.020,0.04,0.073,0.007,False,1.3293439444610430109156122338
0.017,0.02,0.078,0.001,False,1.3279708522197543968836456398
0.017,0.03,0.078,0.008,False,1.3279701631676564043170221876
0.017,0.02,0.079,0.001,False,1.3251021451269048150146964306
0.036,0.01,0.080,0.005,True,1.3249758986720395162604182782
0.038,0.01,0.079,0.009,True,1.3237223046843570821262907559
0.038,0.01,0.080,0.009,True,1.3237223046843570821262907559
0.038,0.03,0.078,0.010,True,1.3222819654687638499230238815
0.038,0.03,0.079,0.010,True,1.3222819654687638499230238815
0.017,0.01,0.079,0.002,False,1.3220179762765827405119698862
0.038,0.03,0.077,0.010,True,1.3220086315883332984010165558
0.017,0.02,0.080,0.010,True,1.3212388405587969137598481111
0.020,0.04,0.073,0.006,False,1.3189287157040124589902354048
0.039,0.01,0.079,0.016,True,1.3188348944702002624777627265
0.037,0.03,0.079,0.008,True,1.3183724423342831602581764720
0.020,0.04,0.078,0.001,False,1.3167228164664367199035976169
0.036,0.03,0.078,0.007,True,1.3160072653140348266470467022
0.037,0.01,0.079,0.006,True,1.3148268473742595551716325771
0.017,0.03,0.078,0.001,False,1.3142308838207486016383975239
0.018,0,0.078,0.002,False,1.3129423788622348895869813326
0.037,0.02,0.078,0.007,True,1.3125467104085276473528043171
