StopLoss,StopProfit,StartProfit,OpenCriteria,FollowTrend,Result
0.020,0.12,0.045,0.002,False,1.9740289391948325063767982060
0.018,0.11,0.046,0.002,False,1.9390063077251419961486815082
0.018,0.12,0.045,0.002,False,1.9251051530398592700856882724
0.018,0.11,0.046,0.003,False,1.9026526747933115762045915213
0.017,0.11,0.046,0.002,False,1.8858472608176653501736421093
0.019,0.12,0.044,0.002,False,1.8757921202918269808917224803
0.020,0.11,0.048,0.003,False,1.8714799131699187294499347792
0.021,0.14,0.048,0.003,False,1.8677614634262864616394954094
0.018,0.12,0.046,0.003,False,1.8598064460380217644841876633
0.020,0.12,0.047,0.002,False,1.8592719673543684418503017682
0.020,0.12,0.044,0.002,False,1.8534484902820945237120281219
0.018,0.12,0.046,0.002,False,1.8505907220589667081325686819
0.020,0.11,0.049,0.003,False,1.8456605277640046965129473792
0.015,0.11,0.047,0.003,False,1.8454000243459184660356982621
0.021,0.11,0.049,0.003,False,1.8451432474859971810412255013
0.017,0.12,0.046,0.002,False,1.8436278215644795408154058531
0.017,0.12,0.044,0.002,False,1.8416507093523016905622908340
0.018,0.12,0.044,0.002,False,1.8345509127674010552016358347
0.018,0.12,0.045,0.003,False,1.8322197898410319539848142557
0.015,0.11,0.046,0.003,False,1.8241018868622119061649575361
0.019,0.12,0.045,0.002,False,1.8206117845403094828016867917
0.020,0.12,0.045,0.003,False,1.8154030087407384191339632391
0.018,0.14,0.044,0.003,False,1.8139176203611730672618458947
0.018,0.11,0.045,0.003,False,1.8091137690232351029742788978
0.020,0.12,0.049,0.003,False,1.8089119379860393077535398458
0.021,0.14,0.047,0.003,False,1.8037493495803947477742932337
0.021,0.15,0.049,0.003,False,1.8011619537123400611893606707
0.015,0.11,0.047,0.002,False,1.7935942519943645035593479957
0.015,0.12,0.047,0.002,False,1.7892506817691726190190366357
0.017,0.13,0.044,0.002,False,1.7874389252851587715065732545
0.015,0.11,0.046,0.002,False,1.7861609073901828777425168724
0.015,0.12,0.047,0.003,False,1.7823960409508902563193443759
0.015,0.12,0.046,0.002,False,1.7818456250304107861807321274
0.015,0.10,0.046,0.002,False,1.7773753474131566781122417086
0.021,0.15,0.047,0.003,False,1.7770940076942862915810002615
0.017,0.12,0.045,0.002,False,1.7759013942729157781364813015
0.020,0.12,0.046,0.002,False,1.7745959339518236750737372947
0.018,0.19,0.044,0.002,False,1.7737944314664623684802247831
0.018,0.11,0.045,0.002,False,1.7694759102563177601249239365
