StopLoss,StopProfit,StartProfit,OpenCriteria,FollowTrend,Result
0.015,0.08,0.152,0.016,False,1.8988018225873672349331757590
0.015,0.08,0.153,0.016,False,1.8988018225873672349331757590
0.015,0.08,0.152,0.021,False,1.8390103013560153453328029025
0.018,0.06,0.154,0.013,False,1.8385393312559908066876559757
0.015,0.08,0.151,0.016,False,1.8371211048741306280255476913
0.016,0.08,0.152,0.017,False,1.8294716808650380057636837657
0.016,0.08,0.153,0.017,False,1.8294716808650380057636837657
0.018,0.06,0.151,0.013,False,1.8291313006699133733784931266
0.018,0.06,0.152,0.013,False,1.8291313006699133733784931266
0.018,0.06,0.153,0.013,False,1.8291313006699133733784931266
0.016,0.08,0.151,0.016,False,1.8147038264460875630374927857
0.016,0.08,0.152,0.016,False,1.8147038264460875630374927857
0.016,0.08,0.153,0.016,False,1.8147038264460875630374927857
0.020,0.09,0.151,0.013,False,1.8144616250262813803184199393
0.018,0.07,0.151,0.013,False,1.8116040452390274422292894523
0.018,0.07,0.152,0.013,False,1.8116040452390274422292894523
0.015,0.08,0.152,0.017,False,1.8079480392741643482777916368
0.015,0.08,0.153,0.017,False,1.8079480392741643482777916368
0.016,0.08,0.151,0.017,False,1.8072433781282002563904739621
0.020,0.10,0.151,0.021,False,1.8011481426756397750232924955
0.019,0.06,0.153,0.012,False,1.8004825678111441336316456996
0.016,0.06,0.151,0.017,False,1.7932008972052193056612935779
0.019,0.06,0.151,0.012,False,1.7881284887021749558905401022
0.019,0.06,0.152,0.012,False,1.7881284887021749558905401022
0.020,0.10,0.151,0.013,False,1.7861389305597681472151890574
0.021,0.10,0.151,0.021,False,1.7737991404184513203056327628
0.018,0.07,0.154,0.013,False,1.7728036560238486871744335976
0.019,0.07,0.151,0.012,False,1.7720872043461210137823724533
0.019,0.07,0.152,0.012,False,1.7720872043461210137823724533
0.021,0.09,0.151,0.021,False,1.7592024167201248779963547868
0.018,0.07,0.153,0.013,False,1.7561213675450515796351457111
0.020,0.09,0.151,0.021,False,1.7493161577653328899288721420
