StopLoss,StopProfit,StartProfit,OpenCriteria,FollowTrend,Result
0.021,0.07,0.121,0.013,False,1.6207055678021774880423148635
0.021,0.07,0.123,0.015,False,1.5838013850378457172695902168
0.033,0.13,0.121,0.030,False,1.5630131146373297098905441133
0.034,0.13,0.121,0.030,False,1.5436295390107318965088443525
0.020,0.08,0.124,0.016,False,1.5268190781867464232935874405
0.035,0.13,0.121,0.030,False,1.5239618136666444310437722349
0.036,0.13,0.121,0.030,False,1.5044642297991822597722288425
0.035,0.14,0.121,0.030,False,1.4912419844914965900285744890
0.021,0.08,0.124,0.016,False,1.4867701181452755535011391456
0.037,0.13,0.121,0.030,False,1.4852690133461328883084195794
0.018,0.07,0.121,0.013,False,1.4763304913482256743079968107
0.019,0.07,0.123,0.015,False,1.4743775464854196467902605072
0.021,0.07,0.122,0.014,False,1.4737055535103651455686713777
0.033,0.13,0.125,0.013,False,1.4723966173353128155717313930
0.033,0.13,0.126,0.013,False,1.4723966173353128155717313930
0.036,0.14,0.121,0.030,False,1.4716042612314373898732943297
0.033,0.13,0.125,0.012,False,1.4695677251996461896736890754
0.033,0.13,0.126,0.012,False,1.4695677251996461896736890754
0.033,0.13,0.125,0.011,False,1.4673724647367822168767005311
0.033,0.13,0.126,0.011,False,1.4673724647367822168767005311
0.038,0.13,0.121,0.030,False,1.4656436611826014698762563703
0.034,0.14,0.125,0.013,False,1.4641133636349396247273675343
0.037,0.14,0.121,0.030,False,1.4516601221925757478270223443
0.034,0.13,0.125,0.013,False,1.4510757820666711493097567996
0.034,0.13,0.126,0.013,False,1.4510757820666711493097567996
0.026,0.08,0.125,0.013,False,1.4506376131379820841114089305
0.026,0.08,0.126,0.013,False,1.4506376131379820841114089305
0.034,0.13,0.125,0.012,False,1.4470814843166040232658102656
0.034,0.13,0.126,0.012,False,1.4470814843166040232658102656
0.026,0.08,0.125,0.012,False,1.4466793613421941635167668584
0.026,0.08,0.126,0.012,False,1.4466793613421941635167668584
0.034,0.13,0.125,0.011,False,1.4448999974858845104960428771
0.034,0.13,0.126,0.011,False,1.4448999974858845104960428771
0.038,0.14,0.121,0.030,False,1.4330548991326613935632457129
0.013,0.07,0.130,0.018,False,1.4321323707906348005675869530
0.020,0.07,0.123,0.015,False,1.4295430939557441007751770543
0.035,0.13,0.125,0.013,False,1.4270024095251887791552328620
0.035,0.13,0.126,0.013,False,1.4270024095251887791552328620
0.029,0.08,0.124,0.013,False,1.4264985209206548842212206081
0.035,0.13,0.125,0.012,False,1.4234198135772723337163614089
0.035,0.13,0.126,0.012,False,1.4234198135772723337163614089
0.039,0.14,0.121,0.030,False,1.4224406197982098626971366786
0.021,0.08,0.123,0.015,False,1.4221685957660859313819271145
0.035,0.13,0.125,0.011,False,1.4219845789075200202829322632
0.035,0.13,0.126,0.011,False,1.4219845789075200202829322632
0.018,0.11,0.122,0.013,False,1.4197870517060090775416579525
0.020,0.07,0.122,0.014,False,1.4181291533488868537962052793
0.039,0.13,0.121,0.030,False,1.4132267870799503802673845765
0.023,0.06,0.127,0.015,False,1.4120761951844973630094306569
