StopLoss,StopProfit,StartProfit,OpenCriteria,FollowTrend,Result
0.033,0.13,0.120,0.029,False,1.5650209548224038759134759376
0.033,0.13,0.120,0.030,False,1.5630131146373297098905441133
0.034,0.13,0.120,0.029,False,1.5445116203281165440925384818
0.034,0.13,0.120,0.030,False,1.5436295390107318965088443525
0.035,0.13,0.120,0.029,False,1.5248408842941394429703786467
0.035,0.13,0.120,0.030,False,1.5239618136666444310437722349
0.036,0.13,0.120,0.029,False,1.5053406018795097748542841376
0.036,0.13,0.120,0.030,False,1.5044642297991822597722288425
0.012,0,0.118,0.021,False,1.5032804755537311634101309560
0.011,0,0.119,0.022,False,1.5024295129379403010217771363
0.007,0.01,0.113,0.018,False,1.5012219038612803235919258823
0.007,0.01,0.114,0.018,False,1.5012219038612803235919258823
0.035,0.14,0.118,0.027,False,1.4922100096693434015825103998
0.035,0.14,0.118,0.028,False,1.4912585272167937779511764359
0.035,0.14,0.119,0.028,False,1.4912585272167937779511764359
0.035,0.14,0.119,0.030,False,1.4912419844914965900285744890
0.035,0.14,0.120,0.030,False,1.4912419844914965900285744890
0.035,0.14,0.119,0.029,False,1.4912198302267635759454414679
0.035,0.14,0.120,0.029,False,1.4912198302267635759454414679
0.037,0.13,0.120,0.029,False,1.4865981958705118435247528922
0.037,0.13,0.120,0.030,False,1.4852690133461328883084195794
0.007,0,0.113,0.018,False,1.4782427179100712430849588914
0.007,0,0.114,0.018,False,1.4782427179100712430849588914
0.036,0.14,0.118,0.027,False,1.4725657816034120701657847760
0.036,0.14,0.119,0.028,False,1.4723329645486865726971766663
0.036,0.14,0.119,0.030,False,1.4716042612314373898732943297
0.036,0.14,0.120,0.030,False,1.4716042612314373898732943297
0.036,0.14,0.119,0.029,False,1.4715786918184995142563792428
0.036,0.14,0.120,0.029,False,1.4715786918184995142563792428
0.038,0.13,0.120,0.029,False,1.4656681890406113441048388541
0.038,0.13,0.120,0.030,False,1.4656436611826014698762563703
0.037,0.14,0.119,0.028,False,1.4525595053829169046191750673
0.037,0.14,0.119,0.030,False,1.4516601221925757478270223443
0.037,0.14,0.120,0.030,False,1.4516601221925757478270223443
0.037,0.14,0.119,0.029,False,1.4513486787709357389224144040
0.037,0.14,0.120,0.029,False,1.4513486787709357389224144040
0.008,0.01,0.113,0.018,False,1.4406301125575602743382307327
0.011,0,0.118,0.021,False,1.4361675094441351303130274184
0.038,0.14,0.119,0.030,False,1.4330548991326613935632457129
0.038,0.14,0.120,0.030,False,1.4330548991326613935632457129
0.038,0.14,0.119,0.028,False,1.4321908133305430188101207836
0.038,0.14,0.119,0.029,False,1.4321782204442880829590238129
0.038,0.14,0.120,0.029,False,1.4321782204442880829590238129
0.039,0.14,0.119,0.030,False,1.4224406197982098626971366786
0.039,0.14,0.120,0.030,False,1.4224406197982098626971366786
0.039,0.14,0.119,0.029,False,1.4207119464861832774381794353
0.039,0.14,0.120,0.029,False,1.4207119464861832774381794353
0.008,0,0.113,0.018,False,1.4187554740867141434645051154
0.011,0.01,0.118,0.021,False,1.4185081606178460395027032704
0.039,0.14,0.119,0.028,False,1.4128895068475656012639749527
0.039,0.13,0.120,0.029,False,1.4116871601815439636590052390
0.011,0.02,0.118,0.021,False,1.4080700416966497597077086485
0.040,0.14,0.119,0.030,False,1.4063265651061519106531355574
0.040,0.14,0.120,0.030,False,1.4063265651061519106531355574
0.040,0.14,0.119,0.029,False,1.4038799407284238497364028782
0.040,0.14,0.120,0.029,False,1.4038799407284238497364028782
0.012,0,0.118,0.022,False,1.3948865786464681759123169238
0.012,0,0.119,0.022,False,1.3948865786464681759123169238
0.040,0.14,0.119,0.028,False,1.3943672239131935352319164035
0.011,0,0.118,0.022,False,1.3892555330274493739503176293
0.011,0.01,0.118,0.022,False,1.3716006387256773868004090466
0.011,0.01,0.119,0.022,False,1.3716006387256773868004090466
0.012,0.01,0.118,0.021,False,1.3674639149299538025837433170
0.011,0.14,0.111,0.015,False,1.3544819852205740827398456475
0.011,0.14,0.112,0.015,False,1.3544819852205740827398456475
0.011,0,0.119,0.021,False,1.3517665206046386299267623554
0.011,0.02,0.118,0.022,False,1.3434112284062209104972771086
0.011,0.02,0.119,0.022,False,1.3434112284062209104972771086
0,0.03,0.117,0.013,False,1.3324689396830936950337086974
0.011,0.02,0.117,0.021,False,1.3308909861017141306985588675
0.006,0.01,0.113,0.018,False,1.3264818739134710764684149433
0.006,0.01,0.114,0.018,False,1.3264818739134710764684149433
0.037,0.16,0.119,0.029,False,1.3077277689340208165842805928
0.037,0.16,0.120,0.029,False,1.3077277689340208165842805928
0.037,0.16,0.119,0.030,False,1.3065410625015452045771726088
0.037,0.16,0.120,0.030,False,1.3065410625015452045771726088
0.012,0,0.119,0.021,False,1.3053656013580206277214847236
0.006,0,0.113,0.018,False,1.3031768456665195072719609203
0.006,0,0.114,0.018,False,1.3031768456665195072719609203
0.011,0,0.120,0.022,False,1.3029914117354294617179794653
0.011,0.01,0.117,0.021,False,1.2997143845291939969916401060
0.033,0.09,0.116,0.011,False,1.2986182520352052598667339630
0.033,0.09,0.117,0.011,False,1.2986182520352052598667339630
0.033,0.09,0.113,0.011,False,1.2922079238213991684807750367
0.033,0.09,0.114,0.011,False,1.2922079238213991684807750367
0.033,0.09,0.115,0.011,False,1.2922079238213991684807750367
0.011,0.15,0.111,0.015,False,1.2917706904936015092803027342
0.011,0.15,0.112,0.015,False,1.2917706904936015092803027342
0.010,0.01,0.119,0.023,False,1.2895562030950137145705096133
0.038,0.16,0.119,0.028,False,1.2878806374170648690089375398
0.033,0.09,0.114,0.013,False,1.2878347304986644718427547535
0.033,0.09,0.115,0.013,False,1.2878347304986644718427547535
0.038,0.16,0.119,0.030,False,1.2877601320584821145798163139
0.038,0.16,0.120,0.030,False,1.2877601320584821145798163139
0.038,0.16,0.119,0.029,False,1.2868940758536419002089869246
0.038,0.16,0.120,0.029,False,1.2868940758536419002089869246
0.033,0.09,0.116,0.012,False,1.2862318948270921054437241026
0.011,0.15,0.111,0.014,False,1.2818177028949670123107599692
0.033,0.09,0.114,0.012,False,1.2798215666132860140577651763
0.033,0.09,0.115,0.012,False,1.2798215666132860140577651763
0.015,0.11,0.113,0.015,False,1.2734289307485656511270046172
0.038,0.12,0.119,0.038,False,1.2714662900544367156297663966
0.033,0.10,0.115,0.013,False,1.2704499342900569178583407206
0.034,0.09,0.116,0.011,False,1.2677949649737310829670461230
0.033,0.10,0.113,0.011,False,1.2657284782591667048949792922
0.033,0.10,0.114,0.011,False,1.2657284782591667048949792922
0.036,0.15,0.118,0.030,False,1.2642231449802327392472700862
0.036,0.15,0.119,0.030,False,1.2642231449802327392472700862
0.036,0.15,0.120,0.030,False,1.2642231449802327392472700862
0.034,0.09,0.114,0.013,False,1.2636868550449295374286149976
0.034,0.09,0.113,0.011,False,1.2613988408573128648903753086
0.034,0.09,0.114,0.011,False,1.2613988408573128648903753086
0.034,0.09,0.115,0.011,False,1.2613988408573128648903753086
0.023,0.08,0.118,0.010,False,1.2610662348568607774501551747
0.023,0.08,0.119,0.010,False,1.2609830404385096103527513854
0.033,0.10,0.115,0.012,False,1.2591978308559685173744716265
0.033,0.10,0.116,0.012,False,1.2591978308559685173744716265
0.033,0.10,0.114,0.013,False,1.2584054322988141475989682502
0.012,0.01,0.118,0.022,False,1.2582394256017424440056554275
0.012,0.01,0.119,0.022,False,1.2582394256017424440056554275
0.033,0.10,0.117,0.011,False,1.2570911817436183257304667304
0.033,0.10,0.115,0.011,False,1.2567158799428842857928549550
0.033,0.10,0.116,0.011,False,1.2567158799428842857928549550
0.009,0.12,0.113,0.017,False,1.2560767146981732072718469154
0.011,0.13,0.116,0.017,False,1.2529172866116832208051574229
0.011,0.01,0.120,0.022,False,1.2525441782570540052484845255
0.033,0.10,0.114,0.012,False,1.2521513564089604942953865712
0.034,0.09,0.114,0.012,False,1.2504764747864240106092098721
0.034,0.09,0.115,0.012,False,1.2504764747864240106092098721
0.024,0.05,0.111,0.015,False,1.2487874705092350412253447322
0.024,0.05,0.112,0.015,False,1.2487874705092350412253447322
0.012,0.01,0.117,0.021,False,1.2443439319688915893293901810
0.007,0.18,0.114,0.018,False,1.2412741720205484740086639429
0.007,0.17,0.114,0.018,False,1.2387977072745374969575820229
0.034,0.09,0.116,0.010,False,1.2387894963709338994745612389
0.034,0.09,0.117,0.010,False,1.2387894963709338994745612389
0.007,0.18,0.111,0.018,False,1.2379813815249899028363267895
0.007,0.18,0.112,0.018,False,1.2379813815249899028363267895
0.007,0.18,0.113,0.018,False,1.2379813815249899028363267895
0.007,0.17,0.111,0.018,False,1.2355098189901694102316102411
0.007,0.17,0.112,0.018,False,1.2355098189901694102316102411
0.007,0.17,0.113,0.018,False,1.2355098189901694102316102411
0.007,0.01,0.111,0.018,False,1.2352774239432876211493973747
0.007,0.01,0.112,0.018,False,1.2352774239432876211493973747
0.024,0.05,0.111,0.014,False,1.2352452348144986313240617363
0.026,0.06,0.120,0.015,False,1.2351463945744647424149404925
0.034,0.10,0.113,0.011,False,1.2339949742315585687252230038
0.034,0.10,0.114,0.011,False,1.2339949742315585687252230038
