StopLoss,StopProfit,StartProfit,OpenCriteria,FollowTrend,Result
0.039,0.12,0.129,0.009,False,1.5777965296254268634160581861
0.040,0.12,0.129,0.009,False,1.5598966794306781966469929326
0.039,0.12,0.130,0.009,False,1.4073012365674708466283437902
0.035,0.01,0.125,0.007,False,1.4030672780286172126706338814
0.040,0.12,0.130,0.009,False,1.3882171925016366292070507229
0.036,0.01,0.124,0.007,False,1.3804959782941031730978801399
0.036,0.01,0.125,0.007,False,1.3736073551555397929347337131
0.036,0.02,0.124,0.007,False,1.3724896722411114301670249305
0.039,0.13,0.129,0.009,False,1.3415034108713004916916040603
0.035,0,0.125,0.007,False,1.3333001210432040598667400362
0.039,0.05,0.126,0.009,False,1.3271734015598126585093302714
0.040,0.13,0.129,0.009,False,1.3198192960926624933793536163
0.040,0.14,0.129,0.009,False,1.3163414134922562955584871004
0.017,0,0.128,0.003,False,1.3044157853638892233025907985
0.029,0.02,0.121,0.005,False,1.3013682830499400515186260464
0.030,0.07,0.129,0.013,False,1.3003837644197685444449709594
0.030,0.07,0.130,0.013,False,1.3003837644197685444449709594
0.032,0.12,0.129,0.009,False,1.2942450506828965883561870965
0.039,0.05,0.126,0.008,False,1.2868891916009755154068939089
0.034,0.07,0.129,0.012,False,1.2800760263535344366139213116
0.035,0.02,0.125,0.007,False,1.2626711494217298567670665040
0.039,0.05,0.126,0.007,False,1.2567499951987891409415791136
0.016,0,0.123,0.002,False,1.2557141993130211844931576008
0.019,0,0.127,0.003,False,1.2488503492140322524080050547
0.030,0.06,0.129,0.013,False,1.2443969630019806348298326061
0.030,0.06,0.130,0.013,False,1.2443969630019806348298326061
0.034,0.12,0.123,0.007,False,1.2437829729857398009373715301
0.034,0.12,0.124,0.007,False,1.2437829729857398009373715301
0.039,0.12,0.130,0.008,False,1.2411369580527890663164430067
0.033,0.07,0.129,0.011,False,1.2398657962005169188283690682
0.038,0.05,0.126,0.009,False,1.2387457651011930904080994092
0.033,0.07,0.129,0.012,False,1.2374766619692269439734593893
0.037,0.05,0.126,0.007,False,1.2373694277405518492693586096
0.035,0.15,0.129,0.009,False,1.2348606778837535446272652931
0.019,0.02,0.129,0.015,True,1.2331061713732698423053723748
0.036,0.02,0.125,0.007,False,1.2322477067171808218102491255
0.019,0.03,0.129,0.015,True,1.2316965855634515573284626822
0.032,0.12,0.128,0.009,False,1.2312986260384401442660359707
0.034,0.07,0.129,0.014,False,1.2265728016677755584755831604
0.034,0.07,0.129,0.010,False,1.2230848232433610617436971774
0.034,0.06,0.129,0.012,False,1.2230110959914230288956313706
0.034,0.07,0.129,0.011,False,1.2221791386659334517781545032
0.034,0.07,0.129,0.013,False,1.2219888763379795239745897727
0.040,0.12,0.130,0.008,False,1.2210660150980761454734573287
0.032,0,0.125,0.025,True,1.2175223803533951230685217979
0.040,0.12,0.130,0.007,False,1.2129022194640694196423116583
0.018,0,0.127,0.001,False,1.2125475194020532322775575169
0.030,0.11,0.129,0.012,False,1.2114100103562715177570377100
0.030,0.11,0.130,0.012,False,1.2114100103562715177570377100
0.037,0.01,0.123,0.007,False,1.2104561633685367471710315361
0.037,0.01,0.124,0.007,False,1.2104561633685367471710315361
0.038,0.05,0.126,0.007,False,1.2091918613555400730328646686
0.031,0.11,0.129,0.012,False,1.2083296955324752200818870619
0.019,0.01,0.130,0.001,False,1.2077434380081552547941018410
0.033,0.13,0.123,0.008,False,1.2071799469104208398093193260
0.033,0.13,0.124,0.008,False,1.2071799469104208398093193260
0.031,0.11,0.130,0.012,False,1.2067636760387147501855151256
0.037,0.01,0.125,0.007,False,1.2055715222240984705339321558
0.039,0.12,0.129,0.008,False,1.2037562719976063668384415153
0.037,0.02,0.125,0.007,False,1.2030592359872369433759171744
0.033,0.14,0.122,0.008,False,1.2027352020526208200976864090
0.033,0.14,0.123,0.008,False,1.2027352020526208200976864090
0.033,0.14,0.124,0.008,False,1.2027352020526208200976864090
0.037,0.02,0.123,0.007,False,1.2024498573155450042401763267
0.037,0.02,0.124,0.007,False,1.2024498573155450042401763267
0.039,0.05,0.129,0.009,False,1.2019027872854882982433038742
0.033,0.12,0.128,0.009,False,1.2002011350843138995223210247
0.023,0.06,0.124,0.014,False,1.1990908364213471739444023394
0.039,0.08,0.130,0.013,False,1.1961478224841411709172470592
0.039,0.08,0.130,0.012,False,1.1960909758695527563076513963
0.019,0.02,0.130,0.015,True,1.1951650629612536904503461283
