StopLoss,StopProfit,StartProfit,OpenCriteria,FollowTrend,Result
0.010,0.01,0.02,0.004,False,1.0272409840917865751553795848
0.010,0.02,0.02,0.004,False,1.0055061685805867403466534771
0.011,0.01,0.02,0.004,False,0.9474871718448738705859287890
0.010,0.05,0.02,0.004,False,0.9287799438578587465283075469
0.011,0.06,0.02,0.004,False,0.9287038269115641566802649479
0.011,0.05,0.02,0.004,False,0.9208775517464021604192516757
0.008,0.06,0.02,0.015,True,0.9140665147007721591866802536
0.010,0.06,0.02,0.004,False,0.8966493352504318334829866142
0.008,0.07,0.02,0.015,True,0.8912487122746286444203768715
0.009,0.01,0.02,0.015,True,0.8875654939099214829580434485
0.011,0.07,0.02,0.004,False,0.8780939470800443114323139961
0.009,0,0.02,0.015,True,0.8505293774840048608098236827
0.010,0,0.02,0.004,False,0.8504955221241447861900960647
0.011,0.08,0.02,0.004,False,0.8453084620633834156922943780
0.009,0.02,0.02,0.015,True,0.8260382452150660474489498955
0.010,0.03,0.02,0.004,False,0.8226001623702921741722469912
0.010,0.02,0.02,0.015,True,0.8194293549997997813832633226
0.011,0.02,0.02,0.004,False,0.8154481346970926604263262063
0.010,0.01,0.02,0.015,True,0.8153082638176699303857400246
0.008,0.01,0.02,0.015,True,0.8137936760989703761184869802
0.008,0.01,0.02,0.012,True,0.8044613092136256267852252356
0.011,0.04,0.02,0.004,False,0.7975488901109988589920779317
0.008,0.05,0.02,0.015,True,0.7910293162529869570452789222
0.008,0.08,0.02,0.015,True,0.7905051197390085087640389014
0.010,0,0.02,0.038,False,0.7865420662150818118185218486
0.010,0.01,0.02,0.038,False,0.7766397921182239777079907576
0.008,0.10,0.02,0.015,True,0.7757280290803532598484744069
0.008,0,0.02,0.015,True,0.7749621827560273208792150194
0.011,0.03,0.02,0.004,False,0.7738008418454125016598808439
0.008,0,0.02,0.012,True,0.7716730966004755428731743629
0.010,0.02,0.02,0.038,False,0.7688942747190610508799494453
0.008,0.02,0.02,0.015,True,0.7661907327932007341136899281
0.008,0.09,0.02,0.015,True,0.7630987566204215287089257511
0.010,0.04,0.02,0.038,False,0.7627254369804052114497746567
0.010,0.03,0.02,0.038,False,0.7620724078166623219329232661
0.010,0,0.02,0.015,True,0.7603342590279026801521311618
0.010,0.02,0.02,0.001,False,0.7557886185809485904025477636
0.008,0.02,0.02,0.012,True,0.7534652000099873686462637049
0.010,0.04,0.02,0.004,False,0.7534600138775369388176250178
0.010,0.06,0.02,0.015,True,0.7531781386738365385826567284
0.010,0,0.02,0.010,False,0.7514140347580747231006303183
0.009,0.03,0.02,0.015,True,0.7423113619496753751341892321
0.011,0,0.02,0.004,False,0.7387481892985058521301434202
0.011,0.09,0.02,0.004,False,0.7363275165493438690733966561
0.010,0,0.02,0.013,False,0.7362989484622623685958284659
0.010,0.01,0.02,0.010,False,0.7348307120340687526646634835
0.011,0.02,0.02,0.001,False,0.7304331944488546581729206536
0.010,0.01,0.02,0.013,False,0.7293484231912709806334560140
0.021,0,0.02,0.023,False,0.7255620677553729913775830193
0.008,0.06,0.02,0.012,True,0.7206416921111341768036056883
0.008,0.07,0.02,0.014,True,0.7164687881317302842997956275
0.010,0.02,0.02,0.010,False,0.7144430121494526607066314943
0.010,0.02,0.02,0.013,False,0.7121915398261549590625798331
0.013,0.08,0.02,0.038,False,0.7067570238002886036146582144
0.008,0.07,0.02,0.012,True,0.6966452091234791424466109686
0.010,0.03,0.02,0.015,True,0.6911070076245268888810781931
0.011,0.05,0.02,0.003,False,0.6890947949329567541778339557
0.010,0,0.02,0.012,False,0.6888734204382135293328127183
0.010,0.05,0.02,0.038,False,0.6856824120399317036515516530
0.013,0.05,0.02,0.038,False,0.6856535960537427759383713514
0.015,0.25,0.02,0.013,False,0.6833615642722946588628498443
0.010,0.04,0.02,0.013,False,0.6827449532731304307789913091
0.013,0.04,0.02,0.038,False,0.6803606264935354462648747287
0.010,0.01,0.02,0.017,True,0.6797610642282683521995144714
0.010,0.05,0.02,0.015,True,0.6791663771346242688245173974
0.010,0.06,0.02,0.014,True,0.6776415206969781766957252129
0.010,0.04,0.02,0.015,True,0.6754728500880078412690199626
0.013,0.06,0.02,0.038,False,0.6753442140543414415107370446
0.010,0.06,0.02,0.038,False,0.6747244388703656372769326525
0.010,0.05,0.02,0.017,True,0.6740665197065181898932418050
0.008,0.08,0.02,0.006,False,0.6708144411893456602654617318
0.010,0.05,0.02,0.001,False,0.6663866188916723764136450738
0.007,0,0.02,0.012,True,0.6652895764118533876494882199
0.013,0.07,0.02,0.038,False,0.6640927356413061803085908095
0.010,0.01,0.02,0.001,False,0.6640024289631186938162307003
0.010,0.02,0.02,0.017,True,0.6635812169125004784668330433
0.010,0.01,0.02,0.012,False,0.6620288476307606167195907037
0.010,0.02,0.02,0.014,True,0.6618863812719302606308587136
0.008,0.06,0.02,0.006,False,0.6612171595009598019423297828
0.020,0.17,0.02,0.007,False,0.6610083810118877800053831867
0.009,0,0.02,0.016,False,0.6595177633626206378306940915
0.010,0.01,0.02,0.014,True,0.6583736752947643061530980924
0.013,0,0.02,0.038,False,0.6579392477067681221137145213
0.013,0.02,0.02,0.038,False,0.6578767473616155887576029991
0.011,0.06,0.02,0.003,False,0.6578723094096566729290484465
0.020,0.10,0.02,0.027,False,0.6561295461379440568361417498
0.008,0.07,0.02,0.006,False,0.6559583006644480459961634305
0.011,0.05,0.02,0.001,False,0.6548437871480409481748241386
0.011,0.01,0.02,0.001,False,0.6532353534696468156087491567
0.020,0.17,0.02,0.006,False,0.6520671159913571745467337148
0.015,0.25,0.02,0.012,False,0.6503901057808263331838512118
0.013,0.03,0.02,0.038,False,0.6503300971148623314429031472
0.013,0.01,0.02,0.038,False,0.6464373872080542905777572360
0.009,0.16,0.02,0.015,True,0.6438081222697284599965996437
0.010,0.02,0.02,0.012,False,0.6435082789988640392934154442
0.015,0.10,0.02,0.040,False,0.6419496265512606289898476286
0.007,0.07,0.02,0.006,False,0.6417106304230942317543686028
0.008,0.05,0.02,0.012,True,0.6392231182712033732192443068
0.012,0.01,0.02,0.015,True,0.6384930610638346883960070379
0.008,0.03,0.02,0.015,True,0.6347575491549667406900107962
