StopLoss,StopProfit,StartProfit,OpenCriteria,FollowTrend,Result
0.016,0,0.052,0.002,False,1.2194000771220553951059092486
0.015,0.01,0.068,0.026,False,1.1842039924170288914387298705
0.026,0.15,0.049,0.026,False,1.1713340866403518293555401267
0.014,0.01,0.068,0.027,False,1.1388134099572532206115536570
0.026,0.14,0.051,0.029,False,1.1335892998346449022043994549
0.026,0.15,0.049,0.027,False,1.1301120431810288373307235220
0.026,0.15,0.051,0.029,False,1.1292848054876917990773306077
0.015,0.01,0.068,0.040,False,1.1267659344519937009208157106
0.015,0.01,0.069,0.040,False,1.1267659344519937009208157106
0.015,0.01,0.068,0.039,False,1.1255873556607367977348516502
0.015,0.01,0.069,0.039,False,1.1255873556607367977348516502
0.015,0.01,0.068,0.038,False,1.1248243330080446196467527728
0.015,0.01,0.069,0.038,False,1.1248243330080446196467527728
0.015,0.01,0.068,0.037,False,1.1235613885236856754316805898
0.011,0,0.045,0.018,False,1.1230493760116926084648343745
0.010,0,0.046,0.018,False,1.1196801075064084482237242316
0.025,0.15,0.049,0.027,False,1.1153408809439336242116930615
0.010,0,0.045,0.018,False,1.1144703660485945147133188800
0.027,0.14,0.050,0.029,False,1.1035056592328574555094144203
0.027,0.14,0.051,0.029,False,1.1035056592328574555094144203
0.027,0.15,0.049,0.027,False,1.1027605308865544922916957869
0.016,0.01,0.068,0.040,False,1.1013287408433754619615557313
0.016,0.01,0.069,0.040,False,1.1013287408433754619615557313
0.016,0.01,0.068,0.039,False,1.1001520471868190283510054784
0.016,0.01,0.069,0.039,False,1.1001520471868190283510054784
0.027,0.15,0.050,0.029,False,1.1000568819775946095206809003
0.027,0.15,0.051,0.029,False,1.1000568819775946095206809003
0.016,0.01,0.068,0.038,False,1.0989071144106582738553942122
0.016,0.01,0.069,0.038,False,1.0989071144106582738553942122
0.016,0.01,0.068,0.037,False,1.0981303083512547632875284768
0.009,0.01,0.049,0.018,False,1.0957759065262893104392600924
0.015,0,0.068,0.026,False,1.0951168448610866266462165518
0.018,0,0.052,0.002,False,1.0838749884241372506457837449
0.018,0,0.053,0.002,False,1.0838749884241372506457837449
0.015,0.01,0.066,0.040,False,1.0797225327236567159770784360
0.015,0.01,0.067,0.040,False,1.0797225327236567159770784360
0.015,0.01,0.066,0.039,False,1.0785439539323998127911143756
0.015,0.01,0.067,0.039,False,1.0785439539323998127911143756
0.017,0,0.053,0.003,False,1.0750147306452212276892022835
0.017,0.01,0.068,0.040,False,1.0749792994931892044810827355
0.017,0.01,0.069,0.040,False,1.0749792994931892044810827355
0.028,0.15,0.049,0.027,False,1.0742186066452546591641738519
0.017,0.01,0.068,0.039,False,1.0738044947258033606088729422
0.017,0.01,0.069,0.039,False,1.0738044947258033606088729422
0.026,0.15,0.046,0.026,False,1.0734015321040653107048420514
0.011,0,0.046,0.018,False,1.0732270766755174342063982740
0.011,0,0.047,0.018,False,1.0731463843092343491777570506
0.017,0.01,0.068,0.038,False,1.0725619180273127097231061918
0.017,0.01,0.069,0.038,False,1.0725619180273127097231061918
0.028,0.14,0.049,0.029,False,1.0720925927312492271094498751
0.028,0.14,0.050,0.029,False,1.0720925927312492271094498751
0.015,0,0.069,0.040,False,1.0718548299223517731797845686
0.017,0.01,0.068,0.037,False,1.0717869926213365966763833187
0.015,0.03,0.058,0.036,False,1.0712350458511021747962284383
0.015,0,0.069,0.039,False,1.0706762511310948699938205082
0.028,0.14,0.050,0.028,False,1.0700201070654949317565193460
0.015,0,0.069,0.038,False,1.0699132284784026919057216308
0.015,0.03,0.054,0.036,False,1.0694881970945948394696384048
0.015,0.03,0.058,0.035,False,1.0691035457424355020114021023
