StopLoss,StopProfit,StartProfit,OpenCriteria,FollowTrend,Result
0.020,0,0.166,0.033,False,1.2781233175454308979117750130
0.018,0,0.166,0.033,False,1.2767503965048099628385800441
0.020,0,0.167,0.033,False,1.2723438428581106737015178229
0.020,0,0.168,0.033,False,1.2723438428581106737015178229
0.020,0,0.169,0.033,False,1.2723438428581106737015178229
0.020,0,0.170,0.033,False,1.2723438428581106737015178229
0.018,0.12,0.165,0.035,False,1.2642651951615203879042753461
0.018,0.12,0.166,0.035,False,1.2642651951615203879042753461
0.018,0.12,0.167,0.035,False,1.2642651951615203879042753461
0.018,0.12,0.168,0.035,False,1.2642651951615203879042753461
0.018,0.12,0.169,0.035,False,1.2642651951615203879042753461
0.018,0.12,0.170,0.035,False,1.2642651951615203879042753461
0.018,0.12,0.171,0.035,False,1.2642651951615203879042753461
0.019,0,0.166,0.033,False,1.2508837769884667340926937095
0.002,0,0.163,0.015,False,1.2434793790613300743757658788
0.002,0,0.164,0.015,False,1.2434793790613300743757658788
0.019,0.12,0.161,0.030,False,1.2391221298110670499276578884
0.020,0.12,0.161,0.030,False,1.2322044949081891604093678942
0.020,0.12,0.162,0.030,False,1.2322044949081891604093678942
0.020,0.12,0.163,0.030,False,1.2322044949081891604093678942
0.020,0.12,0.164,0.030,False,1.2322044949081891604093678942
0.020,0.12,0.165,0.030,False,1.2322044949081891604093678942
0.020,0.12,0.166,0.030,False,1.2322044949081891604093678942
0.020,0.12,0.167,0.030,False,1.2322044949081891604093678942
0.020,0.12,0.168,0.030,False,1.2322044949081891604093678942
0.020,0.12,0.169,0.030,False,1.2322044949081891604093678942
0.020,0.12,0.170,0.030,False,1.2322044949081891604093678942
0.020,0.12,0.171,0.030,False,1.2322044949081891604093678942
0.020,0.12,0.161,0.029,False,1.2285308365215743569276668771
0.020,0.12,0.162,0.029,False,1.2285308365215743569276668771
0.020,0.12,0.163,0.029,False,1.2285308365215743569276668771
0.020,0.12,0.164,0.029,False,1.2285308365215743569276668771
0.020,0.12,0.165,0.029,False,1.2285308365215743569276668771
0.020,0.12,0.166,0.029,False,1.2285308365215743569276668771
0.020,0.12,0.167,0.029,False,1.2285308365215743569276668771
0.020,0.12,0.168,0.029,False,1.2285308365215743569276668771
0.020,0.12,0.169,0.029,False,1.2285308365215743569276668771
0.020,0.12,0.170,0.029,False,1.2285308365215743569276668771
0.020,0.12,0.161,0.028,False,1.2262646574929604829520512782
0.020,0.12,0.162,0.028,False,1.2262646574929604829520512782
0.020,0.12,0.163,0.028,False,1.2262646574929604829520512782
0.020,0.12,0.164,0.028,False,1.2262646574929604829520512782
0.020,0.12,0.165,0.028,False,1.2262646574929604829520512782
0.020,0.12,0.166,0.028,False,1.2262646574929604829520512782
0.020,0.12,0.167,0.028,False,1.2262646574929604829520512782
0.020,0.12,0.168,0.028,False,1.2262646574929604829520512782
0.020,0.10,0.169,0.028,False,1.2253205512327839983582152483
0.020,0.11,0.169,0.028,False,1.2253205512327839983582152483
0.020,0.11,0.170,0.028,False,1.2253205512327839983582152483
0.020,0.10,0.170,0.028,False,1.2253205512327839983582152483
0.020,0.11,0.171,0.028,False,1.2253205512327839983582152483
0.020,0.10,0.171,0.028,False,1.2253205512327839983582152483
0.020,0.11,0.172,0.028,False,1.2253205512327839983582152483
0.020,0.10,0.172,0.028,False,1.2253205512327839983582152483
0.020,0.11,0.173,0.028,False,1.2253205512327839983582152483
0.020,0.10,0.173,0.028,False,1.2253205512327839983582152483
0.020,0.11,0.174,0.028,False,1.2253205512327839983582152483
0.020,0.10,0.174,0.028,False,1.2253205512327839983582152483
0.020,0.11,0.175,0.028,False,1.2253205512327839983582152483
0.020,0.10,0.175,0.028,False,1.2253205512327839983582152483
0.012,0.12,0.169,0.040,False,1.2197585962546331666367341879
0.012,0.12,0.170,0.040,False,1.2197585962546331666367341879
0.012,0.12,0.171,0.040,False,1.2197585962546331666367341879
0.012,0.12,0.172,0.040,False,1.2197585962546331666367341879
0.012,0.12,0.173,0.040,False,1.2197585962546331666367341879
0.012,0.12,0.174,0.040,False,1.2197585962546331666367341879
0.012,0.12,0.175,0.040,False,1.2197585962546331666367341879
0.012,0.12,0.176,0.040,False,1.2197585962546331666367341879
0.012,0.12,0.177,0.040,False,1.2197585962546331666367341879
0.012,0.12,0.178,0.040,False,1.2197585962546331666367341879
0.012,0.12,0.179,0.040,False,1.2197585962546331666367341879
0.012,0.12,0.180,0.040,False,1.2197585962546331666367341879
0.012,0.12,0.181,0.040,False,1.2197585962546331666367341879
0.012,0.12,0.182,0.040,False,1.2197585962546331666367341879
0.012,0.12,0.183,0.040,False,1.2197585962546331666367341879
0.019,0.15,0.161,0.017,False,1.2186867799737878877686496378
0.004,0.16,0.169,0.014,False,1.2160070436895104355864000381
0.004,0.16,0.170,0.014,False,1.2160070436895104355864000381
0.002,0,0.162,0.015,False,1.2152475461126663507920650751
0.018,0.11,0.190,0.034,False,1.2126386110243285492129417908
0.018,0.11,0.191,0.034,False,1.2126386110243285492129417908
0.018,0.11,0.192,0.034,False,1.2126386110243285492129417908
0.018,0.11,0.193,0.034,False,1.2126386110243285492129417908
0.018,0.11,0.194,0.034,False,1.2126386110243285492129417908
0.018,0.11,0.195,0.034,False,1.2126386110243285492129417908
0.018,0.11,0.196,0.034,False,1.2126386110243285492129417908
0.018,0.11,0.197,0.034,False,1.2126386110243285492129417908
0.018,0.11,0.198,0.034,False,1.2126386110243285492129417908
0.018,0.11,0.199,0.034,False,1.2126386110243285492129417908
0.018,0.11,0.200,0.034,False,1.2126386110243285492129417908
0.018,0.12,0.190,0.034,False,1.2116798585532354353462813554
0.018,0.12,0.191,0.034,False,1.2116798585532354353462813554
0.018,0.12,0.192,0.034,False,1.2116798585532354353462813554
0.018,0.12,0.193,0.034,False,1.2116798585532354353462813554
0.018,0.12,0.194,0.034,False,1.2116798585532354353462813554
0.018,0.12,0.195,0.034,False,1.2116798585532354353462813554
0.018,0.12,0.196,0.034,False,1.2116798585532354353462813554
0.018,0.12,0.197,0.034,False,1.2116798585532354353462813554
0.018,0.12,0.198,0.034,False,1.2116798585532354353462813554
0.018,0.12,0.199,0.034,False,1.2116798585532354353462813554
0.018,0.12,0.200,0.034,False,1.2116798585532354353462813554
0.016,0.05,0.185,0.040,False,1.2098590607237557891704239984
0.004,0.16,0.167,0.014,False,1.2041326529444401156628911597
0.004,0.16,0.168,0.014,False,1.2041326529444401156628911597
0.004,0.13,0.167,0.014,False,1.2032511768071976926469179068
0.004,0.13,0.168,0.014,False,1.2032511768071976926469179068
0.018,0.12,0.187,0.035,False,1.2028590638586954966707461788
0.018,0.11,0.187,0.035,False,1.2028590638586954966707461788
0.020,0.11,0.176,0.028,False,1.2011604316576138792274458833
0.020,0.10,0.176,0.028,False,1.2011604316576138792274458833
0.020,0.11,0.177,0.028,False,1.2011604316576138792274458833
0.020,0.10,0.177,0.028,False,1.2011604316576138792274458833
0.017,0.05,0.185,0.036,False,1.1998625076583505676923964578
0.007,0,0.186,0.018,False,1.1979733600611782783949173621
0.019,0.11,0.190,0.034,False,1.1942937196354893029960500508
0.019,0.11,0.191,0.034,False,1.1942937196354893029960500508
0.019,0.11,0.192,0.034,False,1.1942937196354893029960500508
0.019,0.11,0.193,0.034,False,1.1942937196354893029960500508
0.019,0.11,0.194,0.034,False,1.1942937196354893029960500508
0.019,0.11,0.195,0.034,False,1.1942937196354893029960500508
0.019,0.11,0.196,0.034,False,1.1942937196354893029960500508
0.019,0.11,0.197,0.034,False,1.1942937196354893029960500508
0.019,0.11,0.198,0.034,False,1.1942937196354893029960500508
0.019,0.11,0.199,0.034,False,1.1942937196354893029960500508
0.019,0.11,0.200,0.034,False,1.1942937196354893029960500508
0,0,0.166,0.014,False,1.1941415191789987094977805360
0.019,0.12,0.190,0.034,False,1.1933332380902488054648283127
0.019,0.12,0.191,0.034,False,1.1933332380902488054648283127
0.019,0.12,0.192,0.034,False,1.1933332380902488054648283127
0.019,0.12,0.193,0.034,False,1.1933332380902488054648283127
0.019,0.12,0.194,0.034,False,1.1933332380902488054648283127
0.019,0.12,0.195,0.034,False,1.1933332380902488054648283127
0.019,0.12,0.196,0.034,False,1.1933332380902488054648283127
0.019,0.12,0.197,0.034,False,1.1933332380902488054648283127
0.019,0.12,0.198,0.034,False,1.1933332380902488054648283127
0.019,0.12,0.199,0.034,False,1.1933332380902488054648283127
0.019,0.12,0.200,0.034,False,1.1933332380902488054648283127
0.004,0.14,0.167,0.014,False,1.1928782291808566405117052658
0.004,0.14,0.168,0.014,False,1.1928782291808566405117052658
0.016,0.05,0.185,0.039,False,1.1909095433881343752645416930
0.006,0,0.190,0.022,False,1.1885756675582750039750057721
0.006,0,0.191,0.022,False,1.1885756675582750039750057721
0.013,0.12,0.168,0.040,False,1.1866197849799472849343251077
0.013,0.12,0.169,0.040,False,1.1866197849799472849343251077
0.013,0.12,0.170,0.040,False,1.1866197849799472849343251077
0.013,0.12,0.171,0.040,False,1.1866197849799472849343251077
0.013,0.12,0.172,0.040,False,1.1866197849799472849343251077
0.013,0.12,0.173,0.040,False,1.1866197849799472849343251077
0.013,0.12,0.174,0.040,False,1.1866197849799472849343251077
0.013,0.12,0.175,0.040,False,1.1866197849799472849343251077
0.013,0.12,0.176,0.040,False,1.1866197849799472849343251077
0.013,0.12,0.177,0.040,False,1.1866197849799472849343251077
0.013,0.12,0.178,0.040,False,1.1866197849799472849343251077
0.013,0.12,0.179,0.040,False,1.1866197849799472849343251077
0.013,0.12,0.180,0.040,False,1.1866197849799472849343251077
0.013,0.12,0.181,0.040,False,1.1866197849799472849343251077
0.013,0.12,0.182,0.040,False,1.1866197849799472849343251077
0.013,0.12,0.183,0.040,False,1.1866197849799472849343251077
0.004,0.15,0.167,0.014,False,1.1856221471527836808057431551
0.004,0.15,0.168,0.014,False,1.1856221471527836808057431551
0.006,0,0.186,0.022,False,1.1839205996059164777917974264
0.006,0,0.187,0.022,False,1.1839205996059164777917974264
0.006,0,0.188,0.022,False,1.1839205996059164777917974264
0.006,0,0.189,0.022,False,1.1839205996059164777917974264
0.012,0.12,0.186,0.040,False,1.1825640334528302150854565097
0.012,0.11,0.186,0.040,False,1.1825640334528302150854565097
