StopLoss,StopProfit,StartProfit,OpenCriteria,FollowTrend,Result
0.027,0,0.095,0.020,False,1.7833173720501976045562278381
0.027,0,0.095,0.019,False,1.7767964087959383403907109251
0.026,0,0.095,0.020,False,1.7505688370965588760165370709
0.015,0.05,0.136,0.017,False,1.7087385847366973303710194572
0.015,0.05,0.137,0.017,False,1.7087385847366973303710194572
0.026,0,0.096,0.020,False,1.6914126169297278823861631880
0.015,0.05,0.134,0.017,False,1.6870627666280715837425842636
0.015,0.05,0.135,0.017,False,1.6870627666280715837425842636
0.028,0,0.095,0.020,False,1.6683968725229163407972783380
0.028,0,0.095,0.019,False,1.6630459485119356906356676507
0.027,0,0.096,0.020,False,1.6544771576040721549700880235
0.017,0.07,0.143,0.016,False,1.6525314672001192225024663486
0.017,0.07,0.144,0.016,False,1.6525314672001192225024663486
0.017,0.07,0.145,0.016,False,1.6525314672001192225024663486
0.017,0.07,0.146,0.016,False,1.6525314672001192225024663486
