StopLoss,StopProfit,StartProfit,OpenCriteria,FollowTrend,Result
0.002,0.08,0.021,0.008,True,2.9159069110399997231009139941
0.002,0.06,0.021,0.008,True,2.8778079554159746504486671144
0.002,0.09,0.021,0.008,True,2.8745292003915233179120798763
0.002,0.07,0.021,0.008,True,2.8301946136645440021527616889
0.002,0,0.02,0.008,True,2.7261974350623203192982441126
0.009,0,0.022,0.013,True,2.7104571195628067611164766453
0.031,0,0.030,0.010,False,2.7097435531616588922565314010
0.010,0,0.022,0.013,True,2.7058822798640953595724682910
0.011,0,0.022,0.013,True,2.7002014576312681258162327156
0.002,0,0.021,0.008,True,2.6902087352626149940380096561
0.032,0,0.030,0.010,False,2.6831116834778699218547744579
0.002,0.05,0.021,0.008,True,2.6529951967944602947568681373
0.002,0.01,0.021,0.008,True,2.6481296319377928634855953666
0.031,0,0.030,0.012,False,2.6413275023735023033191041542
0.002,0.03,0.021,0.008,True,2.6329260334798928269766331241
0.002,0.08,0.02,0.008,True,2.6167848052943201081082455865
0.032,0.01,0.030,0.010,False,2.6133645948478418062242164723
0.002,0.04,0.021,0.008,True,2.5960059198178430182771638991
0.007,0.03,0.070,0.013,True,2.5842613023706646485568854505
0.029,0.07,0.077,0.005,True,2.5842156627889570388330600959
0.029,0.07,0.078,0.005,True,2.5838772420490690969348890532
0.012,0.04,0.030,0.009,True,2.5822941908258615921939664077
0.002,0.06,0.02,0.008,True,2.5785777874652238114010389871
0.034,0.05,0.031,0.023,True,2.5760612627868923230742326853
0.002,0.07,0.02,0.008,True,2.5740425487516694947147627860
0.034,0.03,0.022,0.007,True,2.5731512484672522948249969906
0.028,0.06,0.079,0.007,True,2.5712246714968104942339202211
0.020,0.22,0.045,0.019,True,2.5673024623829445558694578779
0.032,0.15,0.080,0.013,False,2.5660466754105696942061619753
0.006,0,0.026,0.014,True,2.5639340716946463508885597436
0.028,0.06,0.078,0.007,True,2.5631698158863823720241187312
0.002,0.01,0.02,0.008,True,2.5617761257761385309392379601
0.037,0.03,0.030,0.003,False,2.5592331809157820784214342646
0.002,0.05,0.02,0.008,True,2.5569048576743474140384571574
0.034,0.06,0.031,0.023,True,2.5548449357792446694049121094
0.012,0.04,0.031,0.009,True,2.5527483694683709546039284199
0.002,0.09,0.022,0.008,True,2.5469124168429219430642054916
0.020,0.21,0.045,0.019,True,2.5462975128536133476338103172
