StopLoss,StopProfit,StartProfit,OpenCriteria,FollowTrend,Result
0.001,0.06,0.119,0.009,True,3.4161889903162997673174306027
0.031,0.01,0.121,0.024,False,3.4129236687757679815344785897
0.001,0.05,0.119,0.009,True,3.3811451449052777665918834364
0.001,0.05,0.120,0.008,True,3.3634090703001853554574671256
0.031,0.02,0.119,0.026,False,3.3274252936944205826621277446
0.002,0.06,0.117,0.007,False,3.3241484600139921234855508048
0,0.04,0.120,0.009,True,3.3241402692643887531478731207
0,0.04,0.121,0.009,True,3.3241402692643887531478731207
0.002,0.03,0.119,0.009,True,3.3092450378328629724826317453
0,0.06,0.120,0.009,True,3.2959797177200226057756815376
0,0.06,0.121,0.009,True,3.2959797177200226057756815376
0.002,0.06,0.118,0.007,False,3.2903838871930097015302935768
0,0.04,0.126,0.009,True,3.2868240089475603223778546416
0,0.05,0.125,0.011,True,3.2706892457505792745806154447
0,0.06,0.126,0.009,True,3.2691916359058650584210627495
0,0.05,0.119,0.009,True,3.2675499672293538335273930170
0,0.04,0.125,0.011,True,3.2658158758655791973302675434
0,0.05,0.124,0.011,True,3.2535550041706283823477890841
0.032,0.02,0.119,0.026,False,3.2524740062863564030801632959
0,0.05,0.126,0.011,True,3.2466548296488092975312056374
0,0.04,0.119,0.009,True,3.2451134061119310824290669727
0,0.04,0.126,0.011,True,3.2417814597638092202808577361
0,0.06,0.123,0.009,True,3.2385599584375429022331382169
0,0.05,0.120,0.009,True,3.2355022655072418530180672654
0,0.05,0.121,0.009,True,3.2355022655072418530180672654
0.033,0.02,0.119,0.026,False,3.2246878324196843504479673847
0,0.04,0.124,0.011,True,3.2245067916569299479655062510
0.031,0.03,0.132,0.040,False,3.2223029730939460888157832798
0,0.06,0.122,0.009,True,3.2191143860830270500813550646
0.001,0.03,0.119,0.009,True,3.2160691902920212624908753257
0.001,0.04,0.119,0.009,True,3.2103140897954036688018285856
0,0.05,0.126,0.009,True,3.2071783398858908321591967530
0.032,0.03,0.120,0.022,False,3.2067227342798038530110948308
0,0.04,0.122,0.009,True,3.2027437414626607450653856227
0.006,0.05,0.117,0.011,True,3.2008825112027934330784130974
0.032,0.03,0.119,0.022,False,3.1977032104980079005520727053
0.033,0.02,0.134,0.039,False,3.1857363012043053253755219714
0,0.05,0.123,0.009,True,3.1786093055576888670577294044
0.001,0.05,0.121,0.007,True,3.1751167635434926793620253832
0.031,0.01,0.112,0.017,True,3.1717242651466263188803587584
0.028,0.01,0.152,0.020,True,3.1712922675357924405491133243
0.026,0.01,0.153,0.020,True,3.1665932665206712626118314444
0.001,0.04,0.120,0.008,True,3.1634827822867867506035695266
0,0.05,0.122,0.009,True,3.1591637332031730149059462521
0.001,0.05,0.120,0.009,True,3.1558856214181478493000532090
0.001,0.05,0.121,0.009,True,3.1558856214181478493000532090
0.027,0.01,0.152,0.020,True,3.1518514380509594746174391799
0,0.07,0.125,0.011,True,3.1517885534238691541382330533
0.001,0.05,0.119,0.008,True,3.1489744077799144197665481073
0.026,0.01,0.152,0.020,True,3.1451187065259662154602459661
0.001,0.06,0.117,0.007,False,3.1431042281131783711314204667
0.034,0.02,0.133,0.038,False,3.1386303760271287421769497155
0.017,0,0.121,0.005,True,3.1386199120233129813702250617
0.034,0.02,0.133,0.039,False,3.1384567775107528822113780006
0.001,0.04,0.118,0.008,True,3.1383707546282816042841859133
0.001,0.06,0.118,0.009,True,3.1375090025266225548341023344
0.034,0.02,0.133,0.037,False,3.1364687593803084629652644133
0.033,0.03,0.118,0.022,False,3.1302078446324457752441259866
0,0.07,0.124,0.011,True,3.1300172363251389253710768509
0.037,0.02,0.129,0.035,False,3.1288357559850717115221232227
