StopLoss,StopProfit,StartProfit,OpenCriteria,FollowTrend,Result
0.015,0,0.02,0.018,True,2.8787536245791581555715964014
0.014,0.04,0.063,0.006,False,2.8527759190551707643038282579
0.003,0.20,0.043,0.005,True,2.7848457209011366841169830537
0.027,0.16,0.069,0.021,True,2.7769903444007977867736802018
0.027,0.16,0.068,0.021,True,2.7750255546068621373994325948
0.013,0.03,0.068,0.010,False,2.7516850072828512626282916596
0.014,0.02,0.068,0.010,False,2.7496059755846443498980163810
0.016,0.06,0.069,0.010,False,2.7418387528351308141810977422
0.016,0.06,0.070,0.010,False,2.7418387528351308141810977422
0.015,0,0.02,0.019,True,2.7318855230180002310491339430
0.003,0.20,0.042,0.005,True,2.7293898888916009316531193178
0.024,0.06,0.079,0.006,True,2.7264720812784675610110589620
0.014,0.02,0.069,0.010,False,2.7193157077137341334342182947
0.014,0.03,0.068,0.010,False,2.7192690163129860531318793287
0.031,0.02,0.043,0.007,False,2.7124644665259452563249120655
0.002,0.08,0.075,0.008,True,2.7102039808413893121517464146
0.031,0.02,0.042,0.007,False,2.7040375618938995561542850489
0.027,0.03,0.035,0.006,True,2.7005104904427539831961251932
0.014,0.01,0.068,0.010,False,2.6975396970867543642789597434
0.014,0.01,0.069,0.010,False,2.6861413886302320639976810812
0.003,0.08,0.075,0.008,True,2.6770245967612578195433748473
0.027,0.02,0.035,0.006,True,2.6750953442640614170468492316
0.025,0.06,0.079,0.006,True,2.6694909691110258020481280508
0.027,0.03,0.035,0.014,True,2.6692793556007417473471954481
0.014,0.04,0.070,0.010,False,2.6689941095178871762860064167
0.028,0.04,0.034,0.006,True,2.6669732243173615461010146980
0.027,0,0.046,0.005,True,2.6666422465542320485074437524
0.016,0.03,0.02,0.019,True,2.6644035229757793839897693509
0.029,0,0.035,0.007,False,2.6597916764032268674532617437
0.028,0.16,0.068,0.022,True,2.6501563241504663419216827078
0.033,0.04,0.042,0.010,False,2.6466078073177885703712572301
0.010,0.01,0.069,0.010,False,2.6451514275045491039377181963
0.032,0.03,0.043,0.010,False,2.6405506761983460425287918459
0.027,0,0.051,0.008,False,2.6397101461013085455210033974
0.002,0.08,0.076,0.008,True,2.6375229819506357324606687835
0.004,0.21,0.042,0.005,True,2.6363579968825054921236313594
0.031,0,0.036,0.007,False,2.6358717851074633531313283305
0.032,0.02,0.042,0.007,False,2.6317395201221228816697736384
0.004,0.21,0.043,0.005,True,2.6310945691768333378346923896
0.002,0.09,0.075,0.008,True,2.6307322706511677002126390371
0.028,0,0.046,0.005,True,2.6295568033691834354948449041
0.004,0.22,0.042,0.005,True,2.6219516243802917293396994568
0.028,0.01,0.072,0.007,True,2.6213845947146760115266565806
0.025,0.13,0.054,0.014,True,2.6190506893490580473480420227
0.029,0.01,0.035,0.007,False,2.6179787679437350712748604941
0.010,0.01,0.070,0.010,False,2.6080550537345308910264623403
0.006,0.13,0.080,0.013,True,2.6077944694065971750945605154
0.027,0.02,0.044,0.009,False,2.6055011817221444778431554502
0.006,0.13,0.078,0.013,True,2.6051678731772756953833043785
0.006,0.13,0.079,0.013,True,2.6051678731772756953833043785
0.014,0.03,0.070,0.010,False,2.6005522780303875723028016588
0.006,0.14,0.060,0.008,True,2.5957909107685744180017047655
0.031,0.01,0.042,0.007,False,2.5951153309764608134468693193
0.026,0,0.046,0.005,True,2.5937068710498703921352168790
0.001,0.12,0.080,0.004,True,2.5905701849029115115366334324
0.028,0.07,0.080,0.025,True,2.5903950391147558900872613806
0.001,0.12,0.079,0.004,True,2.5894355412444371404267470377
0.029,0.16,0.067,0.021,True,2.5884102780166959646852216484
0.029,0.16,0.068,0.021,True,2.5884102780166959646852216484
0.002,0.08,0.079,0.008,True,2.5878522191983768127331887969
0.002,0.09,0.074,0.008,True,2.5874103149148745031877453345
0.026,0.02,0.034,0.014,True,2.5829352719360979117247343126
0.032,0.04,0.043,0.010,False,2.5787673864489722846479465068
0.032,0.03,0.042,0.007,False,2.5756418818542251834623577480
0.027,0.16,0.070,0.021,True,2.5702809971282264557254525153
0.009,0.11,0.070,0.001,True,2.5695548089920149088621093345
0.028,0.04,0.035,0.014,True,2.5692544016594483185611654932
0.032,0.03,0.043,0.007,False,2.5655326944258125312926149241
0.002,0.12,0.080,0.007,True,2.5652139711059720101248215507
0.015,0.04,0.070,0.010,False,2.5640010341200296417688031678
0.014,0.02,0.070,0.010,False,2.5617233447603135924984386228
0.002,0.08,0.069,0.008,True,2.5608762394632019223353751319
0.003,0.20,0.044,0.005,True,2.5603313469210418456971121731
0.028,0.16,0.069,0.021,True,2.5603008975021971456692621638
0.028,0.16,0.067,0.021,True,2.5589543579195525122262014454
0.028,0.16,0.068,0.021,True,2.5589543579195525122262014454
0.028,0.17,0.068,0.022,True,2.5583200332955891594343003434
0.011,0.17,0.051,0.013,True,2.5569460775676368980948136020
0.027,0,0.046,0.006,True,2.5525263085633521298211394294
0.002,0.08,0.074,0.008,True,2.5506048432072845689523103844
0.006,0.15,0.060,0.008,True,2.5480179317534898321057234679
0.011,0.17,0.052,0.013,True,2.5441532845711052886845654625
0.003,0.08,0.074,0.008,True,2.5415198883002042398047115961
0.025,0.13,0.054,0.015,True,2.5405809916868967586418853736
0.007,0.14,0.059,0.008,True,2.5394610924642140707122101736
0.006,0.19,0.046,0.001,True,2.5383405715958041239250842011
0.027,0,0.046,0.004,True,2.5374074928168869045538217987
0.029,0.03,0.034,0.014,True,2.5354820935597877761416774323
0.003,0.24,0.047,0.005,True,2.5340074104284148874993161518
0.032,0.03,0.043,0.011,False,2.5235257394557061182897428825
0.007,0.15,0.059,0.008,True,2.5232298235757398356062352410
0.007,0.15,0.060,0.008,True,2.5232298235757398356062352410
0.032,0.03,0.041,0.011,False,2.5205871456558220065828752409
0.004,0.22,0.043,0.005,True,2.5203012157099685813423421797
0.028,0.03,0.035,0.006,True,2.5193201263741009863833959634
0.016,0.01,0.068,0.010,False,2.5167338981909453792920391922
0.033,0.03,0.043,0.010,False,2.5112180771514104099237032952
0.029,0.04,0.034,0.014,True,2.5075114066355707038432946972
0.027,0.03,0.036,0.014,True,2.5057136287542241988907262682
0.025,0.15,0.055,0.038,False,2.5042339300876568128698497354
0.032,0.02,0.041,0.007,False,2.5029352516893682414066653826
0.033,0.04,0.043,0.010,False,2.4915909798286196107676899322
0.032,0,0.055,0.014,True,2.4914085072687777792074568433
0.032,0.02,0.043,0.010,False,2.4859953477935878456616829897
0.024,0.13,0.054,0.015,True,2.4761275125471753118872717413
