StopLoss,StopProfit,StartProfit,OpenCriteria,FollowTrend,Result
0.015,0.06,0.178,0.008,True,3.0347138472555106865138487670
0,0.03,0.166,0.003,False,2.9924699166500658878668676204
0,0.03,0.167,0.003,False,2.9924699166500658878668676204
0.032,0.09,0.167,0.001,False,2.9815626824871948941992353308
0.007,0.06,0.173,0.004,False,2.9651576661575461605057759951
0.009,0.06,0.173,0.004,False,2.9552901083591958014194912994
0.024,0.07,0.172,0.004,False,2.9522047916940356260917242663
0.007,0.05,0.169,0.007,True,2.9473097235682529439501497043
0.008,0.06,0.173,0.005,False,2.9429868936531839639334006501
0.023,0.07,0.173,0.004,False,2.9380310195697904438683382605
0.007,0.06,0.174,0.004,False,2.9156123432290454862021846232
0.007,0.06,0.175,0.004,False,2.9156123432290454862021846232
0.007,0.06,0.176,0.004,False,2.9156123432290454862021846232
0.007,0.06,0.177,0.004,False,2.9156123432290454862021846232
0.007,0.06,0.173,0.005,False,2.9016131918199800921492121280
0.015,0.06,0.169,0.012,True,2.8974769915311165613066761032
0.017,0.04,0.179,0.012,False,2.8938009970512208352725753649
0.010,0.06,0.173,0.004,False,2.8902292924276902359065536969
0.017,0.05,0.169,0.016,True,2.8890665311014048130192384385
0.023,0.10,0.172,0.005,False,2.8771111079811961974832299013
0.014,0.04,0.173,0.013,True,2.8576985536430128859132309556
0.008,0.05,0.169,0.007,True,2.8533472019399379678906612169
0.011,0.06,0.173,0.004,False,2.8450243557078188908430231031
0.011,0.06,0.174,0.004,False,2.8450243557078188908430231031
0.011,0.06,0.175,0.004,False,2.8450243557078188908430231031
0.003,0.11,0.171,0.004,True,2.8413369411271350127091060731
0.008,0.06,0.173,0.004,False,2.8352894378420360543961096349
0.031,0.07,0.167,0.011,False,2.8327578694408737001791355068
0.018,0.05,0.169,0.016,True,2.8312957012773998501254485817
0.014,0.04,0.174,0.013,True,2.8311840758777188306242538562
0.007,0.06,0.174,0.005,False,2.8295672496240109049909946433
0.015,0.05,0.169,0.012,True,2.8125953553147419960674942367
0.009,0.12,0.163,0.011,True,2.8112406653418735147637567575
0.009,0.12,0.164,0.011,True,2.8112406653418735147637567575
0.011,0.06,0.168,0.004,False,2.8052101616377255554396782658
0.011,0.06,0.169,0.004,False,2.8052101616377255554396782658
0.011,0.06,0.170,0.004,False,2.8052101616377255554396782658
0.029,0.10,0.170,0.001,False,2.7995464588987417168182084182
0.035,0.04,0.163,0.038,False,2.7982395035449765064933875191
0.035,0.04,0.162,0.038,False,2.7956416883061874560883071393
0.019,0.05,0.179,0.012,False,2.7874731607306061869587885809
0.035,0.04,0.161,0.038,False,2.7862798401816781100187179291
0.029,0.06,0.170,0.001,False,2.7858976920070009277884924307
0.033,0.09,0.170,0.001,False,2.7803086467013360305339146278
0.032,0.07,0.167,0.001,False,2.7793706950779675242103392949
0.031,0.10,0.168,0.001,False,2.7788648259466222927820776974
0.031,0.10,0.169,0.001,False,2.7788648259466222927820776974
0.018,0.05,0.170,0.016,True,2.7771313379600622641200479151
0.017,0.09,0.200,0.034,False,2.7768489633857507640761933568
0.033,0.07,0.166,0.001,False,2.7720393815516516552942975429
0.038,0.04,0.163,0.039,False,2.7713583341569943162113472417
0.033,0.09,0.169,0.001,False,2.7703324568388478592140039891
0.035,0.08,0.165,0.001,False,2.7700658607324041955726891492
0.035,0.08,0.166,0.001,False,2.7700658607324041955726891492
0.038,0.04,0.163,0.038,False,2.7686027499988671310643346356
