StopLoss,StopProfit,StartProfit,OpenCriteria,FollowTrend,Result
0.024,0.13,0.169,0.002,False,3.3801461360096948407542693563
0.024,0.13,0.170,0.002,False,3.3801461360096948407542693563
0.024,0.13,0.171,0.002,False,3.3801461360096948407542693563
0.024,0.13,0.172,0.002,False,3.3344668551873087223293867923
0.025,0.12,0.169,0.001,False,3.1665106023397986528724087673
0.025,0.12,0.170,0.001,False,3.1665106023397986528724087673
0.025,0.12,0.172,0.001,False,3.1175280457139199754446555780
0.025,0.12,0.171,0.001,False,3.1175280457139199754446555780
0.026,0.12,0.170,0.001,False,3.1165823145585724711492631429
0.025,0.13,0.170,0.002,False,3.0805623483190214372156907989
0.025,0.13,0.171,0.002,False,3.0805623483190214372156907989
0.025,0.13,0.169,0.002,False,3.0805623483190214372156907989
0.006,0.14,0.181,0.014,False,3.0578030087004916007196724069
0.006,0.14,0.182,0.014,False,3.0578030087004916007196724069
0.040,0.08,0.170,0.033,False,3.0471666628120637970557634345
0.040,0.08,0.170,0.032,False,3.0455036339039161344880181151
0.040,0.08,0.170,0.031,False,3.0452863958072743913356396078
0.026,0.13,0.169,0.001,False,3.0439707491511508751066202962
0.026,0.13,0.170,0.001,False,3.0439707491511508751066202962
0.040,0.08,0.170,0.030,False,3.0437957398083305106396134852
0.024,0.07,0.169,0.010,False,3.0412072096547690992447985472
0.024,0.07,0.170,0.010,False,3.0412072096547690992447985472
0.025,0.13,0.173,0.002,False,3.0348830674966353187908082349
0.025,0.13,0.172,0.002,False,3.0348830674966353187908082349
0.006,0.12,0.174,0.013,False,3.0338307607820747634281746629
0.006,0.12,0.175,0.013,False,3.0338307607820747634281746629
0.040,0.08,0.169,0.035,False,3.0314402292713334526435077928
0.040,0.08,0.169,0.034,False,3.0297929950024781709749976235
0.040,0.08,0.170,0.034,False,3.0297929950024781709749976235
0.026,0.13,0.169,0.002,False,3.0285726755380599541825334534
0.026,0.13,0.171,0.002,False,3.0285726755380599541825334534
0.026,0.13,0.170,0.002,False,3.0285726755380599541825334534
0.024,0.13,0.174,0.002,False,3.0277030590484057643724001489
0.037,0.07,0.174,0.038,False,3.0194484076459062233356603567
0.037,0.07,0.173,0.038,False,3.0152944139738181612346611423
0.037,0.07,0.172,0.038,False,3.0152944139738181612346611423
0.024,0.12,0.170,0.002,False,3.0152546565522454902677064649
0.024,0.12,0.169,0.002,False,3.0152546565522454902677064649
0.023,0.13,0.169,0.002,False,3.0152063693968102894397513823
0.023,0.13,0.170,0.002,False,3.0152063693968102894397513823
0.023,0.13,0.171,0.002,False,3.0152063693968102894397513823
0.034,0.07,0.170,0.039,False,3.0120159287315016499822358687
0.028,0.08,0.186,0.025,False,3.0089055469544510231165723886
0.028,0.08,0.185,0.025,False,3.0089055469544510231165723886
0.037,0.07,0.173,0.037,False,3.0055334593142495244206876533
0.034,0.07,0.170,0.038,False,3.0039375197685190495259770801
0.034,0.07,0.169,0.038,False,3.0039375197685190495259770801
0.037,0.07,0.172,0.037,False,3.0037232527591211550401319470
0.024,0.13,0.173,0.002,False,3.0025536730371608146173958082
0.037,0.07,0.172,0.036,False,3.0023550134496591030809090853
0.034,0.07,0.166,0.039,False,3.0004852948986836946661000422
0.026,0.13,0.172,0.001,False,2.9983132922266686791335078510
0.026,0.13,0.171,0.001,False,2.9983132922266686791335078510
0.023,0.12,0.170,0.002,False,2.9981827403102422661792627483
0.023,0.12,0.171,0.002,False,2.9981827403102422661792627483
0.037,0.07,0.162,0.038,False,2.9981257711295461780002884682
0.027,0.13,0.169,0.001,False,2.9978947776324420575219631624
0.027,0.13,0.170,0.001,False,2.9978947776324420575219631624
0.004,0.11,0.181,0.015,False,2.9976545110774701008611791636
0.004,0.11,0.179,0.015,False,2.9976545110774701008611791636
0.004,0.11,0.180,0.015,False,2.9976545110774701008611791636
0.006,0.11,0.174,0.013,False,2.9976197002656971150599425591
0.006,0.11,0.175,0.013,False,2.9976197002656971150599425591
0.034,0.07,0.169,0.039,False,2.9964428662573226858571735215
0.024,0.13,0.171,0.003,False,2.9954942337390038940439322392
0.024,0.13,0.172,0.003,False,2.9954942337390038940439322392
0.037,0.07,0.170,0.039,False,2.9931646307691512160627110658
0.020,0.01,0.161,0.022,True,2.9919768109038308746590644251
0.025,0.13,0.169,0.004,False,2.9915359661037354029243340359
0.034,0.07,0.166,0.038,False,2.9908694231646037780210766619
0.028,0.08,0.184,0.025,False,2.9893064709189492833984074517
0.028,0.08,0.183,0.025,False,2.9889509920811372079691996105
0.006,0.12,0.172,0.013,False,2.9862565392840868197354773949
0.006,0.12,0.173,0.013,False,2.9862565392840868197354773949
0.037,0.07,0.169,0.038,False,2.9853415077260212523224430350
0.037,0.07,0.170,0.038,False,2.9853415077260212523224430350
0.037,0.07,0.161,0.037,False,2.9838721911352166351260844741
0.037,0.07,0.162,0.037,False,2.9838721911352166351260844741
0.026,0.13,0.172,0.002,False,2.9828933947156738357576508894
0.021,0.02,0.161,0.022,True,2.9805772809172919237622869416
0.020,0.02,0.161,0.022,True,2.9802714809065495986105358279
0.038,0.07,0.174,0.038,False,2.9795017149149629035304078288
0.038,0.07,0.172,0.038,False,2.9777429532924545955302071160
0.038,0.07,0.173,0.038,False,2.9777429532924545955302071160
0.037,0.07,0.169,0.039,False,2.9775915682949722519376487186
0.003,0.12,0.180,0.016,False,2.9769772499039327146928705685
0.003,0.12,0.181,0.016,False,2.9769772499039327146928705685
0.027,0.13,0.170,0.002,False,2.9758260599851155119474374781
0.027,0.13,0.169,0.002,False,2.9758260599851155119474374781
0.027,0.13,0.171,0.002,False,2.9758260599851155119474374781
0.037,0.07,0.169,0.037,False,2.9747658850371075570260754038
0.037,0.07,0.170,0.037,False,2.9747658850371075570260754038
0.039,0.07,0.174,0.038,False,2.9743292155250456910586166657
0.029,0.08,0.185,0.025,False,2.9728065109945307471175386020
0.029,0.08,0.186,0.025,False,2.9728065109945307471175386020
0.035,0.07,0.170,0.039,False,2.9718583573616337531203031001
0.028,0.08,0.179,0.025,False,2.9713776377905053915717681361
0.028,0.08,0.180,0.025,False,2.9713776377905053915717681361
0.028,0.08,0.181,0.025,False,2.9713776377905053915717681361
0.023,0.13,0.172,0.002,False,2.9695270885744241710148688183
0.023,0.13,0.173,0.002,False,2.9695270885744241710148688183
0.029,0.08,0.184,0.025,False,2.9686558846910853401043019935
0.038,0.07,0.173,0.037,False,2.9686331000863290643249798843
0.037,0.07,0.169,0.036,False,2.9681526457352359869556678737
0.037,0.07,0.170,0.036,False,2.9681526457352359869556678737
0.038,0.07,0.172,0.037,False,2.9661713685505171438278930852
0.038,0.07,0.172,0.036,False,2.9641826877724939315816920146
0.035,0.07,0.169,0.038,False,2.9640152414096921247791878343
0.035,0.07,0.170,0.038,False,2.9640152414096921247791878343
0.037,0.07,0.170,0.035,False,2.9638869489152053369906033050
0.004,0.12,0.179,0.015,False,2.9634176568429861486361040109
0.004,0.12,0.181,0.015,False,2.9634176568429861486361040109
0.004,0.12,0.180,0.015,False,2.9634176568429861486361040109
0.037,0.07,0.169,0.035,False,2.9614020146313376923936234555
0.021,0.03,0.161,0.022,True,2.9610772185242249478697612851
0.020,0.03,0.161,0.022,True,2.9605004699394572198199640934
0.038,0.07,0.170,0.039,False,2.9588929845825523718451027432
0.028,0.08,0.178,0.026,False,2.9573943124945398071913717037
0.035,0.07,0.169,0.039,False,2.9562852948874547889952407529
0.029,0.08,0.181,0.025,False,2.9533217818654556632567251156
0.029,0.08,0.183,0.025,False,2.9533217818654556632567251156
0.029,0.08,0.182,0.025,False,2.9533217818654556632567251156
0.027,0.13,0.171,0.001,False,2.9522373207079598615488507172
0.038,0.07,0.170,0.038,False,2.9505213417185913381098860063
0.038,0.07,0.169,0.038,False,2.9505213417185913381098860063
0.022,0.12,0.178,0.039,False,2.9502684689784006666160011401
0.006,0.11,0.173,0.013,False,2.9482304714935401473988371404
0.006,0.11,0.172,0.013,False,2.9482304714935401473988371404
0.038,0.07,0.161,0.037,False,2.9446347231096002625943638513
0.038,0.07,0.169,0.039,False,2.9433199221083734077200403960
0.022,0.12,0.178,0.038,False,2.9423040554436988274255961972
0.038,0.07,0.169,0.037,False,2.9394884200160406552825794515
0.038,0.07,0.170,0.037,False,2.9394884200160406552825794515
0.029,0.08,0.179,0.025,False,2.9357593526900849414914516276
0.029,0.08,0.180,0.025,False,2.9357593526900849414914516276
