StopLoss,StopProfit,StartProfit,OpenCriteria,FollowTrend,Result
0.008,0.08,0.139,0.013,False,2.7674215724826087023631681946
0.006,0.11,0.134,0.011,True,2.7055228898041185603884285957
0.006,0.11,0.133,0.011,True,2.6780890528344031860608866668
0.009,0.08,0.134,0.014,False,2.6201832149751810629311018690
0.008,0.08,0.136,0.012,True,2.6080336116776783585952782923
0.006,0.11,0.139,0.011,True,2.5977248920167998073383479474
0.006,0.07,0.140,0.013,False,2.5949103884222518945848437193
0.006,0.08,0.140,0.013,False,2.5888495083308923966383253369
0.009,0.06,0.135,0.013,True,2.5838313430639721909092569523
0.009,0.06,0.134,0.013,True,2.5838313430639721909092569523
0.009,0.06,0.136,0.013,True,2.5814808187993758862535478439
0.006,0.11,0.138,0.011,True,2.5770753722913592140334114991
0.006,0.12,0.134,0.011,True,2.5758453131691848589494095099
0.006,0.11,0.135,0.011,True,2.5685052481143114634415184533
0.009,0.10,0.136,0.013,True,2.5656349214744465218651886055
0.006,0.08,0.134,0.013,False,2.5644420922601729827652150272
0.007,0.08,0.140,0.013,False,2.5504932026541712255286961643
0.006,0.12,0.133,0.011,True,2.5491206350164210026664659862
0.006,0.08,0.134,0.014,False,2.5462252244346627459630013414
0.006,0.08,0.139,0.014,False,2.5414423865556691691115389788
0.006,0.07,0.135,0.013,False,2.5185729498890283887604819551
0.006,0.07,0.137,0.013,False,2.5170982150287311561665251374
0.006,0.07,0.136,0.013,False,2.5170982150287311561665251374
0.006,0.11,0.136,0.011,True,2.5156446569313992990866588715
0.006,0.11,0.137,0.011,True,2.5156446569313992990866588715
0.009,0.06,0.137,0.014,False,2.5040809666969719807601092811
0.009,0.06,0.136,0.014,False,2.5040809666969719807601092811
0.009,0.06,0.135,0.014,False,2.5033249279361371366457773268
0.006,0.08,0.137,0.013,False,2.4974465043101466097724113725
0.006,0.08,0.136,0.013,False,2.4974465043101466097724113725
0.006,0.07,0.139,0.011,True,2.4870748405034228833624098817
0.009,0.08,0.133,0.014,False,2.4868394388376810557217698244
0.009,0.06,0.134,0.014,False,2.4832673819257769224527028778
0.006,0.07,0.138,0.011,True,2.4759491997602823114446532826
0.006,0.08,0.135,0.013,False,2.4730397343619273845201070401
0.007,0.07,0.140,0.013,False,2.4658530091240514128947511101
0.006,0.07,0.139,0.014,False,2.4507803070881211383517953518
0.009,0.06,0.133,0.014,False,2.4462727909797824682996033734
0.008,0.08,0.138,0.013,False,2.4452088802794890358762299886
0.006,0.12,0.135,0.011,True,2.4408453880462703516015860271
0.006,0.12,0.137,0.011,True,2.4223824841971588385789141051
0.006,0.12,0.136,0.011,True,2.4223824841971588385789141051
0.009,0.10,0.133,0.014,False,2.4210034151783044830353945466
0.009,0.10,0.134,0.014,False,2.4210034151783044830353945466
0.008,0.08,0.137,0.013,False,2.4200941603453534817074379222
0.006,0.08,0.135,0.014,False,2.4070465023218599174707893953
0.006,0.08,0.136,0.014,False,2.4070465023218599174707893953
0.008,0.08,0.134,0.013,False,2.4036312704171218056397933381
0.006,0.07,0.140,0.011,True,2.3952871489119464927749473694
0.009,0.10,0.135,0.013,True,2.3952556387506241771341551003
0.006,0.07,0.131,0.013,False,2.3897466069649307293701375603
0.006,0.07,0.138,0.013,False,2.3890062541866998463012003016
0.008,0.08,0.137,0.012,True,2.3889242129984393011999899794
0.008,0.08,0.135,0.012,True,2.3873464185398277331886662829
0.006,0.06,0.139,0.014,False,2.3818954541641705465620296279
0.006,0.06,0.135,0.013,False,2.3811727797683772659318168754
0.009,0.10,0.134,0.013,True,2.3807786442967218769304434871
0.006,0.06,0.136,0.013,False,2.3788633766331841102049371873
0.006,0.06,0.137,0.013,False,2.3788633766331841102049371873
0.007,0.08,0.134,0.013,False,2.3734319268314140076995224336
0.009,0.07,0.133,0.014,False,2.3705837935901428365049769927
0.006,0.08,0.138,0.013,False,2.3705426383119975442219968140
0.009,0.07,0.134,0.014,False,2.3695791356080307621937698405
0.009,0.08,0.137,0.014,False,2.3639383449903939437249518707
0.009,0.08,0.136,0.014,False,2.3639383449903939437249518707
0.009,0.08,0.135,0.014,False,2.3634262773003654788400832906
0.007,0.11,0.136,0.012,True,2.3477062135064750552066063687
0.007,0.11,0.137,0.012,True,2.3477062135064750552066063687
0.006,0.07,0.137,0.011,True,2.3445353050492370068102939701
0.006,0.06,0.136,0.014,False,2.3412426105035052985855129514
0.006,0.08,0.139,0.013,False,2.3383729508679456552259818539
0.006,0.07,0.139,0.013,False,2.3363938659534087702065207834
0.006,0.08,0.138,0.014,True,2.3319801340689768111677223362
0.009,0.06,0.138,0.014,False,2.3231151452349508741312406562
0.006,0,0.132,0.011,True,2.3211817134095317202864075029
0.006,0.08,0.137,0.014,True,2.3202656109605653877736894513
0.009,0.10,0.139,0.013,True,2.3152430186421458585646472473
0.006,0.07,0.136,0.014,False,2.3035278378854619324231446024
0.006,0,0.131,0.011,True,2.3002422584268861965447474866
0.008,0.08,0.135,0.013,True,2.2959074216675345964609695594
0.008,0.08,0.134,0.013,True,2.2959074216675345964609695594
0.006,0.08,0.139,0.014,True,2.2958026103281979573183076813
0.006,0.01,0.132,0.011,True,2.2921704374536424376389875897
0.006,0.08,0.137,0.014,False,2.2780005442137501236090574501
0.006,0.08,0.138,0.014,False,2.2780005442137501236090574501
0.008,0.08,0.137,0.013,True,2.2776025711722930708906173355
