StopLoss,StopProfit,StartProfit,OpenCriteria,FollowTrend,Result
0.032,0.02,0.022,0.007,True,3.0570223688593448853526093604
0.034,0.02,0.022,0.007,True,3.0548913557863124503921900674
0.034,0.03,0.022,0.007,True,3.0117188367874524523426506794
0.034,0.03,0.022,0.008,True,2.9874511538381942290503483847
0.032,0.03,0.022,0.008,True,2.9519851890675923182739003000
0.034,0.04,0.022,0.007,True,2.9184477608929173950510739005
0.035,0.02,0.022,0.008,True,2.9164614501933169803187879531
0.032,0.03,0.022,0.007,True,2.8943229070565703387677793433
0.034,0.04,0.022,0.008,True,2.8927301239249819532900096332
0.033,0.02,0.022,0.007,True,2.8780181912895112925026415453
0.031,0.02,0.022,0.018,True,2.8727222942865135136771828552
0.032,0.03,0.024,0.021,True,2.8553330341449864482587927084
0.031,0.03,0.022,0.018,True,2.8423414358700359373791136695
0.034,0.01,0.022,0.006,True,2.8352758607125961966010822532
0.029,0.02,0.022,0.018,True,2.8314831488212698848265476624
0,0.08,0.071,0.009,True,2.8027920134517141997551896421
0.032,0.02,0.022,0.006,True,2.8023630495248360340761625353
0.034,0.02,0.022,0.006,True,2.7836816555940191803057055022
0.033,0.02,0.022,0.006,True,2.7757505487895968699764270408
0.002,0,0.021,0.008,True,2.7636997651882915751651380909
0.002,0.05,0.021,0.008,True,2.7441766946425026271338616593
0.037,0.01,0.024,0.016,True,2.7292509951176271946873715926
0.031,0.03,0.022,0.020,True,2.7214735287165318732648252768
0.009,0,0.022,0.013,True,2.7213929031189982764269779924
0.032,0.02,0.022,0.008,True,2.7158762058579818308854220300
0.037,0.27,0.077,0.021,True,2.7089928400903906014021272623
0.002,0,0.02,0.008,True,2.7076072537224046117134322183
0.038,0.08,0.071,0.012,True,2.7023930567501728114904179824
0.032,0.01,0.030,0.010,False,2.6989202055451627233263569111
0.031,0.02,0.022,0.020,True,2.6976417025116011268245256820
0.038,0.08,0.071,0.011,True,2.6974649356565328614206134649
0.037,0.01,0.024,0.015,True,2.6932441394383036985281964791
0.010,0,0.022,0.013,True,2.6931969041299269456367844087
0.037,0.01,0.024,0.017,True,2.6924517302432759490108602725
0,0.08,0.073,0.009,True,2.6892024955602941147168232233
0,0.08,0.072,0.009,True,2.6892024955602941147168232233
0.031,0.03,0.022,0.021,True,2.6866574632420065688794969711
0,0.07,0.071,0.009,True,2.6848593046591376923053198798
0.037,0.01,0.024,0.018,True,2.6828461380517744877572088630
0.032,0.01,0.024,0.004,True,2.6774697375541965305538167820
0.031,0,0.030,0.010,False,2.6757757223958260400186086142
0,0.08,0.074,0.009,True,2.6739454843982622882826985396
0.001,0.05,0.021,0.008,True,2.6735014467706991662137109339
0.031,0.03,0.024,0.021,True,2.6730844261132587689035181645
0.030,0.02,0.022,0.018,True,2.6712845502820964253152566440
0.034,0.03,0.022,0.006,True,2.6684288629604695775710555441
0,0.07,0.065,0.009,True,2.6662604348748476731068975833
0.011,0,0.022,0.013,True,2.6639787762353799643916516373
0.032,0.03,0.024,0.020,True,2.6543223669377658395932884508
0.036,0.25,0.078,0.021,True,2.6541595671385595308290298362
0.036,0.25,0.079,0.021,True,2.6538630645086900768518198452
0,0.06,0.071,0.009,True,2.6509259396540687106983892544
0.031,0.02,0.022,0.019,True,2.6477338338981227116729503440
0.030,0.04,0.022,0.018,True,2.6427067147038454181682015819
0.038,0.28,0.077,0.021,True,2.6322890060793838088718610652
0.031,0.04,0.022,0.018,True,2.6300058995167569093628204962
0.038,0.08,0.070,0.010,True,2.6297583779799290829290969510
0.038,0.27,0.077,0.021,True,2.6293143302473831441942003519
0.038,0.27,0.076,0.021,True,2.6293143302473831441942003519
0.038,0.08,0.072,0.008,True,2.6263289702122196820681071278
0.006,0.03,0.078,0.008,True,2.6261884025031869883892523442
0.040,0.28,0.077,0.021,True,2.6257150254192215845243145184
0.006,0.02,0.078,0.008,True,2.6231853780152642185400887845
0.037,0.08,0.071,0.010,True,2.6191628216013668795000563238
0.030,0.03,0.022,0.018,True,2.6190888608571623021790542115
0.027,0.03,0.022,0.015,True,2.6189678910071349203009908820
0.027,0.02,0.022,0.016,True,2.6184260058326356349485390462
0.031,0.03,0.022,0.019,True,2.6161698959013366067191383709
0.038,0.08,0.070,0.011,True,2.6130856203549902224655030807
0.031,0,0.030,0.012,False,2.6099709066278189173145483492
0.038,0.08,0.071,0.008,True,2.6095784448782137416437194871
0.029,0.03,0.022,0.018,True,2.6032769875555009020832899680
0.037,0.08,0.072,0.011,True,2.6010236432462347617601628775
0.037,0.08,0.071,0.011,True,2.5977654836021605733199216656
0.028,0.02,0.022,0.016,True,2.5965831605526380868313463799
0.030,0.02,0.023,0.016,True,2.5961100740072229371598323007
0.034,0.02,0.022,0.008,True,2.5953186273296667081882229654
0.037,0.08,0.072,0.008,True,2.5849056136185925703589103332
0.036,0.08,0.070,0.009,True,2.5766783300393808673992959346
0.036,0.08,0.071,0.008,True,2.5725583815833857613410159693
0.031,0.03,0.023,0.020,True,2.5718091602287934698852877205
0.037,0.08,0.071,0.008,True,2.5679048331862572473756672175
0.037,0.01,0.024,0.014,True,2.5661741818927703673907055250
0.035,0.08,0.071,0.010,True,2.5636606858426952856323644276
0.036,0.08,0.070,0.010,True,2.5628430056253799435491928598
0.035,0.08,0.070,0.010,True,2.5616548000234791921109777126
0.038,0.08,0.070,0.012,True,2.5480765634821386062745364018
0.036,0.08,0.071,0.010,True,2.5463675401349353705573976625
0.038,0.01,0.024,0.017,True,2.5419940833817039693398849169
0.031,0.02,0.023,0.020,True,2.5398015651956431603695063219
0.034,0.01,0.022,0.007,True,2.5396598387856617838368010361
0.034,0.01,0.022,0.008,True,2.5197819436434709346114820370
0.039,0.01,0.024,0.016,True,2.5188298667209504160278350644
0.033,0.02,0.022,0.008,True,2.5117928365732593300639463072
0.035,0.01,0.023,0.006,True,2.4758408056499033684356212255
0.034,0.01,0.022,0.009,True,2.4589889045314475112930129424
0.034,0.02,0.022,0.009,True,2.4588552170584619138599391695
0.032,0,0.030,0.010,False,2.4362448128673100446629592116
0.034,0.01,0.022,0.005,True,2.1216590183167129642446157585
0.034,0.02,0.022,0.005,True,2.0788246120196223102794249067
0.034,0.04,0.022,0.005,True,1.9741564333359554447285287269
0.034,0.03,0.022,0.005,True,1.9721496419843099216184541884
