StopLoss,StopProfit,StartProfit,OpenCriteria,FollowTrend,Result
0.008,0.06,0.151,0.013,True,1.5081338061500277772317258688
0.006,0.06,0.151,0.014,True,1.5072024205832201711953717112
0.008,0.07,0.151,0.013,True,1.5067085383027159509868257230
0.006,0.19,0.151,0.013,False,1.5057319592019211318229168209
0.006,0.19,0.152,0.013,False,1.5057319592019211318229168209
0.006,0.19,0.153,0.013,False,1.5057319592019211318229168209
0.006,0.19,0.154,0.013,False,1.5057319592019211318229168209
0.008,0.08,0.151,0.013,True,1.4984368771526217102221586088
0.006,0.07,0.151,0.014,True,1.4974341553945383143480962993
0.006,0.19,0.151,0.014,False,1.4961758087851664687077881758
0.006,0.19,0.152,0.014,False,1.4961758087851664687077881758
0.006,0.19,0.153,0.014,False,1.4961758087851664687077881758
0.006,0.19,0.154,0.014,False,1.4961758087851664687077881758
0.009,0.06,0.151,0.013,True,1.4943880102119215670209380386
0.007,0.06,0.151,0.012,True,1.4934126359527951740961655664
0.007,0.07,0.151,0.012,True,1.4927280624585049633481509206
0.006,0.08,0.151,0.014,True,1.4909673212805188909271890388
0.007,0.08,0.151,0.012,True,1.4828302480896300130915245945
0.007,0.15,0.151,0.014,False,1.4821543545177506834546845871
0.007,0.19,0.151,0.013,False,1.4790667268986628586020262460
0.007,0.19,0.152,0.013,False,1.4790667268986628586020262460
0.007,0.19,0.153,0.013,False,1.4790667268986628586020262460
0.007,0.19,0.154,0.013,False,1.4790667268986628586020262460
0.009,0.07,0.151,0.013,True,1.4724717527943855757221233892
0.015,0.06,0.151,0.013,False,1.4720113169947256194027462577
0.007,0.19,0.151,0.014,False,1.4701686631000823055841584225
0.007,0.19,0.152,0.014,False,1.4701686631000823055841584225
0.007,0.19,0.153,0.014,False,1.4701686631000823055841584225
0.007,0.19,0.154,0.014,False,1.4701686631000823055841584225
0.009,0.08,0.151,0.013,True,1.4696887738437181822189244330
0.009,0.15,0.151,0.014,False,1.4656512889056961522217998083
0.008,0.06,0.151,0.012,True,1.4634289179756195357913474359
0.008,0.07,0.151,0.012,True,1.4618096112380886330983801672
0.015,0.06,0.151,0.014,False,1.4597154939313490485918106919
0.007,0.20,0.151,0.013,False,1.4573266926416659280510453838
0.007,0.20,0.152,0.013,False,1.4573266926416659280510453838
0.007,0.20,0.153,0.013,False,1.4573266926416659280510453838
0.007,0.20,0.154,0.013,False,1.4573266926416659280510453838
0.008,0.08,0.151,0.012,True,1.4534943759298957593942263097
0.008,0.19,0.151,0.013,False,1.4528491922581561947023976478
