StopLoss,StopProfit,StartProfit,OpenCriteria,FollowTrend,Result
0.019,0.06,0.115,0.005,True,1.8394074963983891206471125947
0.019,0.06,0.115,0.004,True,1.8274826730850528523052116517
0.018,0.06,0.116,0.005,True,1.8252995695407033143748475741
0.020,0.07,0.116,0.005,True,1.8212365082953170784913315519
0.018,0.06,0.116,0.004,True,1.8152397431222617472989317285
0.020,0.07,0.115,0.005,True,1.8108436615270078772777058573
0.009,0.10,0.112,0.008,True,1.8011859859249046938998965601
0.020,0.06,0.114,0.005,True,1.7989288081262935484559710284
0.020,0.07,0.114,0.005,True,1.7913014564157211029690813943
0.021,0.07,0.115,0.005,True,1.7887004561036603925195801124
0.022,0.06,0.112,0.004,True,1.7873408412926342569034086273
0.019,0.07,0.116,0.005,True,1.7863134537576693356086693312
0.003,0.14,0.120,0.013,True,1.7861139704548989617651006046
0.022,0.07,0.114,0.005,True,1.7859158912052725546836437028
0.017,0.06,0.117,0.004,True,1.7848154185597019677705897461
0.019,0.07,0.115,0.005,True,1.7808053952614729242496007900
0.009,0.10,0.111,0.008,True,1.7691209667440948535756585148
0.021,0.07,0.114,0.005,True,1.7679014671834200687038696019
0.018,0.07,0.116,0.005,True,1.7652125626996444786851719796
0.009,0.10,0.112,0.006,True,1.7568132623884455565297393242
0.009,0.10,0.112,0.007,True,1.7542027832367712130029575848
0.023,0.07,0.111,0.005,True,1.7533398491541369870396049275
0.001,0.13,0.119,0.003,False,1.7479807948311684040110068292
0.012,0.11,0.112,0.008,True,1.7443586703046752843442177901
0.017,0.06,0.117,0.005,True,1.7432749859069170487678925769
0.023,0.07,0.111,0.004,True,1.7421516259388828389264869382
0.022,0.06,0.112,0.005,True,1.7406715519617479278797899882
0.010,0.10,0.111,0.008,True,1.7383699965625346058586849240
0.010,0.10,0.112,0.008,True,1.7383699965625346058586849240
0.001,0.14,0.119,0.003,False,1.7357735357254678803647557239
0.024,0.07,0.111,0.005,True,1.7303513719238381626786910490
0.004,0.15,0.120,0.013,True,1.7287499716402157340835286499
0.013,0.12,0.111,0.006,True,1.7247634227243619169757716015
0.014,0.12,0.111,0.008,True,1.7239178055399198551541710007
0.013,0.12,0.111,0.007,True,1.7232412198368204569227529698
0.009,0.10,0.111,0.007,True,1.7229406104906978352997012595
0.014,0.12,0.111,0.009,True,1.7218366861261649269379231099
0.014,0.12,0.111,0.010,True,1.7190252875182030943527523151
0.024,0.07,0.111,0.004,True,1.7187497212488026427916967205
0,0.04,0.118,0.006,True,1.7166084754008175684673714905
0.014,0.12,0.111,0.006,True,1.7157057961708788982061467858
0.009,0.10,0.111,0.006,True,1.7155115334371634121136842776
0.018,0.06,0.116,0.003,True,1.7140282103029904731701919326
0.014,0.12,0.111,0.007,True,1.7131929712624449978282620537
0.001,0.15,0.119,0.003,False,1.7114217422812963224337671122
0.023,0.06,0.111,0.005,True,1.7070687359897782155434055635
0.013,0.12,0.111,0.005,True,1.7024393143782417455856687582
0.014,0.12,0.111,0.005,True,1.7014888614347138488832512467
0.023,0.06,0.111,0.004,True,1.6986998346149600045875129099
0.006,0.15,0.118,0.008,False,1.6962887435633979403744015480
0.006,0.15,0.119,0.008,False,1.6962887435633979403744015480
0.006,0.15,0.120,0.008,False,1.6962887435633979403744015480
0.015,0.12,0.111,0.009,True,1.6932937354259903855693939530
0.024,0.03,0.119,0.004,True,1.6931113654732512615979032365
0.015,0.12,0.111,0.008,True,1.6928687504673205742011547935
0.024,0.03,0.119,0.005,True,1.6919302563823830122032983215
0.024,0.03,0.118,0.004,True,1.6913227298518675464374993433
0.016,0.12,0.111,0.009,True,1.6910644484871173644577126213
0.015,0.12,0.111,0.010,True,1.6905243570396289309890964217
0.024,0.03,0.118,0.005,True,1.6901416207609992970428944283
0.014,0.12,0.111,0.004,True,1.6856516037880859647712644889
0.015,0.12,0.111,0.006,True,1.6841818637346772723969879529
0.014,0.12,0.111,0.003,True,1.6829816721075565301267643167
0.015,0.12,0.111,0.007,True,1.6816977701317249340869959793
0.002,0.14,0.119,0.003,False,1.6787557479658036496583051868
0.002,0.14,0.120,0.003,False,1.6787557479658036496583051868
0.018,0.05,0.116,0.004,True,1.6780436578406675136850973821
0.018,0.05,0.117,0.004,True,1.6780436578406675136850973821
0.018,0.05,0.118,0.004,True,1.6780436578406675136850973821
0.018,0.05,0.116,0.005,True,1.6732585326268820345938522185
0.018,0.05,0.117,0.005,True,1.6732585326268820345938522185
0.018,0.05,0.118,0.005,True,1.6732585326268820345938522185
0.013,0.12,0.111,0.003,True,1.6728412530757852903856746715
0.015,0.12,0.111,0.005,True,1.6702845272093526644858177053
0.013,0.12,0.111,0.004,True,1.6695750343836424316914956106
0.016,0.12,0.111,0.008,True,1.6695511446476494324515615542
0.016,0.12,0.111,0.010,True,1.6678972690125598475833648199
0.013,0.12,0.111,0.002,True,1.6653378288397340000420073542
0.018,0.12,0.111,0.013,True,1.6639427437646306739629035643
0.022,0.05,0.118,0.004,True,1.6638564973201430490760027709
0.002,0.15,0.119,0.003,False,1.6622003235197976600510304839
0.002,0.15,0.120,0.003,False,1.6622003235197976600510304839
0.016,0.12,0.111,0.006,True,1.6613106147349988720938351100
0.022,0.05,0.118,0.005,True,1.6612894014181134025979092417
0.023,0.06,0.116,0.004,True,1.6606192131391080054000902462
0.023,0.06,0.117,0.004,True,1.6606192131391080054000902462
0.023,0.06,0.116,0.005,True,1.6599341341669378712954011476
0.023,0.06,0.117,0.005,True,1.6599341341669378712954011476
0.016,0.12,0.111,0.007,True,1.6588264476335819351899980683
0.023,0.07,0.111,0.003,True,1.6563261401786310966380578481
0.015,0.12,0.111,0.004,True,1.6556615618851338128107151484
0.007,0.15,0.117,0.007,False,1.6541763001554992422117413652
0.007,0.15,0.118,0.007,False,1.6541763001554992422117413652
0.007,0.15,0.119,0.007,False,1.6541763001554992422117413652
0.007,0.15,0.120,0.007,False,1.6541763001554992422117413652
0.022,0.07,0.116,0.005,True,1.6541121549388352865659039591
0.022,0.07,0.116,0.004,True,1.6533032073327061181674655991
0.017,0.12,0.111,0.009,True,1.6530695529834863958319093440
0.019,0.05,0.116,0.004,True,1.6527933215149357057059346279
0.019,0.05,0.117,0.004,True,1.6527933215149357057059346279
0.019,0.05,0.118,0.004,True,1.6527933215149357057059346279
