StopLoss,StopProfit,StartProfit,OpenCriteria,FollowTrend,Result
0.010,0.09,0.133,0.013,False,1.7374299374430894354601875370
0.007,0.08,0.131,0.014,False,1.7302759965779191940885850376
0.007,0.08,0.132,0.014,False,1.7302759965779191940885850376
0.007,0.08,0.133,0.014,False,1.7302759965779191940885850376
0.007,0.08,0.134,0.014,False,1.7302759965779191940885850376
0.007,0.07,0.131,0.014,False,1.7226073103318634534047617348
0.007,0.07,0.132,0.014,False,1.7226073103318634534047617348
0.011,0.09,0.132,0.013,False,1.7061596075210588286280531740
0.008,0.07,0.131,0.013,False,1.6972722655309530001419743482
0.008,0.09,0.135,0.013,False,1.6910202523841452501070153499
0.008,0.08,0.131,0.013,False,1.6746004582113591891055847592
0.008,0.08,0.132,0.013,False,1.6746004582113591891055847592
0.008,0.08,0.133,0.013,False,1.6746004582113591891055847592
0.008,0.09,0.131,0.013,False,1.6672344474833531284540653210
0.008,0.09,0.132,0.013,False,1.6672344474833531284540653210
0.008,0.09,0.133,0.013,False,1.6672344474833531284540653210
0.008,0.09,0.134,0.013,False,1.6672344474833531284540653210
0.008,0.04,0.133,0.013,False,1.6578415287704307129083553247
0.009,0.08,0.131,0.014,False,1.6555542251687326688477585730
0.009,0.08,0.132,0.014,False,1.6555542251687326688477585730
0.009,0.09,0.131,0.014,False,1.6474834722838462871412287681
0.009,0.09,0.132,0.014,False,1.6474834722838462871412287681
0.009,0.09,0.133,0.014,False,1.6474834722838462871412287681
0.008,0.09,0.135,0.014,False,1.6472265842040627286943496327
0.010,0.09,0.133,0.014,False,1.6391135155692459022525983222
0.011,0.10,0.133,0.013,False,1.6354658575922169356966378635
0.009,0.09,0.134,0.014,False,1.6339353139396162592655500372
0.008,0.07,0.131,0.014,False,1.6312933796997330661797091310
0.007,0.08,0.133,0.008,False,1.6291646226153750865335581323
0.007,0.08,0.134,0.008,False,1.6291646226153750865335581323
0.010,0.08,0.131,0.013,False,1.6195347891262860738636637142
0.010,0.08,0.131,0.014,False,1.6184907474034950363040177491
0.008,0.08,0.131,0.014,False,1.6088606050203885940538986111
0.008,0.08,0.132,0.014,False,1.6088606050203885940538986111
0.008,0.08,0.133,0.014,False,1.6088606050203885940538986111
0.008,0.09,0.131,0.014,False,1.6016988993876595627788770652
0.008,0.09,0.132,0.014,False,1.6016988993876595627788770652
0.008,0.09,0.133,0.014,False,1.6016988993876595627788770652
0.008,0.09,0.134,0.014,False,1.6016988993876595627788770652
0.010,0.09,0.131,0.013,False,1.5957878413719615945791436205
0.010,0.09,0.132,0.013,False,1.5957878413719615945791436205
0.010,0.09,0.131,0.014,False,1.5947411202664980651083814009
0.010,0.09,0.132,0.014,False,1.5947411202664980651083814009
0.006,0.07,0.132,0.008,False,1.5934106245832999138395852121
0.001,0.11,0.136,0.003,False,1.5801613226504792824432599562
0.001,0.11,0.137,0.003,False,1.5801613226504792824432599562
0.001,0.11,0.138,0.003,False,1.5801613226504792824432599562
0.001,0.11,0.139,0.003,False,1.5801613226504792824432599562
0.001,0.11,0.140,0.003,False,1.5801613226504792824432599562
0.006,0.07,0.131,0.014,False,1.5793263265896117696246549006
0.006,0.07,0.132,0.014,False,1.5793263265896117696246549006
0.006,0.07,0.133,0.014,False,1.5793263265896117696246549006
0.008,0.03,0.132,0.013,False,1.5753406244918399837766466033
0.008,0.03,0.133,0.013,False,1.5753406244918399837766466033
0.011,0.09,0.132,0.014,False,1.5737254672728910127335620547
