StopLoss,StopProfit,StartProfit,OpenCriteria,FollowTrend,Result
0.003,0.02,0.084,0.008,True,2.1863436606072008627309292015
0.003,0.02,0.086,0.008,True,2.0250875461889487934650242265
0.003,0.02,0.087,0.008,True,2.0250875461889487934650242265
0.003,0.02,0.088,0.008,True,2.0250875461889487934650242265
0.003,0.02,0.089,0.008,True,2.0050952791463964591889866533
0.003,0.02,0.090,0.008,True,2.0050952791463964591889866533
0.002,0.01,0.090,0.008,True,2.0008885810253735425180708253
0.003,0.01,0.090,0.008,True,1.9896022179579931723166539762
0.007,0.04,0.085,0.001,False,1.9488577308422557171111405164
0.007,0.04,0.086,0.001,False,1.9488577308422557171111405164
0.007,0.04,0.087,0.001,False,1.9488577308422557171111405164
0,0.07,0.087,0.002,True,1.9424700428284552231186615192
0.002,0,0.090,0.008,True,1.9301912183190825940021505375
0.007,0.05,0.086,0.001,False,1.9299144612727281288427542119
0.007,0.05,0.087,0.001,False,1.9299144612727281288427542119
0.008,0.02,0.085,0.001,False,1.9205841821987681983843334551
0.008,0.02,0.086,0.001,False,1.9205841821987681983843334551
0.008,0.02,0.087,0.001,False,1.9205841821987681983843334551
0.012,0.06,0.085,0.002,False,1.9153751804513222573606087245
0.007,0.02,0.085,0.001,False,1.8849417999241294361459865529
0.007,0.02,0.086,0.001,False,1.8849417999241294361459865529
0.007,0.02,0.087,0.001,False,1.8849417999241294361459865529
0.026,0.07,0.084,0.015,False,1.8843979335815290136804210756
0.026,0.07,0.085,0.015,False,1.8843979335815290136804210756
0.007,0.05,0.085,0.001,False,1.8817072851669370574549869868
0.027,0.08,0.086,0.013,False,1.8804864770092612537229097851
0.011,0.06,0.088,0.009,True,1.8643944145949772236989556860
0.006,0.07,0.088,0.005,False,1.8637752641664372883284814110
0.006,0.07,0.088,0.006,False,1.8599961547176967938055964981
0.006,0.07,0.089,0.006,False,1.8599961547176967938055964981
0.006,0.07,0.090,0.006,False,1.8599961547176967938055964981
0.003,0,0.090,0.008,True,1.8594279553186623664727593037
0.027,0.08,0.084,0.013,False,1.8584499619920578890775162416
0.027,0.08,0.085,0.013,False,1.8584499619920578890775162416
0.011,0.06,0.089,0.009,True,1.8584494671258405538832640886
0.028,0.09,0.087,0.017,True,1.8570103550719389335390902788
0.006,0.19,0.087,0.002,False,1.8565907070150861273314253085
0.007,0.07,0.085,0.001,False,1.8542583014748443100640785796
