StopLoss,StopProfit,StartProfit,OpenCriteria,FollowTrend,Result
0.030,0.06,0.090,0.006,False,2.8619952070570068955873974244
0.031,0.04,0.089,0.010,True,2.7009358290666033269490110989
0.030,0.06,0.090,0.005,False,2.6753692270852846431615012530
0.030,0.06,0.089,0.006,False,2.6533573484980098138487638611
0.028,0.06,0.090,0.006,False,2.6407230898883964053015799296
0.034,0.04,0.088,0.010,True,2.6392947311289472827021667816
0.034,0.04,0.088,0.011,True,2.6273509267469240563990658491
0.031,0.06,0.089,0.006,False,2.6244719232011867020711190875
0.031,0.06,0.090,0.006,False,2.6244719232011867020711190875
0.031,0.02,0.089,0.010,True,2.6203387793735653340174555097
0.034,0.03,0.088,0.010,True,2.6118574704199914092897999257
0.034,0.03,0.088,0.011,True,2.5998989234385894704011221969
0.028,0.06,0.090,0.005,False,2.5963652311539972357071477637
0.033,0.04,0.089,0.010,True,2.5897315814934233315426632475
0.033,0.04,0.088,0.010,True,2.5768244703395356940936094883
0.021,0.09,0.087,0.002,True,2.5751761371608695990335804357
0.029,0.06,0.089,0.005,False,2.5692994498361537753290260350
0.029,0.06,0.090,0.005,False,2.5692994498361537753290260350
0.033,0.03,0.089,0.010,True,2.5621743198575734974596350331
0.028,0.04,0.090,0.006,False,2.5590921364520135024339611294
0.030,0.06,0.088,0.006,False,2.5548095277456487689943958958
0.033,0.03,0.088,0.010,True,2.5492672087036858600105812739
0.034,0.05,0.089,0.016,True,2.5424929213056475725505556284
0.031,0.05,0.089,0.013,True,2.5290114164331039844010224930
0.031,0.05,0.090,0.013,True,2.5290114164331039844010224930
0.028,0.04,0.090,0.005,False,2.5147389906639139570636399998
0.037,0.28,0.081,0.021,True,2.5125182565303066739633153646
0.028,0.10,0.086,0.007,True,2.5094368902672917569182418195
0.034,0.27,0.084,0.021,True,2.5059101369238536296736707357
0.030,0.05,0.090,0.006,False,2.4997934399990534925081013977
0.027,0.10,0.087,0.007,True,2.4927928944833423904384036918
0.017,0.06,0.090,0.006,False,2.4917591132194737696096241843
0.031,0.06,0.089,0.005,False,2.4887411954657309585811599317
0.031,0.06,0.090,0.005,False,2.4887411954657309585811599317
0.036,0.28,0.082,0.021,True,2.4853808093424133323103048007
0.029,0.04,0.089,0.005,False,2.4850253728000187364363651572
0.029,0.04,0.090,0.005,False,2.4850253728000187364363651572
0.027,0.06,0.089,0.005,False,2.4839652960109754706951115229
0.027,0.06,0.090,0.005,False,2.4839652960109754706951115229
0.033,0.03,0.088,0.011,True,2.4834600690444936077285381031
0.033,0.04,0.088,0.011,True,2.4825853136099943540781420263
0.031,0.05,0.089,0.006,False,2.4824836995585933053630898496
0.031,0.05,0.090,0.006,False,2.4824836995585933053630898496
0.032,0.06,0.089,0.007,True,2.4764686516387377476710536690
0.032,0.06,0.090,0.007,True,2.4764686516387377476710536690
0.034,0.05,0.088,0.016,True,2.4675659681027466333024900160
0.030,0.06,0.089,0.005,False,2.4666434044327964203364004060
0.035,0.05,0.088,0.017,True,2.4657677234631080455839390782
0.032,0.06,0.088,0.007,True,2.4657176035441016832132085088
0.034,0.30,0.082,0.021,True,2.4624842931926108938656342232
0.028,0.06,0.089,0.005,False,2.4613310570182031622084031175
0.031,0.07,0.088,0.007,False,2.4580933836258082958284672842
0.038,0.07,0.089,0.005,True,2.4565691047370024372300335886
0.028,0.04,0.089,0.007,True,2.4550511167712441007903557846
0.027,0.04,0.089,0.007,True,2.4518150197952021082014140037
0.027,0.04,0.090,0.007,True,2.4518150197952021082014140037
0.031,0.06,0.089,0.007,True,2.4506316209559773381465233373
0.031,0.06,0.090,0.007,True,2.4506316209559773381465233373
0.031,0.06,0.089,0.005,True,2.4418588601166454058589693613
0.030,0.06,0.090,0.025,True,2.4395605590117649620339880244
0.017,0.06,0.089,0.006,False,2.4378278979559216912825503818
0.028,0.06,0.089,0.007,True,2.4348838786129862561259861097
0.017,0.06,0.088,0.006,False,2.4330306263378161556015361282
0.038,0.07,0.088,0.005,True,2.4329604770396782121111764743
0.034,0.28,0.084,0.009,True,2.4328647232144415307021847549
0.028,0.06,0.088,0.005,False,2.4304083724426315434560032270
0.027,0.06,0.088,0.005,False,2.4279134736293702909757486667
