StopLoss,StopProfit,StartProfit,OpenCriteria,FollowTrend,Result
0.017,0.04,0.040,0.009,True,2.5014510847505919191559167171
0.030,0.01,0.031,0.012,False,2.4455611407923569576455249876
0.037,0.01,0.031,0.025,True,2.4169300363466959990816855137
0.033,0.05,0.032,0.022,True,2.4114139933286882268801430298
0.003,0.04,0.040,0.003,False,2.4034352375822922208342405138
0.034,0.01,0.031,0.025,True,2.3970667953919834162528128232
0.032,0,0.031,0.023,True,2.3935637175949594523304598219
0.037,0,0.031,0.025,True,2.3928277065451702199915655611
0.033,0.06,0.032,0.022,True,2.3909391374158136908324489296
0.034,0.01,0.031,0.023,True,2.3693406840328868823490441253
0.034,0.05,0.031,0.025,True,2.3554592397441129942653518585
0.032,0.01,0.031,0.025,True,2.3428693453233780508601287565
0.037,0,0.031,0.023,True,2.3334084670325442747244127604
0.016,0.05,0.040,0.009,True,2.3297074461504223951627545282
0.016,0.04,0.040,0.009,True,2.3241852057960428363100305104
0.037,0,0.031,0.030,True,2.3175693985021967012066840899
0.003,0.28,0.038,0.009,True,2.3130321508487800047221341389
0.037,0.01,0.031,0.023,True,2.3125458598197183779172750184
0.033,0.01,0.032,0.023,True,2.2843515863833527762759238498
0.017,0.01,0.040,0.009,True,2.2786197371448130214457782414
0.037,0.01,0.031,0.024,True,2.2770551893534164144419071445
0.032,0,0.031,0.025,True,2.2671875564920230131686808478
0.016,0.03,0.040,0.009,True,2.2664477920389174213669400857
0.037,0,0.031,0.024,True,2.2661301562421968510100837749
0.017,0.04,0.040,0.008,True,2.2525053574454583821166625321
0.033,0.05,0.033,0.022,True,2.2520613538989400133698842741
0.034,0,0.031,0.023,True,2.2519073094815348247997095571
0.003,0.27,0.038,0.009,True,2.2420899951762826846985348715
0.032,0,0.031,0.019,True,2.2419800517496935248049005298
0.002,0.27,0.038,0.009,True,2.2419699784520059232059947138
0.032,0.05,0.033,0.021,True,2.2411935730365759135595747183
0.034,0,0.031,0.025,True,2.2397438019927263108669198950
0.034,0.05,0.032,0.025,True,2.2352133555224378389445191019
0.033,0.06,0.033,0.022,True,2.2351744798788660974991319209
0.004,0.12,0.036,0.011,True,2.2326825742477059707840181659
0.003,0.28,0.036,0.009,True,2.2310830229811847283491459937
0.017,0.04,0.040,0.012,True,2.2245973815858878441903102231
0.032,0.06,0.033,0.021,True,2.2229157061219582622785119437
0.032,0,0.031,0.020,True,2.2206613960450028470876628118
0.034,0.06,0.032,0.025,True,2.2180652759864010735846255247
0.003,0.05,0.040,0.003,False,2.2172497683125855903179648114
0.003,0.28,0.037,0.009,True,2.2155139737266057355383498383
0.037,0,0.031,0.022,True,2.2105539244022214765512625819
0.017,0,0.040,0.009,True,2.2081985172154355822710931895
0.033,0.01,0.031,0.023,True,2.2055561616423537882039757451
0.035,0.05,0.031,0.025,True,2.1961209468370045033123348708
0.033,0.05,0.032,0.023,True,2.1933854089272774097345946528
0.037,0.01,0.031,0.021,True,2.1914930860355503186091746709
0.037,0,0.031,0.026,True,2.1891027468186426875225845145
0.037,0.01,0.031,0.026,True,2.1857706941769638969004070448
0.003,0.27,0.037,0.009,True,2.1819971157644505433401317492
0.003,0.27,0.036,0.009,True,2.1815884260053247916849147751
0.034,0.06,0.031,0.025,True,2.1812295267244856211957985143
0.034,0.01,0.032,0.012,False,2.1804398888651062304648734732
0.016,0.04,0.040,0.007,True,2.1800270781926672156593486837
0.035,0.01,0.032,0.025,True,2.1792888184432510878911997248
0.034,0.01,0.031,0.026,True,2.1783551654473603543946301228
0.017,0.03,0.040,0.009,True,2.1768535780063484233254715660
0.033,0.06,0.032,0.023,True,2.1745094825439715407587944571
0.033,0.01,0.032,0.012,False,2.1742537300755300849759213110
0.032,0.01,0.031,0.023,True,2.1725601670799025932083231749
0.036,0,0.031,0.025,True,2.1711264477092867084291708318
0.033,0.05,0.032,0.025,True,2.1678554463879725025247043577
0.003,0.28,0.039,0.009,True,2.1677574690624813922015035320
0.033,0.01,0.031,0.025,True,2.1667050049815697492947990568
0.032,0,0.031,0.024,True,2.1626256224853603756248972115
0.035,0.05,0.031,0.026,True,2.1600824558142941384802408420
0.034,0.05,0.031,0.026,True,2.1563601765406021191349444287
0.032,0.05,0.033,0.022,True,2.1529310542255083677345767401
0.018,0,0.040,0.009,True,2.1497516318441237619451504294
0.033,0.06,0.032,0.025,True,2.1492527017817442396764644260
0.032,0.06,0.033,0.022,True,2.1357281817980237035530952382
0.033,0.08,0.033,0.022,True,2.1307944256580088623532151288
0.034,0.01,0.032,0.023,True,2.1287353961872718046695212621
0.034,0,0.033,0.025,True,2.1275642383190400841596332160
0.036,0,0.031,0.023,True,2.1257385397922481008755215164
0.002,0.28,0.038,0.009,True,2.1213946800292681093535520247
0.037,0,0.031,0.029,True,2.1188406510151857720781145327
0.016,0.04,0.040,0.008,True,2.1162744415007090959643491941
0.036,0.01,0.031,0.025,True,2.1156909096408638432131171823
0,0.27,0.032,0.009,True,2.1143545870929574397988562547
0.033,0.08,0.032,0.022,True,2.1125221025813587108309486804
0.033,0.01,0.033,0.023,True,2.1119409464799918971959037361
0.016,0.05,0.040,0.008,True,2.1093590685861745382610849197
0.035,0.05,0.032,0.025,True,2.1080348852949951022985418682
0.003,0.27,0.039,0.009,True,2.1052286587185373763273365712
0.033,0.01,0.031,0.026,True,2.0978195400776671791207487105
0.031,0.01,0.031,0.025,True,2.0969287731360031279518538356
0.033,0.05,0.031,0.022,True,2.0968288093870339372017781669
0.032,0.01,0.031,0.030,True,2.0945374588879572832658307250
