StopLoss,StopProfit,StartProfit,OpenCriteria,FollowTrend,Result
0.034,0.02,0.100,0.019,True,2.3584272925050338099215762126
0.034,0.02,0.100,0.008,True,2.3277557521529973709009909710
0.034,0.02,0.100,0.020,True,2.3254328333843975994878899696
0.034,0.02,0.100,0.009,True,2.3179287745665248164826461634
0.003,0,0.092,0.008,True,2.3160025684946036524906672530
0.034,0.02,0.100,0.010,True,2.3145341042725290295710856086
0.002,0.16,0.096,0.007,True,2.3098165256697048685481544718
0.002,0.16,0.097,0.007,True,2.3098165256697048685481544718
0.003,0.02,0.092,0.008,True,2.3028894581236995945109957771
0.003,0.01,0.092,0.008,True,2.2998866148562422979273064850
0.002,0.02,0.096,0.008,True,2.2924303892978595074547487017
0.020,0,0.100,0.010,False,2.2794109531580476989819336304
0.008,0,0.096,0.017,True,2.2780489920327801807888243308
0.002,0.03,0.096,0.008,True,2.2778741698166140777045158427
0.020,0.01,0.100,0.010,False,2.2714584852289418784033920538
0.006,0.20,0.100,0.014,True,2.2703169653586935069566875998
0.003,0.04,0.095,0.008,True,2.2699465931272688093670593263
0.006,0,0.092,0.013,True,2.2592167677809535724411720719
0.002,0.01,0.096,0.008,True,2.2582863237293972978018582810
0.008,0.02,0.096,0.017,True,2.2575646817299382063883071846
0.011,0.04,0.099,0.018,True,2.2546615262959823750678746878
0.017,0,0.098,0.010,False,2.2517971948399996581987511486
0.002,0.02,0.097,0.008,True,2.2517095564031034034815512747
0.006,0.01,0.092,0.013,True,2.2492897526337072219349769946
0.002,0.01,0.097,0.008,True,2.2485764623654623822298684504
0.006,0.02,0.092,0.013,True,2.2481795005077995292252101253
0.003,0,0.095,0.008,True,2.2451678572582035756631738013
0.017,0.01,0.098,0.010,False,2.2425215134625005327793277432
0.003,0.02,0.095,0.008,True,2.2410524189091539976617426438
0.008,0.03,0.096,0.017,True,2.2405080558621756550814143888
0.002,0.02,0.095,0.008,True,2.2399312204060949992153563281
0.002,0.02,0.094,0.008,True,2.2398443198877018649340684724
0.003,0.02,0.091,0.008,True,2.2380072143452028480948055399
0.003,0.01,0.091,0.008,True,2.2365926233318592814213498489
0.002,0.03,0.097,0.008,True,2.2357758387953893714667813566
0.006,0.03,0.092,0.013,True,2.2347694032262436034218212479
0.014,0.13,0.100,0.007,False,2.2286252155878060923536527409
0.003,0.01,0.095,0.008,True,2.2267821501014750195484518460
0.002,0.03,0.095,0.008,True,2.2258540473647458475705093428
0.002,0.03,0.094,0.008,True,2.2257671468463527132892214871
0.003,0,0.094,0.008,True,2.2242136712317893564887327184
0.008,0.04,0.096,0.017,True,2.2241228008425566415323027364
0.003,0.03,0.095,0.008,True,2.2233833623621180563404768693
0.012,0.07,0.100,0.010,True,2.2230832843430263181108697450
0.008,0,0.097,0.017,True,2.2224800001146564144316459685
0.002,0,0.095,0.008,True,2.2222896416320220074763809227
0.002,0,0.094,0.008,True,2.2222027411136288731950930670
0.006,0.20,0.099,0.014,True,2.2214946611635961270534332621
0.020,0,0.098,0.010,False,2.2211798753188083138547886455
0.019,0.15,0.100,0.006,False,2.2209688142482524944594457048
0.017,0.13,0.100,0.006,False,2.2202084661337246813917864057
0.003,0.02,0.094,0.008,True,2.2200982328827397784873015609
0.020,0,0.099,0.010,False,2.2186658407030787828710203736
0.037,0.10,0.098,0.005,True,2.2157530661412736796681754368
0.037,0.10,0.099,0.005,True,2.2149910240652991458431246787
0.006,0.04,0.092,0.013,True,2.2111968341710152542335585142
0.020,0.01,0.099,0.010,False,2.2106960827782074269210851407
0.019,0.16,0.100,0.006,False,2.2106918096538593964009396436
0.020,0.01,0.098,0.010,False,2.2104345815675536738944507581
0.003,0.16,0.096,0.007,True,2.2097266794887044568549213369
0.003,0.16,0.097,0.007,True,2.2097266794887044568549213369
0.002,0,0.097,0.007,True,2.2070354477866637466693572156
0.006,0.20,0.098,0.014,True,2.2058643007503945401134663616
0.003,0.01,0.094,0.008,True,2.2058279640750608003740107631
0.002,0.01,0.095,0.008,True,2.2048286760872535786492517209
0.002,0.01,0.094,0.008,True,2.2047417755688604443679638652
0.003,0.04,0.094,0.008,True,2.2046641960998402476837154892
0.008,0.02,0.097,0.017,True,2.2019956898118144400311288223
0.012,0.01,0.097,0.013,True,2.2008563029019391239582420594
0.037,0.10,0.098,0.006,True,2.2004165891797620651251267858
0.037,0.10,0.099,0.006,True,2.1996545471037875313000760277
0.011,0,0.099,0.013,True,2.1954876527320953214299850933
0.002,0.01,0.097,0.007,True,2.1936501851215208708720820365
0.006,0.05,0.092,0.013,True,2.1899836995201333457928774949
0.011,0.01,0.099,0.013,True,2.1888273505515113740979799172
0.009,0.02,0.091,0.008,True,2.1870853109134222633427349550
0.008,0.03,0.097,0.017,True,2.1849390639440518887242360265
0.010,0.04,0.099,0.013,True,2.1801289872094868006743452844
0.017,0.14,0.100,0.006,False,2.1798914330496841169789325373
0.002,0.02,0.097,0.007,True,2.1775268041192402224661216571
0.015,0.13,0.100,0.006,False,2.1755731527353138837050352759
0.005,0.01,0.096,0.013,True,2.1735968126135872300876993253
0.017,0.06,0.100,0.010,True,2.1733382896010345757363215188
0.034,0.02,0.100,0.006,True,2.1723711842460662188070186320
0.011,0.04,0.098,0.018,True,2.1711085606404002692738431820
0.003,0.03,0.094,0.008,True,2.1702607697309288263324895299
0.018,0.06,0.096,0.009,True,2.1694020984239852229130477451
0.008,0.04,0.097,0.017,True,2.1685538089244328751751243741
0.006,0.03,0.098,0.016,True,2.1683229256450244084858815578
0.018,0.07,0.096,0.009,True,2.1670390242559257438139355112
0.001,0.16,0.096,0.007,True,2.1666061471761147880481458145
0.001,0.16,0.097,0.007,True,2.1666061471761147880481458145
0.034,0.02,0.100,0.016,True,2.1617054751471107506170567786
0.002,0.03,0.097,0.007,True,2.1605312470052721463902954886
0.017,0.06,0.100,0.009,True,2.1600332301219995156046405573
0.018,0.12,0.100,0.008,True,2.1594997208037747901803972552
0.003,0.04,0.092,0.008,True,2.1591887533134669543885876092
0.017,0.06,0.099,0.010,True,2.1591758046120775936827123494
0.001,0.16,0.094,0.005,True,2.1587586793579242274556083864
0.003,0.04,0.096,0.008,True,2.1578388006346811995759882424
0.003,0.04,0.097,0.008,True,2.1578388006346811995759882424
0.002,0.02,0.091,0.008,True,2.1576630253348664104088422831
0.017,0.13,0.099,0.006,False,2.1571464207879130036685129512
0.018,0.06,0.097,0.009,True,2.1545831820227118011777394605
