StopLoss,StopProfit,StartProfit,OpenCriteria,FollowTrend,Result
0.027,0.03,0.035,0.014,True,2.5706483797338889565936497093
0.028,0.04,0.035,0.014,True,2.5505484115601233839565117703
0.027,0.04,0.035,0.014,True,2.5423671862819250519033172876
0.025,0.07,0.038,0.011,True,2.5364645159965518978326394049
0.032,0,0.038,0.003,True,2.5163459038164998334262653262
0.029,0.03,0.034,0.014,True,2.5161585505154309990413932898
0.025,0.06,0.038,0.011,True,2.4994992734639276927327249660
0.029,0.04,0.034,0.014,True,2.4881814864853342300975019044
0.027,0.03,0.039,0.012,True,2.4839329184524423646225528168
0.027,0.03,0.036,0.014,True,2.4815697600665017013801917271
0.028,0.05,0.035,0.014,True,2.4702156393376640453309994451
0.027,0.03,0.039,0.014,True,2.4701367216841922096668711391
0.028,0.03,0.039,0.010,True,2.4675641006369737539388781509
0.026,0.03,0.036,0.014,True,2.4633706814518866310124065046
0.027,0.03,0.039,0.009,True,2.4462651078112016641415811207
0.032,0,0.038,0.004,True,2.4449726491397564283113581955
0.027,0,0.039,0.002,False,2.4403730667401347036304593590
0.028,0,0.036,0.002,False,2.4379170220587594596094863376
0.029,0.04,0.039,0.014,True,2.4316604302436188521217902112
0.027,0,0.036,0.002,False,2.4278657670917658769794437471
0.028,0.03,0.039,0.027,False,2.4149257288460626164500238236
0.027,0.03,0.039,0.027,False,2.4098639992855128065445062829
0.026,0.04,0.034,0.014,True,2.4011882523474961686870925582
0.025,0.04,0.036,0.013,True,2.3892196754368514275495857546
0.028,0.04,0.040,0.014,True,2.3837542742671951932132360824
0.028,0.04,0.039,0.027,False,2.3790790272692770389910029319
0.027,0.03,0.037,0.014,True,2.3736201467555349664138236835
0.031,0,0.036,0.002,False,2.3722920575460547868801377432
0.026,0.03,0.034,0.014,True,2.3693966455920052613647584928
0.029,0.04,0.039,0.027,False,2.3648409870916996562705553753
0.032,0,0.038,0.005,True,2.3645372141914498720553941117
0.024,0.03,0.039,0.027,False,2.3611876141347389847623666518
0.028,0.03,0.037,0.012,True,2.3590070223067328266603932514
0.025,0.02,0.040,0.011,False,2.3587410580782766052547195904
0.027,0.02,0.040,0.018,True,2.3518827445213131055798576080
0.028,0.03,0.039,0.012,True,2.3500734653244815993835820710
0.026,0.03,0.036,0.013,True,2.3488703717746170925757306666
0.026,0.04,0.036,0.014,True,2.3457981939256403905191702510
0.026,0.02,0.034,0.014,True,2.3450351722642596112905249470
0.027,0.02,0.040,0.017,True,2.3434978623874969655539435226
0.027,0.02,0.036,0.014,True,2.3433914278116431004800159572
0.027,0.03,0.035,0.009,True,2.3407707233366554521401881420
0.029,0.07,0.034,0.014,True,2.3368147363115558454033969948
0.032,0,0.039,0.005,True,2.3323177651899019577499050125
0.028,0.03,0.034,0.009,True,2.3314845816967670439423643124
0.029,0.04,0.034,0.015,True,2.3222763827166767599412248685
0.029,0.05,0.039,0.014,True,2.3213518539857751084725755143
0.025,0.03,0.038,0.010,True,2.3203975411733678723240627515
0.028,0,0.038,0.002,False,2.3203448284811281142354775253
0.028,0.03,0.036,0.014,True,2.3191837759507446154210556804
0.022,0,0.036,0.003,False,2.3173297180539482230188349396
0.025,0.02,0.036,0.013,True,2.3157599134856235641050040990
0.027,0.05,0.035,0.014,True,2.3150041800909498485566469332
0.028,0.03,0.039,0.009,True,2.3130808961163135735535732092
0.027,0.03,0.039,0.010,True,2.3113400827940081247807855630
0.026,0.04,0.035,0.014,True,2.3110712459013255323237032768
0.028,0.03,0.035,0.014,True,2.3104559910731763352280652039
0.027,0.02,0.035,0.011,True,2.3074835835426017027639405751
0.027,0.02,0.037,0.014,True,2.3067500215409253163972653859
0.027,0.02,0.038,0.010,False,2.3053120416984313813139326306
0.027,0.10,0.032,0.014,True,2.3026513404728213967918187198
0.028,0.03,0.037,0.014,True,2.2997520269737640762483573377
0.030,0,0.040,0.005,True,2.2961048250790242317590950144
0.025,0.07,0.040,0.011,True,2.2958159790219157175117044516
0.028,0.05,0.034,0.014,True,2.2949044153125002767357785958
0.027,0.04,0.036,0.014,True,2.2942663483029226717081348236
0.029,0.03,0.034,0.015,True,2.2941651725304253579811403665
0.025,0.04,0.035,0.013,True,2.2933341470967048971121670893
0.027,0.03,0.040,0.014,True,2.2924325480347995791479982156
0.035,0.09,0.040,0.015,True,2.2920607908686994735833315574
0.022,0.01,0.036,0.003,False,2.2905056726236244045836128734
0.032,0,0.038,0.003,False,2.2904733366026495045413299340
0.028,0,0.035,0.002,False,2.2880115310186993105610718258
0.022,0,0.040,0.009,True,2.2878924590420593949197313086
0.025,0.06,0.037,0.011,True,2.2848057138362253849023210994
0.028,0.03,0.036,0.012,True,2.2845207667229162032541914637
0.029,0.04,0.040,0.014,True,2.2825666353238536414800353060
0.028,0.04,0.037,0.014,True,2.2824911202340055135741821030
0.032,0,0.035,0.004,False,2.2821789709673021040983482555
0.020,0.01,0.038,0.003,False,2.2789780150665145913814219610
0.027,0.03,0.035,0.013,True,2.2759908027123026920692538503
