StopLoss,StopProfit,StartProfit,OpenCriteria,FollowTrend,Result
0.024,0.13,0.169,0.002,False,3.2865195971711265227489253000
0.024,0.13,0.170,0.002,False,3.2865195971711265227489253000
0.024,0.13,0.171,0.002,False,3.2865195971711265227489253000
0.024,0.13,0.172,0.002,False,3.2865195971711265227489253000
0.025,0.12,0.169,0.001,False,3.0696238540971535083787873146
0.025,0.12,0.170,0.001,False,3.0696238540971535083787873146
0.025,0.12,0.171,0.001,False,3.0696238540971535083787873146
0.025,0.12,0.172,0.001,False,3.0696238540971535083787873146
0.026,0.12,0.170,0.001,False,3.0196955663159273266556416902
0.040,0.08,0.170,0.033,False,2.9999968514913090800746313590
0.040,0.08,0.170,0.032,False,2.9983338225831614175068860396
0.040,0.08,0.170,0.031,False,2.9981165844865196743545075323
0.040,0.08,0.170,0.030,False,2.9966259284875757936584814097
0.024,0.07,0.169,0.010,False,2.9957526642002236446993440018
0.024,0.07,0.170,0.010,False,2.9957526642002236446993440018
0.022,0.12,0.178,0.039,False,2.9948601113105184730446876332
0.025,0.13,0.169,0.002,False,2.9869358094804531192103467426
0.025,0.13,0.170,0.002,False,2.9869358094804531192103467426
0.025,0.13,0.171,0.002,False,2.9869358094804531192103467426
0.025,0.13,0.172,0.002,False,2.9869358094804531192103467426
0.025,0.13,0.173,0.002,False,2.9869358094804531192103467426
0.022,0.12,0.178,0.038,False,2.9868476358382387812935644928
0.040,0.08,0.169,0.035,False,2.9842704179505787356623757173
0.040,0.08,0.169,0.034,False,2.9826231836817234539938655480
0.040,0.08,0.170,0.034,False,2.9826231836817234539938655480
0.024,0.13,0.174,0.002,False,2.9797558010322235647919386566
0.037,0.07,0.174,0.038,False,2.9721670837688376654160386073
0.006,0.14,0.181,0.014,False,2.9694302378510785934482745924
0.006,0.14,0.182,0.014,False,2.9694302378510785934482745924
0.037,0.07,0.172,0.038,False,2.9680130900967496033150393929
0.037,0.07,0.173,0.038,False,2.9680130900967496033150393929
0.034,0.07,0.170,0.039,False,2.9647346048544330920626141193
0.028,0.08,0.185,0.025,False,2.9616521506165892393008606343
0.028,0.08,0.186,0.025,False,2.9616521506165892393008606343
0.037,0.07,0.173,0.037,False,2.9582521354371809665010659039
0.034,0.07,0.169,0.038,False,2.9566561958914504916063553307
0.034,0.07,0.170,0.038,False,2.9566561958914504916063553307
0.037,0.07,0.172,0.037,False,2.9564419288820525971205101976
0.037,0.07,0.172,0.036,False,2.9550736895725905451612873359
0.024,0.13,0.173,0.002,False,2.9546064150209786150369343159
0.034,0.07,0.166,0.039,False,2.9532039710216151367464782928
0.037,0.07,0.162,0.038,False,2.9508444472524776200806667188
0.026,0.13,0.169,0.001,False,2.9504091006099022120676395876
0.026,0.13,0.170,0.001,False,2.9504091006099022120676395876
0.026,0.13,0.171,0.001,False,2.9504091006099022120676395876
0.026,0.13,0.172,0.001,False,2.9504091006099022120676395876
0.034,0.07,0.169,0.039,False,2.9491615423802541279375517721
0.024,0.13,0.171,0.003,False,2.9476759432428891301467415638
0.024,0.13,0.172,0.003,False,2.9476759432428891301467415638
0.037,0.07,0.170,0.039,False,2.9458833068920826581430893164
0.020,0.01,0.161,0.022,True,2.9447930892877884093096099869
0.025,0.13,0.169,0.004,False,2.9442825697658736191086222816
0.034,0.07,0.166,0.038,False,2.9435880992875352201014549125
0.028,0.08,0.184,0.025,False,2.9420530745810874995826956974
0.028,0.08,0.183,0.025,False,2.9416975957432754241534878562
0.006,0.12,0.172,0.013,False,2.9387470368382416848774999107
0.006,0.12,0.173,0.013,False,2.9387470368382416848774999107
0.006,0.12,0.174,0.013,False,2.9387470368382416848774999107
0.006,0.12,0.175,0.013,False,2.9387470368382416848774999107
0.037,0.07,0.169,0.038,False,2.9380601838489526944028212856
0.037,0.07,0.170,0.038,False,2.9380601838489526944028212856
0.037,0.07,0.161,0.037,False,2.9365908672581480772064627247
0.037,0.07,0.162,0.037,False,2.9365908672581480772064627247
0.026,0.13,0.169,0.002,False,2.9349461366994916361771893971
0.026,0.13,0.170,0.002,False,2.9349461366994916361771893971
0.026,0.13,0.171,0.002,False,2.9349461366994916361771893971
0.026,0.13,0.172,0.002,False,2.9349461366994916361771893971
0.021,0.02,0.161,0.022,True,2.9333935593012494584128325034
0.020,0.02,0.161,0.022,True,2.9330877592905071332610813897
0.038,0.07,0.174,0.038,False,2.9322203910378943456107860794
0.038,0.07,0.172,0.038,False,2.9304616294153860376105853666
0.038,0.07,0.173,0.038,False,2.9304616294153860376105853666
0.037,0.07,0.169,0.039,False,2.9303102444179036940180269692
0.037,0.07,0.169,0.037,False,2.9274845611600389991064536544
0.037,0.07,0.170,0.037,False,2.9274845611600389991064536544
0.039,0.07,0.174,0.038,False,2.9270478916479771331389949163
0.029,0.08,0.185,0.025,False,2.9255531146566689633018268477
0.029,0.08,0.186,0.025,False,2.9255531146566689633018268477
0.035,0.07,0.170,0.039,False,2.9245770334845651952006813507
0.028,0.08,0.179,0.025,False,2.9241242414526436077560563818
0.028,0.08,0.180,0.025,False,2.9241242414526436077560563818
0.028,0.08,0.181,0.025,False,2.9241242414526436077560563818
0.023,0.13,0.169,0.002,False,2.9215798305582419714344073260
0.023,0.13,0.170,0.002,False,2.9215798305582419714344073260
0.023,0.13,0.171,0.002,False,2.9215798305582419714344073260
0.023,0.13,0.172,0.002,False,2.9215798305582419714344073260
0.023,0.13,0.173,0.002,False,2.9215798305582419714344073260
0.029,0.08,0.184,0.025,False,2.9214024883532235562885902392
0.038,0.07,0.173,0.037,False,2.9213517762092605064053581349
0.037,0.07,0.169,0.036,False,2.9208713218581674290360461243
0.037,0.07,0.170,0.036,False,2.9208713218581674290360461243
0.038,0.07,0.172,0.037,False,2.9188900446734485859082713358
0.024,0.12,0.169,0.002,False,2.9183014030223026008384244185
0.024,0.12,0.170,0.002,False,2.9183014030223026008384244185
0.038,0.07,0.172,0.036,False,2.9169013638954253736620702652
0.035,0.07,0.169,0.038,False,2.9167339175326235668595660849
0.035,0.07,0.170,0.038,False,2.9167339175326235668595660849
0.037,0.07,0.170,0.035,False,2.9166056250381367790709815556
0.037,0.07,0.169,0.035,False,2.9141206907542691344740017061
0.021,0.03,0.161,0.022,True,2.9138934969081824825203068469
0.020,0.03,0.161,0.022,True,2.9133167483234147544705096552
0.038,0.07,0.170,0.039,False,2.9116116607054838139254809938
0.028,0.08,0.178,0.026,False,2.9101409161566780233756599494
0.035,0.07,0.169,0.039,False,2.9090039710103862310756190035
0.029,0.08,0.181,0.025,False,2.9060683855275938794410133613
0.029,0.08,0.182,0.025,False,2.9060683855275938794410133613
0.029,0.08,0.183,0.025,False,2.9060683855275938794410133613
0.027,0.13,0.169,0.001,False,2.9043331290911933944829824538
0.027,0.13,0.170,0.001,False,2.9043331290911933944829824538
0.027,0.13,0.171,0.001,False,2.9043331290911933944829824538
0.038,0.07,0.169,0.038,False,2.9032400178415227801902642569
0.038,0.07,0.170,0.038,False,2.9032400178415227801902642569
0.023,0.12,0.170,0.002,False,2.9012294867802993767499807019
0.023,0.12,0.171,0.002,False,2.9012294867802993767499807019
0.004,0.11,0.179,0.015,False,2.8992225025665307135073029967
0.004,0.11,0.180,0.015,False,2.8992225025665307135073029967
0.004,0.11,0.181,0.015,False,2.8992225025665307135073029967
0.006,0.11,0.172,0.013,False,2.8991876917547577277060663922
0.006,0.11,0.173,0.013,False,2.8991876917547577277060663922
0.006,0.11,0.174,0.013,False,2.8991876917547577277060663922
0.006,0.11,0.175,0.013,False,2.8991876917547577277060663922
0.038,0.07,0.161,0.037,False,2.8973533992325317046747421019
0.038,0.07,0.169,0.039,False,2.8960385982313048498004186466
0.038,0.07,0.169,0.037,False,2.8922070961389720973629577021
0.038,0.07,0.170,0.037,False,2.8922070961389720973629577021
0.029,0.08,0.179,0.025,False,2.8885059563522231576757398733
0.029,0.08,0.180,0.025,False,2.8885059563522231576757398733
0.026,0.13,0.169,0.004,False,2.8882511016010857542366353623
0.039,0.07,0.173,0.038,False,2.8868217235637086086242563891
0.039,0.07,0.172,0.038,False,2.8867973144321050835205377405
0.040,0.07,0.174,0.038,False,2.8858981344528445360455757058
0.038,0.07,0.169,0.036,False,2.8853923977841655627892109514
0.038,0.07,0.170,0.036,False,2.8853923977841655627892109514
0.036,0.07,0.170,0.039,False,2.8833124381214346536124092836
0.027,0.13,0.169,0.002,False,2.8821995211465471939420934218
0.027,0.13,0.170,0.002,False,2.8821995211465471939420934218
0.027,0.13,0.171,0.002,False,2.8821995211465471939420934218
0.003,0.12,0.180,0.016,False,2.8818935259600996361421958163
0.003,0.12,0.181,0.016,False,2.8818935259600996361421958163
0.038,0.07,0.170,0.035,False,2.8809237896000039437048412261
0.006,0.01,0.174,0.013,False,2.8805503495751526377697596083
0.040,0.07,0.173,0.038,False,2.8787558290728658269608298067
0.038,0.07,0.169,0.035,False,2.8784388553161362991078613766
0.039,0.07,0.173,0.037,False,2.8776393442419087271730273840
