StopLoss,StopProfit,StartProfit,OpenCriteria,FollowTrend,Result
0.040,0.07,0.094,0.018,True,1.9147539531721457389593925002
0.040,0.07,0.095,0.018,True,1.9147539531721457389593925002
0.040,0.07,0.096,0.018,True,1.9147539531721457389593925002
0.040,0.07,0.091,0.018,True,1.9053471130969120415148812852
0.040,0.07,0.092,0.018,True,1.9053471130969120415148812852
0.040,0.08,0.094,0.018,True,1.9027047023464162772148896580
0.040,0.08,0.095,0.018,True,1.9027047023464162772148896580
0.040,0.08,0.096,0.018,True,1.9027047023464162772148896580
0.040,0.08,0.092,0.018,True,1.8945960016048043885111832894
0.040,0.08,0.091,0.018,True,1.8936686445723468923751709246
0.040,0.11,0.093,0.021,True,1.8932254578727666596804743695
0.040,0.11,0.093,0.021,True,1.8932254578727666596804743695
0.040,0.07,0.098,0.018,True,1.8817532918099341012833202844
0.040,0.09,0.093,0.021,True,1.8811446286598949505553415269
0.040,0.09,0.093,0.021,True,1.8811446286598949505553415269
0.040,0.07,0.097,0.018,True,1.8775104719665920647297954802
0.040,0.12,0.093,0.021,True,1.8727219174127270002099379382
0.040,0.12,0.093,0.021,True,1.8727219174127270002099379382
0.040,0.08,0.098,0.018,True,1.8716990692733543204846007718
0.040,0.07,0.099,0.018,True,1.8688677562928196368004347489
0.040,0.11,0.095,0.021,True,1.8676534317901022791437534072
0.040,0.11,0.095,0.021,True,1.8676534317901022791437534072
0.040,0.08,0.097,0.018,True,1.8664771371584718139571856282
0.040,0,0.092,0.009,True,1.8653597343693835223355580443
0.040,0,0.093,0.009,True,1.8653597343693835223355580443
0.040,0.10,0.093,0.021,True,1.8632056060204353122953450115
0.040,0.10,0.093,0.021,True,1.8632056060204353122953450115
0.040,0.11,0.094,0.021,True,1.8597941846542593986200218196
0.040,0.11,0.094,0.021,True,1.8597941846542593986200218196
0.040,0.07,0.100,0.018,True,1.8596370331388336036426119381
0.040,0.08,0.099,0.018,True,1.8588135337562398560017152363
0.040,0.07,0.093,0.021,True,1.8552260303795561837900546945
0.040,0.07,0.093,0.021,True,1.8552260303795561837900546945
0.040,0.11,0.096,0.021,True,1.8547250713765129142988494190
0.040,0.11,0.096,0.021,True,1.8547250713765129142988494190
0.040,0.01,0.092,0.009,True,1.8534534991159304924189172893
0.040,0.01,0.093,0.009,True,1.8534534991159304924189172893
0.040,0.08,0.100,0.018,True,1.8519461209685565222297314631
0.040,0.09,0.095,0.021,True,1.8519129761516466976262375340
0.040,0.09,0.095,0.021,True,1.8519129761516466976262375340
0.040,0.12,0.095,0.021,True,1.8491450592826773807986163992
0.040,0.12,0.095,0.021,True,1.8491450592826773807986163992
0.040,0.13,0.093,0.021,True,1.8488005904090031009878744559
0.040,0.13,0.093,0.021,True,1.8488005904090031009878744559
0.040,0.11,0.091,0.021,True,1.8484722028756955503263864945
0.040,0.11,0.091,0.021,True,1.8484722028756955503263864945
0.040,0.09,0.094,0.021,True,1.8456903902269331133381851608
0.040,0.09,0.094,0.021,True,1.8456903902269331133381851608
0.040,0.11,0.097,0.021,True,1.8409916923274968188263894461
0.040,0.11,0.097,0.021,True,1.8409916923274968188263894461
0.040,0.11,0.098,0.021,True,1.8409916923274968188263894461
0.040,0.11,0.098,0.021,True,1.8409916923274968188263894461
0.040,0.12,0.094,0.021,True,1.8403038154201569225334772830
0.040,0.12,0.094,0.021,True,1.8403038154201569225334772830
0.040,0.06,0.097,0.009,True,1.8392235298805179973371506588
0.040,0.09,0.096,0.021,True,1.8389846157380573327813335458
0.040,0.09,0.096,0.021,True,1.8389846157380573327813335458
0.040,0.08,0.093,0.021,True,1.8383297165170824117133818654
0.040,0.08,0.093,0.021,True,1.8383297165170824117133818654
0.040,0,0.095,0.009,True,1.8370571725649578783898277273
0.040,0.09,0.091,0.021,True,1.8363913736628238412012536519
0.040,0.09,0.091,0.021,True,1.8363913736628238412012536519
0.040,0.12,0.096,0.021,True,1.8362166988690880159537124110
0.040,0.12,0.096,0.021,True,1.8362166988690880159537124110
0.040,0.10,0.095,0.021,True,1.8356417892225759612445045989
0.040,0.10,0.095,0.021,True,1.8356417892225759612445045989
0.040,0.02,0.092,0.009,True,1.8351247338005572460490311795
0.040,0.02,0.093,0.009,True,1.8351247338005572460490311795
0.040,0.10,0.094,0.021,True,1.8287645388134106584621805400
0.040,0.10,0.094,0.021,True,1.8287645388134106584621805400
0.040,0.12,0.091,0.021,True,1.8279686624156558908558500632
0.040,0.12,0.091,0.021,True,1.8279686624156558908558500632
0.040,0.13,0.095,0.021,True,1.8272189002315682427019523402
0.040,0.13,0.095,0.021,True,1.8272189002315682427019523402
0.040,0.07,0.097,0.009,True,1.8266430127202178578908756273
0.040,0.03,0.092,0.009,True,1.8250654574399036517760240692
0.040,0.03,0.093,0.009,True,1.8250654574399036517760240692
0.040,0.01,0.095,0.009,True,1.8249690556131156293234397575
0.040,0.12,0.097,0.021,True,1.8244386126746084482555808853
0.040,0.12,0.097,0.021,True,1.8244386126746084482555808853
0.040,0.12,0.098,0.021,True,1.8244386126746084482555808853
0.040,0.12,0.098,0.021,True,1.8244386126746084482555808853
0.040,0.10,0.096,0.021,True,1.8227134288089865963996006107
0.040,0.10,0.096,0.021,True,1.8227134288089865963996006107
0.040,0.09,0.097,0.021,True,1.8218416529839761977922808068
0.040,0.09,0.097,0.021,True,1.8218416529839761977922808068
0.040,0.09,0.098,0.021,True,1.8218416529839761977922808068
0.040,0.09,0.098,0.021,True,1.8218416529839761977922808068
0.040,0.11,0.099,0.021,True,1.8193002458948055490253380189
0.040,0.11,0.099,0.021,True,1.8193002458948055490253380189
0.040,0.10,0.091,0.021,True,1.8184523510233642029412571365
0.040,0.10,0.091,0.021,True,1.8184523510233642029412571365
0.040,0.07,0.094,0.021,True,1.8180831732366990409329118373
0.040,0.07,0.094,0.021,True,1.8180831732366990409329118373
0.040,0.13,0.094,0.021,True,1.8173956596423702066954056953
0.040,0.13,0.094,0.021,True,1.8173956596423702066954056953
0.040,0.05,0.092,0.009,True,1.8169641849656235804122015094
0.040,0.05,0.093,0.009,True,1.8169641849656235804122015094
0.040,0,0.094,0.009,True,1.8158709564863316053457832607
0.040,0.08,0.094,0.009,True,1.8156767547881967868441373519
0.040,0.08,0.095,0.009,True,1.8156767547881967868441373519
0.040,0.13,0.096,0.021,True,1.8142905398179788778570483520
0.040,0.13,0.096,0.021,True,1.8142905398179788778570483520
0.040,0.04,0.092,0.009,True,1.8139432531054314446696073806
0.040,0.04,0.093,0.009,True,1.8139432531054314446696073806
0.040,0,0.091,0.009,True,1.8136542250072843999641770272
0.040,0.07,0.094,0.020,True,1.8126673035618364077471828453
0.040,0.08,0.097,0.009,True,1.8120011075955178177030633590
0.040,0.07,0.093,0.018,True,1.8117754160702340182112391759
0.040,0.05,0.093,0.021,True,1.8117695333313122245915696872
0.040,0.05,0.093,0.021,True,1.8117695333313122245915696872
0.040,0.07,0.091,0.021,True,1.8104727753824850744359668195
0.040,0.07,0.091,0.021,True,1.8104727753824850744359668195
0.040,0.06,0.094,0.009,True,1.8101680166389299362020640805
0.040,0.06,0.095,0.009,True,1.8101680166389299362020640805
0.040,0.08,0.092,0.009,True,1.8099636930218050906465633925
0.040,0.08,0.093,0.009,True,1.8099636930218050906465633925
0.040,0.10,0.097,0.021,True,1.8070247569054339731528121907
0.040,0.10,0.097,0.021,True,1.8070247569054339731528121907
0.040,0.10,0.098,0.021,True,1.8070247569054339731528121907
0.040,0.10,0.098,0.021,True,1.8070247569054339731528121907
0.040,0.16,0.093,0.021,True,1.8058597080476788541701933260
0.040,0.16,0.093,0.021,True,1.8058597080476788541701933260
0.040,0.13,0.097,0.021,True,1.8044677464780358379332452734
0.040,0.13,0.097,0.021,True,1.8044677464780358379332452734
0.040,0.13,0.098,0.021,True,1.8044677464780358379332452734
0.040,0.13,0.098,0.021,True,1.8044677464780358379332452734
0.040,0.13,0.091,0.021,True,1.8040473354119319916337865809
0.040,0.13,0.091,0.021,True,1.8040473354119319916337865809
0.040,0.06,0.092,0.009,True,1.8040467277293250369615832125
0.040,0.06,0.093,0.009,True,1.8040467277293250369615832125
0.040,0.01,0.094,0.009,True,1.8027890784864978923522996186
0.040,0.01,0.091,0.009,True,1.8025369443889398513098636884
0.040,0,0.097,0.009,True,1.8022360473927557117437399638
0.040,0.08,0.094,0.021,True,1.8022000306001624522402309028
0.040,0.08,0.094,0.021,True,1.8022000306001624522402309028
0.040,0.08,0.093,0.018,True,1.8010243045781263652075411801
0.040,0.12,0.099,0.021,True,1.8001344868414934828425866921
0.040,0.12,0.099,0.021,True,1.8001344868414934828425866921
0.040,0.06,0.093,0.021,True,1.7972118357978381914945892712
0.040,0.06,0.093,0.021,True,1.7972118357978381914945892712
0.040,0.07,0.094,0.009,True,1.7959919571547089050750463145
0.040,0.07,0.095,0.009,True,1.7959919571547089050750463145
0.040,0.08,0.094,0.020,True,1.7959465180141476578536815333
0.040,0.09,0.094,0.009,True,1.7958715943698752558810355484
0.040,0.09,0.095,0.009,True,1.7958715943698752558810355484
0.040,0.09,0.097,0.009,True,1.7944207779310808713580972581
0.040,0.08,0.091,0.021,True,1.7935764615200113023592939904
0.040,0.08,0.091,0.021,True,1.7935764615200113023592939904
0.040,0.01,0.097,0.009,True,1.7925248979043448340354750101
0.040,0,0.095,0.019,True,1.7919584574331551920435807372
0.040,0,0.094,0.018,True,1.7904017137175643431788894999
0.040,0,0.095,0.018,True,1.7904017137175643431788894999
0.040,0.09,0.092,0.009,True,1.7903713406679983531561331417
0.040,0.09,0.093,0.009,True,1.7903713406679983531561331417
0.040,0.07,0.092,0.009,True,1.7898358902734712380296930527
0.040,0.07,0.093,0.009,True,1.7898358902734712380296930527
0.040,0.11,0.092,0.021,True,1.7878792004540990755360774898
0.040,0.11,0.092,0.021,True,1.7878792004540990755360774898
0.040,0,0.091,0.018,True,1.7861787769684237257651361483
0.040,0.11,0.095,0.019,True,1.7859616183222239675954619946
0.040,0.02,0.091,0.009,True,1.7857860883437835674646324109
0.040,0.01,0.095,0.019,True,1.7846470162661121410462102837
0.040,0,0.096,0.018,True,1.7844901356917381229994191563
0.040,0.01,0.094,0.018,True,1.7838114573238856036481062722
0.040,0.01,0.095,0.018,True,1.7838114573238856036481062722
0.040,0.02,0.094,0.009,True,1.7830718623602291694328990692
0.040,0.02,0.095,0.009,True,1.7830718623602291694328990692
0.038,0.30,0.095,0.001,True,1.7827068796256874208484900838
0.038,0.30,0.096,0.001,True,1.7827068796256874208484900838
0.038,0.30,0.097,0.001,True,1.7827068796256874208484900838
0.038,0.30,0.098,0.001,True,1.7827068796256874208484900838
0.038,0.30,0.099,0.001,True,1.7827068796256874208484900838
0.038,0.30,0.100,0.001,True,1.7827068796256874208484900838
0.040,0.09,0.095,0.019,True,1.7820819265697713060370818271
0.040,0.17,0.093,0.021,True,1.7802365073608252507666939055
0.040,0.17,0.093,0.021,True,1.7802365073608252507666939055
0.040,0.07,0.095,0.019,True,1.7802025735565527354438165915
0.040,0.13,0.099,0.021,True,1.7801636206449208725202510802
0.040,0.13,0.099,0.021,True,1.7801636206449208725202510802
0.040,0,0.092,0.018,True,1.7796841865511130611592628871
