StopLoss,StopProfit,StartProfit,OpenCriteria,FollowTrend,Result
0.020,0.06,0.106,0.015,True,3.3348835022300757332841298921
0.021,0.09,0.104,0.007,True,3.3310779258788083580584153697
0.028,0.10,0.110,0.007,False,3.3300866246776535797287528469
0.022,0.08,0.105,0.007,True,3.3205285701513322148121196776
0.022,0.08,0.105,0.006,True,3.3146097886540099949558069749
0.032,0.10,0.104,0.005,False,3.2922526707155971326217553252
0.032,0.10,0.105,0.005,False,3.2922526707155971326217553252
0.023,0.09,0.105,0.006,True,3.2875472743545180808926133777
0.026,0.08,0.107,0.021,True,3.2813763990131814642393526187
0.022,0.08,0.104,0.007,True,3.2781069354474711783451956981
0.022,0.06,0.106,0.005,True,3.2731074961340608011480773990
0.027,0.09,0.107,0.002,True,3.2632454155959603839060092623
0.023,0.09,0.105,0.002,True,3.2584125085062648135835463217
0.024,0.09,0.109,0.018,True,3.2376780915868776571611361720
0.035,0.10,0.104,0.013,False,3.2353985368107293053428982818
0.021,0.06,0.106,0.015,True,3.2353900093368456112664272959
0.022,0.06,0.107,0.005,True,3.2315550496090260242345724813
0.022,0.10,0.104,0.007,True,3.2279583756439700230317309009
0.024,0.06,0.110,0.005,True,3.2251829243810068867482947711
0.020,0.06,0.107,0.014,True,3.2206658671232916555068384120
0.028,0.10,0.108,0.008,False,3.2174951026533604302727258499
0.025,0.08,0.108,0.021,True,3.2055302415866361578050888711
0.020,0.06,0.107,0.015,True,3.2044716577966865732599497270
0.027,0.09,0.107,0.003,True,3.2026306755875076872185068519
0.020,0.06,0.108,0.015,True,3.1984580861457912161388928686
0.021,0.06,0.106,0.014,True,3.1951428649003482935442511061
0.021,0.06,0.107,0.014,True,3.1951428649003482935442511061
0.022,0.08,0.104,0.002,True,3.1923292882610951990591724149
0.022,0.08,0.105,0.002,True,3.1923292882610951990591724149
0.028,0.10,0.108,0.009,False,3.1910559727160749032832357862
0.022,0.08,0.107,0.017,True,3.1889599773200820726890395665
0.021,0.09,0.104,0.002,True,3.1887949056110579404916096698
0.021,0.09,0.105,0.002,True,3.1887949056110579404916096698
0.028,0.07,0.107,0.005,False,3.1805692990951365065467691539
0.025,0.09,0.108,0.019,True,3.1780344443956325224349923031
0.028,0.10,0.108,0.010,False,3.1770541275741247321858626495
0.025,0.07,0.108,0.021,True,3.1762973398285700478359337215
0.020,0.08,0.104,0.002,True,3.1759496951338622849920412349
0.021,0.06,0.108,0.005,True,3.1715455410932331554158529126
0.023,0.09,0.104,0.002,True,3.1659386341472903855790561269
0.021,0.07,0.108,0.005,True,3.1647146775550258989163459932
0.028,0.07,0.105,0.005,False,3.1633312312838862967339514744
0.028,0.07,0.106,0.005,False,3.1633312312838862967339514744
0.023,0.09,0.104,0.007,True,3.1610138246442499704218567269
0.025,0.09,0.108,0.021,True,3.1604795003084374605459055206
