StopLoss,StopProfit,StartProfit,OpenCriteria,FollowTrend,Result
0.036,0.04,0.160,0.039,False,3.0703871943438775044108520142
0.020,0.01,0.151,0.022,True,3.0502983502986931228508445089
0.037,0.04,0.160,0.039,False,3.0381076850151916168496782210
0.037,0.04,0.159,0.039,False,2.9961850474741052255847099930
0.037,0.04,0.159,0.038,False,2.9908743795571807455580111815
0.038,0.04,0.159,0.039,False,2.9527502556090307901648752162
0.038,0.04,0.158,0.038,False,2.9470983423019116601569904211
0.038,0.04,0.159,0.038,False,2.9470983423019116601569904211
0.038,0.05,0.160,0.039,False,2.8571112192163548801897032214
0.021,0.01,0.152,0.023,True,2.8489179472081758226086828778
0.021,0.01,0.151,0.023,True,2.8362452061283129289553907010
0.017,0.02,0.151,0.017,True,2.8343794421718466988610668600
0.036,0.04,0.159,0.039,False,2.8328418009357459422882890363
0.037,0.04,0.157,0.039,False,2.8186700792926580046875046070
0.037,0.04,0.158,0.039,False,2.8186700792926580046875046070
0.039,0.05,0.159,0.038,False,2.8127235116055834252200872893
0.040,0.05,0.158,0.038,False,2.7973877716916140529045623822
0.023,0,0.151,0.010,False,2.7833399237916333616385920327
0.038,0.04,0.156,0.039,False,2.7747930028640294284283876191
0.038,0.04,0.157,0.039,False,2.7747930028640294284283876191
0.038,0.04,0.158,0.039,False,2.7747930028640294284283876191
0.038,0.04,0.157,0.038,False,2.7695508785610606939101332866
0.023,0.01,0.153,0.025,True,2.7659670588457077505519403090
0.023,0.01,0.154,0.025,True,2.7659118446479723970857103491
0.036,0.04,0.160,0.038,False,2.7593353503121436393862935606
0.023,0,0.151,0.009,False,2.7494612571717897536759193952
0.023,0,0.156,0.025,True,2.7382862219127608693142320317
0.023,0.01,0.156,0.025,True,2.7292187341993493696053929992
0.020,0.01,0.153,0.023,True,2.7171813751272689140935684463
0.020,0.01,0.154,0.023,True,2.7171813751272689140935684463
0.020,0.01,0.154,0.022,True,2.7148412243010905149975057623
0.020,0.01,0.152,0.022,True,2.7147637089286382863839578108
0.020,0.01,0.153,0.022,True,2.7147637089286382863839578108
0.037,0.04,0.160,0.038,False,2.7134134027814821996237611055
0.020,0.01,0.151,0.023,True,2.7045143714678251098790932620
0.020,0.01,0.152,0.023,True,2.7045143714678251098790932620
0.038,0.04,0.160,0.039,False,2.6731810665938730802773623494
0.038,0.05,0.158,0.038,False,2.6723944161220224562826843766
0.039,0.04,0.159,0.039,False,2.6706179296732308696818260518
0.038,0.05,0.157,0.039,False,2.6703906835696133481645530601
0.038,0.05,0.158,0.039,False,2.6703906835696133481645530601
0.038,0.04,0.160,0.038,False,2.6691458668328606089063840476
0.038,0.05,0.157,0.038,False,2.6654083794302982439459613493
0.008,0.08,0.153,0.011,True,2.6621930981740015070697149221
0.017,0.02,0.151,0.021,True,2.6601381011289157155830598686
0.038,0.05,0.159,0.039,False,2.6480135279252662206872682937
0.006,0.12,0.158,0.017,True,2.6443343919325838159770219764
0.006,0.12,0.159,0.017,True,2.6443343919325838159770219764
0.038,0.05,0.159,0.038,False,2.6434495823438982396278134424
0.008,0.08,0.154,0.011,True,2.6363457001113775970198600399
0.022,0.05,0.151,0.022,True,2.6354519373584905492297838357
0.022,0.05,0.152,0.022,True,2.6354519373584905492297838357
0.008,0.06,0.160,0.008,False,2.6284457396131948619480474683
0.021,0.01,0.154,0.024,True,2.6279314707009395850776996118
0.010,0.09,0.154,0.010,True,2.6233528509983778256263640104
0.035,0.04,0.160,0.038,False,2.6154860659023402734586947146
0.039,0.04,0.154,0.037,False,2.6139317863258129767915200220
0.022,0.01,0.154,0.025,True,2.6078677958335035568941908055
0.025,0.06,0.154,0.025,True,2.6060034868891035949664992990
0.017,0.02,0.151,0.004,True,2.6045411160828743410334379123
0.018,0.02,0.151,0.021,True,2.6013057426253827873750878396
0.021,0.01,0.155,0.024,True,2.5995935085088266773033138375
0.012,0.06,0.158,0.006,False,2.5942101152505246207092547085
0.012,0.06,0.159,0.006,False,2.5942101152505246207092547085
