StopLoss,StopProfit,StartProfit,OpenCriteria,FollowTrend,Result
0.005,0.09,0.172,0.009,True,2.9531785421628765826895931062
0.005,0.09,0.173,0.009,True,2.9531785421628765826895931062
0.005,0.09,0.174,0.009,True,2.9531785421628765826895931062
0.002,0.12,0.171,0.005,True,2.9401797713400703914361814315
0.004,0.07,0.179,0.004,True,2.9277704191937341589864200259
0.004,0.07,0.180,0.004,True,2.9277704191937341589864200259
0.006,0.05,0.179,0.004,True,2.8995610529420769135353278964
0.006,0.05,0.180,0.004,True,2.8995610529420769135353278964
0.014,0.04,0.173,0.013,True,2.8952020272462563260722860644
0.014,0.04,0.174,0.013,True,2.8686875494809622707833089650
0.018,0.07,0.173,0.005,False,2.8614297806812534899022199507
0.018,0.07,0.174,0.005,False,2.8614297806812534899022199507
0.010,0.05,0.173,0.008,True,2.8535588599358472072220739454
0.010,0.05,0.174,0.008,True,2.8535588599358472072220739454
0.010,0.05,0.175,0.008,True,2.8535588599358472072220739454
0.021,0.07,0.173,0.012,False,2.8526301617434096721939017127
0.005,0.05,0.179,0.004,True,2.8479278198907234018597170224
0.005,0.05,0.180,0.004,True,2.8479278198907234018597170224
0.004,0.05,0.179,0.004,True,2.8292856631460253850875112846
0.004,0.05,0.180,0.004,True,2.8292856631460253850875112846
0.017,0.08,0.178,0.015,False,2.8177627883133144201474600173
0.009,0.05,0.176,0.008,True,2.8168184670269656168275014962
0.021,0.05,0.173,0.014,False,2.8038998176051271242593644518
0.006,0.05,0.176,0.003,True,2.7963166040933660879469142959
0.006,0.05,0.177,0.003,True,2.7963166040933660879469142959
0.009,0.05,0.173,0.008,True,2.7818377516449220889986491730
0.009,0.05,0.174,0.008,True,2.7818377516449220889986491730
0.009,0.05,0.175,0.008,True,2.7818377516449220889986491730
0,0.05,0.176,0.009,True,2.7798452049193761855610669811
0.005,0.05,0.172,0.009,True,2.7775315321709151179827772115
0.005,0.05,0.173,0.009,True,2.7775315321709151179827772115
0.005,0.05,0.174,0.009,True,2.7775315321709151179827772115
0.006,0.06,0.179,0.004,True,2.7766902794274527563614194430
0.006,0.06,0.180,0.004,True,2.7766902794274527563614194430
0.017,0.05,0.172,0.013,True,2.7688666808647127258691856528
0.017,0.05,0.173,0.013,True,2.7688666808647127258691856528
0.019,0.06,0.175,0.014,False,2.7680489891403856524288805525
0.005,0.07,0.174,0.009,True,2.7524759432729319703585490633
0.005,0.05,0.176,0.003,True,2.7504774980056125108887808951
0.005,0.05,0.177,0.003,True,2.7504774980056125108887808951
0.005,0.05,0.178,0.003,True,2.7504774980056125108887808951
0.015,0.06,0.174,0.012,True,2.7483807805138153286133645297
0.015,0.06,0.175,0.012,True,2.7483807805138153286133645297
0.015,0.06,0.176,0.012,True,2.7483807805138153286133645297
0.011,0.11,0.172,0.015,True,2.7481920441462052888319517889
0.007,0.05,0.175,0.009,True,2.7479541112046279322979006069
0.007,0.05,0.176,0.009,True,2.7479541112046279322979006069
0.006,0.05,0.178,0.003,True,2.7440089409298326670454992702
0.008,0.05,0.171,0.010,True,2.7433785560585235402793239969
0.015,0.06,0.174,0.010,False,2.7395245230677513371760368858
0.015,0.06,0.175,0.010,False,2.7395245230677513371760368858
0.006,0.05,0.178,0.004,True,2.7392613102956047831463461581
0,0.05,0.174,0.009,True,2.7388716261429619763288133356
0.007,0.05,0.172,0.009,True,2.7331521294109276963782029039
0.007,0.05,0.173,0.009,True,2.7331521294109276963782029039
0.007,0.05,0.174,0.009,True,2.7331521294109276963782029039
0.015,0.05,0.175,0.012,True,2.7322523660425066274055864194
0,0.05,0.175,0.009,True,2.7298544722398525965413265123
0.004,0.07,0.172,0.004,True,2.7280903294892370716724264358
0.004,0.07,0.173,0.004,True,2.7280903294892370716724264358
0.004,0.07,0.174,0.004,True,2.7280903294892370716724264358
0.004,0.07,0.175,0.004,True,2.7280903294892370716724264358
0.004,0.07,0.176,0.004,True,2.7280903294892370716724264358
0.004,0.07,0.177,0.004,True,2.7280903294892370716724264358
0.004,0.07,0.178,0.004,True,2.7280903294892370716724264358
0.018,0.05,0.172,0.005,False,2.7180988018992650969253785310
0.018,0.05,0.173,0.005,False,2.7180988018992650969253785310
0.009,0.05,0.171,0.008,True,2.7122093931158237362275770016
0.009,0.05,0.172,0.008,True,2.7122093931158237362275770016
0.006,0.05,0.179,0.003,True,2.7116842451525959346209007876
0.006,0.05,0.180,0.003,True,2.7116842451525959346209007876
0.015,0.05,0.175,0.011,True,2.7088864723626439825567945175
0.010,0.05,0.176,0.008,True,2.7046566002864732284940802097
0.011,0.11,0.171,0.015,True,2.7037687557024524352682438811
0.018,0.06,0.174,0.005,False,2.6973019760976490658494780903
0.018,0.07,0.173,0.008,False,2.6971050305136808354575588049
0.018,0.07,0.174,0.008,False,2.6971050305136808354575588049
0.003,0.05,0.179,0.003,True,2.6961473158976263434833863551
0.003,0.05,0.180,0.003,True,2.6961473158976263434833863551
0.003,0.08,0.171,0.003,True,2.6959170966477819069988372086
0.003,0.08,0.172,0.003,True,2.6959170966477819069988372086
0.003,0.05,0.176,0.003,True,2.6928649800228729550848483282
0.003,0.05,0.177,0.003,True,2.6928649800228729550848483282
0.003,0.05,0.178,0.003,True,2.6928649800228729550848483282
0.018,0.05,0.172,0.013,True,2.6924353854129953906451037960
0,0.05,0.172,0.009,True,2.6921137153435376732675663463
0,0.05,0.173,0.009,True,2.6921137153435376732675663463
0.019,0.09,0.175,0.014,False,2.6910437871169082862686323657
0.001,0.11,0.171,0.003,True,2.6885706818236069294952919820
0.005,0.05,0.178,0.004,True,2.6882940778615602771162052685
0.001,0.08,0.172,0.009,True,2.6869278239263005744371999905
0.001,0.08,0.173,0.009,True,2.6869278239263005744371999905
0.018,0.08,0.178,0.015,False,2.6861962970968311598362418414
0.006,0.10,0.172,0.014,False,2.6817668813510985558647425460
0.006,0.06,0.171,0.003,True,2.6813939174838849293162788867
0.006,0.06,0.172,0.003,True,2.6813939174838849293162788867
0.006,0.06,0.173,0.003,True,2.6813939174838849293162788867
0.006,0.06,0.174,0.003,True,2.6813939174838849293162788867
0.006,0.06,0.175,0.003,True,2.6813939174838849293162788867
0.006,0.06,0.176,0.003,True,2.6813939174838849293162788867
0.006,0.06,0.177,0.003,True,2.6813939174838849293162788867
0.008,0.13,0.173,0.024,False,2.6812177771691433684850544547
0.005,0.07,0.172,0.009,True,2.6803742762797444060921627860
0.005,0.07,0.173,0.009,True,2.6803742762797444060921627860
0.003,0.09,0.171,0.003,True,2.6778491401633870580962639246
0.003,0.09,0.172,0.003,True,2.6778491401633870580962639246
0.001,0.06,0.172,0.009,True,2.6759480130434556983893300985
0.001,0.06,0.173,0.009,True,2.6759480130434556983893300985
0.005,0.05,0.179,0.003,True,2.6754522527719977703588727361
0.005,0.05,0.180,0.003,True,2.6754522527719977703588727361
0.015,0.04,0.171,0.016,True,2.6747872777668382318196140472
0.002,0.07,0.175,0.010,True,2.6729225407897695435703954779
0.002,0.07,0.176,0.010,True,2.6729225407897695435703954779
0.018,0.05,0.171,0.013,True,2.6717582985530694121301102228
0.007,0.05,0.171,0.009,True,2.6713436138483693362367329058
0.003,0.09,0.177,0.003,True,2.6694429959586598823402165070
0,0.11,0.171,0.009,True,2.6690214605361220067060434501
0.002,0.06,0.172,0.005,True,2.6681970641792391381231447554
0.002,0.06,0.173,0.005,True,2.6681970641792391381231447554
0.002,0.06,0.174,0.005,True,2.6681970641792391381231447554
0.006,0.05,0.176,0.004,True,2.6626362178264904118841091397
0.006,0.05,0.177,0.004,True,2.6626362178264904118841091397
0.018,0.07,0.172,0.005,False,2.6616669411274845957922958355
0.012,0.06,0.178,0.005,True,2.6614490594046258922551530321
0.019,0.06,0.174,0.014,False,2.6600284613315133565809647897
0.017,0.05,0.172,0.005,False,2.6599147726662969472301771622
0.017,0.05,0.173,0.005,False,2.6599147726662969472301771622
0.017,0.05,0.174,0.005,False,2.6599147726662969472301771622
0.002,0.08,0.172,0.004,True,2.6502846698817058591082206767
0.002,0.08,0.173,0.004,True,2.6502846698817058591082206767
0.002,0.07,0.172,0.010,True,2.6492825149306421488323651084
0.002,0.07,0.173,0.010,True,2.6492825149306421488323651084
0.002,0.07,0.174,0.010,True,2.6492825149306421488323651084
0.001,0.08,0.172,0.003,True,2.6492782665006310285034397062
0.001,0.08,0.173,0.003,True,2.6492782665006310285034397062
0.001,0.08,0.174,0.003,True,2.6492782665006310285034397062
0.017,0.08,0.179,0.014,False,2.6485208778816093410545793437
0.014,0.04,0.171,0.013,True,2.6456976557150334492927087627
0.001,0.09,0.171,0.003,True,2.6436743115649129801597235003
0.001,0.09,0.172,0.003,True,2.6436743115649129801597235003
0.001,0.09,0.173,0.003,True,2.6436743115649129801597235003
0.001,0.09,0.174,0.003,True,2.6436743115649129801597235003
0.017,0.05,0.171,0.016,True,2.6432085544663089463929442367
0.001,0.08,0.171,0.009,True,2.6417002992091914802078285602
0.010,0.11,0.179,0.013,False,2.6378070947660320994164036390
0.010,0.11,0.180,0.013,False,2.6378070947660320994164036390
0.018,0.06,0.174,0.008,False,2.6358424362617378073433876274
0.002,0.11,0.171,0.010,True,2.6351982027340637091219495728
0.001,0.07,0.172,0.009,True,2.6338085450343255245701210747
0.001,0.07,0.173,0.009,True,2.6338085450343255245701210747
0.003,0.05,0.171,0.003,True,2.6335395969142679788808651634
0.003,0.05,0.172,0.003,True,2.6335395969142679788808651634
0.003,0.05,0.173,0.003,True,2.6335395969142679788808651634
0.003,0.05,0.174,0.003,True,2.6335395969142679788808651634
0.003,0.05,0.175,0.003,True,2.6335395969142679788808651634
0.016,0.06,0.177,0.007,True,2.6324051054530240044749723609
0.016,0.06,0.178,0.007,True,2.6324051054530240044749723609
0.002,0.12,0.172,0.005,True,2.6319640981230102844539428772
0.002,0.12,0.173,0.005,True,2.6319640981230102844539428772
0.001,0.11,0.171,0.009,True,2.6319412723408946693316985590
0.018,0.06,0.179,0.010,False,2.6317585056963006366232999982
0.001,0.10,0.174,0.003,True,2.6312727924749334530081502574
0.001,0.06,0.171,0.009,True,2.6304950869903895950667710412
