StopLoss,StopProfit,StartProfit,OpenCriteria,FollowTrend,Result
0.003,0.14,0.121,0.013,True,1.9525077065132305897009614299
0.003,0.14,0.122,0.013,True,1.9525077065132305897009614299
0.009,0.01,0.122,0.008,False,1.8901634646377660151814160271
0.009,0,0.123,0.008,False,1.8870194962494057031157841188
0.007,0.05,0.123,0.008,False,1.8791600496094674231755013507
0.009,0.01,0.123,0.008,False,1.8791295365803164808051878266
0.008,0,0.123,0.008,False,1.8701799781205131513978055529
0.007,0.06,0.123,0.008,False,1.8678739386957409747609995711
0.007,0.04,0.123,0.008,False,1.8625851204336243270510052450
0.008,0.05,0.122,0.008,False,1.8539380649732724683175264588
0.009,0.02,0.122,0.008,False,1.8526710572306566858060105457
0.010,0.01,0.122,0.008,False,1.8495600978113343901681842165
0.008,0.01,0.122,0.008,False,1.8456333309631154113821880666
0.008,0.02,0.122,0.008,False,1.8353812152468733559855168149
0.010,0,0.123,0.008,False,1.8316802710968296204926612908
0.003,0.14,0.121,0.010,True,1.8294399345235669516059774788
0.008,0.01,0.123,0.008,False,1.8281817670420796600730650389
0.007,0.08,0.123,0.013,False,1.8267846300564841174283240599
0.007,0.04,0.121,0.008,False,1.8243983928764071085657597784
0.007,0.04,0.122,0.008,False,1.8243983928764071085657597784
0.025,0.03,0.121,0.007,True,1.8146430876479124593068411106
0.025,0.03,0.121,0.008,True,1.8103651838424244056247745884
0.010,0.01,0.123,0.008,False,1.8083055758931884768492910674
0.025,0.03,0.121,0.006,True,1.8040176435435943659955805366
0.025,0.03,0.121,0.005,True,1.8036054906761746023960739803
0.009,0.05,0.122,0.008,False,1.8029128927605524132716783049
0.025,0.03,0.121,0.004,True,1.7945425685331378713997699597
0.008,0,0.122,0.008,False,1.7936616858134361834426055765
0.011,0.01,0.122,0.008,False,1.7905853518951134272125914888
0.011,0,0.123,0.008,False,1.7896414553634106193821014112
0.009,0.06,0.121,0.008,False,1.7880449161331153617112340163
0.003,0.01,0.123,0.010,True,1.7814386010046018825957741288
0.011,0.01,0.123,0.008,False,1.7793518804917106170945648128
0.025,0.03,0.121,0.002,True,1.7777632091978148964716061030
0.025,0,0.122,0.002,True,1.7741190319828317518057663664
0.025,0.03,0.121,0.009,True,1.7733590853512402637104429009
0.002,0.05,0.123,0.010,True,1.7708932627402614118660049512
0.025,0.03,0.121,0.010,True,1.7669128938044562478855928727
0.001,0.05,0.123,0.010,True,1.7584890078184308565752509921
0.003,0.14,0.122,0.010,True,1.7583759385185677683329603960
0.002,0.02,0.123,0.010,True,1.7523820504623322394849755438
0.001,0.04,0.123,0.010,True,1.7495695274713752206897573497
0.007,0.09,0.121,0.013,False,1.7455851815888612549144088595
0.007,0.09,0.122,0.013,False,1.7455851815888612549144088595
0.007,0.09,0.123,0.013,False,1.7455851815888612549144088595
0.011,0,0.122,0.008,False,1.7365892854028180209218470487
0.010,0.04,0.121,0.008,False,1.7347723186495905943250710817
0.011,0,0.121,0.008,False,1.7292879138773050610736811672
0.011,0.02,0.121,0.008,False,1.7289788392842743776841539000
0.003,0.02,0.123,0.013,True,1.7229827356604533394427376693
0.011,0.01,0.121,0.008,False,1.7222356531951409647169913799
0.025,0.03,0.121,0.003,True,1.7209626320845623625698253247
0.011,0.03,0.121,0.008,False,1.7170113447819301553921137996
0.008,0.09,0.121,0.013,False,1.7149888239463193723311913411
0.008,0.09,0.122,0.013,False,1.7149888239463193723311913411
0.008,0.09,0.123,0.013,False,1.7149888239463193723311913411
0.002,0.13,0.121,0.005,True,1.7070290659714505505609342348
0.002,0.13,0.122,0.005,True,1.7070290659714505505609342348
0.009,0,0.121,0.008,False,1.7047832703670101233288769753
0.011,0.04,0.121,0.008,False,1.7030272754166541626972723155
0.002,0.05,0.123,0.009,True,1.7020474801013277771438716729
0.006,0.02,0.123,0.010,True,1.7017519738135291628370111991
0.009,0.01,0.121,0.008,False,1.7005514000943872799677026196
0.002,0.14,0.121,0.013,True,1.6971652503282118031856441209
0.002,0.14,0.122,0.013,True,1.6971652503282118031856441209
0.006,0.01,0.123,0.007,False,1.6945489661878368536668457787
0.002,0.01,0.123,0.009,True,1.6936130575886182177354132754
0.003,0.02,0.123,0.010,True,1.6921923831313918677689783603
0.004,0.03,0.123,0.009,True,1.6915619078499308680630102449
0.001,0.09,0.121,0.008,True,1.6904412818516055382911343150
0.001,0.09,0.122,0.008,True,1.6904412818516055382911343150
0.001,0.09,0.123,0.008,True,1.6904412818516055382911343150
0.006,0.05,0.123,0.008,False,1.6882817288151713682440448235
0.006,0.03,0.123,0.010,True,1.6872571489720515814186136182
0.025,0,0.121,0.013,True,1.6871964659736726106263320300
0.002,0.01,0.123,0.010,True,1.6857777213818460888368379573
0.025,0,0.122,0.003,True,1.6850806197774341557192880173
0.008,0,0.121,0.008,False,1.6840132689485568387368737690
0.025,0,0.122,0.007,False,1.6823964054359566489384958663
0.002,0.09,0.121,0.008,True,1.6823740965480241981446982245
0.002,0.09,0.122,0.008,True,1.6823740965480241981446982245
0.002,0.09,0.123,0.008,True,1.6823740965480241981446982245
0.003,0.05,0.123,0.010,True,1.6823656255893713884192701266
0.009,0,0.122,0.008,False,1.6803228740789099536829532846
0.007,0.01,0.123,0.007,False,1.6798470397548327135299098785
0.006,0.06,0.123,0.008,False,1.6783606556517448345775459851
0.004,0.02,0.123,0.009,True,1.6779114257614427272308881943
0.008,0.04,0.121,0.008,False,1.6775544111631962272794097389
0.002,0.02,0.123,0.009,True,1.6772550941711211452678717656
0.025,0.01,0.121,0.013,True,1.6770219377321809106421382225
0.006,0.04,0.123,0.010,True,1.6721389574894643844083553216
0.007,0.05,0.123,0.007,False,1.6719489249312558808221715046
0.003,0.14,0.121,0.009,True,1.6696398823647337999468749779
0.003,0.14,0.122,0.009,True,1.6696398823647337999468749779
0.006,0.08,0.123,0.010,True,1.6693873599462320912337194653
0.010,0,0.121,0.008,False,1.6690208333842606578990967622
0.025,0.02,0.121,0.013,True,1.6663401132563834422365744757
0.009,0.02,0.121,0.008,False,1.6661015932976983382722196470
0.025,0,0.122,0.008,True,1.6657622915916569182575820547
0.001,0.03,0.123,0.008,False,1.6655171752466520311590113015
0.006,0.05,0.122,0.008,False,1.6645814943654590977329438611
0.002,0.14,0.121,0.005,True,1.6629003554533779458218615225
0.002,0.14,0.122,0.005,True,1.6629003554533779458218615225
0.003,0.03,0.123,0.010,True,1.6604871426556849930174643733
0.009,0.03,0.121,0.008,False,1.6562618758268479026140214110
0.025,0,0.122,0.009,True,1.6560624432259960285655104260
0.009,0.01,0.122,0.007,False,1.6556774285627936641010186686
0.002,0.07,0.123,0.008,False,1.6553369395044524197364588327
0.015,0,0.122,0.013,True,1.6547411535781509457980641257
0.010,0,0.122,0.008,False,1.6536423956329341781503353226
0.025,0,0.121,0.014,True,1.6534892578034874317274350077
0.004,0.03,0.121,0.009,True,1.6532069792965936599238043198
0.004,0.03,0.122,0.009,True,1.6532069792965936599238043198
0.002,0.03,0.123,0.009,True,1.6530089226521306756986468927
0.008,0,0.123,0.007,False,1.6520945447052229080462458533
