StopLoss,StopProfit,StartProfit,OpenCriteria,FollowTrend,Result
0.014,0.13,0.104,0.007,False,1.9352195260861624757585579981
0.014,0.13,0.105,0.007,False,1.9352195260861624757585579981
0.011,0.11,0.110,0.010,True,1.9166393381605853252176001442
0.004,0.01,0.110,0.005,True,1.9070469567627733717253503531
0.004,0.02,0.110,0.005,True,1.9050009758922019277432147591
0.004,0.03,0.110,0.005,True,1.9022105921354071523568982716
0.017,0.15,0.104,0.006,False,1.8969996351051690923606766274
0.015,0.13,0.104,0.006,False,1.8945803653159388453154513487
0.015,0.13,0.105,0.006,False,1.8945803653159388453154513487
0.015,0.13,0.106,0.006,False,1.8945803653159388453154513487
0.004,0.01,0.109,0.005,True,1.8934490481776283994697163715
0.004,0.01,0.108,0.005,True,1.8925209064600950485530309999
0.004,0.02,0.109,0.005,True,1.8914030673070569554875807775
0.004,0.03,0.109,0.005,True,1.8886126835502621801012642900
0.004,0.04,0.110,0.005,True,1.8880136674321587556914616126
0.004,0.02,0.108,0.005,True,1.8879988820286166256406273201
0.012,0.11,0.110,0.010,True,1.8833698861643226746186295325
0.004,0.03,0.108,0.005,True,1.8826995282481540354038106711
0.015,0.13,0.107,0.006,False,1.8770070283128764520717221522
0.004,0.04,0.109,0.005,True,1.8744157588470137834358276310
0.010,0.10,0.110,0.008,True,1.8680029796001369740664171915
0.015,0.13,0.104,0.007,False,1.8651653691164817865497965441
0.016,0.13,0.104,0.006,False,1.8633411388630674854265815516
0.016,0.13,0.105,0.006,False,1.8633411388630674854265815516
0.016,0.13,0.106,0.006,False,1.8633411388630674854265815516
0.004,0.04,0.108,0.005,True,1.8626182104288014929781390491
0.013,0.09,0.104,0.006,False,1.8555621268994455696378705675
0.016,0.13,0.107,0.005,False,1.8407644676581560070070824911
0.011,0.11,0.110,0.009,True,1.8281065181910833137278004655
0.014,0.12,0.110,0.010,True,1.8246496560972996076020462307
0.016,0.14,0.104,0.006,False,1.8240735489468411461727050879
