StopLoss,StopProfit,StartProfit,OpenCriteria,FollowTrend,Result
0.030,0.26,0.053,0.012,False,2.4135227468935768809724659265
0.002,0.15,0.055,0.005,True,2.4127574309074653908721397703
0.020,0.26,0.060,0.015,True,2.4103499109153624216112146180
0.030,0.27,0.051,0.010,False,2.4035283795155942810371203889
0.002,0.13,0.055,0.005,True,2.4026955934142839597241704044
0.002,0.12,0.055,0.005,True,2.3882300975983814222772037292
0.029,0.28,0.053,0.008,False,2.3661757632329160422487544471
0.029,0.28,0.053,0.009,False,2.3587925614481331118181091359
0.029,0.29,0.054,0.016,True,2.3514252868279469412871442350
0.002,0.23,0.051,0.008,True,2.3339511299807470170389991926
0.020,0.28,0.059,0.016,True,2.3337570299479684076964409269
0.002,0.10,0.055,0.005,True,2.3300937721499680205151249849
0.004,0.30,0.057,0.005,True,2.3231276983739032741508880015
0.031,0.30,0.053,0.013,False,2.3050599892512802086337626631
0.020,0.28,0.059,0.017,True,2.3004412507445271494053322919
0.002,0.11,0.055,0.005,True,2.2985348721385383806943567345
0.030,0.26,0.055,0.012,False,2.2942731527937629480401199515
0.002,0.09,0.055,0.005,True,2.2930621118033346979923197305
0.031,0.30,0.053,0.010,False,2.2872920970716473571691165056
0.021,0.30,0.060,0.015,True,2.2860470479061005204405410896
0.030,0,0.055,0.006,False,2.2778067797493685335387598553
0.020,0.27,0.060,0.015,True,2.2772094316159693718309498978
0.029,0.25,0.056,0.012,False,2.2733392296838325143005865977
0.025,0.26,0.056,0.015,True,2.2696502156506708092495512868
0.026,0.26,0.054,0.017,True,2.2688867616011703343645065791
0.030,0.01,0.055,0.006,False,2.2657892972803052900428080185
0.006,0.07,0.052,0.007,True,2.2648290970531521079770735692
0.029,0.28,0.053,0.010,False,2.2643024937784285005274429257
0.006,0.06,0.052,0.007,True,2.2630665585436476099688733277
0.028,0.27,0.055,0.012,False,2.2550841723519367334068046881
0.021,0.28,0.058,0.015,True,2.2548819497704931036844686376
0.020,0.26,0.059,0.015,True,2.2545539680205211652004171592
0.029,0.29,0.053,0.008,False,2.2517011295734082349485965912
0.014,0.03,0.051,0.019,True,2.2440862745973061665097967039
0.030,0.27,0.051,0.009,False,2.2419000017771210684714426815
0.014,0.12,0.051,0.020,True,2.2392152199893874209896089465
0.024,0.26,0.057,0.015,True,2.2390531266200050867930736920
0.031,0.27,0.051,0.010,False,2.2384386251640983632771935106
0.025,0.18,0.056,0.016,False,2.2338825608389046386518318598
0.005,0.05,0.053,0.007,True,2.2322587051788637224146983955
0.014,0.04,0.051,0.019,True,2.2299798737241813954296896299
0.031,0.27,0.051,0.009,False,2.2294203036031358780645542975
0.020,0.26,0.058,0.015,True,2.2283871119731816703799819539
0.014,0,0.051,0.019,True,2.2240497691667819378482446922
0.007,0.29,0.053,0.007,True,2.2218323467071894689505430830
0.020,0.27,0.058,0.015,True,2.2215143062639674357533402534
0.033,0.18,0.055,0.038,False,2.2207898201085387820186254272
0.028,0.29,0.054,0.016,True,2.2181373200356223613757014709
0.021,0.30,0.059,0.015,True,2.2117583748387978193329160734
0.027,0.26,0.054,0.017,True,2.2085264074695325054207959237
0.029,0.26,0.056,0.012,False,2.2065930105073966030416437429
0.020,0.27,0.060,0.016,True,2.2049095660380174091824996990
0.027,0.26,0.054,0.016,True,2.2043547368451828043342887164
0.025,0.26,0.056,0.014,True,2.2033905817145839281092901188
0.005,0.05,0.054,0.007,True,2.2026549867002896748438888327
0.021,0.28,0.058,0.016,True,2.2020149997545704707164162122
0.030,0.27,0.052,0.012,False,2.2014345680452471226556143489
0.021,0.29,0.059,0.017,True,2.2002342837153036389656200879
0.020,0.28,0.060,0.016,True,2.1996014045404074384133028324
0.030,0.26,0.054,0.012,False,2.1987396461063620278627097886
0.019,0.26,0.060,0.015,True,2.1954182798278224744504598240
0.029,0.29,0.054,0.017,True,2.1948112665694353446026145940
0.021,0.28,0.060,0.015,True,2.1929367576030305383441177961
0.030,0.27,0.053,0.012,False,2.1927274849623176706001752638
0.030,0.27,0.051,0.008,False,2.1831852310909825277059975125
0.002,0.14,0.055,0.005,True,2.1825320264698707858823038227
0.002,0.16,0.055,0.005,True,2.1810993837650129548146445385
0.029,0.23,0.055,0.013,False,2.1803972026275893942098446212
0.029,0.28,0.054,0.016,True,2.1794992885568815901804783560
0.004,0.29,0.057,0.005,True,2.1789377840216037288716768936
0.014,0.01,0.051,0.019,True,2.1783204516493827653187782933
0.029,0.20,0.055,0.013,False,2.1732299322736530724749882196
0.020,0.26,0.057,0.014,True,2.1717036498627270998184820129
0.004,0.03,0.055,0.010,True,2.1673033121445860352365394403
0.005,0.06,0.051,0.007,True,2.1672002541117171609065175130
0.014,0.02,0.051,0.019,True,2.1655712206742859397395165690
0.001,0.16,0.055,0.010,True,2.1652482547445134646859223876
0.002,0.13,0.054,0.005,True,2.1650391919261843262772337011
0.031,0.27,0.051,0.008,False,2.1649749017914888670643940441
0.027,0.18,0.056,0.015,False,2.1643021734964412966425003672
0.029,0.28,0.054,0.008,False,2.1642881219756722067868337347
0.025,0.18,0.057,0.016,False,2.1633051515322947981453801399
0.004,0.29,0.055,0.005,True,2.1608361353054575342282818961
0.029,0.20,0.055,0.014,False,2.1603054754363244231594613631
0.030,0.21,0.054,0.012,False,2.1598326083289566164553640704
0.028,0.29,0.055,0.016,True,2.1595732765837949858415873063
0.004,0.10,0.052,0.005,True,2.1594208351643033304989566754
0.028,0.10,0.052,0.022,True,2.1592975279344301067251890803
0.029,0.29,0.055,0.016,True,2.1586774821821308613120854233
0.002,0.19,0.052,0.010,True,2.1586754324385322870220492642
0.006,0.06,0.053,0.007,True,2.1586369997177603634078366167
0.020,0.26,0.059,0.013,True,2.1582978499056358883950633861
0.028,0.26,0.055,0.012,False,2.1569645638702160104010133909
0.001,0.14,0.055,0.005,True,2.1532844265261828842718628803
0.030,0.02,0.055,0.006,False,2.1527722115197142883830035294
0.002,0.12,0.054,0.005,True,2.1518592485762109773762029927
0.002,0.10,0.056,0.005,True,2.1514513159782705173390588400
0.014,0.11,0.051,0.019,True,2.1496819982351206078809723069
0.030,0.26,0.051,0.010,False,2.1457105955794597051640114207
0.020,0.27,0.059,0.015,True,2.1451453601155894668839404837
