StopLoss,StopProfit,StartProfit,OpenCriteria,FollowTrend,Result
0.011,0.09,0.169,0.015,True,1.2973940146894292943080605845
0.011,0.09,0.170,0.015,True,1.2973940146894292943080605845
0.011,0.09,0.171,0.015,True,1.2973940146894292943080605845
0.011,0.09,0.172,0.015,True,1.2973940146894292943080605845
0.011,0.09,0.173,0.015,True,1.2973940146894292943080605845
0.011,0.09,0.174,0.015,True,1.2973940146894292943080605845
0.011,0.09,0.175,0.015,True,1.2973940146894292943080605845
0.011,0.09,0.176,0.015,True,1.2973940146894292943080605845
0.011,0.09,0.169,0.016,True,1.2953868630514463209132374295
0.011,0.09,0.170,0.016,True,1.2953868630514463209132374295
0.011,0.09,0.171,0.016,True,1.2953868630514463209132374295
0.011,0.09,0.172,0.016,True,1.2953868630514463209132374295
0.011,0.09,0.173,0.016,True,1.2953868630514463209132374295
0.011,0.09,0.174,0.016,True,1.2953868630514463209132374295
0.011,0.09,0.175,0.016,True,1.2953868630514463209132374295
0.011,0.09,0.176,0.016,True,1.2953868630514463209132374295
0.011,0.09,0.177,0.016,True,1.2953868630514463209132374295
0.012,0.09,0.169,0.016,True,1.2833279222442645206023170938
0.012,0.09,0.170,0.016,True,1.2833279222442645206023170938
0.012,0.09,0.171,0.016,True,1.2833279222442645206023170938
0.012,0.09,0.172,0.016,True,1.2833279222442645206023170938
0.012,0.09,0.173,0.016,True,1.2833279222442645206023170938
0.012,0.09,0.174,0.016,True,1.2833279222442645206023170938
0.012,0.09,0.175,0.016,True,1.2833279222442645206023170938
0.012,0.09,0.176,0.016,True,1.2833279222442645206023170938
0.018,0.04,0.177,0.039,False,1.2712153183145799740235053091
0.018,0.05,0.177,0.039,False,1.2712153183145799740235053091
0.018,0.04,0.178,0.039,False,1.2712153183145799740235053091
0.018,0.05,0.178,0.039,False,1.2712153183145799740235053091
0.019,0.04,0.177,0.039,False,1.2648958448444151911366268106
0.019,0.05,0.177,0.039,False,1.2648958448444151911366268106
0.019,0.04,0.178,0.039,False,1.2648958448444151911366268106
0.019,0.05,0.178,0.039,False,1.2648958448444151911366268106
0,0.06,0.181,0.005,True,1.2622145571120655149777912508
0,0.06,0.182,0.005,True,1.2622145571120655149777912508
0,0.06,0.183,0.005,True,1.2622145571120655149777912508
0.019,0.04,0.176,0.038,False,1.2613781663764697008314439396
0.019,0.05,0.176,0.038,False,1.2613781663764697008314439396
0.019,0.04,0.177,0.038,False,1.2613781663764697008314439396
0.019,0.05,0.177,0.038,False,1.2613781663764697008314439396
0.019,0.04,0.178,0.038,False,1.2613781663764697008314439396
0.019,0.05,0.178,0.038,False,1.2613781663764697008314439396
0.020,0.04,0.177,0.039,False,1.2586585386108253676373864522
0.020,0.05,0.177,0.039,False,1.2586585386108253676373864522
0.020,0.04,0.178,0.039,False,1.2586585386108253676373864522
0.020,0.05,0.178,0.039,False,1.2586585386108253676373864522
0.008,0.04,0.179,0.013,True,1.2567539036656795958067716214
0.008,0.04,0.180,0.013,True,1.2567539036656795958067716214
0.018,0.04,0.175,0.039,False,1.2563745387887528277103920434
0.018,0.05,0.175,0.039,False,1.2563745387887528277103920434
0.018,0.05,0.176,0.039,False,1.2563745387887528277103920434
0.018,0.04,0.176,0.039,False,1.2563745387887528277103920434
0.020,0.04,0.176,0.038,False,1.2551408601428798773322035812
0.020,0.05,0.176,0.038,False,1.2551408601428798773322035812
0.020,0.04,0.177,0.038,False,1.2551408601428798773322035812
0.020,0.05,0.177,0.038,False,1.2551408601428798773322035812
0.020,0.04,0.178,0.038,False,1.2551408601428798773322035812
0.020,0.05,0.178,0.038,False,1.2551408601428798773322035812
0.018,0.04,0.170,0.039,False,1.2547199128414821869571005202
0.018,0.04,0.171,0.039,False,1.2547199128414821869571005202
0.018,0.04,0.172,0.039,False,1.2547199128414821869571005202
0.018,0.04,0.173,0.039,False,1.2547199128414821869571005202
0.018,0.04,0.174,0.039,False,1.2547199128414821869571005202
0.021,0.04,0.177,0.039,False,1.2514722186843792959977091924
0.021,0.05,0.177,0.039,False,1.2514722186843792959977091924
0.021,0.04,0.178,0.039,False,1.2514722186843792959977091924
0.021,0.05,0.178,0.039,False,1.2514722186843792959977091924
0.020,0.04,0.175,0.037,False,1.2513469160065414794979696883
0.020,0.05,0.175,0.037,False,1.2513469160065414794979696883
0.020,0.04,0.176,0.037,False,1.2513469160065414794979696883
0.020,0.05,0.176,0.037,False,1.2513469160065414794979696883
0.020,0.04,0.177,0.037,False,1.2513469160065414794979696883
0.020,0.05,0.177,0.037,False,1.2513469160065414794979696883
0.020,0.04,0.178,0.037,False,1.2513469160065414794979696883
0.020,0.05,0.178,0.037,False,1.2513469160065414794979696883
0.019,0.04,0.175,0.039,False,1.2500550653185880448235135449
0.019,0.05,0.175,0.039,False,1.2500550653185880448235135449
0.019,0.04,0.176,0.039,False,1.2500550653185880448235135449
0.019,0.05,0.176,0.039,False,1.2500550653185880448235135449
0.019,0.04,0.170,0.039,False,1.2484004393713174040702220217
0.019,0.04,0.171,0.039,False,1.2484004393713174040702220217
0.019,0.04,0.172,0.039,False,1.2484004393713174040702220217
0.019,0.04,0.173,0.039,False,1.2484004393713174040702220217
0.019,0.04,0.174,0.039,False,1.2484004393713174040702220217
0.019,0.05,0.170,0.039,False,1.2479866048033040890843695295
0.019,0.05,0.171,0.039,False,1.2479866048033040890843695295
0.019,0.05,0.172,0.039,False,1.2479866048033040890843695295
0.019,0.05,0.173,0.039,False,1.2479866048033040890843695295
0.019,0.05,0.174,0.039,False,1.2479866048033040890843695295
0.021,0.04,0.176,0.038,False,1.2479545402164338056925263214
0.021,0.05,0.176,0.038,False,1.2479545402164338056925263214
0.021,0.04,0.177,0.038,False,1.2479545402164338056925263214
0.021,0.05,0.177,0.038,False,1.2479545402164338056925263214
0.021,0.04,0.178,0.038,False,1.2479545402164338056925263214
0.021,0.05,0.178,0.038,False,1.2479545402164338056925263214
0.019,0.04,0.174,0.038,False,1.2465458332736615911721112664
0.019,0.05,0.174,0.038,False,1.2465458332736615911721112664
0.019,0.04,0.175,0.038,False,1.2465458332736615911721112664
0.019,0.05,0.175,0.038,False,1.2465458332736615911721112664
0.019,0.04,0.169,0.038,False,1.2448921458178375100470175868
0.019,0.05,0.169,0.038,False,1.2448921458178375100470175868
0.019,0.04,0.170,0.038,False,1.2448921458178375100470175868
0.019,0.05,0.170,0.038,False,1.2448921458178375100470175868
0.019,0.04,0.171,0.038,False,1.2448921458178375100470175868
0.019,0.05,0.171,0.038,False,1.2448921458178375100470175868
0.019,0.04,0.172,0.038,False,1.2448921458178375100470175868
0.019,0.05,0.172,0.038,False,1.2448921458178375100470175868
0.019,0.04,0.173,0.038,False,1.2448921458178375100470175868
0.019,0.05,0.173,0.038,False,1.2448921458178375100470175868
0.021,0.04,0.175,0.037,False,1.2441605960800954078582924285
0.021,0.05,0.175,0.037,False,1.2441605960800954078582924285
0.021,0.04,0.176,0.037,False,1.2441605960800954078582924285
0.021,0.05,0.176,0.037,False,1.2441605960800954078582924285
0.021,0.04,0.177,0.037,False,1.2441605960800954078582924285
0.021,0.05,0.177,0.037,False,1.2441605960800954078582924285
0.021,0.04,0.178,0.037,False,1.2441605960800954078582924285
0.021,0.05,0.178,0.037,False,1.2441605960800954078582924285
0.020,0.04,0.175,0.039,False,1.2438177590849982213242731865
0.020,0.05,0.175,0.039,False,1.2438177590849982213242731865
0.020,0.04,0.176,0.039,False,1.2438177590849982213242731865
0.020,0.05,0.176,0.039,False,1.2438177590849982213242731865
0.022,0.04,0.177,0.039,False,1.2424615385687621658517014839
0.022,0.05,0.177,0.039,False,1.2424615385687621658517014839
0.022,0.04,0.178,0.039,False,1.2424615385687621658517014839
0.022,0.05,0.178,0.039,False,1.2424615385687621658517014839
0.020,0.04,0.170,0.039,False,1.2421631331377275805709816633
0.020,0.04,0.171,0.039,False,1.2421631331377275805709816633
0.020,0.04,0.172,0.039,False,1.2421631331377275805709816633
0.020,0.04,0.173,0.039,False,1.2421631331377275805709816633
0.020,0.04,0.174,0.039,False,1.2421631331377275805709816633
0.020,0.05,0.170,0.039,False,1.2417492985697142655851291711
0.020,0.05,0.171,0.039,False,1.2417492985697142655851291711
0.020,0.05,0.172,0.039,False,1.2417492985697142655851291711
0.020,0.05,0.173,0.039,False,1.2417492985697142655851291711
0.020,0.05,0.174,0.039,False,1.2417492985697142655851291711
0,0.05,0.184,0.005,True,1.2412260101201475483420423981
0,0.06,0.184,0.005,True,1.2412260101201475483420423981
0,0.05,0.185,0.005,True,1.2412260101201475483420423981
0,0.06,0.185,0.005,True,1.2412260101201475483420423981
0.021,0.04,0.175,0.036,False,1.2408689799849121451456499282
0.021,0.05,0.175,0.036,False,1.2408689799849121451456499282
0.021,0.04,0.176,0.036,False,1.2408689799849121451456499282
0.021,0.05,0.176,0.036,False,1.2408689799849121451456499282
0.021,0.04,0.177,0.036,False,1.2408689799849121451456499282
0.021,0.05,0.177,0.036,False,1.2408689799849121451456499282
0.021,0.04,0.178,0.036,False,1.2408689799849121451456499282
0.021,0.05,0.178,0.036,False,1.2408689799849121451456499282
0.017,0.04,0.179,0.022,True,1.2405335001830046698117005320
0.017,0.05,0.179,0.022,True,1.2405335001830046698117005320
0.017,0.04,0.180,0.022,True,1.2405335001830046698117005320
0.017,0.05,0.180,0.022,True,1.2405335001830046698117005320
0.017,0.04,0.181,0.022,True,1.2405335001830046698117005320
0.017,0.05,0.181,0.022,True,1.2405335001830046698117005320
0.017,0.04,0.182,0.022,True,1.2405335001830046698117005320
0.017,0.05,0.182,0.022,True,1.2405335001830046698117005320
0.017,0.04,0.183,0.022,True,1.2405335001830046698117005320
0.017,0.05,0.183,0.022,True,1.2405335001830046698117005320
0.017,0.04,0.184,0.022,True,1.2405335001830046698117005320
0.017,0.05,0.184,0.022,True,1.2405335001830046698117005320
0,0.05,0.181,0.005,True,1.2404690631690787930313270969
0,0.05,0.182,0.005,True,1.2404690631690787930313270969
0,0.05,0.183,0.005,True,1.2404690631690787930313270969
0.006,0.05,0.182,0.007,True,1.2404593696870432189032064001
0.006,0.06,0.182,0.007,True,1.2404593696870432189032064001
0.006,0.06,0.183,0.007,True,1.2404593696870432189032064001
0.006,0.05,0.183,0.007,True,1.2404593696870432189032064001
0.010,0.05,0.180,0.012,True,1.2404459070861952267657758469
0.010,0.05,0.181,0.012,True,1.2404459070861952267657758469
0.020,0.04,0.174,0.038,False,1.2403085270400717676728709080
0.020,0.05,0.174,0.038,False,1.2403085270400717676728709080
0.020,0.04,0.175,0.038,False,1.2403085270400717676728709080
0.020,0.05,0.175,0.038,False,1.2403085270400717676728709080
0.006,0.06,0.183,0.008,True,1.2396861570251162295581626284
0.006,0.05,0.183,0.008,True,1.2396861570251162295581626284
0.006,0.05,0.184,0.008,True,1.2396861570251162295581626284
0.006,0.06,0.184,0.008,True,1.2396861570251162295581626284
0,0.04,0.181,0.011,True,1.2391045874069218001560167339
0,0.04,0.182,0.011,True,1.2391045874069218001560167339
0.022,0.04,0.176,0.038,False,1.2389438601008166755465186129
0.022,0.05,0.176,0.038,False,1.2389438601008166755465186129
0.022,0.04,0.177,0.038,False,1.2389438601008166755465186129
0.022,0.05,0.177,0.038,False,1.2389438601008166755465186129
0.022,0.04,0.178,0.038,False,1.2389438601008166755465186129
0.022,0.05,0.178,0.038,False,1.2389438601008166755465186129
0.020,0.04,0.169,0.038,False,1.2386548395842476865477772284
0.020,0.05,0.169,0.038,False,1.2386548395842476865477772284
0.020,0.04,0.170,0.038,False,1.2386548395842476865477772284
0.020,0.05,0.170,0.038,False,1.2386548395842476865477772284
0.020,0.04,0.171,0.038,False,1.2386548395842476865477772284
0.020,0.05,0.171,0.038,False,1.2386548395842476865477772284
0.020,0.05,0.172,0.038,False,1.2386548395842476865477772284
0.020,0.04,0.172,0.038,False,1.2386548395842476865477772284
0.020,0.04,0.173,0.038,False,1.2386548395842476865477772284
0.020,0.05,0.173,0.038,False,1.2386548395842476865477772284
0.021,0.04,0.175,0.039,False,1.2366314391585521496845959267
0.021,0.05,0.175,0.039,False,1.2366314391585521496845959267
0.021,0.04,0.176,0.039,False,1.2366314391585521496845959267
0.021,0.05,0.176,0.039,False,1.2366314391585521496845959267
0.020,0.04,0.173,0.037,False,1.2365251179580731801233784638
0.020,0.05,0.173,0.037,False,1.2365251179580731801233784638
0,0.04,0.183,0.009,True,1.2360187049928870594452509663
0.022,0.05,0.175,0.037,False,1.2351499159644782777122847200
0.022,0.04,0.175,0.037,False,1.2351499159644782777122847200
0.022,0.04,0.176,0.037,False,1.2351499159644782777122847200
0.022,0.05,0.176,0.037,False,1.2351499159644782777122847200
0.022,0.04,0.177,0.037,False,1.2351499159644782777122847200
0.022,0.05,0.177,0.037,False,1.2351499159644782777122847200
0.022,0.04,0.178,0.037,False,1.2351499159644782777122847200
0.022,0.05,0.178,0.037,False,1.2351499159644782777122847200
0.021,0.04,0.170,0.039,False,1.2349768132112815089313044035
0.021,0.04,0.171,0.039,False,1.2349768132112815089313044035
0.021,0.04,0.172,0.039,False,1.2349768132112815089313044035
0.021,0.04,0.173,0.039,False,1.2349768132112815089313044035
0.021,0.04,0.174,0.039,False,1.2349768132112815089313044035
0.020,0.04,0.168,0.037,False,1.2348726010638424112521449452
0.020,0.05,0.168,0.037,False,1.2348726010638424112521449452
0.020,0.04,0.169,0.037,False,1.2348726010638424112521449452
0.020,0.05,0.169,0.037,False,1.2348726010638424112521449452
0.020,0.04,0.170,0.037,False,1.2348726010638424112521449452
0.020,0.05,0.170,0.037,False,1.2348726010638424112521449452
0.020,0.04,0.171,0.037,False,1.2348726010638424112521449452
0.020,0.05,0.171,0.037,False,1.2348726010638424112521449452
0.020,0.05,0.172,0.037,False,1.2348726010638424112521449452
0.020,0.04,0.172,0.037,False,1.2348726010638424112521449452
0.021,0.05,0.170,0.039,False,1.2345629786432681939454519113
0.021,0.05,0.171,0.039,False,1.2345629786432681939454519113
0.021,0.05,0.172,0.039,False,1.2345629786432681939454519113
0.021,0.05,0.173,0.039,False,1.2345629786432681939454519113
0.021,0.05,0.174,0.039,False,1.2345629786432681939454519113
0.023,0.04,0.177,0.039,False,1.2343688594491855168397536462
0.023,0.05,0.177,0.039,False,1.2343688594491855168397536462
0.023,0.04,0.178,0.039,False,1.2343688594491855168397536462
0.023,0.05,0.178,0.039,False,1.2343688594491855168397536462
0,0.04,0.180,0.012,True,1.2334226054997510140532314981
0,0.04,0.181,0.012,True,1.2334226054997510140532314981
0.021,0.04,0.174,0.038,False,1.2331222071136256960331936482
0.021,0.05,0.174,0.038,False,1.2331222071136256960331936482
0.021,0.04,0.175,0.038,False,1.2331222071136256960331936482
0.021,0.05,0.175,0.038,False,1.2331222071136256960331936482
0.022,0.05,0.175,0.036,False,1.2318582998692950149996422197
0.022,0.04,0.175,0.036,False,1.2318582998692950149996422197
0.022,0.04,0.176,0.036,False,1.2318582998692950149996422197
0.022,0.05,0.176,0.036,False,1.2318582998692950149996422197
0.022,0.04,0.177,0.036,False,1.2318582998692950149996422197
0.022,0.05,0.177,0.036,False,1.2318582998692950149996422197
0.022,0.04,0.178,0.036,False,1.2318582998692950149996422197
0.022,0.05,0.178,0.036,False,1.2318582998692950149996422197
0,0.06,0.171,0.009,True,1.2314966812718175844865484451
0,0.06,0.172,0.009,True,1.2314966812718175844865484451
0,0.06,0.173,0.009,True,1.2314966812718175844865484451
0,0.06,0.174,0.009,True,1.2314966812718175844865484451
0,0.06,0.175,0.009,True,1.2314966812718175844865484451
0,0.06,0.176,0.009,True,1.2314966812718175844865484451
0,0.06,0.177,0.009,True,1.2314966812718175844865484451
0,0.06,0.178,0.009,True,1.2314966812718175844865484451
0,0.06,0.179,0.009,True,1.2314966812718175844865484451
0,0.06,0.180,0.009,True,1.2314966812718175844865484451
0,0.06,0.181,0.009,True,1.2314966812718175844865484451
0,0.06,0.182,0.009,True,1.2314966812718175844865484451
0.021,0.04,0.169,0.038,False,1.2314685196578016149080999686
0.021,0.05,0.169,0.038,False,1.2314685196578016149080999686
0.021,0.04,0.170,0.038,False,1.2314685196578016149080999686
0.021,0.05,0.170,0.038,False,1.2314685196578016149080999686
0.021,0.04,0.171,0.038,False,1.2314685196578016149080999686
0.021,0.05,0.171,0.038,False,1.2314685196578016149080999686
0.021,0.04,0.172,0.038,False,1.2314685196578016149080999686
0.021,0.05,0.172,0.038,False,1.2314685196578016149080999686
0.021,0.04,0.173,0.038,False,1.2314685196578016149080999686
0.021,0.05,0.173,0.038,False,1.2314685196578016149080999686
0.010,0.06,0.180,0.012,True,1.2309282573266162672182777083
0.010,0.06,0.181,0.012,True,1.2309282573266162672182777083
0.023,0.04,0.176,0.038,False,1.2308511809812400265345707752
0.023,0.05,0.176,0.038,False,1.2308511809812400265345707752
0.023,0.04,0.177,0.038,False,1.2308511809812400265345707752
0.023,0.05,0.177,0.038,False,1.2308511809812400265345707752
0.023,0.04,0.178,0.038,False,1.2308511809812400265345707752
0.023,0.05,0.178,0.038,False,1.2308511809812400265345707752
0.018,0.04,0.179,0.022,True,1.2308064905054517750426283181
0.018,0.05,0.179,0.022,True,1.2308064905054517750426283181
0.018,0.04,0.180,0.022,True,1.2308064905054517750426283181
0.018,0.05,0.180,0.022,True,1.2308064905054517750426283181
0.018,0.04,0.181,0.022,True,1.2308064905054517750426283181
0.018,0.05,0.181,0.022,True,1.2308064905054517750426283181
0.018,0.04,0.182,0.022,True,1.2308064905054517750426283181
0.018,0.05,0.182,0.022,True,1.2308064905054517750426283181
0.018,0.04,0.183,0.022,True,1.2308064905054517750426283181
0.018,0.05,0.183,0.022,True,1.2308064905054517750426283181
0.018,0.04,0.184,0.022,True,1.2308064905054517750426283181
0.018,0.05,0.184,0.022,True,1.2308064905054517750426283181
0.006,0.05,0.181,0.005,True,1.2307907760582761028937506496
0.006,0.06,0.181,0.005,True,1.2307907760582761028937506496
0.006,0.05,0.181,0.006,True,1.2305174184843498547897314685
0.006,0.06,0.181,0.006,True,1.2305174184843498547897314685
0.006,0.05,0.182,0.006,True,1.2305174184843498547897314685
0.006,0.06,0.182,0.006,True,1.2305174184843498547897314685
0.011,0.05,0.180,0.012,True,1.2303311209512986709376306315
0.011,0.05,0.181,0.012,True,1.2303311209512986709376306315
0.021,0.04,0.173,0.037,False,1.2293387980316271084837012040
0.021,0.05,0.173,0.037,False,1.2293387980316271084837012040
0.022,0.05,0.175,0.035,False,1.2283627517481147350382970587
0.022,0.04,0.175,0.035,False,1.2283627517481147350382970587
0.022,0.04,0.176,0.035,False,1.2283627517481147350382970587
0.022,0.05,0.176,0.035,False,1.2283627517481147350382970587
0.022,0.04,0.177,0.035,False,1.2283627517481147350382970587
0.022,0.05,0.177,0.035,False,1.2283627517481147350382970587
0.022,0.04,0.178,0.035,False,1.2283627517481147350382970587
0.022,0.05,0.178,0.035,False,1.2283627517481147350382970587
0.021,0.04,0.168,0.037,False,1.2276862811373963396124676854
0.021,0.05,0.168,0.037,False,1.2276862811373963396124676854
0.021,0.04,0.169,0.037,False,1.2276862811373963396124676854
0.021,0.05,0.169,0.037,False,1.2276862811373963396124676854
0.021,0.04,0.170,0.037,False,1.2276862811373963396124676854
0.021,0.05,0.170,0.037,False,1.2276862811373963396124676854
0.021,0.04,0.171,0.037,False,1.2276862811373963396124676854
0.021,0.05,0.171,0.037,False,1.2276862811373963396124676854
0.021,0.04,0.172,0.037,False,1.2276862811373963396124676854
0.021,0.05,0.172,0.037,False,1.2276862811373963396124676854
0.006,0.05,0.190,0.002,True,1.2276403955121366013111274093
0.006,0.06,0.190,0.002,True,1.2276403955121366013111274093
0.022,0.05,0.175,0.039,False,1.2276207590429350195385882182
0.022,0.04,0.175,0.039,False,1.2276207590429350195385882182
0.022,0.04,0.176,0.039,False,1.2276207590429350195385882182
0.022,0.05,0.176,0.039,False,1.2276207590429350195385882182
0.023,0.04,0.175,0.037,False,1.2270572368449016287003368823
0.023,0.05,0.175,0.037,False,1.2270572368449016287003368823
0.023,0.04,0.176,0.037,False,1.2270572368449016287003368823
0.023,0.05,0.176,0.037,False,1.2270572368449016287003368823
0.023,0.04,0.177,0.037,False,1.2270572368449016287003368823
0.023,0.05,0.177,0.037,False,1.2270572368449016287003368823
0.023,0.04,0.178,0.037,False,1.2270572368449016287003368823
0.023,0.05,0.178,0.037,False,1.2270572368449016287003368823
0.007,0.05,0.181,0.007,True,1.2265491514845873272459543400
0.007,0.06,0.181,0.007,True,1.2265491514845873272459543400
0.007,0.05,0.182,0.007,True,1.2265491514845873272459543400
0.007,0.06,0.182,0.007,True,1.2265491514845873272459543400
0.019,0.07,0.175,0.039,False,1.2265036937488150764386046490
0.019,0.07,0.176,0.039,False,1.2265036937488150764386046490
0.019,0.07,0.177,0.039,False,1.2265036937488150764386046490
0.019,0.07,0.178,0.039,False,1.2265036937488150764386046490
0.019,0.07,0.179,0.039,False,1.2265036937488150764386046490
0.019,0.07,0.180,0.039,False,1.2265036937488150764386046490
0.019,0.07,0.181,0.039,False,1.2265036937488150764386046490
0.019,0.07,0.182,0.039,False,1.2265036937488150764386046490
0.019,0.07,0.183,0.039,False,1.2265036937488150764386046490
0.019,0.07,0.184,0.039,False,1.2265036937488150764386046490
0.019,0.07,0.185,0.039,False,1.2265036937488150764386046490
0.019,0.07,0.186,0.039,False,1.2265036937488150764386046490
0.021,0.04,0.172,0.036,False,1.2260555916580820595461827472
0.021,0.05,0.172,0.036,False,1.2260555916580820595461827472
0.022,0.04,0.170,0.039,False,1.2259661330956643787852966950
0.022,0.04,0.171,0.039,False,1.2259661330956643787852966950
0.022,0.04,0.172,0.039,False,1.2259661330956643787852966950
0.022,0.04,0.173,0.039,False,1.2259661330956643787852966950
0.022,0.04,0.174,0.039,False,1.2259661330956643787852966950
0.007,0.05,0.182,0.008,True,1.2257873812769700016981149653
0.007,0.06,0.182,0.008,True,1.2257873812769700016981149653
0.007,0.05,0.183,0.008,True,1.2257873812769700016981149653
0.007,0.06,0.183,0.008,True,1.2257873812769700016981149653
0.022,0.05,0.170,0.039,False,1.2255522985276510637994442028
0.022,0.05,0.171,0.039,False,1.2255522985276510637994442028
0.022,0.05,0.172,0.039,False,1.2255522985276510637994442028
0.022,0.05,0.173,0.039,False,1.2255522985276510637994442028
0.022,0.05,0.174,0.039,False,1.2255522985276510637994442028
0.007,0.05,0.183,0.009,True,1.2250558429243692524884707805
0.007,0.06,0.183,0.009,True,1.2250558429243692524884707805
0.007,0.05,0.184,0.009,True,1.2250558429243692524884707805
0.007,0.06,0.184,0.009,True,1.2250558429243692524884707805
0.021,0.04,0.168,0.036,False,1.2244040091773666477610741223
0.021,0.05,0.168,0.036,False,1.2244040091773666477610741223
0.021,0.04,0.169,0.036,False,1.2244040091773666477610741223
0.021,0.05,0.169,0.036,False,1.2244040091773666477610741223
0.021,0.04,0.170,0.036,False,1.2244040091773666477610741223
0.021,0.05,0.170,0.036,False,1.2244040091773666477610741223
0.021,0.04,0.171,0.036,False,1.2244040091773666477610741223
0.021,0.05,0.171,0.036,False,1.2244040091773666477610741223
0.022,0.04,0.174,0.038,False,1.2241115269980085658871859397
0.022,0.05,0.174,0.038,False,1.2241115269980085658871859397
0.022,0.05,0.175,0.038,False,1.2241115269980085658871859397
0.022,0.04,0.175,0.038,False,1.2241115269980085658871859397
0.019,0.03,0.177,0.039,False,1.2238705927348458869675710021
0.019,0.03,0.178,0.039,False,1.2238705927348458869675710021
0.023,0.04,0.175,0.036,False,1.2237656207497183659876943820
0.023,0.05,0.175,0.036,False,1.2237656207497183659876943820
0.023,0.04,0.176,0.036,False,1.2237656207497183659876943820
0.023,0.05,0.176,0.036,False,1.2237656207497183659876943820
0.023,0.04,0.177,0.036,False,1.2237656207497183659876943820
0.023,0.05,0.177,0.036,False,1.2237656207497183659876943820
0.023,0.04,0.178,0.036,False,1.2237656207497183659876943820
0.023,0.05,0.178,0.036,False,1.2237656207497183659876943820
0.019,0.07,0.174,0.038,False,1.2229942270810269828801529096
0.019,0.07,0.175,0.038,False,1.2229942270810269828801529096
0.019,0.07,0.176,0.038,False,1.2229942270810269828801529096
0.019,0.07,0.177,0.038,False,1.2229942270810269828801529096
0.019,0.07,0.178,0.038,False,1.2229942270810269828801529096
0.019,0.07,0.179,0.038,False,1.2229942270810269828801529096
0.019,0.07,0.180,0.038,False,1.2229942270810269828801529096
