StopLoss,StopProfit,StartProfit,OpenCriteria,FollowTrend,Result
0.003,0.02,0.084,0.008,True,2.1164186855929869869574606705
0.003,0,0.093,0.008,True,2.0565945509432591131667383700
0.008,0.06,0.105,0.012,True,2.0479107812632719114817286594
0.008,0.06,0.104,0.013,True,2.0432581419054063454053492092
0.013,0.08,0.084,0.002,False,2.0413623237008421011176204995
0.012,0.07,0.084,0.002,False,2.0401595360395837884777253137
0.009,0.07,0.104,0.012,True,2.0339104927570133697129424397
0.003,0.01,0.093,0.008,True,2.0187712497445595155941734356
0.008,0.06,0.103,0.014,True,2.0159820896705275924362892290
0.010,0.07,0.104,0.012,True,2.0150955508045620575272355919
0.014,0.02,0.104,0.005,True,2.0073646153043697285142059157
0.014,0.02,0.105,0.005,True,2.0073646153043697285142059157
0.007,0.08,0.106,0.012,True,2.0068580600613665269508552514
0.007,0.08,0.107,0.012,True,2.0068580600613665269508552514
0.013,0.07,0.084,0.002,False,2.0059350686594643579268129078
0.010,0.07,0.104,0.013,True,2.0058985743297674544687972526
0.009,0.07,0.104,0.013,True,2.0043647929602787537011162497
0.003,0.02,0.091,0.012,True,2.0030868430569290191236680176
0.012,0.09,0.084,0.002,False,1.9855598632276230913992951107
0.010,0.08,0.102,0.013,True,1.9833266898453285705715058006
0.010,0.08,0.103,0.013,True,1.9833266898453285705715058006
0.013,0.02,0.104,0.005,True,1.9772906847954692850469805516
0.013,0.02,0.105,0.005,True,1.9772906847954692850469805516
0.001,0.05,0.094,0.008,True,1.9712668153234080822360627214
0.012,0.06,0.086,0.002,False,1.9709062454605679281930740702
0.013,0.02,0.105,0.004,True,1.9698145320984521542458121646
0.012,0.08,0.084,0.002,False,1.9613320017813513581526806436
0.009,0.07,0.104,0.011,True,1.9573877024288831872902769301
0.012,0.05,0.085,0.002,False,1.9569689551458064172748152591
0.003,0,0.090,0.008,True,1.9552954917523688965026977942
0.003,0.02,0.086,0.008,True,1.9551625711747349176915556955
0.003,0.02,0.087,0.008,True,1.9551625711747349176915556955
0.003,0.02,0.088,0.008,True,1.9551625711747349176915556955
0.011,0.07,0.104,0.012,True,1.9536521281832002901423912693
0.008,0.07,0.104,0.012,True,1.9519729071533290298105419169
0.007,0.02,0.105,0.001,False,1.9472270899839518192922442901
0.015,0.02,0.104,0.005,True,1.9465136478433817297906047555
0.015,0.02,0.105,0.005,True,1.9465136478433817297906047555
0.014,0.01,0.117,0.004,True,1.9437344024478069268843533224
0.003,0.02,0.089,0.012,True,1.9416702070924216021807132757
0.003,0.02,0.090,0.012,True,1.9416702070924216021807132757
0.002,0,0.090,0.008,True,1.9413300694615377083955950706
0.002,0,0.091,0.008,True,1.9413300694615377083955950706
0.002,0,0.092,0.008,True,1.9413300694615377083955950706
0.002,0,0.093,0.008,True,1.9413300694615377083955950706
0.002,0,0.094,0.008,True,1.9413300694615377083955950706
0.011,0.07,0.104,0.005,True,1.9397231249294117318878115136
0.022,0,0.092,0.015,True,1.9389013596002481779956243617
0.012,0.07,0.104,0.013,True,1.9364152945048164880958724609
0.012,0.08,0.102,0.013,True,1.9358752548029145738060327753
0.012,0.08,0.103,0.013,True,1.9358752548029145738060327753
0.003,0.02,0.089,0.008,True,1.9351703041321825834155181223
0.003,0.02,0.090,0.008,True,1.9351703041321825834155181223
0.003,0.02,0.088,0.012,True,1.9303028959193379771220094890
0.007,0.02,0.105,0.002,False,1.9300379492405709584918536714
0.011,0.08,0.084,0.002,False,1.9282163914576987814394541915
0.003,0.04,0.091,0.012,True,1.9281723111879185462691012997
0.003,0.04,0.092,0.012,True,1.9281723111879185462691012997
0.003,0.04,0.093,0.012,True,1.9281723111879185462691012997
0.011,0.07,0.085,0.002,False,1.9246592048976917617979541485
0.009,0.06,0.105,0.008,True,1.9230393006732499735393355578
0.011,0.07,0.084,0.002,False,1.9189120746534251617323294505
0.011,0.06,0.083,0.001,True,1.9186957132121089467664999999
0.008,0.07,0.103,0.012,True,1.9185895837517224848185956068
0.003,0.01,0.090,0.008,True,1.9181905406673059956269911659
0.011,0.04,0.094,0.005,True,1.9179773302863970079622543176
0.002,0.02,0.111,0.007,True,1.9176496062211034755415620284
0.008,0.06,0.104,0.012,True,1.9158980576593952483641158142
0.009,0.07,0.101,0.004,False,1.9157723440420296658972625490
0.012,0.07,0.103,0.014,True,1.9144594322169402839322525425
0.012,0.09,0.101,0.014,True,1.9140850497387483511993339436
0.016,0.02,0.104,0.005,True,1.9127588155562474851624525591
0.013,0.07,0.101,0.006,True,1.9124374824152648709746361164
0.013,0.07,0.102,0.006,True,1.9124374824152648709746361164
0.013,0.07,0.103,0.006,True,1.9124374824152648709746361164
0.010,0.07,0.102,0.015,True,1.9120465092196366262871902868
0.012,0.06,0.085,0.002,False,1.9106847947639051415387683845
0.012,0.07,0.104,0.012,True,1.9106115149416373686468307258
0.015,0.01,0.117,0.004,True,1.9101446051134642307863540012
0.010,0.08,0.102,0.012,True,1.9100518121004161860586216309
0.010,0.08,0.103,0.012,True,1.9085179131176004648889292033
0.014,0.09,0.102,0.013,True,1.9082945684709191487226233225
0.012,0.07,0.084,0.001,False,1.9078922661174147224169949155
0.002,0.01,0.094,0.008,True,1.9078035344320342388036817947
0.003,0.02,0.090,0.013,True,1.9064179728863098819866052130
0.003,0.03,0.091,0.012,True,1.9042191133245655958283703255
0.003,0.03,0.092,0.012,True,1.9042191133245655958283703255
0.003,0.03,0.093,0.012,True,1.9042191133245655958283703255
0.002,0.02,0.112,0.007,True,1.9040907251749161442269730335
0.014,0.07,0.101,0.006,True,1.9039808207133440390807308812
0.011,0.08,0.102,0.005,True,1.9038627310316371129488525436
0.011,0.08,0.103,0.005,True,1.9038627310316371129488525436
0.013,0.07,0.101,0.005,True,1.9036275871456170373938983603
0.013,0.07,0.102,0.005,True,1.9036275871456170373938983603
0.001,0.05,0.093,0.008,True,1.9034131237360368467200401254
0.003,0.01,0.090,0.013,True,1.9027548257875255710584540161
0.010,0.07,0.104,0.006,True,1.9006329117884958117658254400
0.003,0,0.095,0.010,True,1.9000144678491860427908222727
0.004,0.07,0.087,0.010,True,1.8997065683908799041378893951
0.004,0.07,0.088,0.010,True,1.8997065683908799041378893951
0.004,0.07,0.089,0.010,True,1.8997065683908799041378893951
0.008,0.07,0.103,0.004,False,1.8978552140232725348379528874
0.008,0.07,0.104,0.004,False,1.8978552140232725348379528874
0.003,0,0.093,0.010,True,1.8975227848361082891884025287
0.003,0,0.094,0.010,True,1.8975227848361082891884025287
0.002,0.07,0.092,0.009,True,1.8968024214399487021503496639
0.002,0.07,0.093,0.009,True,1.8968024214399487021503496639
