StopLoss,StopProfit,StartProfit,OpenCriteria,FollowTrend,Result
0.002,0,0.161,0.013,True,1.8207966520245349007989735399
0.002,0.01,0.161,0.013,True,1.8111933553899127306484610795
0.006,0.06,0.181,0.006,True,1.7446998009382003054281936613
0.006,0.12,0.177,0.008,True,1.7282969312531208691850483321
0.006,0.12,0.178,0.008,True,1.7282969312531208691850483321
0.006,0.12,0.179,0.008,True,1.7282969312531208691850483321
0.006,0.12,0.180,0.008,True,1.7282969312531208691850483321
0.006,0.12,0.181,0.008,True,1.7282969312531208691850483321
0.006,0.12,0.182,0.008,True,1.7282969312531208691850483321
0.006,0.12,0.183,0.008,True,1.7282969312531208691850483321
0.006,0.12,0.184,0.008,True,1.7282969312531208691850483321
0.003,0,0.161,0.014,True,1.7252868093873878815906294390
0.006,0.11,0.177,0.008,True,1.7247675598320952958994069209
0.006,0.11,0.178,0.008,True,1.7247675598320952958994069209
0.006,0.11,0.179,0.008,True,1.7247675598320952958994069209
0.006,0.11,0.180,0.008,True,1.7247675598320952958994069209
0.006,0.11,0.181,0.008,True,1.7247675598320952958994069209
0.006,0.11,0.182,0.008,True,1.7247675598320952958994069209
0.006,0.11,0.183,0.008,True,1.7247675598320952958994069209
0.006,0.11,0.184,0.008,True,1.7247675598320952958994069209
0.003,0.01,0.161,0.014,True,1.7156869720816488000605406327
0.006,0.11,0.182,0.004,True,1.7131457623274230079654860278
0.006,0.11,0.183,0.004,True,1.7131457623274230079654860278
0.006,0.11,0.184,0.004,True,1.7131457623274230079654860278
0.006,0.11,0.185,0.004,True,1.7131457623274230079654860278
0.006,0.11,0.186,0.004,True,1.7131457623274230079654860278
0.004,0,0.161,0.014,True,1.7097617016457014048760920518
0.004,0.15,0.172,0.013,False,1.7084840940723186010630387193
0.004,0.15,0.173,0.013,False,1.7084840940723186010630387193
0.004,0.15,0.174,0.013,False,1.7084840940723186010630387193
0.004,0.15,0.175,0.013,False,1.7084840940723186010630387193
0.004,0.15,0.176,0.013,False,1.7084840940723186010630387193
0.004,0.15,0.177,0.013,False,1.7084840940723186010630387193
0.004,0.15,0.178,0.013,False,1.7084840940723186010630387193
0.004,0.15,0.179,0.013,False,1.7084840940723186010630387193
0.006,0.14,0.167,0.004,False,1.7065902255311941227159738906
0.006,0.14,0.168,0.004,False,1.7065902255311941227159738906
0.006,0.14,0.169,0.004,False,1.7065902255311941227159738906
0.006,0.14,0.170,0.004,False,1.7065902255311941227159738906
0.006,0.14,0.171,0.004,False,1.7065902255311941227159738906
0.006,0.14,0.172,0.004,False,1.7065902255311941227159738906
0.006,0.14,0.173,0.004,False,1.7065902255311941227159738906
0.006,0.14,0.174,0.004,False,1.7065902255311941227159738906
0.006,0.14,0.175,0.004,False,1.7065902255311941227159738906
0.006,0.14,0.176,0.004,False,1.7065902255311941227159738906
0.006,0.14,0.177,0.004,False,1.7065902255311941227159738906
0.006,0.14,0.178,0.004,False,1.7065902255311941227159738906
0.006,0.14,0.179,0.004,False,1.7065902255311941227159738906
0.006,0.14,0.180,0.004,False,1.7065902255311941227159738906
0.017,0.14,0.180,0.016,True,1.7035983047112141699255018572
0.017,0.14,0.181,0.016,True,1.7035983047112141699255018572
0.017,0.14,0.182,0.016,True,1.7035983047112141699255018572
0.015,0.14,0.180,0.016,True,1.7031451699099400496371880826
0.015,0.14,0.181,0.016,True,1.7031451699099400496371880826
0.015,0.14,0.182,0.016,True,1.7031451699099400496371880826
0.019,0.07,0.176,0.038,False,1.7013901310262664787801991559
0.004,0.01,0.161,0.014,True,1.7001654473085235886774633760
0.007,0.12,0.177,0.008,True,1.6994155915071232577583505395
0.007,0.12,0.178,0.008,True,1.6994155915071232577583505395
0.007,0.12,0.179,0.008,True,1.6994155915071232577583505395
0.007,0.12,0.180,0.008,True,1.6994155915071232577583505395
0.007,0.12,0.181,0.008,True,1.6994155915071232577583505395
0.007,0.12,0.182,0.008,True,1.6994155915071232577583505395
0.007,0.12,0.183,0.008,True,1.6994155915071232577583505395
0.018,0.06,0.177,0.039,False,1.6978460836812931771163221460
0.018,0.06,0.178,0.039,False,1.6978460836812931771163221460
0.019,0.06,0.178,0.039,False,1.6972184881127927245421240205
0.006,0.17,0.167,0.004,False,1.6942403846036386735910536373
0.006,0.17,0.168,0.004,False,1.6942403846036386735910536373
0.006,0.17,0.169,0.004,False,1.6942403846036386735910536373
0.019,0.06,0.178,0.038,False,1.6940653029566624208930893151
0.007,0.14,0.167,0.003,False,1.6920928148103209541308446405
0.007,0.14,0.168,0.003,False,1.6920928148103209541308446405
0.007,0.14,0.169,0.003,False,1.6920928148103209541308446405
0.007,0.14,0.170,0.003,False,1.6920928148103209541308446405
0.007,0.14,0.171,0.003,False,1.6920928148103209541308446405
0.007,0.14,0.172,0.003,False,1.6920928148103209541308446405
0.007,0.14,0.173,0.003,False,1.6920928148103209541308446405
0.007,0.14,0.174,0.003,False,1.6920928148103209541308446405
0.007,0.14,0.175,0.003,False,1.6920928148103209541308446405
0.007,0.14,0.176,0.003,False,1.6920928148103209541308446405
0.007,0.14,0.177,0.003,False,1.6920928148103209541308446405
0.007,0.14,0.178,0.003,False,1.6920928148103209541308446405
0.007,0.14,0.179,0.003,False,1.6920928148103209541308446405
0,0.07,0.180,0.006,True,1.6918670362203600405025130134
0,0.07,0.181,0.006,True,1.6918670362203600405025130134
0.006,0.14,0.167,0.003,False,1.6902987296559511901750281759
0.006,0.14,0.168,0.003,False,1.6902987296559511901750281759
0.006,0.14,0.169,0.003,False,1.6902987296559511901750281759
0.006,0.14,0.170,0.003,False,1.6902987296559511901750281759
0.006,0.14,0.171,0.003,False,1.6902987296559511901750281759
0.006,0.14,0.172,0.003,False,1.6902987296559511901750281759
0.006,0.14,0.173,0.003,False,1.6902987296559511901750281759
0.006,0.14,0.174,0.003,False,1.6902987296559511901750281759
0.006,0.14,0.175,0.003,False,1.6902987296559511901750281759
0.006,0.14,0.176,0.003,False,1.6902987296559511901750281759
0.006,0.14,0.177,0.003,False,1.6902987296559511901750281759
0.006,0.14,0.178,0.003,False,1.6902987296559511901750281759
0.006,0.14,0.179,0.003,False,1.6902987296559511901750281759
0,0.07,0.176,0.009,True,1.6899599443071703013343005093
0,0.07,0.177,0.009,True,1.6899599443071703013343005093
0,0.07,0.178,0.009,True,1.6899599443071703013343005093
