StopLoss,StopProfit,StartProfit,OpenCriteria,FollowTrend,Result
0.024,0.08,0.193,0.015,True,2.7021471310111470909327159492
0.040,0.07,0.195,0.031,True,2.6871503731763200186620750192
0.040,0.07,0.196,0.031,True,2.6871503731763200186620750192
0.024,0.09,0.193,0.015,True,2.6820290403835714213115752220
0.006,0.10,0.195,0.014,False,2.6503199583395762783762889881
0.006,0.10,0.196,0.014,False,2.6503199583395762783762889881
0.006,0.10,0.197,0.014,False,2.6503199583395762783762889881
0.006,0.10,0.198,0.014,False,2.6503199583395762783762889881
0.026,0.06,0.198,0.010,False,2.6493242199607569548758988008
0.006,0.10,0.193,0.014,False,2.6000646158607678385024712967
0.006,0.10,0.194,0.014,False,2.6000646158607678385024712967
0.024,0.09,0.192,0.015,True,2.5909425269544699119079709661
0.024,0.08,0.194,0.015,True,2.5902297982675113145250797538
0.024,0.08,0.192,0.015,True,2.5830833283825708651620002490
0.024,0.09,0.194,0.015,True,2.5701117076399356449039390266
0.023,0.09,0.194,0.015,True,2.5555779801465368939895555314
0.023,0.09,0.195,0.015,True,2.5555779801465368939895555314
0.023,0.09,0.196,0.015,True,2.5555779801465368939895555314
0.023,0.09,0.193,0.015,True,2.5402138177575854639372551335
0.025,0.06,0.198,0.010,False,2.5396962839628035935109207631
0.025,0.06,0.195,0.010,False,2.5380333275878517012090311850
0.020,0.08,0.196,0.005,True,2.5376478410882059389012312336
0.030,0.07,0.191,0.023,False,2.5358287025529335000939927232
0.030,0.07,0.192,0.023,False,2.5358287025529335000939927232
0.031,0.07,0.191,0.006,False,2.5334399834571355462638697741
0.026,0.06,0.195,0.010,False,2.5323747724362064388941890080
0.024,0.07,0.193,0.015,True,2.5232618704470862229983972747
0.027,0.07,0.197,0.025,False,2.5047243789991623074086917190
0.027,0.07,0.198,0.025,False,2.5047243789991623074086917190
0.027,0.07,0.199,0.025,False,2.5047243789991623074086917190
0.019,0.11,0.197,0.001,True,2.4973831475131921986178854374
0.026,0.07,0.191,0.010,False,2.4862467007788688818857375120
0.029,0.08,0.193,0.013,False,2.4824827689555184479897375738
0.019,0.11,0.198,0.001,True,2.4790521110458533566568170729
0.019,0.11,0.199,0.001,True,2.4790521110458533566568170729
0.019,0.11,0.200,0.001,True,2.4790521110458533566568170729
0.020,0.08,0.200,0.019,True,2.4748290792334698478960928735
0.025,0.06,0.197,0.009,False,2.4696986075777434942827122439
0.028,0.17,0.191,0.007,True,2.4690621506040821596181733339
0.025,0.06,0.194,0.009,False,2.4678088226792913610189073271
0.028,0.07,0.197,0.024,False,2.4656377211866816937835178803
0.031,0.07,0.192,0.006,False,2.4646359960430276859947544724
0.031,0.07,0.193,0.006,False,2.4646359960430276859947544724
0.026,0.07,0.198,0.010,False,2.4634399721082257718672618953
0.006,0.10,0.192,0.014,False,2.4554753523196458033482502691
0.033,0.12,0.192,0.006,False,2.4551831906595490893779550506
0.033,0.12,0.193,0.006,False,2.4551831906595490893779550506
0.026,0.08,0.191,0.010,False,2.4532985747513449861092326961
0.020,0.11,0.196,0.001,True,2.4531727160318473021458582260
0.033,0.07,0.191,0.013,False,2.4441037041763901544832281858
0.026,0.17,0.191,0.007,True,2.4433225452728488059768353923
0.032,0.12,0.193,0.006,False,2.4414074233365638217217347442
0.026,0.06,0.192,0.013,False,2.4391978362139013516783293947
0.026,0.06,0.193,0.013,False,2.4391978362139013516783293947
0.026,0.19,0.199,0.002,True,2.4377137205524203754178048792
0.026,0.19,0.200,0.002,True,2.4377137205524203754178048792
0.030,0.07,0.191,0.016,False,2.4358806588989240158564805312
0.021,0.08,0.195,0.005,True,2.4349114807008826446749383804
0.007,0.10,0.195,0.014,False,2.4339117678314473724958943758
0.007,0.10,0.196,0.014,False,2.4339117678314473724958943758
0.007,0.10,0.197,0.014,False,2.4339117678314473724958943758
0.020,0.11,0.197,0.001,True,2.4329835850568686176688627949
0.020,0.11,0.198,0.001,True,2.4329835850568686176688627949
0.020,0.11,0.199,0.001,True,2.4329835850568686176688627949
0.039,0.07,0.197,0.030,True,2.4317183070571513568090748583
0.039,0.07,0.195,0.030,True,2.4312940064195134204817768279
0.039,0.07,0.196,0.030,True,2.4312940064195134204817768279
0.031,0.07,0.191,0.024,False,2.4292850977998944881635374968
0.031,0.07,0.192,0.024,False,2.4292850977998944881635374968
0.039,0.07,0.197,0.031,True,2.4289805973447928740396142442
0.039,0.07,0.195,0.031,True,2.4285562967071549377123162138
0.039,0.07,0.196,0.031,True,2.4285562967071549377123162138
0.031,0.08,0.191,0.006,False,2.4279129863244955068191177699
0.031,0.08,0.192,0.006,False,2.4279129863244955068191177699
0.031,0.08,0.193,0.006,False,2.4279129863244955068191177699
0.026,0.06,0.191,0.013,False,2.4274150439306121757441367068
0.039,0.07,0.197,0.032,True,2.4252119678904420991967146572
0.031,0.08,0.192,0.013,False,2.4248461087704985270675758498
0.031,0.08,0.193,0.013,False,2.4248461087704985270675758498
0.039,0.07,0.195,0.032,True,2.4247876672528041628694166268
0.039,0.07,0.196,0.032,True,2.4247876672528041628694166268
0.022,0.08,0.194,0.007,True,2.4228935280108434106235929273
0.022,0.08,0.195,0.007,True,2.4228935280108434106235929273
0.022,0.08,0.196,0.007,True,2.4228935280108434106235929273
0.029,0.17,0.191,0.007,True,2.4223205320709166303222556651
0.028,0.07,0.199,0.013,False,2.4160874984780109505105586734
0.026,0.07,0.191,0.013,False,2.4134830120027076158087515227
0.026,0.07,0.192,0.013,False,2.4134830120027076158087515227
0.026,0.07,0.193,0.013,False,2.4134830120027076158087515227
0.027,0.17,0.191,0.007,True,2.4119720378299654384354442642
0.024,0.07,0.194,0.015,True,2.4113445377034504465907610793
0.026,0.06,0.197,0.009,False,2.4110368070262595665695526192
0.031,0.08,0.191,0.013,False,2.4093520172725440199149079193
0.034,0.12,0.191,0.006,False,2.4082397742985185719731442291
0.034,0.12,0.192,0.006,False,2.4082397742985185719731442291
0.025,0.07,0.192,0.009,False,2.4079238930799833828909837644
0.029,0.07,0.195,0.010,False,2.4074100907475770580303071326
0.029,0.07,0.196,0.010,False,2.4074100907475770580303071326
0.029,0.07,0.197,0.010,False,2.4074100907475770580303071326
0.022,0.06,0.198,0.010,False,2.4069978163684362634729122816
0.021,0.11,0.195,0.001,True,2.4063409646793085305823589655
0.030,0.07,0.191,0.024,False,2.4045332511035365649521692484
0.030,0.07,0.192,0.024,False,2.4045332511035365649521692484
0.027,0.08,0.196,0.010,False,2.4033540783657026207301313178
0.027,0.08,0.197,0.010,False,2.4033540783657026207301313178
0.026,0.17,0.191,0.005,True,2.4032295273223637018781598008
0.027,0.08,0.198,0.010,False,2.4032200635083839868492787268
0.022,0.08,0.194,0.005,True,2.4026484781912580281555300032
0.021,0.08,0.195,0.006,True,2.4002862817649046625997076899
0.021,0.08,0.196,0.006,True,2.4002862817649046625997076899
0.021,0.08,0.197,0.006,True,2.4002862817649046625997076899
0.031,0.07,0.191,0.023,False,2.3969377964228239563009425109
0.031,0.07,0.192,0.023,False,2.3969377964228239563009425109
0.034,0.17,0.191,0.035,False,2.3942450868810724818874077483
0.034,0.17,0.192,0.035,False,2.3942450868810724818874077483
0.026,0.08,0.196,0.010,False,2.3936577430499168067393693491
0.026,0.08,0.197,0.010,False,2.3936577430499168067393693491
0.026,0.08,0.198,0.010,False,2.3935362692709925069825127518
0.030,0.08,0.193,0.013,False,2.3916269902341257030710069212
0.029,0.07,0.192,0.013,False,2.3883343094833019222490039081
0.029,0.07,0.193,0.013,False,2.3883343094833019222490039081
0.016,0.21,0.199,0.003,False,2.3876242371664431946619732279
0.016,0.21,0.200,0.003,False,2.3876242371664431946619732279
0.023,0.08,0.193,0.007,True,2.3871988208258398374718953064
0.029,0.08,0.194,0.013,False,2.3863445229297590632578817482
0.029,0.08,0.195,0.013,False,2.3863445229297590632578817482
0.029,0.08,0.196,0.013,False,2.3863445229297590632578817482
0.029,0.08,0.197,0.013,False,2.3863445229297590632578817482
0.029,0.08,0.198,0.013,False,2.3863445229297590632578817482
0.023,0.08,0.198,0.015,False,2.3856239142389452838854029855
0.023,0.08,0.199,0.015,False,2.3856239142389452838854029855
0.016,0.19,0.199,0.003,False,2.3854614378286350384914245401
0.016,0.19,0.200,0.003,False,2.3854614378286350384914245401
0.029,0.08,0.191,0.013,False,2.3850147146926913965796711588
0.029,0.08,0.192,0.013,False,2.3850147146926913965796711588
0.034,0.09,0.199,0.005,True,2.3839786617165606318446096399
0.034,0.09,0.200,0.005,True,2.3839786617165606318446096399
0.007,0.10,0.192,0.014,False,2.3824097194419163004982402030
0.007,0.10,0.193,0.014,False,2.3824097194419163004982402030
0.007,0.10,0.194,0.014,False,2.3824097194419163004982402030
0.031,0.07,0.192,0.013,False,2.3815040014928837832622042743
0.031,0.07,0.193,0.013,False,2.3815040014928837832622042743
0.022,0.11,0.194,0.001,True,2.3811666302580467864713875023
0.022,0.11,0.195,0.001,True,2.3811666302580467864713875023
0.027,0.11,0.191,0.017,True,2.3784851633979321363434474204
0.026,0.06,0.191,0.010,False,2.3780559742023086045338895097
0.026,0.06,0.192,0.010,False,2.3780559742023086045338895097
0.026,0.06,0.193,0.010,False,2.3780559742023086045338895097
0.022,0.06,0.197,0.009,False,2.3778831418845945340794938596
0.028,0.07,0.196,0.024,False,2.3774614175303927553429783185
0.025,0.08,0.192,0.009,False,2.3773433505719511251284612096
0.021,0.11,0.196,0.001,True,2.3769177565128795812595812881
0.021,0.11,0.197,0.001,True,2.3769177565128795812595812881
0.021,0.11,0.198,0.001,True,2.3769177565128795812595812881
0.023,0.08,0.194,0.007,True,2.3763687034421624593903144810
0.023,0.08,0.195,0.007,True,2.3763687034421624593903144810
0.023,0.10,0.194,0.015,True,2.3761786793401978972387629666
0.023,0.10,0.195,0.015,True,2.3759798777294886526995261340
0.031,0.09,0.193,0.013,False,2.3758648877537518939139177079
0.030,0.08,0.191,0.013,False,2.3758277369402302490854438897
0.030,0.08,0.192,0.013,False,2.3758277369402302490854438897
