StopLoss,StopProfit,StartProfit,OpenCriteria,FollowTrend,Result
0.002,0.08,0.02,0.005,False,2.2497987413252095545627042615
0.033,0.04,0.02,0.005,True,2.2486171485851866072713290333
0.002,0.09,0.02,0.005,False,2.2451880167504586276844151593
0.033,0.03,0.02,0.005,True,2.1484753943897826035196159707
0.034,0.03,0.02,0.005,True,2.1455401408906136847223268940
0.001,0.09,0.02,0.005,False,2.0972287079691782846559938116
0.034,0.04,0.02,0.005,True,2.0958166135625844279402947699
0.002,0.05,0.02,0.008,True,2.0818071293763078795276771715
0.002,0,0.02,0.008,True,2.0599547513477115635170531201
0.002,0.02,0.02,0.008,True,2.0444858300870982410105188306
0.008,0.05,0.02,0.001,False,2.0386819147975417228508341993
0,0.02,0.02,0.006,False,2.0292320195620118802997190099
0.002,0.01,0.02,0.008,True,2.0263383925996581325699251867
0.006,0.01,0.02,0.006,False,2.0211812491627767312635981934
0.006,0.09,0.02,0.001,False,2.0146219662134345547790912786
0.035,0.03,0.02,0.005,True,2.0116497648821529736758192131
0.012,0.22,0.02,0.011,True,2.0027199308109123515684602110
0.006,0.10,0.02,0.001,False,2.0018816216693546617314264408
0.006,0.02,0.02,0.010,True,1.9853421702909827277487330049
0.031,0.03,0.02,0.005,True,1.9799192701651567539167601841
0.006,0.03,0.02,0.003,False,1.9775821065114774519866820695
0.035,0.04,0.02,0.005,True,1.9742921586100345493428202559
0.031,0.04,0.02,0.005,True,1.9706250450518168898862523205
0.006,0,0.02,0.004,False,1.9631576500345565819152473403
0.006,0.01,0.02,0.003,False,1.9586391645797447781340061286
0.009,0.05,0.02,0.013,True,1.9549822604487389744342332294
0.002,0.05,0.02,0.005,False,1.9543417468973766414290828239
0.012,0.12,0.02,0.011,True,1.9535985146444287885332137536
0.002,0.07,0.02,0.005,False,1.9495680327544707142239387211
0.006,0.03,0.02,0.010,True,1.9442715943690063880370331231
0.006,0.05,0.02,0.011,True,1.9197089321647283792048751486
0.009,0.05,0.02,0.011,True,1.9153342236097725729143646757
0.002,0.06,0.02,0.005,False,1.9147501759130056817940180501
0.001,0.03,0.02,0.005,False,1.9102641385788899952398545289
0.008,0.01,0.02,0.001,False,1.9066123302303622231743878576
0.033,0.03,0.02,0.032,False,1.9034623965006275933131933022
0.012,0.07,0.02,0.008,True,1.8923301392257119429656080630
0.005,0.03,0.02,0.008,True,1.8886320968370995397394590652
0.032,0.04,0.02,0.005,True,1.8867504799417288845190079521
0.001,0.08,0.02,0.005,False,1.8808320458620764968207624678
0.002,0.10,0.02,0.005,False,1.8769597397797920137856496566
0.035,0.01,0.02,0.005,True,1.8755598047221673408360857474
0.022,0,0.02,0.032,False,1.8734859550338167299160492702
0.013,0.05,0.02,0.013,True,1.8648195361183368163912183859
0.009,0.04,0.02,0.013,True,1.8636907303424987109081869363
0,0.03,0.02,0.006,False,1.8509573888969259564508749169
0.008,0.02,0.02,0.001,False,1.8495473211414583236989848408
0.006,0.05,0.02,0.006,False,1.8494233517095462027427277738
0.030,0.04,0.02,0.005,True,1.8481225819191973055777273841
0.020,0.23,0.02,0.010,True,1.8395692913083380070286049277
0.009,0.05,0.02,0.012,True,1.8389444586402204373030618265
0.010,0.01,0.02,0.003,False,1.8383117669832421513684286256
0.005,0.05,0.02,0.010,True,1.8379947246699824504279201703
0.008,0.05,0.02,0.011,True,1.8356077232337254675704890916
0.008,0.05,0.02,0.012,True,1.8325787160855782127935492528
0.008,0.01,0.02,0.006,False,1.8277530406021361407380429188
0.007,0.01,0.02,0.002,False,1.8277339067317212700606714134
0.035,0.02,0.02,0.005,True,1.8275819321198552592172514092
0.001,0.10,0.02,0.005,False,1.8263535655267758431385774833
0.022,0.01,0.02,0.017,False,1.8253508831410379667656254108
0.011,0.02,0.02,0.004,False,1.8252131419436913186283265375
0.006,0.05,0.02,0.010,True,1.8248111997362637161474941826
0.006,0,0.02,0.010,True,1.8245184449517436718294159294
0.002,0.03,0.02,0.008,True,1.8233509210836088820852236825
0.012,0.11,0.02,0.008,True,1.8226284564054958012679845402
0.006,0.04,0.02,0.010,True,1.8214572064448133515547435795
0.032,0.03,0.02,0.005,True,1.8200827895155998951743328103
0.006,0.01,0.02,0.017,False,1.8195486218072041763803970613
0,0,0.02,0.001,False,1.8192771547905520285413462141
0.005,0,0.02,0.009,True,1.8191681263122410667076540615
0.006,0.02,0.02,0.003,False,1.8188211210218826978603558903
0.013,0.07,0.02,0.008,True,1.8151359969218484472691498422
0,0.05,0.02,0.006,False,1.8143631376847538001958983373
0.001,0.05,0.02,0.005,False,1.8136833373931897325193430596
0.033,0.03,0.02,0.031,False,1.8136390994862628590000158550
0.008,0.04,0.02,0.012,True,1.8134210074269871047992121569
0.012,0.07,0.02,0.011,True,1.8110793745786668770421682174
0.010,0,0.02,0.013,True,1.8085222435158706558727726872
0,0,0.02,0.009,True,1.8077689475676670101568221567
0.023,0,0.02,0.031,False,1.8067920487818777812844296862
0.012,0.09,0.02,0.011,True,1.7993584548068140506032052803
0.030,0.04,0.02,0.023,False,1.7951300697205855064227161238
0.007,0.09,0.02,0.001,False,1.7945954798760973827564228557
0.011,0.05,0.02,0.011,True,1.7939413070376643217334625217
0.005,0.05,0.02,0.011,True,1.7933668376210858325873780261
0.003,0,0.02,0.009,True,1.7926778454239155372079422952
0.003,0.03,0.02,0.007,True,1.7916134494963884090261460509
0.005,0.02,0.02,0.008,True,1.7914231243633040141791627309
0.013,0.10,0.02,0.013,True,1.7913478696400897791924912452
0.011,0.02,0.02,0.003,False,1.7910794670581794316958663554
0.006,0.01,0.02,0.010,True,1.7895832141998373051296246687
0.013,0.06,0.02,0.010,True,1.7894106170264354822874627093
0.013,0.06,0.02,0.008,True,1.7853989364680307355221201005
0.012,0.07,0.02,0.010,True,1.7816602940360350889261645068
0.004,0,0.02,0.009,True,1.7807839309302130710019133435
0.012,0.23,0.02,0.011,True,1.7801611569503819490249030624
0.011,0.11,0.02,0.013,True,1.7782491273019737763547277608
0.012,0.11,0.02,0.010,True,1.7781610832998295854606256724
0.023,0,0.02,0.032,False,1.7753520427008716299748626142
0.011,0.02,0.02,0.002,False,1.7740442990875508477315819689
