StopLoss,StopProfit,StartProfit,OpenCriteria,FollowTrend,Result
0.001,0.06,0.119,0.009,True,3.4346370137423612607288508077
0.031,0.01,0.121,0.024,False,3.4317016121438752840680106314
0.001,0.05,0.119,0.009,True,3.3995931683313392600033036414
0.001,0.05,0.120,0.008,True,3.3818733141454374070401165981
0.031,0.02,0.119,0.026,False,3.3462032370625278851956597863
0,0.04,0.120,0.009,True,3.3422229328694404179010304112
0,0.04,0.121,0.009,True,3.3422229328694404179010304112
0.002,0.06,0.117,0.007,False,3.3319444339595843896885040307
0.002,0.03,0.119,0.009,True,3.3276930612589244658940519503
0,0.06,0.120,0.009,True,3.3140623813250742705288388281
0,0.06,0.121,0.009,True,3.3140623813250742705288388281
0.002,0.06,0.118,0.007,False,3.3076915795007020092226012691
0,0.04,0.126,0.009,True,3.3052936659396447550955327418
0,0.05,0.125,0.011,True,3.2890031992389513676038712586
0,0.06,0.126,0.009,True,3.2876612928979494911387408497
0,0.05,0.119,0.009,True,3.2856326308344054982805503075
0,0.04,0.125,0.011,True,3.2841298293539512903535233573
0,0.05,0.124,0.011,True,3.2718689576590004753710448980
0.032,0.02,0.119,0.026,False,3.2712519496544637056136953376
0,0.05,0.126,0.011,True,3.2649687831371813905544614513
0,0.04,0.119,0.009,True,3.2631960697169827471822242632
0,0.04,0.126,0.011,True,3.2600954132521813133041135500
0,0.06,0.123,0.009,True,3.2566426220425945669862955074
0,0.05,0.120,0.009,True,3.2535849291122935177712245559
0,0.05,0.121,0.009,True,3.2535849291122935177712245559
0.033,0.02,0.119,0.026,False,3.2434657757877916529814994264
0,0.04,0.124,0.011,True,3.2428207451453020409887620649
0.031,0.03,0.132,0.040,False,3.2410809164620533913493153215
0,0.06,0.122,0.009,True,3.2371970496880787148345123551
0.001,0.03,0.119,0.009,True,3.2345172137180827559022955307
0.001,0.04,0.119,0.009,True,3.2287621132214651622132487906
0,0.05,0.126,0.009,True,3.2256479968779752648768748532
0.032,0.03,0.120,0.022,False,3.2255006776479111555446268725
0,0.04,0.122,0.009,True,3.2208264050677124098185429132
0.006,0.05,0.117,0.011,True,3.2183922388292525770472846927
0.032,0.03,0.119,0.022,False,3.2164811538661152030856047470
0.033,0.02,0.134,0.039,False,3.2045142445724126279090540131
0,0.05,0.123,0.009,True,3.1966919691627405318108866949
0.001,0.05,0.121,0.007,True,3.1926997945231186910840460363
0.028,0.01,0.152,0.020,True,3.1900702109038997430826453660
0.031,0.01,0.112,0.017,True,3.1884817406832283728144111908
0.026,0.01,0.153,0.020,True,3.1853712098887785651453634861
0.001,0.04,0.120,0.008,True,3.1819470261320388021862189991
0,0.05,0.122,0.009,True,3.1772463968082246796591035426
0.001,0.05,0.120,0.009,True,3.1743336448442093427114734140
0.001,0.05,0.121,0.009,True,3.1743336448442093427114734140
0.027,0.01,0.152,0.020,True,3.1706293814190667771509712216
0,0.07,0.125,0.011,True,3.1701025069122412471614888672
0.001,0.05,0.119,0.008,True,3.1674386516251664713491975798
0.026,0.01,0.152,0.020,True,3.1638966498940735179937780078
0.034,0.02,0.133,0.038,False,3.1574083193952360447104817572
0.017,0,0.121,0.005,True,3.1572921111934374626980258915
0.034,0.02,0.133,0.039,False,3.1572347208788601847449100423
0.001,0.04,0.118,0.008,True,3.1568349984735336558668353858
0.001,0.06,0.118,0.009,True,3.1559570259526840482455225394
