StopLoss,StopProfit,StartProfit,OpenCriteria,FollowTrend,Result
0.022,0.04,0.118,0.005,True,3.9267080816811237901046991142
0.023,0.04,0.118,0.005,True,3.8255582147755496231403584706
0.024,0.04,0.118,0.005,True,3.7754095507795935100603681987
0.020,0.06,0.114,0.005,True,3.6444156482608842065526306558
0.020,0.05,0.114,0.005,True,3.6250369617315544315878569861
0.019,0.05,0.115,0.005,True,3.6206034902597170206302709333
0.020,0.05,0.117,0.005,True,3.6160932438014255809507438921
0.020,0.06,0.114,0.004,True,3.6091559471447785219062755547
0.023,0.05,0.117,0.005,True,3.6067732109760009768530552371
0.018,0.02,0.116,0.004,True,3.5694958788244900072397490994
