StopLoss,StopProfit,StartProfit,OpenCriteria,FollowTrend,Result
0.009,0.06,0.173,0.004,False,3.0625746259372362774083843232
0.008,0.06,0.173,0.005,False,3.0473402198697641697248177282
0.010,0.06,0.173,0.004,False,3.0381522914145190099693703130
0,0.03,0.166,0.003,False,2.9870153149194379373059023686
0,0.03,0.167,0.003,False,2.9870153149194379373059023686
0.011,0.06,0.168,0.004,False,2.9531331606245543295024948819
0.011,0.06,0.169,0.004,False,2.9531331606245543295024948819
0.011,0.06,0.170,0.004,False,2.9531331606245543295024948819
0.008,0.06,0.173,0.004,False,2.8969480594959700976641805118
0.012,0.06,0.168,0.004,False,2.8907730935352689213805647440
0.012,0.06,0.169,0.004,False,2.8907730935352689213805647440
0.012,0.06,0.170,0.004,False,2.8907730935352689213805647440
0.015,0.06,0.178,0.008,True,2.8851705696285169243394999591
0.011,0.06,0.173,0.004,False,2.8553210691815804097692603899
0.011,0.06,0.174,0.004,False,2.8553210691815804097692603899
0.011,0.06,0.175,0.004,False,2.8553210691815804097692603899
0.032,0.09,0.167,0.001,False,2.8438958674285991632779827150
