StopLoss,StopProfit,StartProfit,OpenCriteria,FollowTrend,Result
0.025,0.05,0.066,0.030,True,1.8681198020962043330602807010
0.025,0.05,0.066,0.028,True,1.8618900503717657248290687737
0.025,0.05,0.066,0.029,True,1.8556595701684146522187718078
0.024,0.05,0.066,0.028,True,1.8450018771509136928999818141
0.024,0.03,0.066,0.024,False,1.8210809094862446466116536425
0.024,0.03,0.066,0.025,False,1.8208257706685444535426222069
0.026,0.05,0.066,0.030,True,1.8195799391241635842380786125
0.024,0.04,0.066,0.025,False,1.8173716308005721410579626436
0.026,0.05,0.066,0.028,True,1.8153435317686129891777195081
0.024,0.05,0.066,0.025,False,1.8146927280644458360996432422
0.024,0.04,0.066,0.024,False,1.8118589223279512920663299963
0.026,0.05,0.066,0.029,True,1.8094152542206141849465126377
0.024,0.05,0.066,0.024,False,1.8092791443295508823247339637
0.029,0.05,0.066,0.030,True,1.8045032609290685963030501118
0.022,0.03,0.065,0.023,False,1.8038018586388214657160620488
0.023,0.03,0.066,0.024,False,1.8013483893921617881623488514
0.024,0.05,0.066,0.030,True,1.7962943295692048582069968767
0.023,0.04,0.066,0.024,False,1.7922365492424615618928877553
0.023,0.05,0.066,0.024,False,1.7894415067876786446700119937
0.022,0.03,0.067,0.026,False,1.7851891088633830290475000380
0.022,0.03,0.068,0.026,False,1.7851891088633830290475000380
0.034,0.02,0.065,0.018,False,1.7833272477696839639795488490
0.034,0.01,0.065,0.018,False,1.7827912398065000439997138342
0.022,0.03,0.066,0.025,False,1.7814676517781788031524642294
0.022,0.03,0.067,0.025,False,1.7814676517781788031524642294
0.024,0.05,0.066,0.029,True,1.7808911923901122155596612094
0.027,0.05,0.066,0.030,True,1.7795355177153220999126895115
0.025,0.05,0.065,0.030,True,1.7674219968513580599068906518
0.025,0.05,0.064,0.030,True,1.7670710447017258284501411208
0.025,0.07,0.064,0.030,True,1.7663898553423300587047755144
0.030,0.05,0.066,0.030,True,1.7651722405238451154234035539
0.034,0.02,0.065,0.019,False,1.7646243021809335246107909515
0.034,0.01,0.065,0.019,False,1.7626906630805721830274642337
0.024,0.08,0.066,0.030,True,1.7608135919923899483773121597
0.024,0.08,0.067,0.030,True,1.7600375391417313310759214459
0.024,0.08,0.068,0.030,True,1.7600375391417313310759214459
0.025,0,0.041,0.012,False,1.7582926533508217642926032564
0.024,0.03,0.065,0.024,False,1.7577024796663352763043431646
0.020,0.01,0.067,0.026,False,1.7571178056375608589170910707
0.020,0.01,0.068,0.026,False,1.7571178056375608589170910707
0.025,0.05,0.068,0.030,True,1.7567173769428493391466507147
0.025,0.05,0.065,0.029,True,1.7559922528039372326105453097
0.025,0.07,0.068,0.030,True,1.7534747817858610995743883446
0.020,0.02,0.067,0.026,False,1.7530795435516617472151985751
0.020,0.02,0.068,0.026,False,1.7530795435516617472151985751
0.027,0.07,0.067,0.027,False,1.7514843759121055331722468237
0.027,0.07,0.068,0.027,False,1.7514843759121055331722468237
0.025,0.05,0.068,0.028,True,1.7512921387142839014769009100
0.025,0.05,0.067,0.030,True,1.7494818964025999118503148489
0.037,0.01,0.066,0.005,False,1.7485240224920103011589772079
0.024,0.04,0.065,0.024,False,1.7484804925080419217590195184
0.026,0.07,0.064,0.030,True,1.7477079908062098818121050405
0.027,0.05,0.066,0.028,True,1.7475898180642234666928086198
0.025,0.07,0.066,0.030,True,1.7470427928131884206833384055
0.025,0.07,0.067,0.030,True,1.7462393012456116722780524788
0.037,0.02,0.066,0.019,False,1.7459853959575025646724942113
0.024,0.05,0.065,0.024,False,1.7459007145096415120174234858
0.028,0.05,0.066,0.030,True,1.7456436205030093246728704997
0.025,0.05,0.068,0.029,True,1.7442483514741775396104812514
0.025,0.05,0.067,0.028,True,1.7440566581740344741805650442
0.024,0.07,0.064,0.030,True,1.7431898072262119173887322244
0.027,0.05,0.066,0.029,True,1.7415896248827843484889385919
0.025,0.03,0.065,0.023,False,1.7398315224958269536871374014
0.025,0.05,0.067,0.029,True,1.7378251560423869794140918824
0.026,0.07,0.067,0.030,True,1.7359135569038811016427022332
0.026,0.07,0.068,0.030,True,1.7359135569038811016427022332
0.025,0.08,0.064,0.030,True,1.7337743280849879449733703653
0.026,0.07,0.066,0.030,True,1.7295085963164962410658913312
0.025,0.07,0.068,0.028,True,1.7290864330183309641652476904
0.037,0,0.046,0.018,False,1.7289082938602620712264176518
0.024,0.05,0.067,0.028,True,1.7271684849531824422514780846
0.024,0.05,0.068,0.028,True,1.7271684849531824422514780846
0.027,0.03,0.068,0.027,False,1.7266414453779475291531594625
0.027,0.03,0.067,0.027,False,1.7263162419454153121173334890
0.024,0.07,0.066,0.030,True,1.7249231301644591039111280230
0.021,0.01,0.067,0.025,False,1.7248374532624714692915267919
0.031,0.05,0.066,0.030,True,1.7248098710495512159893888478
0.024,0.07,0.067,0.030,True,1.7241470773138004866097373092
0.025,0.07,0.066,0.028,True,1.7240746000757717889078969675
0.025,0.07,0.067,0.028,True,1.7240746000757717889078969675
0.025,0.08,0.068,0.028,True,1.7230366959619653096195543599
0.023,0.03,0.067,0.026,False,1.7225710346343487410289735548
0.027,0.04,0.068,0.027,False,1.7213572403082074492887023863
0.027,0.04,0.067,0.027,False,1.7210320368756752322528764128
0.025,0.08,0.068,0.030,True,1.7210162125875338901820741199
0.025,0.07,0.068,0.029,True,1.7208720183173617698421431694
0.021,0.02,0.067,0.025,False,1.7208023819655957067661095006
0.026,0.05,0.065,0.030,True,1.7199602689388326849672861352
0.026,0.05,0.064,0.030,True,1.7198830258224162820725764014
0.026,0.03,0.068,0.028,False,1.7185918438578928891321007064
0.023,0.03,0.066,0.025,False,1.7183046112713372554156581766
0.023,0.03,0.067,0.025,False,1.7183046112713372554156581766
0.027,0.05,0.067,0.027,False,1.7179249622461321414855175538
0.027,0.05,0.068,0.027,False,1.7179249622461321414855175538
0.025,0.08,0.066,0.028,True,1.7178761093572793140172134265
0.025,0.08,0.067,0.028,True,1.7178761093572793140172134265
0.025,0.07,0.066,0.029,True,1.7166735471151641322501935329
0.026,0.07,0.067,0.028,True,1.7144905450852610478860146178
0.025,0.07,0.067,0.029,True,1.7144488228855712096457538004
0.025,0.08,0.066,0.030,True,1.7144354699527343909460339703
0.025,0.08,0.068,0.029,True,1.7141644948968456122913900411
0.027,0.07,0.064,0.030,True,1.7141459378693069490044939139
0.025,0.08,0.067,0.030,True,1.7136319783851576425407480436
0.023,0.04,0.067,0.026,False,1.7134577692439356206032021347
0.026,0.04,0.068,0.028,False,1.7133232566465593145154045245
0.026,0.08,0.064,0.030,True,1.7112798470111332807252940906
0.026,0.05,0.068,0.028,False,1.7109747046127823366253282392
0.026,0.05,0.065,0.029,True,1.7108260719156521392208837115
0.023,0.05,0.067,0.026,False,1.7106614960338480430758084200
0.023,0.04,0.066,0.025,False,1.7091920928371850723246225187
0.023,0.04,0.067,0.025,False,1.7091920928371850723246225187
0.023,0.05,0.066,0.025,False,1.7064951782896795474572950712
0.023,0.05,0.067,0.025,False,1.7064951782896795474572950712
0.028,0.05,0.066,0.029,True,1.7044763074101582439775372322
