StopLoss,StopProfit,StartProfit,OpenCriteria,FollowTrend,Result
0.039,0.09,0.192,0.029,False,1.3555838203592391262955225248
0.039,0.09,0.193,0.029,False,1.3555838203592391262955225248
0.039,0.09,0.194,0.029,False,1.3555838203592391262955225248
0.039,0.09,0.195,0.029,False,1.3555838203592391262955225248
0.039,0.09,0.196,0.029,False,1.3555838203592391262955225248
0.033,0.03,0.200,0.004,False,1.3446989253979416869633144326
0.040,0.09,0.192,0.029,False,1.3441260439376484743858338935
0.040,0.09,0.193,0.029,False,1.3441260439376484743858338935
0.040,0.09,0.194,0.029,False,1.3441260439376484743858338935
0.040,0.09,0.195,0.029,False,1.3441260439376484743858338935
0.040,0.09,0.196,0.029,False,1.3441260439376484743858338935
0.034,0.03,0.200,0.002,False,1.3365474777027546820654709929
0.034,0.03,0.200,0.004,False,1.3309163638043459419854990575
0.034,0.03,0.200,0.003,False,1.3308173164592160720406990265
0.039,0.09,0.188,0.029,False,1.3289581843181681414530107975
0.039,0.09,0.189,0.029,False,1.3289581843181681414530107975
0.039,0.09,0.190,0.029,False,1.3289581843181681414530107975
0.039,0.09,0.191,0.029,False,1.3289581843181681414530107975
0.033,0.03,0.200,0.002,False,1.3263873316334233674071029725
0.035,0.03,0.200,0.002,False,1.3225691915090140611891638596
0.034,0.03,0.199,0.004,False,1.3225222016238867963506969052
0.039,0.09,0.197,0.029,False,1.3212809692617460709013693363
0.039,0.09,0.198,0.029,False,1.3212809692617460709013693363
0.039,0.09,0.199,0.029,False,1.3212809692617460709013693363
0.039,0.09,0.200,0.029,False,1.3212809692617460709013693363
0.033,0.03,0.200,0.003,False,1.3207938075745108925472935618
0.035,0.03,0.200,0.003,False,1.3168598725817769031886658752
0.020,0.02,0.164,0.016,False,1.3154221799320744954770172221
0.020,0.02,0.164,0.017,False,1.3150641376602800577998210682
0.020,0.02,0.164,0.015,False,1.3147219957661855141885824988
0.040,0.09,0.197,0.029,False,1.3098231928401554189916807050
0.040,0.09,0.198,0.029,False,1.3098231928401554189916807050
0.040,0.09,0.199,0.029,False,1.3098231928401554189916807050
0.040,0.09,0.200,0.029,False,1.3098231928401554189916807050
0.020,0.02,0.164,0.018,False,1.3001396479645147826576159703
0.027,0.05,0.193,0.024,False,1.2985865137762910544557606836
0.027,0.05,0.194,0.024,False,1.2985865137762910544557606836
0.027,0.05,0.195,0.024,False,1.2985865137762910544557606836
0.027,0.05,0.196,0.024,False,1.2985865137762910544557606836
0.027,0.05,0.197,0.024,False,1.2985865137762910544557606836
0.027,0.05,0.198,0.024,False,1.2985865137762910544557606836
0.027,0.05,0.199,0.024,False,1.2985865137762910544557606836
0.021,0.02,0.164,0.016,False,1.2942033642880462216242846573
0.021,0.02,0.164,0.017,False,1.2939734837387794655543791341
0.021,0.02,0.164,0.015,False,1.2937894670619140170441668422
0.020,0.03,0.162,0.016,False,1.2933575054420273623857391750
0.024,0,0.194,0.024,False,1.2922664614307493503851357311
0.024,0,0.195,0.024,False,1.2922664614307493503851357311
0.024,0,0.196,0.024,False,1.2922664614307493503851357311
0.024,0,0.197,0.024,False,1.2922664614307493503851357311
0.024,0,0.198,0.024,False,1.2922664614307493503851357311
0.024,0,0.199,0.024,False,1.2922664614307493503851357311
0.024,0,0.200,0.024,False,1.2922664614307493503851357311
0.023,0.01,0.196,0.024,False,1.2905459063605215527351141921
0.023,0.01,0.197,0.024,False,1.2905459063605215527351141921
0.023,0.01,0.198,0.024,False,1.2905459063605215527351141921
0.023,0.01,0.199,0.024,False,1.2905459063605215527351141921
0.023,0.01,0.200,0.024,False,1.2905459063605215527351141921
0.028,0.05,0.199,0.024,False,1.2877715865412831917662343616
0.028,0.05,0.200,0.024,False,1.2877715865412831917662343616
0.028,0.05,0.193,0.024,False,1.2834856209075765563763759601
0.028,0.05,0.194,0.024,False,1.2834856209075765563763759601
0.028,0.05,0.195,0.024,False,1.2834856209075765563763759601
0.028,0.05,0.196,0.024,False,1.2834856209075765563763759601
0.028,0.05,0.197,0.024,False,1.2834856209075765563763759601
0.028,0.05,0.198,0.024,False,1.2834856209075765563763759601
0.025,0,0.193,0.024,False,1.2726039569957294988409377288
0.025,0,0.194,0.024,False,1.2726039569957294988409377288
0.025,0,0.195,0.024,False,1.2726039569957294988409377288
0.025,0,0.196,0.024,False,1.2726039569957294988409377288
0.025,0,0.197,0.024,False,1.2726039569957294988409377288
0.025,0,0.198,0.024,False,1.2726039569957294988409377288
0.025,0,0.199,0.024,False,1.2726039569957294988409377288
0.025,0,0.200,0.024,False,1.2726039569957294988409377288
0.029,0.05,0.197,0.024,False,1.2718955473298149059298006835
0.029,0.05,0.198,0.024,False,1.2718955473298149059298006835
0.029,0.05,0.199,0.024,False,1.2718955473298149059298006835
0.029,0.05,0.200,0.024,False,1.2718955473298149059298006835
0.023,0.01,0.200,0.008,False,1.2708528579722960719688037691
0.024,0.01,0.194,0.024,False,1.2706511579322387544963171642
0.024,0.01,0.195,0.024,False,1.2706511579322387544963171642
0.024,0.01,0.196,0.024,False,1.2706511579322387544963171642
0.024,0.01,0.197,0.024,False,1.2706511579322387544963171642
0.024,0.01,0.198,0.024,False,1.2706511579322387544963171642
0.024,0.01,0.199,0.024,False,1.2706511579322387544963171642
0.024,0.01,0.200,0.024,False,1.2706511579322387544963171642
0.022,0.03,0.200,0.008,False,1.2705636078890177088547314737
0.023,0.01,0.200,0.007,False,1.2677866598752293631774657648
0.029,0.05,0.193,0.024,False,1.2675652348678301966566397241
0.029,0.05,0.194,0.024,False,1.2675652348678301966566397241
0.029,0.05,0.195,0.024,False,1.2675652348678301966566397241
0.029,0.05,0.196,0.024,False,1.2675652348678301966566397241
0.024,0,0.200,0.008,False,1.2674487485532179829033547876
0.023,0.01,0.199,0.007,False,1.2658714672915763079571428607
0.024,0,0.199,0.007,False,1.2656205386348715358198466032
0.022,0.03,0.200,0.007,False,1.2656060445194653313098826140
0.030,0.01,0.200,0.002,False,1.2650081743091587748555630226
0.024,0,0.200,0.007,False,1.2642300525648512249015844702
0.030,0.01,0.198,0.002,False,1.2630929817255057196352401185
0.030,0.01,0.199,0.002,False,1.2630929817255057196352401185
0.021,0.03,0.179,0.014,False,1.2580474619831166365560546086
0.026,0,0.197,0.006,False,1.2578209830178584967729273656
0.026,0,0.198,0.006,False,1.2578209830178584967729273656
0.026,0,0.199,0.006,False,1.2578209830178584967729273656
0.022,0.03,0.199,0.007,False,1.2572154219678414525756407549
0.024,0.04,0.185,0.022,False,1.2570852401590954919704277346
0.024,0.04,0.186,0.022,False,1.2570852401590954919704277346
0.024,0.04,0.187,0.022,False,1.2570852401590954919704277346
0.024,0.04,0.188,0.022,False,1.2570852401590954919704277346
0.024,0.04,0.189,0.022,False,1.2570852401590954919704277346
