StopLoss,StopProfit,StartProfit,OpenCriteria,FollowTrend,Result
0.029,0,0.053,0.013,False,1.9355383293047567581382261695
0.031,0,0.051,0.013,False,1.9238239077542735239442726658
0.030,0,0.051,0.013,False,1.9039007060667543694157640139
0.030,0,0.052,0.013,False,1.9007621917908046795370786305
0.029,0,0.052,0.013,False,1.8898725474854985695655705873
0.030,0,0.053,0.013,False,1.8730866375745997065445264775
0.029,0,0.054,0.013,False,1.8626398061089784821092375396
0.032,0,0.051,0.013,False,1.8608933643833683036634241193
0.025,0.05,0.066,0.030,True,1.8525346573207112571056017249
0.029,0,0.051,0.013,False,1.8513209518283832187730288526
0.025,0.05,0.066,0.029,True,1.8400744253929215762640928317
0.031,0,0.052,0.013,False,1.8385682951384460515191025822
0.027,0.01,0.052,0.013,False,1.8352369331720094208541294271
0.025,0.05,0.066,0.028,True,1.8326508194467960954969997402
0.024,0.03,0.066,0.023,False,1.8244015382276475148994594172
0.024,0.05,0.066,0.028,True,1.8176903360729854830236127678
0.029,0.05,0.066,0.030,True,1.8161171632002317071082806692
0.024,0.04,0.066,0.023,False,1.8139887381586667790850792527
0.024,0.03,0.066,0.025,False,1.8130487082820713541717595237
0.024,0.03,0.066,0.024,False,1.8123748431620752476815721539
0.024,0.05,0.066,0.023,False,1.8098801636580912500652691750
0.024,0.04,0.066,0.025,False,1.8095945684140990416870999604
0.020,0.02,0.026,0.006,False,1.8081132881468088689314180161
0.024,0.05,0.066,0.025,False,1.8069156656779727367287805590
0.026,0.05,0.066,0.030,True,1.8039266315028002908700900152
0.024,0.04,0.066,0.024,False,1.8031528560037818931362485077
0.027,0.01,0.051,0.013,False,1.8008497669799043106304854808
0.024,0.05,0.066,0.024,False,1.8005730780053814833946524751
0.027,0.02,0.051,0.013,False,1.7975684429263348752150533258
0.027,0,0.052,0.013,False,1.7942061558601374461264569374
0.022,0.03,0.065,0.023,False,1.7941343187202079274706219629
0.026,0.05,0.066,0.029,True,1.7937619465992508915785240404
0.023,0.03,0.066,0.024,False,1.7927119825511579562629285666
0.026,0.05,0.066,0.028,True,1.7840945760726742043365437948
0.023,0.04,0.066,0.024,False,1.7836001424014577299934674705
0.023,0.05,0.066,0.024,False,1.7808050999466748127705917089
0.024,0.05,0.066,0.030,True,1.7806934726423796880818183503
0.030,0.05,0.066,0.030,True,1.7767861427950082262286341113
0.022,0.03,0.067,0.026,False,1.7732906424434993696080500116
0.022,0.03,0.068,0.026,False,1.7732906424434993696080500116
0.022,0.03,0.066,0.025,False,1.7695565877231232181868739700
0.022,0.03,0.067,0.025,False,1.7695565877231232181868739700
0.024,0.05,0.066,0.029,True,1.7652903354632870454344826830
0.027,0.05,0.066,0.030,True,1.7638128673551277625027380959
0.020,0.01,0.026,0.006,False,1.7621190891563628953649641066
0.027,0,0.051,0.013,False,1.7603135466458908593577673425
0.037,0.02,0.066,0.019,False,1.7575992982286656754777247687
0.025,0.05,0.065,0.030,True,1.7518368520758649839522116757
0.025,0.05,0.064,0.030,True,1.7514858999262327524954621447
0.025,0.07,0.064,0.030,True,1.7508047105668369827500965383
0.024,0.03,0.065,0.024,False,1.7489964133421658773742616760
0.027,0,0.053,0.013,False,1.7468678604740494866395679193
0.027,0.07,0.067,0.027,False,1.7455223773937037606918489644
0.027,0.07,0.068,0.027,False,1.7455223773937037606918489644
0.024,0.08,0.066,0.030,True,1.7452127350655647782521336333
0.020,0.01,0.068,0.026,False,1.7451962231578717031417466694
0.020,0.01,0.067,0.026,False,1.7451962231578717031417466694
0.024,0.08,0.067,0.030,True,1.7444366822149061609507429195
0.024,0.08,0.068,0.030,True,1.7444366822149061609507429195
0.020,0.02,0.025,0.006,False,1.7423699348342935186837531446
0.037,0.01,0.066,0.005,False,1.7413068547675335822097543517
0.020,0.02,0.068,0.026,False,1.7411579610719725914398541738
0.020,0.02,0.067,0.026,False,1.7411579610719725914398541738
0.025,0.05,0.068,0.030,True,1.7411322321673562631919717386
0.025,0.05,0.065,0.029,True,1.7404071080284441566558663336
0.025,0.07,0.068,0.030,True,1.7378896370103680236197093685
0.020,0.01,0.046,0.005,False,1.7376999577971413005962562202
0.025,0.05,0.067,0.030,True,1.7338967516271068358956358728
0.026,0.07,0.064,0.030,True,1.7320546831848465884441164432
0.025,0.07,0.066,0.030,True,1.7314576480376953447286594294
0.025,0.07,0.067,0.030,True,1.7306541564701185963233735027
0.028,0.05,0.066,0.030,True,1.7299367585783231322042512528
0.025,0.05,0.068,0.029,True,1.7286632066986844636558022753
0.024,0.07,0.064,0.030,True,1.7275889502993867472635536980
0.027,0.05,0.066,0.029,True,1.7258669745225900110789871763
0.020,0.02,0.046,0.005,False,1.7231669578935271975339776929
0.025,0.05,0.067,0.029,True,1.7222400112668939034594129063
0.025,0.05,0.068,0.028,True,1.7220529077893142721448318765
0.027,0.03,0.068,0.027,False,1.7206794468595457566727616032
0.027,0.03,0.067,0.027,False,1.7203542434270135396369356297
0.026,0.07,0.068,0.030,True,1.7202602492825178082747136359
0.026,0.07,0.067,0.030,True,1.7202602492825178082747136359
0.028,0.01,0.051,0.013,False,1.7191110804316684659583279503
0.020,0.03,0.046,0.005,False,1.7182929491371080386337341366
0.025,0.08,0.064,0.030,True,1.7181891833094948690186913892
0.028,0.02,0.051,0.013,False,1.7158325512700910411198988387
0.027,0.04,0.068,0.027,False,1.7153952417898056768083045270
0.027,0.04,0.067,0.027,False,1.7150700383572734597724785535
