StopLoss,StopProfit,StartProfit,OpenCriteria,FollowTrend,Result
0.027,0.07,0.053,0.013,False,2.0376359857977480418285353085
0.027,0.08,0.053,0.013,False,2.0248110843743487646684123234
0.027,0.03,0.051,0.013,False,2.0145110558805853278047892801
0.031,0.03,0.051,0.013,False,2.0102108899398008683403312570
0.028,0.09,0.053,0.013,False,1.9515019828953856081116864942
0.032,0.03,0.051,0.013,False,1.9491277647481132066712248006
0.029,0,0.053,0.013,False,1.9470662026702075496041587229
0.029,0.03,0.051,0.013,False,1.9381162959611802684901989283
0.027,0.07,0.052,0.013,False,1.9379738280935798659728557856
0.029,0.02,0.053,0.013,False,1.9362354297307194045428604342
0.028,0.03,0.051,0.013,False,1.9359964560818246971975299744
0.027,0.02,0.051,0.013,False,1.9354134339315143373125414083
0.031,0,0.051,0.013,False,1.9353517811197243154102052192
0.028,0.10,0.053,0.013,False,1.9349595775641288656225259546
0.029,0.10,0.053,0.013,False,1.9309135317426890896421813775
0.031,0.01,0.051,0.013,False,1.9303889889132358709328425492
0.029,0.03,0.053,0.013,False,1.9296849175809559149606856655
0.031,0.02,0.051,0.013,False,1.9246511323863505608251116356
0.029,0.11,0.053,0.013,False,1.9163684317442186555793659917
0.030,0,0.051,0.013,False,1.9154285794322051608816965673
0.030,0,0.052,0.013,False,1.9122900651562554710030111839
0.027,0.09,0.053,0.013,False,1.9100244685640524953299481560
0.030,0.01,0.051,0.013,False,1.9099805196539618195664248312
0.030,0.01,0.052,0.013,False,1.9085708580269736478492016724
0.030,0.02,0.051,0.013,False,1.9042242959985327935008923849
0.031,0.04,0.051,0.013,False,1.9025124303680364597578485594
0.029,0,0.052,0.013,False,1.9014004208509493610315031407
0.029,0.08,0.051,0.013,False,1.8997753915668186648835342781
0.027,0.09,0.054,0.013,False,1.8944321657977336576677973745
0.033,0.03,0.051,0.013,False,1.8867239439941389550221860780
0.030,0,0.053,0.013,False,1.8846145109400504980104590309
0.030,0.01,0.053,0.013,False,1.8787514775916163746545261220
0.028,0.07,0.052,0.013,False,1.8767592505638738661113820588
0.029,0,0.054,0.013,False,1.8741676794744292735751700930
0.030,0.02,0.053,0.013,False,1.8733611677950336572618524306
0.032,0,0.051,0.013,False,1.8724212377488190951293566727
0.032,0.01,0.051,0.013,False,1.8674830766493273223566646328
0.030,0.03,0.053,0.013,False,1.8672409073105964116016391846
0.028,0.08,0.052,0.013,False,1.8666428733151954284105854991
0.028,0.02,0.054,0.013,False,1.8664596959899016423428557311
0.029,0.09,0.052,0.013,False,1.8658825023847838914264111293
0.029,0.02,0.054,0.013,False,1.8657267395277140137411056494
0.029,0,0.051,0.013,False,1.8628488251938340102389614060
0.032,0.01,0.052,0.013,False,1.8617290157131326437401099304
0.032,0.02,0.051,0.013,False,1.8616606393479516171741839984
0.030,0.04,0.053,0.013,False,1.8592894675941856146628732127
0.028,0.02,0.053,0.013,False,1.8577023468211554291019617504
0.029,0.02,0.051,0.013,False,1.8551674590738533916115865601
0.028,0.02,0.051,0.013,False,1.8545463091372672438222336509
0.030,0.11,0.053,0.013,False,1.8530974416622561724818311390
0.031,0,0.052,0.013,False,1.8500961685038968429850351356
0.029,0.10,0.052,0.013,False,1.8488221272264254729406141871
0.030,0.03,0.051,0.013,False,1.8473624833024506990326409345
0.031,0.01,0.052,0.013,False,1.8468629503410451114394612887
0.027,0.02,0.054,0.013,False,1.8459082213571925348824530218
0.032,0.04,0.051,0.013,False,1.8417348207844922620969186391
0.029,0.11,0.050,0.013,False,1.8402653196138050336697776304
0.028,0.03,0.054,0.013,False,1.8347498870294277255130832987
0.030,0.12,0.053,0.013,False,1.8331952647167580948974200049
0.027,0.09,0.052,0.013,False,1.8317708469222130973607043147
0.029,0.03,0.054,0.013,False,1.8294597318170467703741695169
0.034,0.03,0.051,0.013,False,1.8288083270495870103514979779
0.028,0.04,0.054,0.013,False,1.8285448431211088791411891967
0.027,0.08,0.052,0.013,False,1.8279888545669015458457239679
0.027,0.10,0.053,0.013,False,1.8269206200360622374242112214
0.031,0.01,0.053,0.013,False,1.8237750010143504189892763147
0.029,0.04,0.054,0.013,False,1.8232550909007585722576442191
0.028,0.10,0.054,0.013,False,1.8223155741178633904728031485
0.028,0.11,0.053,0.013,False,1.8187195309972847635126834933
0.031,0.02,0.053,0.013,False,1.8184034266868858590377059928
0.028,0.07,0.051,0.013,False,1.8179844091649106807567927238
0.027,0.03,0.054,0.013,False,1.8161496608127188977286477259
0.030,0.13,0.053,0.013,False,1.8125194912204852736878815463
0.031,0.03,0.053,0.013,False,1.8120967349642344361077138075
0.027,0.07,0.051,0.013,False,1.8111468945778111257947833759
0.027,0.04,0.054,0.013,False,1.8099718325228805639352851027
0.026,0.07,0.053,0.013,False,1.8097903367510696450890349095
0.027,0.11,0.053,0.013,False,1.8069265241670868330997634750
0.027,0,0.052,0.013,False,1.8057181833515463808343607175
0.027,0.01,0.052,0.013,False,1.8044212335378953911851302898
0.028,0.08,0.051,0.013,False,1.8032834686392468072386937978
0.033,0.01,0.051,0.013,False,1.8031422667946619802728774995
0.028,0.02,0.052,0.013,False,1.8028479295176809516237154967
0.027,0.08,0.051,0.013,False,1.7971512212091011870013127029
0.027,0.06,0.052,0.013,False,1.7968342183918164377268731473
0.028,0.09,0.051,0.013,False,1.7916440745445590574917944760
0.027,0.09,0.051,0.013,False,1.7838533850954972635039005819
0.027,0.02,0.053,0.013,False,1.7828730702668572962331888854
0.027,0.03,0.053,0.013,False,1.7767148212491879697914406557
0.027,0,0.051,0.013,False,1.7718255741372997940656711226
0.027,0.07,0.053,0.014,False,1.7710449835452744621057768406
0.028,0.09,0.052,0.013,False,1.7703118524800393242901512780
0.020,0.01,0.068,0.026,False,1.7635868162175711825206183307
0.020,0.01,0.067,0.026,False,1.7632503933109773911183270895
0.026,0.07,0.053,0.014,False,1.7605010676828598051427789514
0.026,0.07,0.054,0.013,False,1.7593904984367154902963018411
0.026,0.07,0.051,0.013,False,1.7385118488329527577900995905
0.021,0.01,0.067,0.025,False,1.7382090368703564262031342755
0.026,0.07,0.054,0.017,False,1.7258472647050335194229440064
0.026,0.07,0.054,0.016,False,1.7133770782150966752665564027
