StopLoss,StopProfit,StartProfit,OpenCriteria,FollowTrend,Result
0.015,0,0.085,0.024,True,1.7090435296113864899080456633
0.016,0.01,0.085,0.027,True,1.6901698192328494260185351528
0.016,0.01,0.084,0.027,True,1.6901698192328494260185351528
0.016,0.01,0.084,0.026,True,1.6647241008449154334852590859
0.016,0.01,0.085,0.026,True,1.6647241008449154334852590859
0.016,0.01,0.086,0.027,True,1.6596343308784476548129871544
0.016,0.01,0.087,0.027,True,1.6596343308784476548129871544
0.014,0.03,0.088,0.026,True,1.6437430048119235012950048160
0.013,0.03,0.088,0.025,True,1.6387543618637813750943416230
0.017,0.01,0.084,0.027,True,1.6356573802391502752366113085
0.017,0.01,0.085,0.027,True,1.6356573802391502752366113085
0.016,0.01,0.086,0.026,True,1.6341886124905136622797110875
0.017,0.01,0.084,0.025,True,1.6152862554315457694283589658
0.014,0.01,0.088,0.026,True,1.6106844741881338288795227698
0.014,0.02,0.088,0.026,True,1.6065918187565001449424897116
0.017,0.01,0.086,0.027,True,1.6051218918847485040310633101
0.013,0.01,0.088,0.025,True,1.6038243251605753675795369756
0.013,0.02,0.088,0.025,True,1.5997363217677679415288539617
0.014,0.04,0.086,0.024,True,1.5951530983001288002613837804
0.018,0.01,0.084,0.025,True,1.5880519365703639178339740381
0.016,0.01,0.084,0.028,True,1.5816665618235301610557663841
0.014,0.05,0.086,0.024,True,1.5811557258706679608426186092
0.017,0.01,0.084,0.026,True,1.5792102957431286415394009183
0.017,0.01,0.085,0.026,True,1.5792102957431286415394009183
0.015,0.04,0.086,0.025,True,1.5761628309245293524782770014
0.015,0.02,0.085,0.024,True,1.5692197623266338420265359615
0.015,0.05,0.086,0.025,True,1.5688376817313254536181926413
0.014,0.06,0.086,0.024,True,1.5657030043038909886806565806
0.015,0.03,0.087,0.026,True,1.5649684854978934694090967100
0.014,0.02,0.086,0.024,True,1.5614999965214163621333899103
0.015,0.03,0.087,0.027,True,1.5614907415753113318505983622
0.015,0.03,0.085,0.024,True,1.5604846835613703755328436392
0.015,0.06,0.086,0.025,True,1.5558897063524505861218565936
0.018,0.01,0.084,0.027,True,1.5540047221672123370056199669
0.018,0.01,0.085,0.027,True,1.5540047221672123370056199669
0.014,0.03,0.086,0.024,True,1.5518270227303919215941236838
0.013,0.03,0.087,0.024,True,1.5499094972624332324573707145
0.013,0.04,0.087,0.024,True,1.5421093885146687748583883543
0.015,0.07,0.086,0.025,True,1.5410332327207699017464674281
0.017,0.01,0.084,0.028,True,1.5306311047630255093022455596
0.016,0.03,0.087,0.027,True,1.5288219041382627513764365453
0.013,0.05,0.087,0.024,True,1.5275227884223807484433718356
0.015,0.02,0.087,0.026,True,1.5261943042779085369812543508
0.015,0.05,0.085,0.024,True,1.5252805155060535876965854682
0.018,0.01,0.084,0.026,True,1.5249157508678925059751298969
0.015,0.02,0.086,0.027,True,1.5243002913523974513402810431
0.015,0.02,0.087,0.027,True,1.5243002913523974513402810431
0.014,0.03,0.087,0.025,True,1.5230237478494089594843576544
0.016,0.05,0.085,0.025,True,1.5187228866362838422898307367
0.014,0.04,0.087,0.025,True,1.5161443265205134352326787019
0.013,0.01,0.087,0.024,True,1.5129089064228116511439028186
0.016,0.01,0.088,0.027,True,1.5126924554912577933199064703
0.015,0.06,0.085,0.024,True,1.5120468664981268253342696750
0.019,0.01,0.084,0.025,True,1.5118549126997140943453247779
0.018,0.01,0.085,0.024,True,1.5117740089379681842675499249
0.016,0.06,0.085,0.025,True,1.5098376929283999236361492086
0.013,0.02,0.087,0.024,True,1.5089593486947401510067102619
0.016,0,0.085,0.024,True,1.5033274980298795886487984475
0.019,0.01,0.084,0.027,True,1.5023912321487922082748672714
0.014,0.05,0.087,0.025,True,1.5022568290262906640275025061
0.015,0.07,0.085,0.024,True,1.4974897970409600394118753752
0.013,0.02,0.089,0.025,True,1.4973721305494307888848890285
0.016,0.07,0.085,0.025,True,1.4971880034714177010181224453
0.015,0.05,0.085,0.025,True,1.4908472124064147825357414685
0.013,0.03,0.089,0.025,True,1.4878299848310593727284051819
0.014,0.06,0.087,0.025,True,1.4864350275643171690567299358
0.018,0.01,0.084,0.029,True,1.4841016699349956534831276843
0.018,0.01,0.085,0.029,True,1.4841016699349956534831276843
0.016,0.08,0.085,0.025,True,1.4835866741339881504366698447
0.016,0.08,0.086,0.026,True,1.4833035665120436482298098958
0.015,0.04,0.085,0.024,True,1.4817444127328587388435880570
0.015,0.06,0.085,0.025,True,1.4793458389289699563673230742
0.019,0.01,0.084,0.028,True,1.4792779579965821997866683963
0.018,0.01,0.084,0.028,True,1.4782756074921801101498856293
0.017,0.01,0.084,0.029,True,1.4743952834049930442809999895
0.017,0.01,0.085,0.029,True,1.4743952834049930442809999895
0.019,0.03,0.087,0.029,True,1.4686876452208271746869874684
0.015,0.07,0.085,0.025,True,1.4659391261140203687405460398
0.014,0.07,0.087,0.025,True,1.4653296849050530176074701196
0.014,0.03,0.087,0.024,True,1.4596875499468711569122051545
0.016,0.01,0.088,0.028,True,1.4595457660120431724238923259
0.016,0.01,0.089,0.028,True,1.4595457660120431724238923259
0.016,0.01,0.087,0.028,True,1.4548763640965687465874867333
0.018,0.01,0.086,0.029,True,1.4535661815805938822775796859
0.018,0.01,0.087,0.029,True,1.4535661815805938822775796859
0.013,0.03,0.087,0.025,True,1.4532249920852498322476095260
0.014,0.04,0.087,0.024,True,1.4524327074421001440461721562
0.019,0.01,0.081,0.028,True,1.4516599814604107017250718401
0.019,0.01,0.082,0.028,True,1.4516599814604107017250718401
0.019,0.01,0.083,0.028,True,1.4516599814604107017250718401
0.013,0.04,0.087,0.025,True,1.4470154875884768023390441432
0.014,0.04,0.086,0.026,True,1.4447130129357256728253661608
0.017,0.01,0.086,0.029,True,1.4438597950505912730754519911
0.017,0.01,0.087,0.029,True,1.4438597950505912730754519911
0.017,0.06,0.084,0.025,True,1.4423349314574402194537134914
0.017,0.09,0.085,0.027,True,1.4419855481542231860783963033
0.014,0.05,0.087,0.024,True,1.4384114077937147535340314578
0.017,0.01,0.090,0.026,True,1.4361559818766003708806793547
0.017,0.07,0.084,0.025,True,1.4317405758457024298026351275
0.016,0.06,0.084,0.025,True,1.4315541792886510728468840078
0.019,0.01,0.084,0.029,True,1.4301614602695710323646725230
0.019,0.01,0.085,0.029,True,1.4301614602695710323646725230
0.017,0.01,0.087,0.028,True,1.4299308416101353561558622496
0.018,0.05,0.085,0.024,True,1.4274801073055454104356798256
0.014,0.06,0.087,0.024,True,1.4229826134458623324654449564
0.014,0.07,0.086,0.024,True,1.4217673127385538174884493245
0.019,0.06,0.084,0.025,True,1.4192797048154155794890391571
0.019,0.03,0.087,0.028,True,1.4189804349962172328025871341
0.019,0.01,0.082,0.029,True,1.4056107243743618833692368337
0.019,0.01,0.083,0.029,True,1.4056107243743618833692368337
0.019,0.01,0.085,0.028,True,1.4011549071761116590807420776
0.019,0.01,0.086,0.029,True,1.3996259719151692611591245246
0.019,0.01,0.087,0.029,True,1.3996259719151692611591245246
0.022,0.12,0.081,0.028,True,1.3992541511553128995091140687
0.022,0.12,0.082,0.028,True,1.3992541511553128995091140687
0.018,0.01,0.085,0.028,True,1.3981566890836570279894215669
0.018,0.01,0.084,0.030,True,1.3936297974651018477579781315
0.019,0.01,0.087,0.028,True,1.3869731414440216094008077799
