StopLoss,StopProfit,StartProfit,OpenCriteria,FollowTrend,Result
0.027,0.08,0.045,0.014,False,1.2595049372114122443875740208
0.027,0.08,0.045,0.013,False,1.2574973672827969093282045190
0.025,0.03,0.042,0.013,False,1.2498178027118887031401620554
0.030,0.09,0.042,0.011,False,1.2251412063512949360148570858
0.026,0.03,0.042,0.013,False,1.2191028329995305750392735900
0.026,0.11,0.044,0.014,False,1.2142320440579085789333372230
0.026,0.11,0.045,0.014,False,1.2142320440579085789333372230
0.026,0.11,0.044,0.013,False,1.2109375433509812957461898275
0.026,0.11,0.045,0.013,False,1.2109375433509812957461898275
0.028,0.09,0.044,0.014,False,1.2055199827193823327114293184
0.028,0.09,0.044,0.013,False,1.2036658961441037481209502747
0.029,0.09,0.043,0.011,False,1.2033663244279580444937153780
0.026,0.10,0.043,0.014,False,1.2007880585888560354245366525
0.026,0.10,0.044,0.014,False,1.2007880585888560354245366525
0.026,0.10,0.043,0.013,False,1.1988150504683687585146138374
0.026,0.10,0.044,0.013,False,1.1988150504683687585146138374
0.027,0.09,0.044,0.014,False,1.1968752353543727122970111993
0.031,0.11,0.041,0.012,False,1.1960526434941115828204963568
0.025,0.09,0.044,0.014,False,1.1948909148885072210332623968
0.027,0.09,0.044,0.013,False,1.1946077672672728395638042442
0.031,0.11,0.041,0.013,False,1.1937421552030416776191103483
0.029,0.09,0.043,0.002,False,1.1937221435077315429834620907
0.027,0.12,0.045,0.013,False,1.1925868546845361054516408676
0.031,0.11,0.041,0.011,False,1.1916142305548195133170701608
0.025,0.05,0.045,0.014,False,1.1911516024083343320872597800
0.029,0.09,0.043,0.001,False,1.1886901959698709967482424790
0.025,0.04,0.042,0.013,False,1.1884914450365971396673577620
0.027,0.11,0.044,0.014,False,1.1881453852639832730129004393
0.027,0.11,0.045,0.014,False,1.1881453852639832730129004393
0.028,0.10,0.045,0.014,False,1.1874708307146448355038420873
0.027,0.11,0.044,0.013,False,1.1845522816378515283378105918
0.027,0.11,0.045,0.013,False,1.1845522816378515283378105918
0.028,0.10,0.045,0.013,False,1.1845225277121936824986217689
0.023,0.09,0.041,0.011,False,1.1814328063961445234397489343
0.029,0.10,0.041,0.011,False,1.1780266874915919857976166645
0.030,0.10,0.041,0.011,False,1.1777044310441853314804332543
0.029,0.09,0.043,0.014,False,1.1763289824040441194488467511
0.026,0.11,0.042,0.014,False,1.1746629828500882849084836857
0.026,0.11,0.043,0.014,False,1.1746629828500882849084836857
0.029,0.09,0.043,0.013,False,1.1742108678963415200853597368
0.022,0.07,0.045,0.011,False,1.1734464693823455735437391443
0.026,0.11,0.042,0.013,False,1.1727187862403764528719712377
0.026,0.11,0.043,0.013,False,1.1727187862403764528719712377
0.029,0.09,0.043,0.012,False,1.1722493493525205678544986212
0.026,0.10,0.045,0.013,False,1.1719143039814004543245399736
0.022,0.07,0.045,0.010,False,1.1716879854416015930412471160
0.027,0.10,0.043,0.014,False,1.1711731001285279783146906043
0.027,0.10,0.044,0.014,False,1.1711731001285279783146906043
0.030,0.10,0.041,0.010,False,1.1710726099870065473922153982
0.025,0.05,0.042,0.013,False,1.1709294288948996998598397037
0.025,0.04,0.044,0.013,False,1.1702564642442321164906100441
0.025,0.03,0.043,0.013,False,1.1702232519866594238735263276
0.027,0.10,0.043,0.013,False,1.1689023749367892115006250704
0.027,0.10,0.044,0.013,False,1.1689023749367892115006250704
0.025,0.10,0.043,0.014,False,1.1685819509626808571102515196
0.025,0.10,0.044,0.014,False,1.1685819509626808571102515196
0.028,0.12,0.045,0.013,False,1.1673239568430938840198648331
0.032,0.11,0.041,0.012,False,1.1673202241927005064674292754
0.025,0.04,0.043,0.013,False,1.1664178521410457956180374239
0.032,0.11,0.041,0.013,False,1.1651222925505496978966315847
0.027,0.13,0.044,0.013,False,1.1648528185206741652380976111
0.027,0.13,0.045,0.013,False,1.1648528185206741652380976111
0.032,0.11,0.041,0.011,False,1.1631336565229845898569672101
0.028,0.11,0.044,0.014,False,1.1614480173215969277403348719
0.028,0.11,0.045,0.014,False,1.1614480173215969277403348719
0.027,0.12,0.044,0.014,False,1.1611557062463729946822396542
0.024,0.03,0.043,0.017,False,1.1603637052009183728358036471
0.024,0.03,0.044,0.017,False,1.1603637052009183728358036471
0.029,0.11,0.044,0.011,False,1.1593166048474860577807537174
0.028,0.11,0.044,0.013,False,1.1582680325071764356037949087
0.028,0.11,0.045,0.013,False,1.1582680325071764356037949087
0.027,0.12,0.044,0.013,False,1.1579430796533427242681297504
0.030,0.09,0.043,0.013,False,1.1562258257233894887461964139
0.026,0.04,0.042,0.013,False,1.1550988949264876361776083581
0.030,0.10,0.043,0.013,False,1.1549557564342228738586844009
0.029,0.11,0.044,0.001,False,1.1542983270775249781027673833
0.029,0.11,0.044,0.002,False,1.1542722562908669687128177491
0.030,0.11,0.043,0.011,False,1.1523861211653282949250644248
0.030,0.09,0.043,0.012,False,1.1516749000195811106064567504
0.025,0.09,0.041,0.013,False,1.1514762232514694690233419287
0.030,0.10,0.043,0.012,False,1.1502597024634092248789245577
0.030,0.11,0.041,0.011,False,1.1500251069030144041441730854
0.029,0.11,0.041,0.011,False,1.1497603148500832705048269212
0.022,0.07,0.045,0.012,False,1.1497268047168403713411153092
0.022,0.08,0.044,0.011,False,1.1493409167269958786955791758
0.022,0.08,0.045,0.011,False,1.1493409167269958786955791758
0.022,0.08,0.044,0.010,False,1.1478310113304481041650910755
0.022,0.08,0.045,0.010,False,1.1478310113304481041650910755
0.024,0.03,0.042,0.017,False,1.1475189070503124973902611814
0.028,0.09,0.044,0.011,False,1.1465343486025125137890523131
0.026,0.11,0.045,0.012,False,1.1464453819085426987131654186
0.025,0.02,0.042,0.003,False,1.1461574088449175824690283049
0.025,0.05,0.043,0.013,False,1.1460920244486209916265015491
0.027,0.11,0.042,0.014,False,1.1446898279748118685659556067
0.027,0.11,0.043,0.014,False,1.1446898279748118685659556067
0.025,0.10,0.045,0.014,False,1.1440758572076648697472327792
0.025,0.11,0.041,0.014,False,1.1440366032421479793968704283
