StopLoss,StopProfit,StartProfit,OpenCriteria,FollowTrend,Result
0.032,0.12,0.200,0.005,False,1.1187059687038604932913566319
0.033,0.12,0.200,0.005,False,1.1152940949189437967507534834
0.034,0.12,0.200,0.005,False,1.1117625497883713950237354798
0.035,0.12,0.200,0.005,False,1.1082316406997816471606895767
0.036,0.12,0.200,0.005,False,1.1048212909503543761537315610
0.033,0.13,0.194,0.005,False,1.0999499722052406306373840001
0.033,0.13,0.195,0.005,False,1.0999499722052406306373840001
0.033,0.13,0.196,0.005,False,1.0999499722052406306373840001
0.033,0.13,0.197,0.005,False,1.0999499722052406306373840001
0.033,0.13,0.198,0.005,False,1.0999499722052406306373840001
0.033,0.13,0.199,0.005,False,1.0999499722052406306373840001
0.033,0.13,0.200,0.005,False,1.0999499722052406306373840001
0.034,0.13,0.194,0.005,False,1.0964201530561381226015578286
0.034,0.13,0.195,0.005,False,1.0964201530561381226015578286
0.034,0.13,0.196,0.005,False,1.0964201530561381226015578286
0.034,0.13,0.197,0.005,False,1.0964201530561381226015578286
0.034,0.13,0.198,0.005,False,1.0964201530561381226015578286
0.034,0.13,0.199,0.005,False,1.0964201530561381226015578286
0.034,0.13,0.200,0.005,False,1.0964201530561381226015578286
0.035,0.13,0.194,0.005,False,1.0928909735356673271565480919
0.035,0.13,0.195,0.005,False,1.0928909735356673271565480919
0.035,0.13,0.196,0.005,False,1.0928909735356673271565480919
0.035,0.13,0.197,0.005,False,1.0928909735356673271565480919
0.035,0.13,0.198,0.005,False,1.0928909735356673271565480919
0.035,0.13,0.199,0.005,False,1.0928909735356673271565480919
0.035,0.13,0.200,0.005,False,1.0928909735356673271565480919
0.028,0.05,0.200,0.009,False,1.0899077389756983773643898781
0.036,0.13,0.194,0.005,False,1.0894821354365367361231562575
0.036,0.13,0.195,0.005,False,1.0894821354365367361231562575
0.036,0.13,0.196,0.005,False,1.0894821354365367361231562575
0.036,0.13,0.197,0.005,False,1.0894821354365367361231562575
0.036,0.13,0.198,0.005,False,1.0894821354365367361231562575
0.036,0.13,0.199,0.005,False,1.0894821354365367361231562575
0.036,0.13,0.200,0.005,False,1.0894821354365367361231562575
0.028,0.05,0.200,0.008,False,1.0882932567134519381897963664
0.028,0.06,0.200,0.009,False,1.0872032961744097977108853820
0.028,0.05,0.200,0.007,False,1.0864870381610070923634513786
0.028,0.06,0.200,0.008,False,1.0855888139121633585362918703
0.028,0.05,0.200,0.006,False,1.0844227883867844114190571069
0.029,0.05,0.200,0.009,False,1.0841768488873791082241890595
0.028,0.06,0.200,0.007,False,1.0837825953597185127099468825
0.029,0.06,0.200,0.009,False,1.0834493075654975186471404579
0.029,0.05,0.200,0.008,False,1.0825612211535171512826992038
0.028,0.05,0.200,0.005,False,1.0823585386125617304746628352
0.029,0.06,0.200,0.008,False,1.0818336798316355617056506022
0.028,0.06,0.200,0.006,False,1.0817183455854958317655526108
0.029,0.05,0.200,0.007,False,1.0807550026010723054563542161
0.028,0.05,0.200,0.004,False,1.0802942888383390495302685635
0.029,0.06,0.200,0.007,False,1.0800274612791907158793056145
0.028,0.06,0.200,0.005,False,1.0796540958112731508211583391
0.030,0.05,0.200,0.010,False,1.0793880803351121577511800510
0.030,0.06,0.200,0.010,False,1.0787095640696876463817817304
0.029,0.05,0.200,0.006,False,1.0786907528268496245119599444
0.028,0.05,0.200,0.003,False,1.0784880702858942037039235757
0.030,0.05,0.200,0.009,False,1.0783691792116206532583646558
0.029,0.06,0.200,0.006,False,1.0779632115049680349349113428
0.030,0.06,0.200,0.009,False,1.0776906629461961418889663352
0.028,0.06,0.200,0.004,False,1.0775898460370504698767640674
0.030,0.05,0.200,0.008,False,1.0767522450432967966328114422
0.029,0.05,0.200,0.005,False,1.0766265030526269435675656726
0.028,0.05,0.200,0.002,False,1.0764238205116715227595293040
0.028,0.07,0.200,0.009,False,1.0763462969380881479612635645
0.030,0.06,0.200,0.008,False,1.0760737287778722852634131216
0.029,0.06,0.200,0.005,False,1.0758989617307453539905170710
0.028,0.06,0.200,0.003,False,1.0757836274846056240504190796
0.030,0.05,0.200,0.007,False,1.0749460264908519508064664545
0.028,0.07,0.200,0.008,False,1.0747313425440228323665833608
0.029,0.05,0.200,0.004,False,1.0745622532784042626231714009
0.028,0.05,0.200,0.001,False,1.0743595707374488418151350323
0.030,0.06,0.200,0.007,False,1.0742675102254274394370681339
0.036,0.14,0.194,0.005,False,1.0741668048270535184832557553
0.036,0.14,0.195,0.005,False,1.0741668048270535184832557553
0.036,0.14,0.196,0.005,False,1.0741668048270535184832557553
0.036,0.14,0.197,0.005,False,1.0741668048270535184832557553
0.036,0.14,0.198,0.005,False,1.0741668048270535184832557553
0.036,0.14,0.199,0.005,False,1.0741668048270535184832557553
0.036,0.14,0.200,0.005,False,1.0741668048270535184832557553
0.029,0.06,0.200,0.004,False,1.0738347119565226730461227993
0.028,0.06,0.200,0.002,False,1.0737193777103829431060248079
0.031,0.05,0.200,0.010,False,1.0733857785069676166867302796
0.031,0.06,0.200,0.010,False,1.0729561454230148521285948022
0.028,0.07,0.200,0.007,False,1.0729251239915779865402383730
0.029,0.07,0.200,0.009,False,1.0728997781468355797695171765
0.030,0.05,0.200,0.006,False,1.0728817767166292698620721828
0.029,0.05,0.200,0.003,False,1.0727560347259594167968264132
0.031,0.05,0.200,0.009,False,1.0723635826135959668576920679
0.030,0.06,0.200,0.006,False,1.0722032604512047584926738622
0.029,0.06,0.200,0.003,False,1.0720284934040778272197778116
0.031,0.06,0.200,0.009,False,1.0719339495296432022995565905
0.028,0.06,0.200,0.001,False,1.0716551279361602621616305362
0.029,0.07,0.200,0.008,False,1.0712836791093522687293859900
0.028,0.07,0.200,0.006,False,1.0708608742173553055958441013
0.030,0.05,0.200,0.005,False,1.0708175269424065889176779111
0.031,0.05,0.200,0.008,False,1.0707453446331536353721823567
0.029,0.05,0.200,0.002,False,1.0706917849517367358524321415
0.031,0.06,0.200,0.008,False,1.0703157115492008708140468793
0.030,0.06,0.200,0.005,False,1.0701390106769820775482795905
0.030,0.07,0.200,0.010,False,1.0701116194172710874879396642
0.029,0.06,0.200,0.002,False,1.0699642436298551462753835399
0.029,0.07,0.200,0.007,False,1.0694774605569074229030410023
0.030,0.07,0.200,0.009,False,1.0690917317957991739372353221
0.031,0.05,0.200,0.007,False,1.0689391260807087895458373690
0.028,0.07,0.200,0.005,False,1.0687966244431326246514498296
0.030,0.05,0.200,0.004,False,1.0687532771681839079732836394
0.029,0.05,0.200,0.001,False,1.0686275351775140549080378698
0.031,0.06,0.200,0.007,False,1.0685094929967560249877018916
0.032,0.04,0.200,0.010,False,1.0680957697310523541440643901
0.030,0.06,0.200,0.004,False,1.0680747609027593966038853188
0.029,0.06,0.200,0.001,False,1.0678999938556324653309892682
0.030,0.07,0.200,0.008,False,1.0674743743130864293567312653
0.029,0.07,0.200,0.006,False,1.0674132107826847419586467306
0.032,0.05,0.200,0.010,False,1.0673858599415807753243498763
0.032,0.04,0.200,0.009,False,1.0670708010084922786419463273
0.032,0.06,0.200,0.010,False,1.0669589784504175215414808442
0.030,0.05,0.200,0.003,False,1.0669470586157390621469386516
0.031,0.05,0.200,0.006,False,1.0668748763064861086014430973
0.028,0.07,0.200,0.004,False,1.0667323746689099437070555579
0.031,0.07,0.200,0.010,False,1.0666082501424190927504613307
0.031,0.06,0.200,0.006,False,1.0664452432225333440433076199
0.032,0.05,0.200,0.009,False,1.0663608912190206998222318135
0.030,0.06,0.200,0.003,False,1.0662685423503145507775403310
0.032,0.06,0.200,0.009,False,1.0659340097278574460393627814
0.037,0.12,0.200,0.008,False,1.0657130444667961320887301284
0.030,0.07,0.200,0.007,False,1.0656681557606415835303862776
0.031,0.07,0.200,0.009,False,1.0655851791394946247469798630
0.032,0.04,0.200,0.008,False,1.0654512620270567373308176588
0.029,0.07,0.200,0.005,False,1.0653489610084620610142524588
0.028,0.07,0.200,0.003,False,1.0649261561164650978807105701
0.030,0.05,0.200,0.002,False,1.0648828088415163812025443799
0.031,0.05,0.200,0.005,False,1.0648106265322634276570488256
